"","SC78_9_factor1","SC78_9_factor2","SC78_9_factor3","SC78_9_factor4","SC78_9_factor5","SC78_9_factor6"
"81","Rps3a1","Osbpl9","Cask","Klhl2","Gm8730","Pim1"
"82","Il1r2","Cd274","Cpd","Lcp1","Calm1","Litaf"
"83","Rpl30","Pkm","Dusp1","Irg1","Hmgb2","Rps29"
"84","Cd52","Aldoa","Vav3","Sorl1","H2-D1","Lmnb1"
"85","Polr2a","Npepps","Pip5k1b","Cyth1","Arpc5","Atp6v1g1"
"86","Ccnd3","Rps27","1700112E06Rik","Csf3r","Atxn10","Arpc3"
"87","Stk17b","Tpd52","Med13l","Neat1","Cotl1","Fbxl5"
"88","Serf2","Rabgef1","Wfdc17","Lyn","Msrb1","Ddx5"
"89","S100a11","Ets2","Rlf","Msrb1","Dstn","Iqgap1"
"90","Rpl19","Cd9","Diaph1","Dusp16","Rps29","Cyba"
"91","Fgl2","Arid5b","Mxd1","Jdp2","Serf2","mt-Co2"
"92","Rplp1","Ankrd33b","Tmem164","Ncf2","Ubb","Rpl37"
"93","Rpl37","Lyst","Zfand3","mt-Co3","Rplp0","Selplg"
"94","Ubc","Plin2","Mctp2","Fcer1g","Fau","Dennd4a"
"95","Cox8a","Rab7","Mtus1","mt-Atp6","Glrx","Sat1"
"96","Gng5","Igf1r","Rbm47","Stx11","Gmfg","Prdx5"
"97","Rpl37a","Ldha","Ddx6","Hif1a","Ncf4","Mmp8"
"98","Calm2","Fam134b","Myo1f","Iqgap1","R3hdm4","Jun"
"99","Rpl34","Elmo1","Numb","Lilrb4a","Vim","Pkm"
"100","Litaf","Fcer1g","Stat3","Fosl2","Rps4x","Pla2g7"
