"","SC78_4_factor1","SC78_4_factor2","SC78_4_factor3","SC78_4_factor4","SC78_4_factor5","SC78_4_factor6"
"47","Rnf149","Actg1","Litaf","Ssh2","Btbd9","Ptafr"
"48","Wnk1","Rpl18a","Pfn1","Mcl1","S100a11","Cd9"
"49","Mxd1","Fth1","Lmnb1","Cmip","Rnf149","Ptprj"
"50","Ddx5","Ftl1","Itm2b","H3f3a","Fxyd5","Pik3ap1"
"51","Zfp36","Marcksl1","Lcp1","Ncf2","Kpna4","Rab8b"
"52","Samsn1","Srgn","Anxa1","Cd44","Mir142hg","Cd44"
"53","Fau","Ppia","Txn1","Tpd52","H2-D1","Sgms2"
"54","Btg2","G0s2","Mcl1","Rnf149","Tpd52","Csf3r"
"55","Dennd4a","Cst3","Mmp9","Lyn","Ccr1","Ets2"
"56","Egr1","Rpl28","Mctp1","Lcp1","Sorl1","Mcl1"
"57","Ptgs2","Rps27a","H3f3b","S100a6","Lilrb4a","Lmnb1"
"58","Fxyd5","Eif1","Clec4d","Arg2","Ndel1","Ptprc"
"59","Ifitm2","Rpl7","Fxyd5","Tmcc1","Baz2b","Ptgs2"
"60","Rab7","Rps6","Gda","Hdc","Ptprc","Ifitm2"
"61","Rabgef1","Gm10076","Sgms2","Xylt1","Irg1","H3f3b"
"62","Pik3ap1","Rps15","Wfdc21","Fau","Fam134b","Dusp16"
"63","Irg1","Msn","Mgst1","Celf2","Junb","Msrb1"
"64","Ptprc","Rpl21","Irg1","Litaf","Samsn1","Marcks"
"65","Antxr2","Rpl11","Osbpl9","Gpcpd1","Smox","Ifrd1"
"66","Atf3","Cfl1","Antxr2","Taldo1","Atp2b1","Arg2"
"67","Fam134b","Eef1b2","Rac2","Marcks","Diaph1","S100a11"
"68","Hcar2","Fcer1g","Msra","B2m","Ctnnb1","Litaf"
"69","Cxcr4","Rac2","Tpt1","Lmnb1","Ets2","Samsn1"
"70","Pnrc1","Cebpb","Fcer1g","Dock2","Tpm4","Mapkapk2"
"71","Ifrd1","S100a9","Cyba","Slc7a11","Mrpl33","Neat1"
"72","Sgms2","H3f3b","Gapdh","Ccnd3","Picalm","Vasp"
"73","Rps9","Rpl24","Arhgdib","Eif1","Gcnt2","Chst11"
"74","Ptafr","Rps26","Arhgap15","Map3k5","Tlr4","B2m"
"75","Slc7a11","Nfkb1","Hmgb2","Zfp36l2","Lilr4b","Erbb2ip"
"76","H3f3a","Btg1","Cd52","Fxyd5","Gm26740","Zfp36"
"77","Alcam","Kansl1","Mmp8","Lsp1","Emilin2","Rel"
"78","Sdcbp","H3f3a","Junb","Cxcr4","Ccnl1","Dennd4a"
"79","Emilin2","Pfn1","Hdc","Ccl6","Msrb1","2810474O19Rik"
"80","Etf1","Kdm6b","Lyn","Adgre5","S100a6","Ncf1"
"81","Braf","H2-D1","Pim1","Txn1","Sp140","Ier5"
"82","Sorl1","Runx1","Plek","Pla2g7","Csf3r","Ccl3"
"83","Vps37b","Serf2","Anxa2","Ccrl2","Gab2","Fgr"
"84","Mbnl2","Pim1","Trem1","Camk1d","Map2k4","Trem1"
"85","Ndel1","Cd9","Entpd1","Iqgap1","Sdcbp","Slc7a11"
"86","Lst1","Rac1","Taldo1","Gm42418","Trib1","Nr4a1"
"87","Ccr1","Tyrobp","Ndel1","Myo1f","Ppp1r3b","H3f3a"
"88","Plaur","Tgm2","Cd44","Ifi27l2a","Isg15","Il1r2"
"89","Coq10b","Rps11","Rps27a","Hp","Pik3ap1","Ier3"
"90","Basp1","Asprv1","Pglyrp1","Ddx5","March7","Btg2"
"91","Cmip","Il1b","Alox5ap","Snap23","Arhgap15","Lcp1"
"92","Csrnp1","Hnrnpf","Lsp1","Coro1a","Ncf2","Lilrb4a"
"93","Gab2","Atf7ip","Slc7a11","Akap13","Snx18","Nadk"
"94","Tpt1","Junb","Ddx5","Antxr2","Cyth1","Tnfrsf1b"
"95","B2m","Rplp0","Arg2","Ppp3ca","Fcer1g","Adgre5"
"96","Ctsd","B2m","Gnai2","Pim1","Tpt1","Plaur"
"97","Fgl2","Arpc2","Picalm","Phf21a","Cd300lf","C5ar1"
"98","Suco","Cdc42","Prr13","G0s2","Ier3","Abtb2"
"99","Trem1","Arhgap15","Ubb","Ipcef1","Ankrd33b","Rps9"
"100","Ncf2","Ssh2","Arpc1b","Cd9","Rap1gap2","Ddx5"
