"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4","SC78_8_factor5"
"95","Cyth1","Calm1","Ncf2","Hcar2","Grina"
"96","Arg2","Eef1b2","Syk","Trem1","Sgms2"
"97","Basp1","Cox8a","Sat1","Ehd1","Trem1"
"98","Pde7b","Hnrnpa2b1","Fgl2","Ubb","Fxyd5"
"99","Lamp2","Cdc42","Pla2g7","Erbb2ip","Atxn10"
"100","Atp2b1","Rps25","Akap13","Lcp1","Sh3bgrl3"
"101","Ccnl1","Pan3","Iqgap1","Ankrd33b","Msra"
"102","Grina","Pitpna","Hcar2","Antxr2","Gpx1"
"103","Cd53","Peli1","March7","Entpd1","Cotl1"
"104","Stk17b","Srrm2","Ets2","Lrg1","Ddx5"
"105","Nedd9","Ankrd44","Xylt1","Jund","Adam8"
"106","Sp140","Pip4k2a","Svil","Kpna4","Ostf1"
"107","Gm42418","Sh3bgrl3","Gm42418","Abtb2","Litaf"
"108","Plk3","Osbpl8","Grina","Slfn2","Samsn1"
"109","Mir142hg","Dynll1","Chst11","Ier5","Rdh12"
"110","Lcp1","Ambra1","Celf2","C5ar1","Lyn"
"111","Suco","Rpl6","Entpd1","Rabgef1","Atp6v1g1"
"112","Pnrc1","Son","Il1rap","Pfn1","Clic1"
"113","Ell2","Ube2d2a","Arhgap26","Ppp1r15a","Spi1"
"114","App","Ssh2","Gadd45a","Hp","Serf2"
"115","Jdp2","Calm2","Atg3","Gm42418","Rps12"
"116","Etf1","Zcchc7","Steap4","Isg15","Arhgap15"
"117","Ifitm1","Nipbl","Calm2","Rel","Cmip"
"118","Txn1","Zfp36l2","Cytip","Arpc3","Tpd52"
"119","Hectd1","Cox4i1","Suco","Tnfrsf1b","Hdc"
"120","Fem1c","mt-Nd4l","Tnfaip2","Sema4d","Dusp1"
"121","Ddx6","Ankrd12","Ier5","Smox","Vasp"
"122","Tpm4","Pak2","Klf6","Picalm","Antxr2"
"123","Myo1d","Rbm3","Cd52","Hspa5","Rpl37"
"124","Sdcbp","Pfn1","Osm","Fgr","Picalm"
"125","Lilr4b","Gng5","Lsp1","Ncf1","Ifitm6"
"126","Vps37b","Tpt1","Fam65b","Ccl3","Lmnb1"
"127","Trib1","Ctss","Sdcbp","Actr3","Lilrb4a"
"128","Gcnt2","Ppp3ca","Igf1r","Lcp2","Fbxl5"
"129","Fosl2","Ythdc1","S100a6","Cd52","Arg2"
"130","Inpp5d","Klf2","Zyx","Nfe2l2","Zyx"
"131","Ptgs2","Dgkd","Gabarap","Casp4","Csf3r"
"132","Arih2","Chchd2","Tmcc1","Xylt1","Mctp1"
"133","Egr1","Clint1","Rap1b","Ninj1","Map1lc3b"
"134","Tnfaip2","Aff4","Ccnd3","Gabarap","Sat1"
"135","Mbnl2","Bri3","Anxa2","Rap1b","Ptprc"
"136","Dusp16","Ppia","Ifitm3","Nr4a1","Aldoa"
"137","Tlr4","Baz1a","Mbnl2","Slc16a3","Clec4d"
"138","2810474O19Rik","Dock2","Cd44","Rps27","mt-Co3"
"139","Kdm6b","Fus","Map3k5","Sorl1","Pygl"
"140","Gabarap","Pcbp2","Samsn1","Ell2","Entpd1"
"141","Lst1","Dip2b","Tspan13","Grina","Gabarap"
"142","Sntb2","Rps2","Sh2d3c","Rac2","Ncf2"
"143","Actr3","Ezr","Cd300lf","Ddx6","Fam65b"
"144","Ralgapa1","Zcchc11","Ltb","Ncf4","Ndel1"
"145","S100a6","Rps27a","Emilin2","Ccnl1","Il1r2"
"146","Hif1a","Itsn2","Trem1","Malt1","Ncf4"
"147","Ctsd","Itga4","Tspo","Dusp2","Gpsm3"
"148","Hp","Chka","Ctsd","Cmip","Cyp4f18"
"149","Mrpl33","Prdx5","Cst3","Pde7b","Stk17b"
"150","Por","Ncl","Rps27a","Ctnnb1","Pim1"
"151","Cyp4f18","Uvrag","Adgre5","Ndel1","Ccr1"
"152","Ier3","Clta","Phf21a","Coq10b","Cers6"
"153","Slc15a3","Zbtb20","Coq10b","H2-Q7","Lyst"
"154","Smchd1","Fndc3a","Mir142hg","Emilin2","Osbpl9"
"155","Iqgap1","H3f3b","Atp6v1g1","Lsp1","Notch2"
"156","Jund","Tra2b","Lilrb4a","Ccr1","Irg1"
"157","Clec4e","Fau","Irg1","Gmfg","Gng5"
"158","Ubb","Dyrk1a","Ankrd33b","Alox5ap","Cd44"
"159","C5ar1","Top1","Selplg","Fgl2","Ddx6"
"160","Map2k4","Gm20388","Pag1","Sod2","Emilin2"
"161","Lrg1","Polr2a","Etf1","Sik3","Mmp8"
"162","Snap23","Jarid2","Ccr1","Rab7","Atg3"
"163","Dusp5","Arid1b","Arpc1b","Fbxo11","Shfm1"
"164","Slfn4","Tmsb4x","Cyba","Lyn","Oaz1"
"165","Rab20","Srrm1","G0s2","Cst3","Jund"
"166","Vmp1","Rab2a","Serinc3","Rps29","Tpm4"
"167","Map1lc3b","Gnb1","Tbc1d15","Ddx3x","Cxcr2"
"168","Tgoln1","Nptn","Rac2","Atp2b1","Hif1a"
"169","Vps4b","Lst1","Fam134b","Cdk2ap2","Eno1"
"170","Skap2","Fnbp1","Cxcl2","Slc15a3","Btg2"
"171","Agpat9","Mir142hg","Spi1","Fosl2","Ctsd"
"172","Cd300lf","Naca","Csrnp1","Iqgap1","Ube2d3"
"173","Lyst","Shfm1","Clec4d","Arpc1b","Cap1"
