"","V1","V2","V3","V4"
"Lypla1",1.83466497333294,0.166506023327149,1.95566247446934,0.488310501449598
"Tcea1",1.85446264912509,0.411795196414582,1.56595996335616,0.340879231368796
"Atp6v1h",5.37881147505314,4.18526976345752,1.32006065603099,2.95204484757725
"Rb1cc1",10.6444574894486,11.6294839206558,4.44488770274945,7.0315756398284
"4732440D04Rik",0.565562669004376,0.91514624777413,0.252445392754044,0.990998062423822
"Pcmtd1",7.51982012875512,4.30101832107746,0.624548837890784,5.40086131106864
"Gm26901",0.47955778696921,2.22044604925031e-16,2.22044604925031e-16,0.865125117090914
"Vcpip1",1.65345738466638,1.31983664649651,1.15979428450107,2.04886573610346
"Sgk3",6.94405764538048,2.95264821948352,6.84424078833413,0.732584506244519
"Ppp1r42",2.22044604925031e-16,1.05728963753133e-05,2.90101790246833,0.153352460563179
"Cops5",1.37852076841046,1.20783557069345e-06,1.65746539827757,2.22044604925031e-16
"Cspp1",5.16731967346138,1.39716536673,1.15597830476462,0.736086991025585
"Arfgef1",4.59916606436673,5.18183833003832,4.18356879395039,3.72947389241092
"Cpa6",2.22044604925031e-16,0.128838346537694,0.432872201684086,0.118452755667473
"Ncoa2",10.6022973540082,7.41676051575496,3.17443169576818,5.58040850205604
"Tram1",3.27796549186408,0.740856079968923,1.78209322698837,0.410612603670147
"Lactb2",0.322984406815705,0.61547937055428,0.482754101751581,0.145194272309767
"Terf1",1.21735718304372,0.0396123309267322,0.793467604354334,0.589224906869861
"Rpl7",12.3393374325692,5.10213378104846,30.6473105487562,2.22044604925031e-16
"Rdh10",0.827156195831256,2.22044604925031e-16,0.463114462186381,0.129551618608343
"Ube2w",5.49238194634483,3.26039221867406,2.45647924574603,1.33745675626503
"Tceb1",9.36477375854513,8.98627717295535,5.72689134459237,5.72444577228639
"Ly96",3.26216096765906,2.91618720380285,2.74003345386796,1.59977793721475
"Tram2",0.51953722348477,2.22044604925031e-16,0.693767196095606,0.363389643295311
"Ogfrl1",13.0413555630119,11.6651056893502,12.3788513534705,4.88733648068687
"Smap1",3.30337354311308,2.64389719337337,5.50309229586855,2.84286858258637
"Sdhaf4",0.516830927369518,2.22044604925031e-16,0.376830052131949,2.22044604925031e-16
"Lmbrd1",6.25304199880906,10.6328702462786,5.38871501647742,8.67185357879702
"Phf3",6.3544727474052,2.35673842509462,1.90994492387665,3.82957143465666
"Ptp4a1",18.7949176990032,18.598051627881,4.60295086252387,12.5462424779694
"Rab23",0.00725225007417816,2.22044604925031e-16,0.968756569889583,2.22044604925031e-16
"Zfp451",0.882483168658861,0.0830599696073653,0.0544280448739424,0.155112213266808
"Ccdc115",1.27868766476596,0.117831013796704,0.459514682420012,1.22296238231953
"Imp4",0.959432009432944,0.550037240174526,0.321499041522295,1.02022299972124
"Ptpn18",7.40294784712794,1.27643566941737,7.23864349641881,0.251150148376499
"Fam168b",5.63900086583102,2.15732473140516,2.84897244005827,4.01487621011329
"Plekhb2",1.43297394159786,0.391631049793785,0.476355616935547,1.10095880118284
"Uggt1",1.85030122703877,0.0631621446267524,0.825411792563313,0.147007255361841
"Neurl3",12.2417776278373,10.4704314828505,2.22044604925031e-16,8.50799022006899
"Arid5a",12.1494732018827,5.2554820853811,3.6421967180581,2.30901504579003
