"","SC78_6_factor1","SC78_6_factor2","SC78_6_factor3","SC78_6_factor4"
"1","Il1b","S100a9","Retnlg","Cxcl2"
"2","Malat1","S100a8","S100a8","Fth1"
"3","S100a9","G0s2","S100a9","Malat1"
"4","Tmsb4x","Malat1","Lcn2","Ccrl2"
"5","Junb","Actg1","S100a6","Srgn"
"6","Dusp1","Il1b","Wfdc21","Ftl1"
"7","Ftl1","Cebpb","Wfdc17","Nfkbia"
"8","Fth1","Cxcl2","Ifitm6","Il1b"
"9","Srgn","Wfdc17","Tmsb4x","Cebpb"
"10","Ifitm1","Srgn","Fth1","Ier3"
"11","Dennd4a","Cd14","Lyz2","G0s2"
"12","Cebpb","Fth1","Prok2","Basp1"
"13","Actb","Tmsb4x","Anxa1","Irg1"
"14","Wfdc17","Actb","Actb","Gadd45b"
"15","Ubb","Ifitm1","Gapdh","S100a9"
"16","Msrb1","Entpd1","BC100530","Junb"
"17","Actg1","Sgms2","Ifitm3","Mcl1"
"18","Zfp36","Slc16a3","mt-Co1","Tmsb4x"
"19","Ifitm2","Cd44","Malat1","H3f3b"
"20","Fos","Antxr2","Actg1","H2-D1"
"21","S100a8","Xylt1","Alox5ap","Eif1"
"22","Btg2","Ifitm2","Tspo","Pim1"
"23","Rps9","Spag9","Prdx5","Tpt1"
"24","Btg1","Eif1","S100a11","Ubb"
"25","Kpna4","Btg1","Pglyrp1","Ptgs2"
"26","Csf3r","Alcam","Ifitm2","Hcar2"
"27","H3f3a","S100a11","G0s2","Cd14"
"28","H3f3b","H3f3a","H3f3a","Ifrd1"
"29","Tyrobp","Irg1","Ifitm1","B2m"
"30","Tpt1","Hdc","Hp","Pnrc1"
"31","Klf2","Ftl1","Stfa2","Neat1"
"32","Fau","Clec4d","Cd52","Cdkn1a"
"33","Mcl1","Trem1","BC117090","Actg1"
"34","Il1r2","Il1r2","Ftl1","Cd9"
"35","Lrg1","Chst11","mt-Atp6","H2-K1"
"36","H2-D1","Mxd1","mt-Co3","Plek"
"37","Ptprc","Mcl1","Rac2","Irak2"
"38","Fcer1g","Cd9","Mmp8","Ccl3"
"39","Gadd45b","Smox","Rps9","Fcer1g"
"40","Hp","H3f3b","Anxa2","Fau"
"41","Lst1","Tyrobp","Rps24","Pkm"
"42","Pim1","Tpd52","Lgals3","S100a8"
"43","Hdc","Rnf149","Cebpb","Btg1"
"44","Rnf149","Lmnb1","mt-Co2","Zfp36"
"45","Jund","Ndel1","Coro1a","Il1r2"
"46","Tpd52","Pim1","Srgn","Clec4e"
"47","Eif1","mt-Co1","Pfn1","Zeb2"
"48","S100a11","Tpt1","Prr13","Mxd1"
"49","Litaf","Sik3","Tpt1","Clec4d"
"50","Neat1","Rps9","Arhgdib","H3f3a"
"51","Ddx5","Cmip","Gm5483","Lilrb4a"
"52","Ccrl2","Ddx5","Lrg1","Litaf"
"53","Picalm","Dusp1","Pkm","Marcksl1"
"54","Txn1","Csf3r","Tyrobp","Prdx5"
"55","Mxd1","S100a6","Mgst1","Csf1"
"56","Pfn1","Plek","Cyba","Spag9"
"57","Cst3","Picalm","Msrb1","Gapdh"
"58","Map1lc3b","Msrb1","Atxn10","Emilin2"
"59","Lmnb1","Plaur","Arpc1b","Gm42418"
"60","Sorl1","Fcer1g","Rps27a","Il1rn"
"61","Gm5150","Litaf","Txn1","Tra2a"
"62","Cd52","H2-D1","Mmp9","Pgam1"
"63","Gcnt2","Fxyd5","Rplp0","Upp1"
"64","Hmgb2","Hp","Vim","Ifitm1"
"65","Stk17b","Lcp1","Gpx1","Mif"
"66","Marcks","Emilin2","Il1b","Fxyd5"
"67","Fxyd5","Arpc3","Taldo1","Aldoa"
"68","Arg2","Clec4e","H2-D1","Ldha"
"69","Plek","Nedd9","Lcp1","Cd274"
"70","Rps27a","Pfn1","Myl6","Kpna4"
"71","Cd84","Junb","Mcemp1","Tyrobp"
"72","Igfbp6","Neat1","Tkt","Sdcbp"
"73","Lsp1","Ptprj","Ubb","2810474O19Rik"
"74","Skap2","Ptprc","Glrx","Ifitm2"
"75","mt-Co1","Grina","Ly6g","Cd53"
"76","Alox5ap","Ctnnb1","Asprv1","Actb"
"77","Zfp36l2","Gm42418","Arpc2","Dusp1"
"78","Ube2h","Ccr1","Fcer1g","Tiparp"
"79","Socs3","Arg2","Eif1","Gabarap"
"80","B2m","Sorl1","Ctsd","Btg2"
"81","Snap23","Lilrb4a","Pygl","Ninj1"
"82","Xylt1","Samsn1","Gnai2","Hdc"
"83","Rpl18a","Actr3","Gpi1","Arid5b"
"84","Coro1a","Lrg1","Itm2b","Ccnl1"
"85","Gm42418","Fau","Cotl1","Ctsb"
"86","Lcp1","Ets2","Plaur","Ubc"
"87","Ier5","Igf1r","Arpc3","Ets2"
"88","Arpc1b","Lyn","Eef1a1","Ddx5"
"89","Cxcr2","Cd52","Sh3bgrl3","Lmnb1"
"90","Tspo","Coro1a","Vasp","Ccr1"
"91","Fam49b","Tpm4","Mcl1","Ero1l"
"92","Gabarap","Tspo","Cd14","Gab2"
"93","Gpcpd1","Ncf2","Cdc42","Slfn2"
"94","Stat3","Txn1","Grina","Birc3"
"95","Rps27","Baz2b","Aldoa","Hilpda"
"96","Cdk2ap2","Jdp2","R3hdm4","Samsn1"
"97","Rps16","mt-Co3","Ostf1","Samhd1"
"98","Cdc42","App","Ldha","Arg2"
"99","Rac2","Pik3ap1","Actr3","Ankrd33b"
"100","Taldo1","Hif1a","Clic1","Pik3ap1"
"101","Pla2g7","Snx18","Hmgb2","Smox"
"102","G0s2","Slc7a11","Sri","Csf3r"
"103","Rbm39","Ctsd","Stx11","Osbpl9"
"104","March7","Osbpl9","Gm8730","P4hb"
"105","Adgre5","Cyth1","Arpc5","Tpi1"
"106","Ndel1","Btg2","Upp1","Tpd52"
"107","Mir142hg","Jund","Gda","Grina"
"108","Steap4","Ddx6","Uba52","Eno1"
"109","Chst11","Lilr4b","Fau","Atp2b1"
"110","Atf3","C5ar1","Mxd1","Ppp1r15a"
"111","Cyba","mt-Co2","Cnn2","Fnip1"
"112","Grina","Iqgap1","Mrgpra2b","Marcks"
"113","Arpc3","mt-Atp6","Shfm1","Ostf1"
"114","Spi1","Rabgef1","Iqgap1","Isg15"
"115","Cmip","Sp140","Dstn","Mapkapk2"
"116","Ier2","Cdc42","Stfa2l1","S100a11"
"117","Ltb","Fosl2","Eno1","Rnf149"
"118","Calm2","Adam8","Serf2","Tnfaip3"
"119","Cytip","Isg15","Ncf4","Rab7"
"120","Cd44","Il1rap","Aldh2","Mbnl2"
"121","Lyn","Alox5ap","Cfl1","Ctsd"
"122","Ncf2","Kpna4","Arhgap15","Fbxl5"
"123","Ddx6","Gabarap","Calm1","Npepps"
"124","Rpl41","Arpc2","Fbxl5","Cstb"
"125","Rps10","Cd53","Rpl7","Gm5483"
"126","Mbnl2","Gm5150","Slfn4","Alcam"
"127","Akap13","Lamp2","Glipr2","Fam134b"
"128","Tnfaip2","Mrpl33","Junb","Hspa5"
"129","Pbx1","Stfa2l1","Fcgr3","Tmbim6"
"130","Sat1","Dusp16","Cap1","Tlr4"
"131","Ncf4","Stx11","Gmfg","Slc2a1"
"132","mt-Co3","Pnrc1","Msra","Pfkp"
"133","Arhgap26","Taldo1","Slc16a3","Nfkbiz"
"134","Selplg","Notch2","Spi1","Fam162a"
"135","Osbpl9","Lsp1","Mbd2","Irf1"
"136","mt-Atp6","Wfdc21","Rps29","Ptafr"
"137","Iqgap1","Ccnl1","Cd9","Ier5"
"138","Trem1","Rac2","Myl12b","Klf6"
"139","Rap1b","March7","Ngp","Suco"
"140","Rpl17","Diaph1","Pgd","Rab20"
"141","Fgl2","Lyst","Litaf","Ctsz"
"142","Ubc","Por","Chil1","Snap23"
"143","Atg3","Dennd4a","App","Igf1r"
"144","Ctsd","Ier3","H3f3b","Txn1"
"145","Gab2","Pla2g7","Oaz1","Jun"
"146","Rps29","Arpc5","mt-Cytb","Erbb2ip"
"147","Rpl9","Retnlg","Stfa3","Sat1"
"148","Tra2a","Prdx5","Lsp1","Lilr4b"
"149","Zfand5","Clic1","Trem1","Sik3"
"150","Cfl1","Map1lc3b","Cdkn2d","Zfp292"
"151","Serf2","Rab7","Atp6v1g1","Calm2"
"152","H2-K1","Etf1","Gm42418","Slc7a11"
"153","Ssh2","Arpc1b","Osm","Rbpj"
"154","Ccr1","Fam134b","Ube2d3","Rps29"
"155","Klf6","Btbd9","Hdc","Egr1"
"156","Lilrb4a","Hectd1","Sat1","Rps9"
"157","C5ar1","Mcemp1","Tpd52","Polr2a"
"158","Irg1","Cfl1","Gnb2","Slc16a3"
"159","Atp6v1g1","Rap1b","Pnkp","Msrb1"
"160","Zyx","Snap23","Samhd1","Plin2"
"161","Mapkapk2","Agpat9","Rps16","Bnip3"
"162","Itm2b","Plin2","Ddx5","Cdc42"
"163","Trps1","Gda","Rpl9","Cd300lf"
"164","Ctsb","Zeb2","Cxcr2","Rps27"
"165","Syk","Myl6","Anxa11","Ddx3x"
"166","Celf2","Slc2a1","Rps10","Ifitm3"
"167","Ets2","Fam107b","Gpsm3","Tnfaip2"
"168","Entpd1","Zyx","Ccnd3","Mirt1"
"169","Coq10b","Kdm6b","Ncf2","Bsg"
"170","Rps3","Ppp1r3b","Cxcl2","Etf1"
"171","Clec4e","Fem1c","Emilin2","Xylt1"
"172","Etf1","Ehd1","Fam65b","Sgms2"
"173","Cxcr4","Glrx","Rps11","Rbm39"
"174","Ddx3x","Zcchc6","Cd177","Sorl1"
"175","Arpc2","Sh2d3c","Esd","Stfa2l1"
"176","Gmfg","Selk","Mrpl33","Rab8b"
"177","Fgr","Mir142hg","Gabarap","Klf2"
"178","Csrnp1","Klhl2","Picalm","Nlrp3"
"179","mt-Co2","Rab20","Lyn","Bcl2l11"
"180","Arih1","Cap1","Timp2","Il1f9"
"181","Sdcbp","Ube2d3","Ptprc","Gbp2b"
"182","Pde4b","Tiparp","Selplg","Zfand3"
"183","Gnai2","Trib1","Rps12","Rhoa"
"184","Lyst","Ubb","Lilrb4a","Hsp90aa1"
"185","Nfkbia","Spi1","Rhoa","H2-Q7"
"186","Tbc1d15","Suco","Rps4x","Phf21a"
"187","Gm2a","Ifitm3","1110008F13Rik","Rap1b"
"188","Svil","Cd300lf","Hck","Picalm"
"189","Myl6","Gapdh","Gng5","P4ha1"
"190","Rpl27a","Gcnt2","Rap1b","Slfn4"
"191","Calm1","Sat1","Mettl9","Arpc3"
"192","Spag9","Skap2","Smpdl3a","Chmp4b"
"193","Myl12b","Fbxo11","Slfn2","Gng5"
"194","Rsrp1","Plk3","Cers6","Casp4"
"195","2810474O19Rik","Cdk17","Arpc4","Elmo1"
"196","Emilin2","Mrgpra2b","AB124611","Card19"
"197","Clk1","Cyba","Zyx","Gna13"
"198","Ifrd1","Sdcbp","Lyst","Nfe2l2"
"199","Pnrc1","Map2k4","Gadd45a","Map1lc3b"
"200","Actr3","Rps27a","Sub1","Mir142hg"
"201","Hspa5","Cyp4f18","Skap2","Lamp2"
"202","Rps23","Rab8b","Csf3r","Fcgr3"
"203","Rsrc2","Ankrd33b","Cmip","Skap2"
"204","Tspan13","Anxa2","Tarm1","Adam17"
"205","Ccnl1","Rhov","Vsir","Cdk2ap2"
"206","Ptma","Eif4a1","Tpm3-rs7","Lcp1"
"207","Tmcc1","Bcl2l1","Psap","Ppp1r3b"
"208","Camk1d","Pkm","Hspa8","Rlf"
"209","Fam32a","Ncf4","Tgfbi","Hectd1"
