"","SC78_2_factor1","SC78_2_factor2","SC78_2_factor3","SC78_2_factor4","SC78_2_factor5"
"1","Ccrl2","S100a8","Il1b","Malat1","mt-Atp6"
"2","Fth1","S100a9","S100a9","Srgn","mt-Co1"
"3","Nfkbia","Retnlg","S100a8","Cd44","mt-Cytb"
"4","Cxcl2","G0s2","Malat1","Cebpb","mt-Co2"
"5","S100a9","Actg1","Tmsb4x","Actg1","mt-Co3"
"6","Il1b","Tmsb4x","Fth1","Il1b","mt-Nd4"
"7","Zeb2","Actb","Srgn","Xylt1","mt-Nd2"
"8","Malat1","Srgn","Dusp1","G0s2","mt-Nd1"
"9","Srgn","Fth1","Ftl1","Spag9","mt-Nd5"
"10","Irg1","S100a6","Il1r2","S100a9","Rpl37a"
"11","Cebpb","Cxcl2","Fos","Entpd1","Rps10"
"12","G0s2","Nedd9","Junb","Il1r2","Rps13"
"13","Tmsb4x","Cebpb","Cebpb","Alcam","Rps14"
"14","Nfkb1","Malat1","Zfp36","Tmsb4x","Rps16"
"15","Marcksl1","Il1b","Dennd4a","Dusp1","Eef1a1"
"16","Plek","S100a11","Actb","Actb","Rpl18a"
"17","Junb","Antxr2","Msrb1","Sik3","Rpl23"
"18","Nfkbiz","Plaur","Actg1","Btg1","Rps29"
"19","Irak2","Cd14","Csf3r","Plek","Rps27a"
"20","Gadd45b","Stx11","Kpna4","Eif1","Rpl35a"
"21","Actg1","Cd44","Neat1","Chst11","Rps27"
"22","Dusp1","Entpd1","Mcl1","Atp2b1","Rpl9"
"23","Pim1","Eif1","Ptprc","Cxcl2","Rpl41"
"24","Kdm6b","Slc16a3","Picalm","Cd9","Rpl17"
"25","Il1rn","Sgms2","H3f3a","Hdc","Rps23"
"26","Rnf149","Slc7a11","Rps9","Fth1","Runx1"
"27","Cd14","Ccl6","S100a11","H3f3b","Tmsb4x"
"28","Clec4e","Ftl1","Tpd52","Clec4d","Rpl30"
"29","Mxd1","Lcp1","Litaf","Cd14","Rps12"
"30","Nlrp3","Mxd1","Sorl1","Neat1","Lyz2"
