"","SC78_2_factor1","SC78_2_factor2","SC78_2_factor3","SC78_2_factor4"
"183","Syk","Rpl23","Gpcpd1","Itm2b"
"184","Myl6","Gpr35","Casp4","Dock2"
"185","Arpc5","Tgoln1","Coro1a","Rbms1"
"186","Msra","mt-Co1","Arih2","Myl6"
"187","Serinc3","Pde7b","Tlr2","Glrx"
"188","Rabgef1","Psap","Rab20","Slc11a1"
"189","Cxcl2","Ppt1","Sik3","Zeb2"
"190","Map1lc3b","Tnrc18","Trem3","Ptgs2"
"191","Alcam","Jdp2","Basp1","Pde7b"
"192","Pla2g7","Srsf5","Btbd9","Cdc42"
"193","Cd300lf","Ctsz","Il1f9","Il1rn"
"194","Wfdc21","Il1rap","Coq10b","Rab20"
"195","Fam134b","Cd52","Gmfg","Clec4e"
"196","Fbxl5","Serinc3","Jdp2","Kctd12"
"197","Dock11","Erbb2ip","Igf1r","Rdh12"
"198","Gab2","C5ar1","Ccl6","Alox5ap"
"199","Cd33","Calm2","Rbpj","Pnrc1"
"200","Arpc1b","Arpc2","Cxcr4","Ddx3x"
"201","Gpsm3","Ifitm1","Fbxo11","Vasp"
"202","Gm5150","mt-Atp6","N4bp1","Vps4b"
"203","Pten","mt-Co2","Gpr132","Msra"
"204","Pygl","Lamp2","Dock2","Gda"
"205","Fcgr3","Trem1","Cd53","Kdm6b"
"206","Prr13","Sp100","Pde7b","Dopey2"
"207","Serf2","Dhx40","Gabarap","Mcemp1"
"208","Ier5","Gm43661","Adam17","Snap23"
"209","Myl12b","Arih1","Alox5ap","Rab8b"
"210","Ncf4","Pla2g7","Gpbp1","Fbxo11"
"211","Gpx1","Rps16","Baz2b","Zyx"
"212","Atf3","Pbx1","Zc3h12a","Fmnl1"
"213","Nfkbiz","Txn1","Ppp1r15a","Ier5"
"214","Arhgap26","Cytip","Zfand3","Anxa11"
"215","Itgal","Arid1b","Nr4a3","Sntb2"
"216","Pkm","Etv6","Lpcat2","Cyba"
"217","Ccnd3","Rpl41","mt-Atp6","Tnrc18"
"218","Ankrd33b","mt-Cytb","Cyba","Prdx5"
"219","Baz2b","Ccl3","Ncf4","Hpcal1"
"220","Coq10b","AW011738","Arpc2","2810474O19Rik"
"221","Mrpl33","Gpcpd1","Fgl2","Ptbp3"
"222","Klhl2","Slc7a11","Lcn2","Ier2"
"223","Ppp1r2","Clec4e","Skil","Spi1"
"224","Ddx3x","Arhgap26","Osbpl9","Suco"
"225","Fgd4","Zeb2","Anxa2","Mirt1"
"226","Cyp4f18","Baz2b","Ctsz","Cfap43"
"227","Ankrd44","Gsk3b","Cdc42","Myl12b"
"228","Slc6a6","Slc3a2","Mirt1","Klhl2"
"229","Chst11","Gna13","Mrpl33","Mctp1"
"230","Adam17","Atp6v0d1","Jak2","Ehd1"
"231","Il1rap","Mrpl33","Pla2g7","Cotl1"
"232","Irg1","Arpc1b","mt-Co3","Lgals3"
"233","H2-K1","Oaz1","Neurl3","Cltc"
"234","Ifitm3","Nfe2l2","Rbms1","Trem3"
"235","Adam8","Ppp1r2","Itm2b","Arpc1b"
"236","Zfand5","Rps13","Fam65b","4932438A13Rik"
"237","Gabarap","Hspa5","Cyp4f18","mt-Co1"
"238","Whsc1l1","Rab20","Lrg1","Rac2"
"239","Fgr","Cd300lf","Cap1","Map1lc3b"
"240","Raf1","Dgkd","Por","Tiparp"
"241","Adipor1","Cyba","Ncf2","Gfod1"
"242","Gng5","Itga4","Mmp9","Ube2d3"
"243","Rps27","Tpst2","Tpm4","Cfl1"
"244","Dmxl2","Cdc42","Vmp1","Tgm2"
"245","Sik3","Plaur","Spi1","Selk"
"246","Ube2h","Arg2","Relb","Pla2g7"
"247","Sirpa","Cstb","H2-Q7","Hmgb2"
"248","Itgam","Nlrp3","Msn","Tes"
"249","Pilra","Uvrag","Cfl1","Trps1"
"250","Herc4","Myl6","Jak1","Dgat1"
"251","Ostf1","Gcnt2","Fam134b","Sh2d3c"
"252","Tnrc6b","Gng5","Snx20","Slc22a15"
"253","Pim1","Cap1","Optn","Mbnl2"
"254","Apbb1ip","Cpeb2","Susd6","Mapkapk2"
"255","Lamp2","Stat3","Skap2","Gnai2"
"256","Cd101","Rbks","Arpc3","Sat1"
"257","Sgms2","Zcchc6","Cst3","Klf3"
"258","Vav3","Ptprj","Sdcbp","B2m"
"259","Tspan13","Csf2rb","Suco","Csf2rb"
"260","Cd53","Cox8a","Cd300a","Irak2"
"261","Tra2a","Lsp1","Fbxl5","Dusp5"
"262","Ctsd","Ezr","Itgal","Itgal"
"263","Tspo","Klf6","Osm","Wnk1"
"264","Kras","Bcl2l11","Dennd1b","Gm5483"
"265","March7","Dusp16","Bcl3","Mgst1"
"266","Cst3","Eif4a1","Nab1","Slc25a3"
"267","Dock8","Aff4","Elmo1","H2-K1"
"268","Mcemp1","Cox17","Csrnp1","Capza1"
"269","Ltb","Selk","Myl12b","Slc2a1"
"270","Atp2b1","Csf2ra","Tax1bp1","Jdp2"
"271","Rab7","Mef2d","Sp140","Gm5150"
"272","Ccnl1","Nup98","Rps27","Gmfg"
"273","Rpl37","Celf2","Igsf6","Pglyrp1"
"274","Rpl17","Eea1","Rnf19a","Tlcd2"
"275","Slfn4","Rhoa","Map3k5","Plin2"
"276","Ptp4a1","Kras","Cd300lf","Spp1"
"277","Myo1f","Rhob","1700112E06Rik","Tnfrsf1b"
"278","Psap","Rsrc2","Pglyrp1","Gapdh"
"279","Abtb2","Plekhm2","Prdx5","Rnf11"
"280","St8sia4","Rbm25","March7","Lrrfip1"
"281","Zswim6","Dclre1c","Arhgap26","Arhgdib"
"282","Il1f9","Tmbim6","Stk17b","Pkm"
"283","Rps29","Syk","Fas","Clic1"
"284","Ptpre","Arhgap15","Tank","Serf2"
"285","Slpi","Rpl10","Fos","Lyz2"
"286","Cfl1","Pitpna","Zyx","Eml1"
"287","Atp6v1g1","Sgpl1","Samhd1","Srsf5"
"288","Ptpn12","Sat1","Serinc3","Stk40"
"289","Rpl9","Itgal","Tgm2","Aff4"
"290","Mtus1","Atp6v1a","Tra2a","Csrnp1"
"291","Ankrd11","Zc3hav1","Tgif1","Coq10b"
"292","Pip5k1b","Gnaq","Slc11a1","Cxcr2"
"293","Emb","Sh2d3c","Fem1c","Fgl2"
"294","Tgfbi","Adam17","Syk","Skap2"
"295","Rsrc2","Cd84","Tmbim6","Gtdc1"
"296","Nup98","Atp6v0e","Ntng2","mt-Co3"
"297","Mbnl2","Dazap2","Camk1d","Samhd1"
"298","Anxa11","Polr2a","Anxa11","Fam65b"
"299","Lilr4b","Jak1","Mbnl2","Gnai3"
"300","1700112E06Rik","Ube2b","Chd2","Rap1gap2"
