"","SC78_2_factor1","SC78_2_factor2","SC78_2_factor3","SC78_2_factor4"
"1","S100a9","Malat1","S100a9","S100a9"
"2","S100a8","Srgn","Fth1","S100a8"
"3","Il1b","Cebpb","Cxcl2","G0s2"
"4","Tmsb4x","Il1b","Nfkbia","Actg1"
"5","Malat1","Tmsb4x","Ccrl2","Srgn"
"6","Fth1","Atp2b1","Il1b","Tmsb4x"
"7","Actb","Cd44","Srgn","Malat1"
"8","Ftl1","Il1r2","Irg1","Actb"
"9","Srgn","Ftl1","Zeb2","Cebpb"
"10","Retnlg","Actg1","Malat1","Cd44"
"11","Actg1","Xylt1","S100a8","Cxcl2"
"12","Msrb1","Spag9","G0s2","Il1b"
"13","S100a11","Dusp1","Tmsb4x","Fth1"
"14","Dusp1","Neat1","Cebpb","Entpd1"
"15","Fos","Wnk1","Nfkb1","Antxr2"
"16","H3f3a","H3f3b","Actg1","Cd14"
"17","Il1r2","Fth1","Nfkbiz","Eif1"
"18","Junb","Eif1","Junb","Plaur"
"19","Dennd4a","Plek","Plek","Alcam"
"20","Rps9","Kpna4","Rnf149","Btg1"
"21","Csf3r","Csf1","Actb","Slc16a3"
"22","Cebpb","Alcam","Mxd1","Clec4d"
"23","Zfp36","Junb","Dusp1","Slc7a11"
"24","Picalm","Btg1","Marcksl1","Xylt1"
"25","S100a6","Dennd4a","Clec4e","Dusp1"
"26","Ptprc","Cxcr4","Pim1","Spag9"
"27","Arhgap15","Actb","Cd14","Sgms2"
"28","Mxd1","Cd9","Irak2","S100a11"
"29","Tyrobp","Sik3","Nlrp3","Plek"
"30","Txn1","Hdc","Kdm6b","Nedd9"
