"","SC78_2_factor1","SC78_2_factor2","SC78_2_factor3","SC78_2_factor4","SC78_2_factor5","SC78_2_factor6","SC78_2_factor7","SC78_2_factor8"
"269","Diaph1","Txnl1","Nfkbie","Lilr4b","Cd24a","Hif1a","Ccl6","Dock8"
"270","Pla2g7","Rbpj","Gab2","Pde7b","Slc25a3","Vasp","Ddx3x","Ncf4"
"271","Ier2","Atf4","Ostf1","Rpl9","Gm26740","Srsf5","Rbpj","Vav3"
"272","Kctd12","Hmgb1","Jak1","Slc3a2","Nfkbiz","Ppp1r13b","Kctd12","Mrpl33"
"273","Fmnl1","Ngp","Ccr1","Vps4b","Fcgr3","Csnk1a1","Il1rn","Ankrd11"
"274","Prr13","St8sia4","Gnb1","Atp6v1g1","Pten","Tax1bp1","Rps6ka2","Slpi"
"275","Relb","Atp5a1","Coq10b","Nfe2l2","Cfap43","Ywhaz","Pitpnc1","Lpcat2"
"276","Jak2","Cdc42se2","Jund","Pum2","Rbms1","Itm2b","Cd33","Mtus1"
"277","Mgst1","Tmem59","Cask","Psap","Adipor1","Jdp2","Rnf11","Trpm2"
"278","March7","Junb","Cd24a","Themis2","Egr1","Ptprj","March3","Ankrd33b"
"279","Ctsd","Clec4a2","Bcl3","Slc25a3","Pi16","Irak2","Tyrobp","Kctd12"
"280","Ptbp3","Abracl","Cd53","Mirt1","Clec4e","Ube2d3","Ctsd","Zfand3"
"281","Itgb2","Ctsz","Gna13","Tgfbi","Ube2b","Fus","Capza1","Ier5"
"282","mt-Co1","Cul3","Cyba","Csf2ra","Eno1","Snap23","Clk1","Ctnnb1"
"283","Suco","Ube2s","Ubc","1700112E06Rik","Pilra","Sec24b","Slc9a9","Arid4b"
"284","Rhog","Vsir","Diaph2","Gm2a","Rabgef1","Adam8","Ubc","Igsf6"
"285","Fos","Gls","Rbm39","Cox17","Fbxl5","Klf3","C130026I21Rik","Tpt1"
"286","Lcp2","Pcbp2","Gcnt2","Sell","Kras","Vps4b","Arpc3","Tgfbi"
"287","Adam17","Pnrc1","Map3k5","Tlr4","Sh3glb1","Pias1","Stat3","Anxa1"
"288","Gnai2","Rps15","Lpcat2","Rhoa","Limd2","Nab1","Fam107b","Rbm47"
"289","Csrnp1","Mef2d","Arpc2","Il1rap","Asprv1","Cab39","Trpm2","Rab7"
"290","Hpcal1","Bri3","Cdc42","Ralgapa1","Ly6g","Ago2","Fgd3","Xpo6"
"291","mt-Co2","Lpp","Basp1","Gpr35","Suco","Grb2","Ogt","Iqgap2"
"292","Slc2a6","Rcsd1","Clint1","Cfl1","Kctd12","Map2k3","Gm26756","Mef2a"
"293","Syk","BC005537","Rap1gap2","Hspa5","Adam17","Synj1","Gnaq","Pan3"
"294","Stk17b","Ppp2r5a","Tmem164","Cd24a","Emb","Samhd1","B2m","Atrnl1"
"295","Nfkbie","Zfand6","Fam49b","Npepps","Rnf149","Por","Runx2","Tmem164"
"296","Mirt1","Eef2","Pde7b","Gpsm3","Itgb2","Atp6v0e","Ipcef1","Itgam"
"297","Stfa2l1","Bre","Bri3","Klf6","Slc15a3","Tmbim6","Fgl2","Cd300lb"
"298","Msn","Arfgef1","Card19","Ier2","Slc27a4","Col4a3bp","Cfap43","Hdac4"
"299","Optn","Mtdh","Sf3b1","Tnfrsf1a","Atp6v0e","Sat1","Gnai3","Gsk3b"
"300","Casp4","Wapl","Mbnl2","Eea1","Tkt","Pxn","Lrrfip1","Elmsan1"
