"","SC78_2_factor1","SC78_2_factor2","SC78_2_factor3","SC78_2_factor4","SC78_2_factor5","SC78_2_factor6","SC78_2_factor7","SC78_2_factor8"
"62","Ets2","Tmsb4x","Fgr","Mxd1","Prr13","Baz2b","Sorl1","Ncf2"
"63","Csf3r","Rps24","Slfn2","Slc7a11","Pglyrp1","Trem1","Plaur","Ubb"
"64","Btg2","Btf3","Lcp2","Ccrl2","Cd9","Hectd1","Ralgapa1","Btg1"
"65","Marcks","Rpl28","Clec4d","Fcer1g","Myl6","Egr1","mt-Co2","Iqgap1"
"66","Plaur","Ankrd17","Ccl3","Antxr2","Trem1","Trib1","Fam134b","Lst1"
"67","Ehd1","Cst3","Btg1","Egr1","Cap1","Neat1","March7","Cxcr4"
"68","Litaf","Eif5","Tyrobp","Alcam","Mmp8","S100a6","Igf1r","Lcp1"
"69","Ier3","Ptp4a2","Ptprc","Chst11","Gnai2","Mrpl33","Ell2","Slc7a11"
"70","Ptprc","Ncf1","Cd9","Ndel1","Cyba","Lmnb1","Ptprc","Igf1r"
"71","Rps9","Pafah1b1","Lmnb1","Txn1","Iqgap1","Litaf","Cyth1","Klf6"
"72","Tpd52","Prdx5","Hcar2","Coq10b","Arpc2","Isg15","Basp1","Ipcef1"
"73","Fgr","Ppp1r12a","Cd44","Ifrd1","Antxr2","Fam134b","Picalm","Lyn"
"74","Actr3","Gnaq","Cd14","Wnk1","Btg1","Samsn1","Nfkbiz","Lmnb1"
"75","Txn1","Lrrc8d","Dock10","Ddx3x","Fcer1g","Ier3","Nlrp3","H2-D1"
"76","Chst11","Rpl37","Chst11","Fos","Ifitm2","Snx18","Ccnl1","Prkcb"
"77","Il1r2","Atp6v0b","Dusp16","Cd14","Sgms2","Gab2","Mcl1","Stat3"
"78","Trem1","Serf2","Sgms2","Tnfaip2","Cd14","Plk3","Gcnt2","Jund"
"79","Birc3","Rab2a","Ncf1","Plaur","Lsp1","Nudt4","Sp140","Osbpl9"
"80","Ptafr","Wnk1","Ets2","Rab7","Il1r2","Gcnt2","Ddx6","Ccl6"
"81","C5ar1","Elf1","Csf1","Fgl2","Map1lc3b","C5ar1","Gab2","Fau"
"82","Vasp","B2m","Litaf","Sgms2","Pkm","Btg2","Ets2","Tsc22d3"
"83","Fxyd5","Rps2","Nr4a3","Ankrd33b","Rdh12","Lst1","Mirt1","Ncor1"
"84","Dennd4a","Atp6v1f","Ifitm2","Basp1","Serf2","Inpp5d","Junb","Ifitm2"
"85","Lilrb4a","Itpkb","Rabgef1","Ncf2","Gda","Pfn1","Lilr4b","Trps1"
"86","Fcer1g","Rpl21","H2-K1","Ubb","Arpc1b","Fosl2","Fem1c","Camk1d"
"87","Rab8b","Gng5","Samsn1","Sorl1","Gabarap","Slc7a11","Dusp16","Ddx6"
"88","Tpt1","Dennd4a","Msrb1","Csrnp1","Dusp1","Emilin2","Actb","Xylt1"
"89","Fau","Whsc1l1","Bcl2a1b","Etf1","Stfa2l1","Vmp1","Ptprj","Elmo1"
"90","Ndel1","Dlg1","Ier3","Picalm","Arhgap15","Csf3r","Ctnnb1","Taldo1"
"91","Lcn2","Cyba","Ninj1","Taldo1","Sell","Tpm4","Cyp4f18","Gm42418"
"92","Snx18","Derl1","Casp4","Rabgef1","Gmfg","Fem1c","Cd14","Usp32"
"93","Smox","Kif5b","Ankrd33b","Gab2","Mcl1","Junb","Arg2","Samsn1"
"94","Mapkapk2","H2-D1","Lilrb4a","March7","Irg1","Ets2","Map2k4","Cd44"
"95","Ier5","Rap1b","Sema4d","Ccr1","Glrx","Il1rap","Lyst","Plek"
"96","Slc16a3","Rpl7","Slc7a11","Pnrc1","Lmnb1","Tpd52","Plk3","Ddx5"
"97","Ptgs2","Rps9","Atp2b1","Plk3","Cyp4f18","Smox","Elmo1","Sfxn5"
"98","Ddx5","Hspa8","Ctsz","Emilin2","Fxyd5","Rnf149","Trib1","S100a6"
"99","Ccl6","Shfm1","H3f3b","Irak2","Samsn1","Cdk17","Emilin2","Snap23"
"100","2810474O19Rik","Rpl13a","Ddx5","Osm","Lyn","Map2k4","Ccr1","Fxyd5"
"101","Picalm","Baz1a","Csf3r","Stk17b","Mrgpra2b","Ppp1r3b","Smchd1","Coro1a"
"102","Mir142hg","Ubl3","Cxcr4","B2m","Mctp1","Atp2b1","Rab7","Hmgb2"
"103","Grina","Fam49b","Snap23","Gabarap","Ccr1","Sorl1","Pim1","Sell"
"104","Zfp36","Foxp1","Il1r2","Jund","Junb","H2-D1","Egr1","Arhgap26"
"105","Taldo1","Rbm25","Vasp","Braf","Stk17b","Actr3","Actr3","Gda"
"106","Nadk","Cd52","H2-Q7","Tiparp","Ostf1","March7","Lamp2","Il1rap"
"107","Neat1","Dgkd","2810474O19Rik","Sh2d3c","Gpsm3","Sntb2","Inpp5d","Dock2"
"108","Gm42418","Hnrnpf","Irak3","Suco","Clec4d","Fgl2","Tlr4","Ppp3ca"
"109","Gsap","Calm1","Lcp1","Lcp1","Spi1","Lilrb4a","Rab8b","Mctp2"
"110","Trib1","H3f3a","Fcer1g","Pik3ap1","Slc7a11","Cyth1","Btg2","Itgal"
"111","Lst1","Gdi2","S100a8","Gm43661","Myl12b","Ptbp3","Trps1","Antxr2"
"112","Ddx6","Ifrd1","Lst1","Arg2","Hdc","Arpc3","Tnfrsf1b","Hp"
"113","Il1f9","Sh3kbp1","Adgre5","Pfn1","Timp2","Nedd9","Ncf2","Gadd45a"
"114","Ell2","Usp34","Hspa5","Lilrb4a","Litaf","Lcp1","Csf3r","Syk"
"115","Mrgpra2b","Eef1b2","Gtdc1","Trem1","Cd44","Myo1d","Mctp1","Fgr"
"116","Ankrd33b","Lrrfip2","H3f3a","Cdk2ap2","Actr3","Ier2","Arih2","Lsp1"
"117","Tnfrsf1b","Arpc1b","Btg2","Lsp1","Sh2d3c","H3f3a","Suco","Gm5150"
"118","Emilin2","Fcer1g","Arg2","Sdcbp","Mrpl33","Cap1","Hectd1","Ndel1"
"119","Stx11","Srsf5","Abtb2","Cd53","Plek","Ehd1","Diaph1","Fcer1g"
"120","Pfn1","Clk1","Rab7","Inpp5d","Rpl37","Ptafr","Anxa11","Cd84"
"121","App","Arih1","S100a11","Fam134b","Ddx5","Txn1","Gtdc1","Emilin2"
"122","Rel","Atp5e","C5ar1","Trib1","Pygl","Grina","Notch2","Ptpre"
"123","Ccr1","Chchd2","Kpna4","Clec4e","Ncf2","Tnrc18","Il1rap","Herc4"
"124","Iqgap1","Map1lc3b","Nfe2l2","Ccnl1","Zyx","Gfod1","H3f3b","Gab2"
"125","Rap1b","Cox8a","Tpd52","Cd52","Atp6v1g1","Gabarap","Eif1","Cytip"
"126","Tnfaip3","Ctsd","Bcl2l11","Ctsd","Ifitm3","Fbxo11","Osm","Dock11"
"127","Cd52","Ifitm3","Pnrc1","Alox5ap","Cmip","Gpr35","Etf1","H3f3b"
"128","Tnfaip2","Rps3a1","Sod2","Nudt4","Gng5","Dhrs9","Por","Amica1"
"129","Snap23","Hnrnpk","Cd300a","Kdm6b","Cdc42","Stk17b","Vmp1","Samhd1"
"130","Hp","Arid5b","Actr3","Arih2","Lyst","Igf1r","Lcp1","Abtb2"
"131","Coro1a","Rplp0","Ppp1r15a","Lyn","Tspo","Fau","Trem1","Apbb1ip"
"132","Mcemp1","Zc3hav1","Rab11fip1","Mapkapk2","Cotl1","Zcchc6","1700112E06Rik","Rab8b"
"133","Jund","Sppl3","Zfand3","Ier5","Picalm","Ddx5","Mapkapk2","Adgre5"
"134","Ifrd1","Ubl5","Nadk","Mir142hg","App","Rab7","Cd53","B2m"
"135","Xylt1","Plbd1","Rbpj","Rps27","Alcam","Ell2","Ptafr","Selplg"
"136","Gadd45b","Usp9x","Arhgap15","Fosl2","Ptprc","Kctd12","Gm42418","Cd9"
"137","Baz2b","Atp5h","Zc3h12a","Grina","Cfl1","Adgre5","mt-Cytb","Ccrl2"
"138","Retnlg","Stk24","Mthfs","Ctnnb1","Selk","Tlcd2","Zcchc6","Mmp9"
