"","SC78_9_factor1","SC78_9_factor2","SC78_9_factor3","SC78_9_factor4","SC78_9_factor5","SC78_9_factor6","SC78_9_factor7"
"1","S100a9","Fth1","Nfkbia","Malat1","S100a8","Il1b","Ifitm6"
"2","G0s2","Malat1","Cxcl2","Neat1","S100a9","Tmsb4x","S100a8"
"3","S100a8","Basp1","Ccrl2","Lyst","Wfdc17","Malat1","S100a9"
"4","Cxcl2","Ftl1","Il1b","Arhgap15","Retnlg","Fau","S100a6"
"5","Wfdc17","Hilpda","Fth1","Arhgap26","Ifitm1","Ftl1","Lyz2"
"6","Fth1","Mif","Irg1","Picalm","Wfdc21","Ubb","Retnlg"
"7","Actg1","Cxcl2","S100a9","Ccnd3","Fth1","Fth1","Lcn2"
"8","Cebpb","Pgam1","Malat1","Ptprc","Tmsb4x","Fos","BC100530"
"9","Cd14","Cebpb","Gadd45b","Dock2","BC100530","S100a9","Tmsb4x"
"10","Retnlg","Srgn","Junb","mt-Co1","Malat1","Tpt1","Ngp"
"11","Srgn","S100a9","Pim1","Ssh2","Il1b","Rps27","Stfa3"
"12","Malat1","Gapdh","Nfkbiz","Svil","Srgn","Dusp1","Anxa1"
"13","Actb","Ier3","Cebpb","Pag1","Actb","H3f3b","BC117090"
"14","Ifitm1","Hcar2","Srgn","Akap13","S100a11","Junb","Actb"
"15","Il1b","Bcl2l1","Zfp36","Igf1r","Dusp1","Rps9","Stfa2"
"16","Tmsb4x","Aldoa","Ifrd1","Cers6","Alox5ap","Btg1","Wfdc21"
"17","Slc16a3","H3f3b","Plek","Tmcc1","Stfa2l1","Lst1","Pglyrp1"
"18","Entpd1","Mcl1","Birc3","Dennd4a","Ifitm2","Rps29","Gm5483"
"19","S100a11","S100a8","Ier3","Fbxl5","Rps9","Srgn","Prdx5"
"20","Eif1","Tpi1","Clec4e","Pbx1","Ubb","Rpl18a","mt-Co1"
"21","Antxr2","Ccrl2","Tmsb4x","Gab2","Junb","Ptma","Cd52"
"22","mt-Co1","Tiparp","Cd14","S100a9","Fos","Actb","Mmp8"
"23","Ifitm2","Pkm","Pde4b","Cmip","Gm5483","Msrb1","Cd177"
"24","Trem1","Suco","Tnfaip3","Gda","H3f3a","Klf2","Lgals3"
"25","Wfdc21","Ubb","Mapkapk2","Sorl1","Tspo","Hp","Prok2"
"26","Sgms2","Tra2a","Dusp1","Gpcpd1","Ftl1","Actg1","S100a11"
"27","BC100530","Gab2","G0s2","Herc4","Actg1","Rps27a","Alox5ap"
"28","Mxd1","Fau","Hdc","Lyn","Msrb1","H3f3a","Gapdh"
"29","Btg1","Ero1l","Rnf149","Csf3r","Hp","Cebpb","Ly6g"
"30","Pim1","Ldha","Mxd1","Gm42418","S100a6","Eif1","Arhgdib"
