"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4","SC78_8_factor5","SC78_8_factor6","SC78_8_factor7"
"1","S100a9","Ftl1","Il1b","Nfkbia","Malat1","Retnlg","mt-Atp6"
"2","S100a8","Tmsb4x","Malat1","Ccrl2","Entpd1","S100a8","mt-Co3"
"3","Il1b","Fth1","S100a9","Cxcl2","Antxr2","S100a9","mt-Cytb"
"4","Cxcl2","Il1b","Fos","Fth1","Cd44","S100a6","mt-Co2"
"5","Fth1","Cebpb","S100a8","Irg1","Alcam","Wfdc21","mt-Nd4"
"6","G0s2","Malat1","Dennd4a","Gadd45b","Cxcl2","Lcn2","mt-Co1"
"7","Malat1","Eif1","Zfp36","Il1b","S100a9","Tmsb4x","mt-Nd2"
"8","Cebpb","Srgn","Tmsb4x","Malat1","Xylt1","Gapdh","mt-Nd1"
"9","Tmsb4x","H3f3b","Wfdc17","S100a9","G0s2","Actb","mt-Nd5"
"10","Srgn","Fau","Dusp1","Zeb2","Srgn","S100a11","mt-Nd4l"
"11","Actg1","Tpt1","Junb","Srgn","Sgms2","Fth1","Rps3a1"
"12","Actb","Ubb","Srgn","Nfkbiz","Spag9","Actg1","Rpl19"
"13","Wfdc17","Tyrobp","Picalm","Birc3","Cebpb","Prdx5","Rpl13a"
"14","Ftl1","S100a9","Kpna4","Nfkb1","Chst11","Ccl6","Rps24"
"15","Dusp1","Actg1","Csf3r","Pim1","Slc7a11","G0s2","Rps15a"
"16","Eif1","Ifitm2","Fth1","Marcksl1","Sik3","Rps27a","Eef1a1"
"17","Ifitm2","Lst1","Klf2","Tnfaip3","Smox","Anxa1","Rps6"
"18","Cd14","Fcer1g","Gpcpd1","Cebpb","Actg1","Cd52","Rplp1"
"19","S100a11","H3f3a","Ptprc","G0s2","Ndel1","H3f3a","Rpl13"
"20","H3f3a","H2-D1","Sorl1","Pde4b","Cd14","Tspo","Rpl11"
"21","H3f3b","Dusp1","Tpd52","Clec4e","Il1b","Tyrobp","Rps8"
"22","Mcl1","Junb","Neat1","Irak2","Btbd9","Pfn1","Arhgap15"
"23","Il1r2","Rps27","Actb","Cd14","Neat1","Alox5ap","Rps28"
"24","Rps9","Il1r2","Msrb1","S100a8","Hdc","Pglyrp1","Rpl8"
"25","Msrb1","Msrb1","Il1r2","Tmsb4x","Tpd52","Ftl1","Elmo1"
"26","Junb","Actb","Mxd1","Rnf149","Il1r2","Ifitm2","Runx1"
"27","Tyrobp","Rps9","Btg2","Nlrp3","S100a8","Lgals3","Foxp1"
"28","Slc16a3","Btg1","Ifitm1","Junb","Picalm","Hp","Rps7"
"29","Btg1","Atf3","Gcnt2","Mxd1","Clec4d","Ifitm3","Rps11"
"30","Mxd1","B2m","Ftl1","Kdm6b","Baz2b","Wfdc17","Rps15"
"31","Antxr2","Cst3","Mcl1","Il1rn","Hectd1","Taldo1","Naca"
"32","Entpd1","Rps29","Stk17b","Dusp16","Igf1r","Rac2","Xist"
"33","Irg1","Mcl1","Cxcr2","Ifrd1","Lyn","Arpc1b","Ptma"
"34","Trem1","Isg15","Hdc","Plek","Plek","Arhgdib","Ppia"
"35","Fau","Btg2","Cebpb","Dusp1","Ptprj","Lyz2","Malat1"
"36","Tpd52","S100a11","Ubb","Zfp36","Fth1","Anxa2","Rpl22"
"37","Ifitm1","Ccrl2","Ube2h","Rab8b","Lilrb4a","Txn1","Rpl27a"
"38","Clec4d","Spag9","Marcks","Actb","Cmip","Rps9","Gnas"
"39","Tpt1","Cdk2ap2","Litaf","Ptprj","Mxd1","Itm2b","Rpl38"
"40","Lmnb1","Gabarap","Rnf149","Pik3ap1","Nedd9","Stx11","Lncpint"
"41","S100a6","Pfn1","Lyst","Hdc","Fam134b","Mcemp1","Rpl6"
"42","Btg2","Map1lc3b","Arg2","Dennd4a","Btg1","Coro1a","Rpl7"
"43","Litaf","Ddx5","Btg1","Ftl1","Samsn1","Myl6","Rpl28"
"44","Xylt1","Txn1","Ddx6","Marcks","Slc16a3","Sh3bgrl3","Rpl23"
"45","Hdc","Ifitm1","Lcp1","Ier3","Cyth1","Gnai2","Rps3"
"46","Sgms2","Fxyd5","Skap2","Arg2","Cd9","Fau","Dock2"
"47","Cd44","Gadd45b","Lyn","Mapkapk2","Plaur","Arpc2","Rps19"
"48","H2-D1","Cxcr4","Ssh2","Ehd1","Ctnnb1","Cyba","Dip2b"
"49","Csf3r","Ptgs2","Rps9","Mcl1","Rnf149","Serf2","Rpl34"
"50","Ets2","Plek","Pbx1","Actg1","Actb","Srgn","Rpl18"
"51","Fcer1g","Rps16","Osbpl9","Ifitm2","Irg1","Eif1","Gm42418"
"52","Samsn1","Lmnb1","Svil","Ptafr","Sorl1","Tpt1","Rplp2"
"53","Rnf149","Pnrc1","Socs3","Clec4d","Basp1","Gm5483","Jarid2"
"54","Ddx5","Rpl23","H3f3a","Erbb2ip","App","BC100530","mt-Nd3"
"55","Pim1","Jund","Zfp36l2","Rel","Il1rap","Plaur","Dennd4a"
"56","Cd9","Ets2","S100a11","Ptgs2","Lilr4b","H2-D1","Arih1"
"57","Plek","Rpl18a","Stat3","Slfn2","Gab2","Cfl1","Ankrd44"
"58","Spag9","Rpl41","Lrg1","Spag9","Myo1d","Malat1","Ssh2"
"59","Lrg1","Rpl9","Arhgap26","Eif1","Fam107b","Ubb","Prrc2c"
"60","Fxyd5","Rpl17","Syk","Neat1","Lmnb1","Msrb1","Zbtb20"
"61","Txn1","Litaf","Celf2","Slc7a11","Kpna4","Prr13","Ppp3ca"
"62","Arpc3","Calm2","Fam65b","H2-D1","Pik3ap1","Arpc5","Hsp90aa1"
"63","Hp","Wnk1","Cmip","Btg1","Osbpl9","Rps12","Pan3"
"64","Lcp1","Ppp1r15a","Iqgap1","Sgms2","Litaf","Myl12b","Rpl35a"
"65","Slc7a11","Rpl39","Hp","Lmnb1","Ptprc","Mgst1","Cyth1"
"66","Arg2","H2-K1","Tmcc1","Abtb2","Tiparp","Pkm","Rbm25"
"67","Plaur","Gng5","Actg1","Tnfaip2","Tmsb4x","Cdc42","Zcchc7"
"68","Alox5ap","Pim1","Ifitm2","Ifitm1","Hif1a","Fcer1g","Fli1"
"69","Kpna4","Rps27a","Cd84","Tpd52","Dusp16","Lsp1","Rpl10"
"70","Ndel1","Fgl2","Akap13","H3f3b","Eif1","Ostf1","Ccnd3"
"71","Neat1","Rps10","Fam49b","Lilrb4a","Emilin2","Gng5","Rpl37a"
"72","Smox","Arpc1b","Hmgb2","Litaf","Mcl1","Lrg1","Akap13"
"73","Ubb","Hdc","Phf21a","Wfdc17","Gm42418","Hmgb2","Jun"
"74","Picalm","Tnfaip2","Gab2","Csf3r","Lamp2","Arpc3","Prkcb"
"75","Chst11","Cxcl2","H2-D1","Ptprc","Braf","Mrgpra2b","Ptp4a2"
"76","Ptprc","Ifrd1","Tyrobp","Fcer1g","Map2k4","Clic1","Rps13"
"77","Fos","Kpna4","Gm42418","Tyrobp","Tpm4","Rpl9","Itsn2"
"78","Jund","Serf2","Jund","Ets2","March7","Gmfg","Rel"
"79","Ccr1","Neat1","Lmnb1","Lcp1","Snx18","Cotl1","Zcchc11"
"80","Sik3","Cox8a","Map3k5","Btg2","Dusp1","Cebpb","Rpl39"
"81","Rabgef1","Inpp5d","Plek","Msrb1","Rabgef1","Uba52","Hspa8"
"82","Stk17b","Cd14","Cers6","B2m","Ell2","Ifitm6","Rpl14"
"83","Taldo1","Atp2b1","Tsc22d3","Samsn1","Dock2","Map1lc3b","Rbm39"
"84","Cmip","Trem1","Osm","Casp4","Cd53","Oaz1","Osbpl8"
"85","Dennd4a","G0s2","Arhgap24","H3f3a","Slfn4","Glrx","Diaph2"
"86","Emilin2","Ifitm3","Snap23","Snap23","Pim1","Mrpl33","Rps2"
"87","Grina","Cd52","Polr2a","Hcar2","Ppp1r3b","Gpx1","Rpl36"
"88","Osbpl9","Csf1","Il1rap","Sod2","Atp2b1","Rps29","Sh3kbp1"
"89","Ankrd33b","Rpl10","Igf1r","Fgr","Ddx6","Calm1","Rpl41"
