"","SC78_5_factor1","SC78_5_factor2","SC78_5_factor3","SC78_5_factor4","SC78_5_factor5"
"38","H2-D1","Ubb","Pfn1","Sorl1","Kpna4"
"39","Kdm6b","Spag9","Mgst1","Cxcr2","Smox"
"40","Rnf149","mt-Cytb","Rac2","Ddx6","Cd9"
"41","Mcl1","Xylt1","Cyba","Tyrobp","Litaf"
"42","H2-K1","Rps23","Hp","Gcnt2","Isg15"
"43","Pde4b","Mir142hg","Malat1","Ifitm2","Sik3"
"44","Il1rn","Fgl2","Txn1","Hmgb2","Mcl1"
"45","Spag9","Rpl18","H3f3a","Neat1","H3f3a"
"46","Ifitm2","Cebpb","Ccl6","Ubb","Plek"
"47","Eif1","Rpl17","Atxn10","Gpcpd1","Samsn1"
"48","Nlrp3","Rpl35a","Tyrobp","Klf2","Csf3r"
"49","Isg15","Rpl37a","Anxa2","Ifitm1","Ifitm2"
"50","Pik3ap1","Rpl21","Glrx","Hp","Emilin2"
"51","Rab8b","Cdk2ap2","Lcp1","Arg2","Tyrobp"
"52","Btg1","Inpp5d","Plaur","Lmnb1","Cmip"
"53","Ifitm1","Dennd4a","Myl6","Fau","Msrb1"
"54","Dusp1","Rps16","Ifitm2","Plek","Slc7a11"
"55","Tnfaip2","Fth1","mt-Cytb","Marcks","Pim1"
"56","Nfkb1","Eif1","Taldo1","H2-D1","Lilrb4a"
"57","H3f3b","Srgn","Itm2b","Gm42418","Ndel1"
"58","Clec4d","Gadd45b","Ifitm3","Skap2","Trem1"
"59","Erbb2ip","Rpl13a","Arhgap15","Iqgap1","Neat1"
"60","Marcks","Rpl30","Vasp","Cmip","Rps9"
"61","Lmnb1","Runx1","Pkm","Osbpl9","Ptprc"
"62","Ets2","Tyrobp","R3hdm4","Txn1","Fxyd5"
"63","Slfn2","Ankrd12","Rplp0","Grina","Sorl1"
"64","2810474O19Rik","Egr1","Gpx1","Jund","Pik3ap1"
"65","Msrb1","Neat1","Asprv1","Ube2h","Ets2"
"66","Fcer1g","B2m","Shfm1","Fcer1g","Picalm"
"67","Csf3r","Cst3","Rps9","Eif1","Junb"
"68","Dusp16","Fcer1g","Serf2","Ddx5","Plaur"
"69","Arg2","mt-Co2","Arpc5","Lyn","Arg2"
"70","H3f3a","Junb","Msra","Entpd1","H2-D1"
"71","S100a8","Mbnl2","Mrgpra2b","Fam65b","Lcp1"
"72","Btg2","Rpl34","Gnai2","Lyst","Tpt1"
"73","Tyrobp","Ifitm2","Ly6g","Fam49b","Grina"
"74","Malt1","Cd44","Nedd9","Zfp36l2","Ptprj"
"75","Ptprj","1700112E06Rik","Arpc1b","Gda","Slfn4"
"76","Dennd4a","H2-D1","Arpc2","Arhgap26","Gm42418"
"77","Ptprc","Eif5","Sh3bgrl3","March7","Ctnnb1"
"78","Il1r2","Tra2a","Ftl1","Ssh2","Ddx5"
"79","Lilrb4a","Btg1","Srgn","Ncf2","Hif1a"
"80","Tnfrsf1b","Rps15","Cotl1","Svil","Ddx6"
"81","Lcp1","Rabac1","App","Phf21a","Btbd9"
"82","Litaf","Calm2","Cdc42","Alox5ap","Fau"
"83","Casp4","Fam134b","Actr3","Pim1","Nedd9"
"84","Tpd52","Dusp1","Ostf1","H3f3b","Ccr1"
"85","Rps9","Gm10076","Stfa2","Taldo1","Rabgef1"
"86","Hcar2","Rps27a","Gda","Snap23","Cd53"
"87","Samsn1","Rbm39","Hmgb2","Il1rap","Osbpl9"
"88","Sema4d","Gab2","Cfl1","Fxyd5","Baz2b"
"89","Tpt1","mt-Nd4","Fcer1g","Coro1a","Sh2d3c"
"90","Fau","Serf2","Mrpl33","Cers6","Ankrd33b"
"91","S100a11","Actg1","Eif1","Lst1","Lyn"
"92","Ehd1","Gm2a","Msrb1","B2m","Ctsd"
"93","Gm42418","Fnip1","Iqgap1","S100a6","Arpc3"
"94","Ncf1","Il1b","BC117090","Cd44","Lilr4b"
"95","Irf1","Actb","Arpc3","Osm","Igf1r"
"96","Ier5","Rbm3","Tkt","Stat3","App"
"97","Wfdc17","AF251705","Cd14","Steap4","Fcer1g"
"98","Rsad2","Sik3","Aldoa","Ndel1","Sdcbp"
"99","Txn1","Cox4i1","Mxd1","Akap13","Rab7"
"100","Snap23","Ubc","Stfa2l1","Lsp1","Ncf2"
"101","Ifitm3","Gm42418","Gmfg","Tmcc1","S100a6"
"102","Trem1","Rps28","Actn1","Anxa1","Ifitm1"
"103","Slc7a11","Alcam","Fbxl5","Trem1","Txn1"
"104","Sgms2","Dock2","Myl12b","Emilin2","Sp140"
"105","Lst1","Plek","H2-D1","Anxa2","Gab2"
"106","Pnrc1","Rps9","Gpi1","Antxr2","Lamp2"
"107","Chst11","H2-K1","mt-Nd4","Zyx","Btg2"
"108","Neat1","Ptprc","Psap","Pag1","Lyst"
"109","C5ar1","Rpl26","Pygl","Xylt1","Braf"
"110","Smox","Pfn1","Dstn","Pla2g7","March7"
"111","Rel","D8Ertd738e","Lsp1","Celf2","Suco"
"112","Ddx5","Rpl11","Uba52","Tspo","Cyth1"
"113","Nr4a1","mt-Co1","Cnn2","Usp32","Fosl2"
"114","H2-Q7","Laptm5","Hpcal1","Map3k5","mt-Co1"
"115","Ankrd33b","Fus","Gm42418","Igf1r","Il1rap"
"116","Cd44","Hspa5","Clic1","Gm5150","Dennd4a"
"117","Gsap","Pnrc1","Fau","Irg1","Actr3"
"118","Cd9","Msn","Grina","Lilrb4a","Tpm4"
"119","Kpna4","Ddit3","Cxcl2","Selplg","Por"
"120","Ppp1r15a","Arih1","Rpl37","Arhgap15","Etf1"
"121","Antxr2","Cd300a","Spi1","Nup98","Gcnt2"
"122","Lcp2","Ddx5","Rps24","Coq10b","Fem1c"
"123","Traf3","Rps26","Timp2","Chst11","Fam134b"
"124","Picalm","Rps3a1","Lrg1","Cytip","Hectd1"
"125","Slfn4","Rpl28","Ncf4","G0s2","Jdp2"
"126","Abtb2","Ccrl2","Lbr","Nfkbiz","Trib1"
"127","Pfn1","Ppp1r15a","Rps29","Ccr1","Atp2b1"
"128","Grina","Tnfaip2","Cap1","Cd84","Iqgap1"
"129","Adam17","Ifrd1","Adam8","Suco","B2m"
"130","Rabgef1","Fxyd5","Myh9","Gadd45a","Mbnl2"
"131","Cd52","Ddx3x","Atp6v1g1","Tpt1","Pnrc1"
"132","Vasp","Rps25","Glipr2","Fbxl5","Vps4b"
"133","Nfe2l2","Elmsan1","Mctp1","Ier5","Mir142hg"
"134","N4bp1","Hsp90aa1","Tpt1","Socs3","Ccnl1"
"135","Lyn","Hnrnpf","Fam65b","Sat1","Sp100"
"136","Fgr","Stat3","Calm1","Clec4d","Adam8"
"137","Samhd1","Skap2","Osm","Map1lc3b","2810474O19Rik"
"138","Rap1b","Mcl1","Rps12","Etf1","Ralgapa1"
"139","Hspa5","Gng5","Eno1","Sell","Mrpl33"
"140","Gbp2b","Btg2","Oaz1","App","Pde7b"
"141","Rab7","Klf6","Ubb","Klf6","Cd300lf"
"142","Dusp2","Ptk2b","Gng5","Adgre5","Slc15a3"
"143","Entpd1","Ctsb","Rpl34","Cd52","Gda"
"144","Ccnl1","Hdc","Rpl9","Slc16a3","Pag1"
"145","Jund","Litaf","Itgb2","Pfn1","Stk17b"
"146","Zc3hav1","Rps7","Cd9","Ipcef1","Jund"
"147","Actr3","Per1","Rps10","Sdcbp","Map2k4"
"148","Csrnp1","Pfdn5","Hck","Tspan13","Gabarap"
"149","Ninj1","Dhx40","Ube2d3","Samsn1","Ptafr"
"150","Lrg1","Atp6v0e","Gpsm3","Syk","Cyp4f18"
"151","Bcl2l11","Ranbp2","Zyx","Slfn4","Fnip1"
"152","Ccl3","Igfbp6","Rhoa","Rap1b","Tgoln1"
"153","Gabarap","Rsrp1","Sri","Cd300lf","Snap23"
"154","Snx20","Gabarap","Rdh12","Rab8b","Smchd1"
"155","Ncf4","H3f3a","Cebpb","Rac2","Clec4e"
"156","Plac8","Camk1d","Lyn","Ets2","Ier3"
"157","Fxyd5","Msrb1","Hspa8","Lamp2","Selk"
"158","H2-T23","Pum2","Ptprc","Rps27a","Mctp1"
"159","Rbpj","Hspa8","Pgd","Pbx1","Hp"
"160","Ubb","Eef1a1","Fpr2","Atg3","Stx11"
"161","Ctsz","Tiparp","Cers6","Gab2","Dusp5"
"162","Lpcat2","Itga4","Kdm7a","Cdc42","Plk3"
"163","Emilin2","Morf4l1","Slc16a3","Zfand5","Coro1a"
"164","Sod2","Rpl24","Chil1","Mctp2","Notch2"
"165","Ccr1","Btbd9","Pnkp","Arih1","Kdm6b"
"166","Ddx3x","Ctsz","Pten","Tbc1d15","Diaph1"
"167","Cd300lf","Kdm6b","1110008F13Rik","Samhd1","Ell2"
"168","Trim30a","Sntb2","Eef1a1","Tgfbi","Tlr4"
"169","Fndc3b","Cox8a","Mbd2","Cd9","Ubb"
"170","Fgl2","Hnrnpc","Rpl37a","Sh2d3c","Arpc2"
"171","Slc15a3","Calm1","Cox4i1","Arhgap24","Marcks"
"172","Atp2b1","March7","Snx18","Pglyrp1","Rtp4"
"173","Prdx5","Arpc1b","Rab8b","Ccnd3","Ddx3x"
"174","Sorl1","Map1lc3b","Cxcr2","Ccrl2","Agpat9"
"175","Tmbim6","Cd52","Actr2","Pde4b","Alox5ap"
"176","Cmip","Gls","Cyp4f18","Fgr","Pfn1"
"177","Cyba","Elmo1","Lilrb4a","Hcar2","Map1lc3b"
"178","Msn","Dusp5","Mcl1","Atp6v1g1","Csf2rb"
"179","Susd6","Ankhd1","Lyst","Actr3","Pla2g7"
"180","Iqgap1","Fam49b","Il1f9","Dock2","Sell"
"181","Cdk2ap2","Hectd1","Itgam","Kdm7a","Basp1"
"182","Cst3","Cmip","Flna","Ccnl1","Sepn1"
"183","Relb","Rps11","Tmcc1","Sfxn5","Taldo1"
"184","Sp100","Polr2a","Rps16","Braf","Snx18"
"185","Fas","Rps15a","Capza1","Clk1","Lsp1"
"186","Igsf6","Tceb2","Rap1b","Csrnp1","Sat1"
"187","Parp14","Csf3r","Fpr1","Spi1","Hmgb2"
"188","Steap4","Uba52","Vsir","Bcl6","Plin2"
"189","Dock2","Eif5a","Hacd4","Adipor1","Kctd12"
"190","Sik3","mt-Nd2","Hcst","Gnai2","Lrg1"
"191","Rps27","Sorl1","Gnb2","Tra2a","Samhd1"
"192","Gbp2","Zfp36","Stk17b","Trps1","mt-Co2"
"193","Hck","Celf2","Dhrs7","Mapkapk2","Zcchc6"
"194","Icam1","Cd53","Lrrk2","Ctsd","Cd52"
"195","Ctsb","Pip4k2a","Picalm","mt-Co1","Arih2"
"196","Adgre5","Ago2","Sgms2","Notch2","Ier5"
"197","Fbxl5","Ier2","Rpl35a","Fgl2","Rbms1"
"198","Rab11fip1","Ccnl1","Cd33","Mrpl33","Zeb2"
"199","Rac2","Lncpint","Lrrfip1","Ankrd33b","H2-K1"
"200","Csf1","Ptbp3","Gabarap","Arpc3","mt-Co3"
