"","SC78_2_factor1","SC78_2_factor2","SC78_2_factor3","SC78_2_factor4","SC78_2_factor5","SC78_2_factor6","SC78_2_factor7"
"191","Csf2rb","Srsf5","Hpcal1","Ap2b1","Gadd45b","Lsp1","Nfkbiz"
"192","Lamp2","Cap1","Zcchc6","Vps4b","Uvrag","Susd6","Pygl"
"193","Laptm5","Rps29","Cdk17","Iqgap1","Crlf2","Taldo1","Arpc2"
"194","Cotl1","Skap2","Serf2","Ddx5","Diaph2","Ccnl1","Pip5k1b"
"195","Cyba","Zfp36l2","Agpat9","Fam65b","Ppp1cb","Ppp1r15a","Pilra"
"196","Notch2","Marcks","Gmfg","Rap1b","Rpl13a","Jdp2","Sdcbp"
"197","Cst3","Arpc3","Spi1","Snap23","Cnbp","Rab20","Cd101"
"198","Arpc5","Iqgap1","Plk3","Csf2rb","Arih1","Ccr1","Ppp1r2"
"199","Fmnl1","Gla","Dennd4a","Kansl1l","Ssu72","Gpcpd1","Ptpn12"
"200","Dock2","Zyx","Rbms1","Skap2","Smad4","Lcn2","Ccrl2"
