"","SC78_2_factor1","SC78_2_factor2","SC78_2_factor3","SC78_2_factor4","SC78_2_factor5","SC78_2_factor6","SC78_2_factor7"
"1","Actg1","Il1b","S100a8","mt-Co1","Rpl37a","Nfkbia","S100a9"
"2","Srgn","S100a9","S100a9","mt-Co3","mt-Co1","Ccrl2","Il1b"
"3","S100a9","Cebpb","Retnlg","mt-Co2","mt-Atp6","Fth1","S100a8"
"4","Cd44","Tmsb4x","G0s2","mt-Cytb","Rps10","Cxcl2","Tmsb4x"
"5","Malat1","Malat1","Tmsb4x","mt-Atp6","Rps16","Zeb2","Malat1"
"6","Tmsb4x","Srgn","Actg1","mt-Nd4","Rps14","S100a9","Actb"
"7","Actb","Fth1","Fth1","Malat1","mt-Co3","Nfkb1","Ssh2"
"8","G0s2","Dusp1","Actb","Xylt1","Rpl23","Irg1","Fos"
"9","Cebpb","Actg1","S100a6","Antxr2","Rps13","Il1b","Fth1"
"10","Cd14","Ftl1","Cxcl2","Entpd1","Eef1a1","Marcksl1","Srgn"
"11","Entpd1","Il1r2","Srgn","Cd44","Rpl35a","Srgn","Ftl1"
"12","Il1b","Cxcl2","Nedd9","mt-Nd2","mt-Co2","Malat1","Zfp36"
"13","Alcam","G0s2","Stx11","Neat1","Rps29","Nfkbiz","Msrb1"
"14","Eif1","Actb","S100a11","Sik3","Rpl18a","Tmsb4x","Dusp1"
"15","Btg1","Junb","Il1b","Spag9","Rplp1","G0s2","Picalm"
"16","Xylt1","Msrb1","Cebpb","Srgn","Rpl9","Cebpb","Csf3r"
"17","Tyrobp","Eif1","Antxr2","Alcam","Rps27","Gadd45b","Dennd4a"
"18","Plek","Spag9","Malat1","Chst11","Rps27a","Il1rn","Junb"
"19","Dusp1","Cd44","Ccl6","Slc7a11","Rpl41","Clec4e","Ptprc"
"20","Hdc","Plek","Plaur","Il1r2","Rpl27a","Irak2","S100a11"
"21","H3f3b","Atp2b1","Slc16a3","Cxcl2","Rpl30","S100a8","H3f3a"
"22","Mir142hg","H3f3b","Lyz2","Il1b","Rpl10","Junb","Il1r2"
"23","Cd9","Ptgs2","Eif1","mt-Nd1","Rplp2","Kdm6b","Stk17b"
"24","Fth1","Btg1","Sgms2","Cebpb","Rpl34","Nlrp3","Actg1"
"25","S100a8","Mcl1","Ftl1","Cmip","Rpl17","Pde4b","Fam65b"
"26","Ifitm2","Ets2","H3f3a","Dennd4a","Rps23","Cd14","Klf2"
"27","Il1r2","Xylt1","Cd14","Clec4d","Rpl8","Tnfaip3","Cxcr2"
"28","Ftl1","Kpna4","Slc7a11","S100a9","Tpt1","Pim1","Mxd1"
"29","Spag9","S100a8","Entpd1","Hdc","Oaz1","Plek","Fam49b"
"30","S100a11","Lmnb1","Irg1","Sgms2","Rpl39","Mxd1","Pbx1"
"31","Plaur","Litaf","Cd44","Btbd9","Rps12","Rnf149","Rps9"
"32","Chst11","Dennd4a","Lcp1","Atp2b1","mt-Cytb","Actg1","Sorl1"
"33","Clec4d","Clec4d","Tyrobp","G0s2","Rps21","Actb","Gpcpd1"
"34","Msrb1","Csf3r","Clec4d","Kpna4","Cst3","Dusp1","Txn1"
"35","Antxr2","Tyrobp","Msrb1","Ankrd33b","Tmsb4x","Birc3","Lyst"
"36","Cxcl2","Cd9","Mxd1","Irg1","Rpl38","Ptprj","Tyrobp"
"37","Mxd1","Neat1","Btg1","Pik3ap1","Uba52","Dusp16","Neat1"
"38","Fxyd5","Hdc","Lcn2","Samsn1","Rps25","Hdc","Kpna4"
"39","Btbd9","Ccrl2","Cd9","Rnf149","Fau","Marcks","Akap13"
"40","Isg15","Entpd1","Dusp1","Plek","Lyz2","Pik3ap1","Btg2"
"41","Slc16a3","Rps9","H3f3b","Dock2","Gm10076","Ehd1","Hdc"
"42","Ndel1","Zfp36","Il1r2","Lyn","Ftl1","Rab8b","Ubb"
"43","Sik3","Tpt1","Plek","Zeb2","Runx1","Sgms2","Tmcc1"
"44","Cmip","Cxcr4","Samsn1","Igf1r","Ptp4a2","Eif1","Mcl1"
"45","Tpt1","S100a11","Rps9","Baz2b","Serf2","Dusp2","Retnlg"
"46","Lyn","Fau","Msra","Fam134b","Rps8","Ptafr","Arhgap15"
"47","Lmnb1","Rnf149","Txn1","Lilrb4a","Rpl21","Fgr","Cebpb"
"48","Pim1","Ptprc","Adam8","Rabgef1","Btf3","Clec4d","Tpd52"
"49","Fcer1g","Vps37b","Alcam","Btg1","Pfn1","Ftl1","Skap2"
"50","Litaf","Pim1","Cyp4f18","Pde7b","Ubb","Ifitm2","S100a6"
"51","Cd53","Btg2","Arpc3","Braf","Cyba","Btg1","Celf2"
"52","Ptprc","Irg1","Spag9","Arhgap15","Prdx5","Ifrd1","Iqgap1"
"53","Junb","Tpd52","Mcemp1","Lmnb1","Cd52","Rel","Zfp36l2"
"54","Btg2","Sik3","Trem1","Cd9","Arpc1b","H2-D1","Lst1"
"55","Picalm","H3f3a","H2-D1","Actg1","Gng5","Mcl1","Pag1"
"56","Ncf2","Fxyd5","Grina","Ndel1","Shfm1","Erbb2ip","Litaf"
"57","Trem1","Samsn1","Wfdc21","Tiparp","H3f3b","Mapkapk2","Svil"
"58","Samsn1","Lst1","Hdc","Sorl1","Cox8a","Spag9","Cers6"
"59","Ccr1","H2-D1","Lmnb1","Smox","Atp6v0b","Zfp36","Phf21a"
"60","Ets2","Ddx5","Mgst1","Gab2","Eif5","Ptgs2","Fau"
"61","Csf3r","Ankrd33b","Rdh12","Mxd1","Ybx1","Lcp1","Ncf2"
"62","Egr1","Slc16a3","Xylt1","Ptprc","Eif1","Tyrobp","H2-D1"
"63","Lst1","Chst11","Lyn","Litaf","Myl6","Dennd4a","Lcp1"
"64","Diaph1","Mxd1","Coro1a","Osbpl9","Ccnd3","Ets2","Taldo1"
"65","Ctnnb1","Ifrd1","App","Mirt1","Cox4i1","Tnfaip2","Marcks"
"66","Slc7a11","Alcam","Cmip","Tpd52","Ubl5","Lmnb1","Gcnt2"
"67","S100a6","Ifitm2","Taldo1","Ccnl1","Eef1b2","Arg2","Arg2"
"68","Fam107b","Slc7a11","Gm5483","Dusp1","Ubl3","Slc7a11","Btg1"
"69","Sgms2","Rabgef1","Ndel1","Nedd9","Atp5e","H3f3a","Cmip"
"70","H2-D1","Gm43661","Litaf","Slc16a3","Bri3","Cd44","Map3k5"
"71","Tgm2","Rab7","Arhgap15","Ralgapa1","Rpl37","Ier3","Rnf149"
"72","Gm26740","Wnk1","Actr3","March7","Rps3","Cd9","Entpd1"
"73","Trib1","Basp1","Osbpl9","Ptgs2","Rpl36","Csf3r","Coro1a"
"74","Tpd52","Gab2","Tpd52","Cyth1","mt-Nd4","Samsn1","Ccl6"
"75","Neat1","Tnfaip2","Mcl1","Inpp5d","Arpc2","Tnfrsf1b","Ifitm2"
"76","Mrpl33","Antxr2","Mmp9","Picalm","Malat1","Ptprc","Klf6"
"77","Plk3","Sorl1","Junb","Elmo1","Fth1","Btg2","Hp"
"78","C5ar1","Fcer1g","Ccr1","Fem1c","Rpl24","Msrb1","Tsc22d3"
"79","Rnf149","Egr1","Fau","Basp1","Atp5h","S100a11","Ncor1"
"80","Pfn1","Etf1","Gda","Sp140","Mdh2","Malt1","Jund"
"81","H3f3a","Ndel1","Tpt1","Ctnnb1","Plbd1","Vasp","Lyn"
"82","Gcnt2","Fos","Fxyd5","Lilr4b","Rbm25","Litaf","Lmnb1"
"83","Ier3","Sgms2","Gapdh","Mcl1","Rac2","H3f3b","Ipcef1"
"84","Arpc2","Picalm","Iqgap1","App","Rpl18","Nr4a1","Hmgb2"
"85","Tlr4","Coq10b","Lilrb4a","Rab7","Sh3bgrl3","Cd274","Igf1r"
"86","Baz2b","Ddx3x","Rnf149","Hectd1","Calm1","Chst11","Prkcb"
"87","Emilin2","Fgl2","Baz2b","Nfkbiz","Rps9","Entpd1","Sell"
"88","Atp2b1","Emilin2","Arg2","Ell2","Kif5b","Neat1","Cxcr4"
"89","Tpm4","Pik3ap1","Mctp1","Junb","Fcer1g","Icam1","Slc7a11"
"90","Fam134b","March7","Anxa2","Dusp16","Gabarap","2810474O19Rik","Gm42418"
"91","Hectd1","B2m","Arpc2","Fth1","Map1lc3b","B2m","Ddx5"
"92","Lcp1","Sh2d3c","Lgals3","Plaur","Rbm39","Ninj1","Osbpl9"
"93","Fosl2","Csrnp1","Ncf2","Runx1","Rpl28","C5ar1","Samhd1"
"94","Gab2","Irak2","Picalm","Smchd1","Clint1","Bcl2a1b","Stat3"
"95","Sorl1","Ncf2","Ets2","Lyst","Chchd2","Ncf1","Lsp1"
"96","Snx18","Braf","Tpm4","Ptprj","Gpx1","Slfn2","Snap23"
"97","Arpc3","Txn1","Notch2","Gm42418","Hnrnpf","Lilrb4a","Fxyd5"
"98","March7","Hcar2","Chst11","Suco","Tyrobp","Nadk","Camk1d"
"99","Txn1","Ubb","Prdx5","Nlrp3","Itpkb","Actr3","Mmp9"
"100","Nudt4","Tiparp","Ifitm2","Tnfrsf1b","Gsn","S100a6","Ppp3ca"
"101","Inpp5d","Plaur","Pim1","Fndc3b","Wnk1","Ddx5","Fcer1g"
"102","Grina","Pnrc1","Osm","S100a8","Actb","Hcar2","Ddx6"
"103","Mcl1","Ccr1","Hp","Trib1","Coro1a","Tpd52","Samsn1"
"104","Fgl2","Suco","Anxa1","Mbnl2","Ncf1","Antxr2","Sfxn5"
"105","Lilrb4a","Plk3","Glrx","Gcnt2","Rps24","Ier5","Usp32"
"106","Fau","Stk17b","Ptprc","Ddx6","Rpl26","Ccl3","Plek"
"107","Ddx5","Lilrb4a","Fcer1g","Pim1","Hspa8","Hspa5","Rac2"
"108","Actr3","Fam134b","Mrgpra2b","Trps1","H2afj","Gsap","Gda"
"109","Runx1","Inpp5d","Cap1","Rab8b","Sub1","Snap23","Elmo1"
"110","Fem1c","Jund","Lyst","Map2k4","BC005537","Lcp2","Amica1"
"111","Nedd9","Ccnl1","Cd52","Gtdc1","Rhoa","H2-K1","Cyba"
"112","Ier2","Taldo1","Arpc5","Emilin2","Fam49b","Fcer1g","Trps1"
"113","Rps9","Atf3","Pfn1","Actr3","Abracl","Ankrd33b","Eif1"
"114","Vmp1","Osm","Ddx6","Diaph1","Lims1","Il1r2","Itgal"
"115","Stk17b","Lcp1","Sell","Arg2","Ifrd1","Trem1","Mctp2"
"116","Il1rap","Arg2","Emilin2","Wnk1","B2m","Abtb2","Cd44"
"117","Irg1","Cd14","mt-Co1","mt-Nd5","Atp6v1f","Lst1","Gadd45a"
"118","Smox","Kdm6b","Smox","Ccr1","Ifitm3","Adgre5","Grina"
"119","Ptafr","Gabarap","Trib1","Cd53","Atox1","Rab11fip1","Fgr"
"120","Taldo1","Trem1","Itm2b","1700112E06Rik","Cd63","Sod2","Xylt1"
"121","Map2k4","Sdcbp","Csf3r","Actb","Arhgdib","Irak3","H3f3b"
"122","Ppp1r3b","Mapkapk2","Mrpl33","Ncf2","Derl1","Traf3","Alox5ap"
"123","Il1rn","Cd53","Por","Mapkapk2","Stag1","Rps9","Spi1"
"124","Cap1","Lyn","Lilr4b","Il1rap","Calm2","Fxyd5","Cytip"
"125","Ehd1","Cmip","Pkm","Arih2","Msn","Snx18","Cdc42"
"126","Sntb2","Fnip1","Fam107b","Egr1","Gnas","Rabgef1","Herc4"
"127","Gabarap","Mbnl2","Prr13","Cd14","Arpc4","Gm42418","Gm5150"
"128","B2m","Clec4e","Btg2","Ets2","Rabac1","Casp4","Selplg"
"129","Sdcbp","Arih2","Sik3","Etf1","Ostf1","Sema4d","Cap1"
"130","Rab7","Ctnnb1","Ddx5","Fbxo11","Prrc2c","Nfe2l2","Pglyrp1"
"131","Itgal","Ccl3","Snx18","Cdk17","Arpc5","Nedd9","B2m"
"132","Ell2","Atp6v0d1","Hmgb2","Plk3","Cd24a","Txn1","Arhgap26"
"133","Myo1d","Ctsd","Alox5ap","Vmp1","Atp5l","Picalm","Rab8b"
"134","Kdm6b","Igf1r","Hif1a","Csf3r","Cox7a2","N4bp1","Pfn1"
"135","Dusp16","Lsp1","Ralgapa1","Tlr4","Dlg1","Mir142hg","Ptpre"
"136","Kpna4","Trib1","Rac2","Map3k5","Baz1a","Hck","Dock11"
"137","Cdk17","Gadd45b","Nfkbiz","Lamp2","H2-D1","Rap1b","Dock2"
"138","Cyth1","Tgoln1","Btbd9","Irak2","Laptm5","Ifitm1","Myo1f"
"139","Adgre5","Ptafr","Stk17b","Camk1d","Cd47","Mrgpra2b","Emilin2"
"140","Dennd4a","Ppp1r15a","Sp140","Abtb2","Arid5b","Zc3h12a","Apbb1ip"
"141","Ptbp3","Cdk2ap2","Ptprj","Arhgap26","Tgfb1","Plaur","Zyx"
"142","Arih2","Anxa11","Lsp1","Cd300lf","Gm42418","Ell2","Rps27a"
"143","Arg2","Ddit3","Pglyrp1","Mir142hg","Mtdh","Fau","Cd84"
"144","Cyp4f18","Nudt4","Mmp8","Btg2","Rbm3","Tpt1","Fgd4"
"145","Ddx3x","Ier5","Sorl1","Por","Glud1","Ddx3x","Zfand5"
"146","Myl6","Pfn1","Rabgef1","Myo1d","Usp34","Gpr132","Cd9"
"147","Kctd12","Fosl2","Map2k4","Tnrc6b","Gngt2","Pfn1","Gmfg"
"148","Dusp5","Tnfrsf1b","Klra2","H3f3b","Tmem59","Tlr2","Syk"
"149","Dhrs9","Snap23","Diaph1","Cyp4f18","Ube2k","Pnrc1","Antxr2"
"150","Tnrc18","Osbpl9","Myh9","Zcchc6","Pitpna","Pbx1","Cd52"
"151","Gpr35","Pla2g7","Zyx","Ptk2b","Pcbp2","Slc15a3","Ndel1"
"152","Zcchc6","Dusp5","Sdcbp","Notch2","Marcksl1","Bcl2l11","Pla2g7"
"153","Gm42418","Alox5ap","Arhgdib","Ago2","Pnrc1","Emilin2","Sat1"
"154","Cd52","Mir142hg","Ankrd33b","Kdm6b","Pabpc1","Smox","Atg3"
"155","Ccnl1","Nlrp3","Gabarap","Ptafr","Gnai2","Trem3","Mctp1"
"156","Fbxo11","Grina","Myl6","Itpkb","Sec11c","Sorl1","Klhl2"
"157","Nfkbiz","Cd52","Cyth1","Fosl2","Mycbp2","H2-Q7","Ccnd3"
"158","Igf1r","Gcnt2","Rps27a","Jdp2","Tpm3-rs7","Iqgap1","Trem1"
"159","Tlcd2","Ctsb","Igf1r","Fnip1","Hmgb2","Jak2","Raf1"
"160","Basp1","Btbd9","Neat1","Ifrd1","H3f3a","Ddx6","Il1rap"
"161","Cd300lf","Cst3","Anxa11","Mctp1","Bcl2a1b","Rbpj","Lrg1"
"162","Sp140","Isg15","Gcnt2","Chd2","Atp6v0e","Relb","Itm2b"
"163","Cfl1","Fem1c","Vasp","Prkcb","Rps2","Skil","Cd33"
"164","Pbx1","Serinc3","Sh2d3c","Nup98","Vti1a","Trib1","Adgre5"
"165","Trem3","Tra2a","Ell2","Pdlim5","Itch","Zfand3","Rap1b"
"166","2810474O19Rik","Gm42418","Pik3ap1","Gfod1","Card19","Kpna4","Fcgr3"
"167","Wnk1","Csf1","Fbxl5","Atp6v0d1","Cul1","Cd52","Anxa2"
"168","Rap1b","Rps27","4932438A13Rik","Vps37b","Pafah1b1","Lyn","Fam134b"
"169","Jund","Tgm2","Mir142hg","Eif1","Npc2","Il1f9","Ltb"
"170","Gfod1","Ubc","Cyba","Sntb2","Rplp0","Arhgap15","Prdx5"
"171","Slc11a1","Sp140","Gnai2","Slc15a3","Dgkd","Nr4a3","Abtb2"
"172","Etf1","Pbx1","Ppp1r3b","Trem1","Ctsz","Gpbp1","Gab2"
"173","Iqgap1","Coro1a","Cd53","Anxa11","Hilpda","Rac2","Anxa1"
"174","Marcks","Adgre5","Dopey2","Fxyd5","Slc38a1","Fbxo11","Pten"
"175","Slc15a3","Il1rn","Ctsd","Tnrc18","Dynll1","Gtdc1","Cd300lf"
"176","Cdk2ap2","Per1","Jund","Ptbp3","Smarca5","Ctsz","Arhgdib"
"177","Rps27","Ptk2b","Rab8b","Pafah1b1","Itgam","Ndel1","Lilrb4a"
"178","Coro1a","Ptprj","Cd300lf","Lcp1","Rpl7","Atp2b1","Whsc1l1"
"179","Tes","Sat1","Dhrs9","Rbms1","Gm10073","Lpcat2","Slfn4"
"180","Klra2","Rap1b","Myl12b","Il15","Cstb","Bcl3","Tnrc6b"
"181","Cd80","Celf2","Gm42418","Sdcbp","Fam107b","Cmip","Actr3"
"182","Cdc42","Ifitm1","Ier5","Pbx1","Rps3a1","Tgoln1","H2-K1"
"183","Smchd1","Mrpl33","Cdc42","Rap1gap2","Wapl","Gmfg","Sirpa"
"184","Rab20","Lamp2","Sepn1","Eea1","H2afz","Trps1","Osm"
"185","Tnfaip2","Gpcpd1","C5ar1","Stk17b","Thoc2","Ctnnb1","Cd300a"
"186","H2-K1","S100a6","Map1lc3b","Adam8","Actr2","Jund","Plaur"
"187","Ctsd","Lyst","Ier3","H2-D1","Pak2","Lilr4b","Xpr1"
"188","Lsp1","Arhgap15","Cers6","Aff4","Ankhd1","Rab7","Fbxl5"
"189","Spi1","Ier3","mt-Co3","Zfand3","Tceb2","Grina","Ube2h"
"190","Pnrc1","Ddx6","Arpc1b","Pag1","Eif4g2","Fosl2","Ankrd44"
