"","SC78_1_r6_f1","SC78_1_r6_f2","SC78_1_r6_f3","SC78_1_r6_f5","SC78_1_r6_f6","SC78_2_r6_f3","SC78_2_r6_f4","SC78_2_r6_f5","SC78_2_r6_f6","SC78_4_r5_f2","SC78_4_r5_f3","SC78_4_r5_f4","SC78_4_r5_f5","SC78_5_r5_f1","SC78_5_r5_f2","SC78_5_r5_f3","SC78_5_r5_f4","SC78_5_r5_f5","SC78_6_r6_f1","SC78_6_r6_f2","SC78_6_r6_f3","SC78_6_r6_f5","SC78_6_r6_f6","SC78_8_r5_f1","SC78_8_r5_f3","SC78_8_r5_f4","SC78_8_r5_f5","SC78_9_r4_f1","SC78_9_r4_f2","SC78_9_r4_f4"
"Xkr4",2.22044604925031e-16,0.547031323907409,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lypla1",1.37391360754371,2.22044604925031e-16,2.22044604925031e-16,0.43104117107175,2.22044604925031e-16,2.22044604925031e-16,1.34490632673266,1.38083863315513,0.617229479550172,1.33964277412552,0.450320762173072,0.563572485104759,0.503398004527253,0.682928408971036,2.36382252464641,1.32504733637274,0.999021678494292,0.219346739316583,2.41839125989741,2.22044604925031e-16,0.175572442419994,2.35297963423903,0.417312606511818,0.390575043980798,1.4693677295659,1.13360034730858,0.269481860315404,0.782850057710881,2.46649150991778,1.81574396502337
"Tcea1",2.22044604925031e-16,0.547178701206608,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.124792195628356,0.387243928312234,5.03227574152631,0.00217019158308591,2.22044604925031e-16,2.38587350518381,2.52559628511548,2.40370012658888,1.62908227146464,1.03007674372537,0.161563689447321,2.22044604925031e-16,2.33838685577996,1.62557507636337,2.22044604925031e-16,2.83310045317451,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.69771372694143,0.481322672466867,1.00568801633655,1.36346153882296,2.23270965453175
"Rgs20",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atp6v1h",3.67855475670413,1.20990204899673,2.0318842062614,2.22044604925031e-16,1.77979908918956,1.76784757414225,8.18769260980427,2.22044604925031e-16,3.87758679703816,6.40961526584929,3.28100543973221,2.14720319866979,0.478430174682119,1.43570616061114,4.89686495590816,0.346366095116682,2.141686955118,6.4610206022599,0.800693582996571,0.812377919734133,4.77226360295923,5.99022610537553,3.84155933408038,4.63474203778211,4.52001270209318,1.1349795552665,2.22044604925031e-16,3.43925844850611,2.05790362077869,6.09025300958068
"Rb1cc1",5.79645250166654,11.5455764366785,10.3398452795866,11.3856754498233,13.2053708922295,8.47381117994827,8.78090268615791,12.5819957743703,9.5890165857785,11.4401342590201,10.0894176176897,13.048226518745,3.40149265079435,6.99756314668584,9.73362150080641,6.40663460484708,12.6991492711179,12.6520307763358,2.83392260825541,6.8787731787009,13.7702998530756,7.35243104170844,7.34522202356862,14.4960284537476,12.1526044495535,9.67589088007673,6.25392858585666,11.9638262245239,4.05512732111813,9.271500507333
"4732440D04Rik",4.03210556064706,1.84675368790652,0.41405330949935,0.101785676161879,3.69637556456141,2.22044604925031e-16,0.289987767996626,2.80535315090059,0.888654335140601,1.61962652809434,2.22044604925031e-16,0.79473280450841,0.848320186896944,0.957505939220517,2.22044604925031e-16,0.829982483296592,2.22044604925031e-16,0.987600577555792,0.437613579741492,0.503219749271035,0.688922469847939,1.55521907869824,0.989001038934234,2.14552097824965,2.22044604925031e-16,1.39957440386945,0.24545231321247,0.744256756116788,0.234104096742056,0.797393225797184
"Pcmtd1",8.79072847465814,13.6481287325214,1.30698848153533,1.51918898676865,4.31547333729898,5.40582376401921,9.65559685703304,4.52510554976645,3.83408334640769,11.7638926644471,4.4493483019302,5.20528147022671,2.20337827223241,2.8867766060918,7.5651637399097,1.33063696492665,5.34515339444553,9.6185802034573,0.430357230373411,4.77291245569044,3.8970844897923,9.5571576862473,4.73999485337951,10.828949052788,6.89605963976044,5.2491773339083,2.22044604925031e-16,2.26571656139003,1.43506157733842,9.14984084543532
"Gm26901",2.22044604925031e-16,0.885424379299026,2.22044604925031e-16,0.570067282706793,2.30142315231595,2.22044604925031e-16,3.12565348610313,2.22044604925031e-16,0.62021783410334,1.64834975636738,2.22044604925031e-16,1.50887291408578,1.07666409797218,0.882946533239391,0.67887973661058,2.22044604925031e-16,2.22044604925031e-16,0.789175633119302,2.22044604925031e-16,1.23405215440599,2.22044604925031e-16,0.666369202121164,0.19400272763647,2.18054041377616,2.22044604925031e-16,1.30382860482658,2.22044604925031e-16,0,0,0
"Sntg1",2.22044604925031e-16,1.55701741396284,2.22044604925031e-16,1.0820306847029,2.22044604925031e-16,2.22044604925031e-16,2.30648526538145e-06,2.22044604925031e-16,0.685238615277024,2.22044604925031e-16,2.22044604925031e-16,0.785753464116855,0.505358367261652,2.22044604925031e-16,0.540006625309621,0.0962042721368695,0.43845070915287,0.104501572147262,0,0,0,0,0,0.250325600007859,0.137222849313923,0.225180837331461,2.22044604925031e-16,0,0,0
