"gene"	"out"	"MP"
"Cd300a"	32.9872228734981	"MP1"
"Pim1"	32.9190738490564	"MP1"
"Klf6"	32.7284320238121	"MP1"
"Alcam"	32.3115287109236	"MP1"
"Calm1"	32.1988798450242	"MP1"
"Etf1"	32.1072272751014	"MP1"
"Laptm5"	32.0793044762517	"MP1"
"Rps25"	31.9516215703787	"MP1"
"Rhoa"	31.9248390233802	"MP1"
"Ctsb"	31.7663431413444	"MP1"
"Zfp36"	31.6156104883417	"MP1"
"Cdc42"	31.4515636300589	"MP1"
"Hectd1"	31.3521877505531	"MP1"
"Tnfaip2"	31.1672014345555	"MP1"
"Dynll1"	31.0953708512012	"MP1"
"Morf4l1"	31.0647173704481	"MP1"
"Txn1"	31.0233034289172	"MP1"
"Ctsd"	30.8715243371451	"MP1"
"Cmip"	30.8122610726077	"MP1"
"Hdc"	30.7872506099405	"MP1"
"Ier2"	30.6685332334155	"MP1"
"Rap1b"	30.6366028380404	"MP1"
"Cyba"	30.6177690991946	"MP1"
"Bri3"	30.5502075944446	"MP1"
"Gls"	30.5395183204985	"MP1"
"Ets2"	30.3315734807724	"MP1"
"Cd84"	30.2808805650772	"MP1"
"Arih1"	30.2561919973622	"MP1"
"Rps2"	30.2342671732184	"MP1"
"Hspa8"	30.2132332284576	"MP1"
"Gm42418"	30.1906660084673	"MP1"
"Sik3"	30.1785950201586	"MP1"
"Stat3"	30.0807536205388	"MP1"
"Eif5a"	30.0744212870718	"MP1"
"March7"	29.9792305394258	"MP1"
"Arpc1b"	29.9004917239713	"MP1"
"D8Ertd738e"	29.8376996266913	"MP1"
"Rps6"	29.8230207934964	"MP1"
"Elmo1"	29.7930892038411	"MP1"
"Atp6ap2"	29.7133019654366	"MP1"
"Chchd2"	29.6092518957035	"MP1"
"Chst11"	29.5949090959149	"MP1"
"mt-Co2"	29.4524412431624	"MP1"
"Ier5"	29.441547198645	"MP1"
"Oaz1"	29.3964552036538	"MP1"
"Tbc1d15"	29.3287509787937	"MP1"
"Rpl13"	29.229916077505	"MP1"
"Skap2"	29.212047985717	"MP1"
"Lamp1"	29.2049730466341	"MP1"
"Ccnl1"	29.0685685969121	"MP1"
"Serinc3"	29.0220177818687	"MP1"
"Rsrc2"	28.9959466929613	"MP1"
"Csf3r"	28.8276675688445	"MP1"
"Cfl1"	28.7880580318669	"MP1"
"Sntb2"	28.7101900253203	"MP1"
"Sdcbp"	28.7087929736418	"MP1"
"Arf1"	28.5875474125894	"MP1"
"mt-Co1"	28.4855813876147	"MP1"
"Hnrnpc"	28.4126395858254	"MP1"
"Mapkapk2"	28.3716471617521	"MP1"
"Tceb2"	28.3549952453846	"MP1"
"Snap23"	28.3214540352759	"MP1"
"mt-Cytb"	28.2753239745555	"MP1"
"Atox1"	28.1899820004058	"MP1"
"S100a9"	28.1525350005685	"MP1"
"Ctsz"	28.0968768947699	"MP1"
"Brk1"	28.0831206326421	"MP1"
"Rpl36"	28.0536700794946	"MP1"
"Rbm25"	28.031647360034	"MP1"
"Lmnb1"	28.0228077889212	"MP1"
"Vamp8"	27.8466677695227	"MP1"
"Sh3bgrl3"	27.7366609042652	"MP1"
"Kdm6b"	27.7074325207321	"MP1"
"Rps15a"	27.6744475771404	"MP1"
"Ptgs2"	27.5043496583521	"MP1"
"Btbd9"	27.4739638972139	"MP1"
"Srsf7"	27.4702024006298	"MP1"
"Rpl37"	27.4582068200776	"MP1"
"Ncf4"	27.4513849839717	"MP1"
"Ptk2b"	27.4481722939516	"MP1"
"Tra2b"	27.4425910895618	"MP1"
"Zfand5"	27.43838122689	"MP1"
"Adgre5"	27.4200750229512	"MP1"
"Uvrag"	27.4186948453285	"MP1"
