"","SC78_2_factor1","SC78_2_factor2","SC78_2_factor3","SC78_2_factor4","SC78_2_factor5","SC78_2_factor6"
"48","Lmnb1","Rps25","Retnlg","Btg2","Junb","Clec4d"
"49","Inpp5d","Calm1","Rnf149","Zfp36","Hdc","Fgr"
"50","Tlr4","Gng5","Cmip","Cxcr4","Tpt1","Spag9"
"51","Smox","Cst3","Slc7a11","Ccrl2","Trem1","Actb"
"52","Litaf","Cox8a","S100a11","Entpd1","Samsn1","Mapkapk2"
"53","Lilrb4a","Rplp1","Zfp36l2","Ptprc","Grina","Dennd4a"
"54","Picalm","Runx1","Akap13","Ddx5","Lmnb1","Ptgs2"
"55","Fem1c","Rps12","Arg2","Fcer1g","Arpc3","Btg1"
"56","Sorl1","Tyrobp","Osbpl9","Ifrd1","Spag9","Zfp36"
"57","Rnf149","Ubl5","Cxcr2","Rnf149","Litaf","Slc7a11"
"58","Cyth1","Coro1a","Iqgap1","Neat1","Fxyd5","Mcl1"
"59","March7","Ubb","Lmnb1","Wnk1","Mcl1","Eif1"
"60","Cd53","Gm10076","Svil","Mxd1","Lyz2","Neat1"
"61","Igf1r","Sh3bgrl3","Igf1r","Tpd52","Coro1a","Tnfrsf1b"
"62","Eif1","Arhgdib","Gcnt2","Tnfaip2","Alcam","Cd44"
"63","Gm26740","Fcer1g","Ncf2","Slc16a3","Ndel1","Tnfaip2"
"64","Gcnt2","Uba52","Rps9","Irg1","Tpd52","Lmnb1"
"65","Egr1","Ftl1","Cxcr4","Alcam","Xylt1","H2-D1"
"66","Ccr1","Ifitm3","Lyn","Sik3","Ets2","Chst11"
"67","Tpd52","Arpc5","Lcp1","Fgl2","Cyp4f18","Arg2"
"68","Dock2","Rps9","Btg1","Rab7","Pim1","Samsn1"
"69","Nedd9","Rps21","Txn1","Samsn1","Pfn1","Ptprc"
"70","H3f3b","Eif1","Ipcef1","B2m","Ccr1","Ier3"
"71","Plk3","H3f3b","Ccl6","Ubb","Fcer1g","Malt1"
"72","Kpna4","S100a8","Samsn1","Ddx3x","Rnf149","Ets2"
"73","Trib1","Gpx1","Gda","Egr1","Csf3r","Entpd1"
"74","Dennd4a","Rpl8","Prkcb","Chst11","Adam8","Lcp1"
"75","Fxyd5","Btf3","Klf2","Txn1","Lcn2","Cd9"
"76","Cdk17","Ybx1","Tyrobp","Irak2","Btg2","Nr4a1"
"77","Ncf2","S100a11","Elmo1","Vps37b","Cd52","Ifitm2"
"78","Vmp1","Cox4i1","Xylt1","Pnrc1","Picalm","Cd274"
"79","Il1rap","Atp5e","H2-D1","Cd14","Actr3","Csf3r"
"80","Ell2","Hmgb2","Ubb","Rps27","Ncf2","Litaf"
"81","Myo1d","Rpl36","Camk1d","Csrnp1","Mgst1","Ftl1"
"82","Emilin2","Cfl1","Klf6","Gabarap","Mcemp1","Icam1"
"83","Fam107b","Map1lc3b","Ddx6","Pfn1","Cmip","Btg2"
"84","Sntb2","Cotl1","Antxr2","Taldo1","Lyn","Lilrb4a"
"85","Pde7b","Malat1","Mctp1","Coq10b","Anxa2","Vasp"
"86","S100a8","Rps8","Stat3","Basp1","Ptprc","Hcar2"
"87","Pim1","Pglyrp1","Hcar2","Gab2","Gm5483","Ankrd33b"
"88","Osbpl9","Gabarap","Plek","Ncf2","Mmp9","Ninj1"
"89","Ralgapa1","Actg1","Ppp3ca","Picalm","Arg2","2810474O19Rik"
"90","Mirt1","H2afj","Usp32","Ndel1","Hp","Ncf1"
"91","Smchd1","Rhoa","Jund","Etf1","Tpm4","Antxr2"
"92","Tmsb4x","Ccnd3","Marcks","Slc7a11","Iqgap1","B2m"
"93","Braf","Ptp4a2","Dock2","Sgms2","Lilrb4a","Nadk"
"94","Sp140","Gapdh","Ddx5","Emilin2","Ddx5","Tyrobp"
"95","Irg1","Rpl38","Gm42418","Sorl1","Arpc2","Abtb2"
"96","Ccnl1","Gnai2","Trps1","Rps29","Gapdh","H3f3a"
"97","Ppp1r3b","Arpc4","Cd44","Ccr1","Cap1","Gsap"
"98","Fosl2","Ostf1","S100a6","Plaur","App","Actr3"
"99","Trem1","Ubl3","Sfxn5","Plk3","Chst11","Bcl2a1b"
"100","Rab7","Gm42418","Ncor1","Kdm6b","Mrpl33","Ccl3"
"101","Fbxo11","Rpl37","Lst1","Cst3","Emilin2","H3f3b"
"102","Arhgap15","H3f3a","Snap23","March7","Trib1","Lcp2"
"103","Gfod1","Itm2b","Suco","Jund","Glrx","Slfn2"
"104","Actr3","Mdh2","Sell","Cdk2ap2","Alox5ap","Tpd52"
"105","Zcchc6","Hp","Taldo1","Rabgef1","Rac2","Rabgef1"
"106","Basp1","Fam107b","Fau","Stk17b","Itm2b","Hspa5"
"107","Btg2","S100a6","Ccrl2","Ankrd33b","Prdx5","Traf3"
"108","Tgm2","Lgals3","Rab8b","Antxr2","Arpc5","Snap23"
"109","Arih2","Stk10","Tsc22d3","Trem1","Osbpl9","Sema4d"
"110","Pik3ap1","Rpl39","Mctp2","Isg15","Lsp1","C5ar1"
"111","Tpm4","Plbd1","Coro1a","Cd52","Baz2b","Ddx5"
"112","Fth1","Atp6v0b","Osm","Clec4e","Gabarap","Sod2"
"113","Junb","Fth1","Dock11","Inpp5d","Rdh12","Msrb1"
"114","Ets2","Actr2","Gadd45a","Cd53","Osm","Il1r2"
"115","Snx18","Chchd2","Arhgap26","Tiparp","Anxa1","Irak3"
"116","Cd300lf","Rbm39","Fxyd5","Fam134b","Hmgb2","Adgre5"
"117","Tnrc18","Arpc3","Gab2","Csf1","Wfdc21","Casp4"
"118","Ptbp3","Rpl24","Atf3","Fos","Mir142hg","Gm42418"
"119","Csf3r","H2-D1","Ndel1","Tgm2","Msra","Ier5"
"120","Wnk1","Kif5b","Emilin2","Lsp1","Sell","Rab11fip1"
"121","Ankrd33b","Calm2","Braf","Sdcbp","Arhgap15","H2-K1"
"122","Lilr4b","Atp6v1f","Cd84","Lcp1","Stk17b","Nfe2l2"
"123","Itpkb","mt-Nd4l","Hmgb2","Lilrb4a","Myl6","S100a11"
"124","App","Rpl28","Sh2d3c","Mir142hg","Cyba","Nedd9"
"125","Mcl1","Cap1","Syk","Nudt4","Ddx6","Picalm"
"126","Cyp4f18","Lcn2","Cd9","Trib1","Nfkbiz","Snx18"
"127","Tyrobp","Rps3","Ifitm2","Pik3ap1","Notch2","Trem1"
"128","Tiparp","Itgam","Fam134b","Alox5ap","Arhgdib","Hck"
"129","Isg15","Ifi27l2a","Mmp9","Ccnl1","C5ar1","Fcer1g"
"130","Chd7","H2afz","Hp","Il1rn","Smox","N4bp1"
"131","Tnrc6b","Cdc42","Lilrb4a","Gm43661","Snx18","Ell2"
"132","Ptafr","Tpm3-rs7","Clec4d","Braf","Jund","Zc3h12a"
"133","Notch2","Eef1b2","Il1rap","Arg2","Zyx","Gpr132"
"134","Ier3","Atox1","Lsp1","Ptafr","Lst1","Rap1b"
"135","Mbnl2","Lst1","Cytip","Ctsd","Sorl1","Zfand3"
"136","Nfkbiz","Ncf1","H3f3b","Gadd45b","Ier3","Bcl2l11"
"137","Stk17b","Lims1","Etf1","Mapkapk2","Lgals3","Kpna4"
"138","Rabgef1","Rpl21","Ptgs2","Arih2","Sik3","Smox"
"139","Dusp16","Hspa8","Amica1","Sh2d3c","Gcnt2","Mir142hg"
"140","Fcer1g","Atp5h","Samhd1","Ctnnb1","Gda","Atp2b1"
"141","Mrpl33","Rps24","Abtb2","Fosl2","Cd53","Fxyd5"
"142","Sdcbp","Sub1","Gm5150","Ier5","Btbd9","Sorl1"
"143","Arg2","Derl1","Selplg","Suco","Sdcbp","Ifitm1"
"144","Nudt4","Bri3","Mapkapk2","Tgoln1","Prr13","Gtdc1"
"145","Dusp5","Pabpc1","Alcam","Selk","Rps27a","Arhgap15"
"146","Etf1","Ctsd","Eif1","Ppp1r15a","Mrgpra2b","Rbpj"
"147","Lcp1","Stk24","Fbxl5","Ifitm1","Ier5","Lyn"
"148","Myh9","Alox5ap","Ccnd3","Dusp5","Por","Ddx6"
"149","Zeb2","Atp5l","Grina","Ier3","Lyst","Slc15a3"
"150","Gm42418","Abracl","Trem1","Ctsb","Lilr4b","Lst1"
"151","Ddx6","Gnb2","Cd33","Ddit3","Fam107b","Cmip"
"152","Lamp2","Dlg1","Tnrc6b","Grina","Gmfg","Trps1"
"153","Agpat9","Prrc2c","Cd300lf","Mbnl2","Map1lc3b","Jak2"
"154","Slc11a1","Gsn","Chst11","Cyba","Hif1a","S100a6"
"155","Arpc2","Pxn","Tra2a","Tnfrsf1b","Myl12b","Mrgpra2b"
"156","Ap2b1","1810058I24Rik","Rabgef1","Coro1a","Ptprj","H2-Q7"
"157","Klra2","Myl12a","Ube2h","Fnip1","Serf2","Fbxo11"
"158","Pbx1","Lsp1","Fcer1g","Lyn","Gnai2","Emilin2"
"159","Lyst","Rab2a","B2m","Pla2g7","Diaph1","Pbx1"
"160","Fmnl1","mt-Nd3","Ankrd33b","Mrpl33","Arpc1b","Relb"
"161","Rbms1","Txn1","Rap1b","Ccl3","Vasp","Tlr2"
"162","H2-D1","Itpkb","Ankrd44","Atf3","Pkm","Gpbp1"
"163","Slc15a3","Eif5","Slc16a3","Snap23","Plk3","Skil"
"164","Trps1","Sh3glb1","Apbb1ip","Map1lc3b","Pglyrp1","Nr4a3"
"165","Dhrs9","Msn","Cdc42","Adgre5","Neat1","mt-Atp6"
"166","Fgl2","Ssu72","Fgd4","Cap1","Spi1","Dock2"
"167","Csf2rb","Ppp1r18","Herc4","Cmip","Ralgapa1","Ctsz"
"168","Ptprj","Cox5b","Rsrc2","Hcar2","Cfl1","Ccnl1"
"169","Kctd12","Pak2","Raf1","Arpc3","Sp140","Ddx3x"
"170","Fndc3b","Pygl","Atg3","Btbd9","Clec4e","Lilr4b"
"171","Tnfrsf1b","Anxa2","Nup98","Rps27a","Cdc42","mt-Co3"
"172","Nlrp3","Fam49b","Zyx","Myl6","Dusp16","Trib1"
"173","Zfand3","Gnas","Itgal","Osm","Ctsd","Plaur"
"174","Ifitm2","Hnrnpf","Sat1","Gm42418","Gm42418","Ctnnb1"
"175","Adam8","Ppp1r12a","Atp2b1","C5ar1","Klra2","Trem3"
"176","Ago2","BC005537","Ptpre","H2-K1","Sepn1","Iqgap1"
"177","Aff4","Mbd2","Klhl2","Sat1","Ell2","Susd6"
"178","Msrb1","Scand1","Pla2g7","S100a6","Pnrc1","Neurl3"
"179","Grina","Tmem59","Sik3","Nlrp3","Mctp1","Pnrc1"
"180","Rab20","Ncf4","App","Marcksl1","Rabgef1","Bcl3"
"181","Por","Clint1","1700112E06Rik","Ppp1r2","Rap1b","Jdp2"
"182","Ddx5","Ezr","Nfkbiz","Fem1c","Pik3ap1","Ndel1"
"183","Cd80","Cox7a2","Fgr","Serinc3","Dennd4a","Il1f9"
"184","Gpr35","Cd47","Cd101","Itm2b","Isg15","Tgoln1"
"185","Elmo1","Tln1","Sdcbp","Igf1r","Dhrs9","Rab7"
"186","Chd2","Pafah1b1","Dock8","Ubc","Cyth1","Lpcat2"
"187","Slc22a15","Hmgb1","Baz2b","Sp140","Ctnnb1","Alcam"
"188","Abtb2","Rplp0","Ets2","Rac2","Ppp1r3b","Cd300a"
"189","Kdm6b","Tceb2","Zfand5","Rap1b","Egr1","Rab20"
"190","Gtdc1","Aldoa","Plaur","Nr4a3","Cotl1","App"
"191","Pum2","Rpl18","Pten","Arpc1b","Stfa2l1","Lyst"
"192","Ptk2b","Ssh2","Serinc3","Serf2","Cd300lf","Pde7b"
"193","Rab8b","Ier2","Actr3","D8Ertd738e","Selk","Rps9"
"194","mt-Co1","Trem3","Pglyrp1","Marcks","Igf1r","Txn1"
"195","S100a11","Cox6b1","Pip5k1b","Atp6v0d1","Etf1","Fosl2"
"196","Iqgap1","Cd24a","Sirpa","2810474O19Rik","Map2k4","Dennd1b"
"197","C5ar1","Brk1","Nedd9","Tra2a","Nlrp3","Gpcpd1"
"198","Ptgs2","Wdr26","Alox5ap","Pbx1","Slc15a3","Arih2"
"199","Vps4b","Dstn","G0s2","Gng5","Rab7","Adam17"
"200","Klhl2","Laptm5","Spi1","Per1","Fosl2","Mirt1"
