"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4","SC78_8_factor5","SC78_8_factor6","SC78_8_factor7","SC78_8_factor8"
"1","Il1b","Nfkbia","Malat1","Ftl1","Isg15","mt-Atp6","S100a9","Retnlg"
"2","S100a9","Ccrl2","Antxr2","Il1b","Slfn4","mt-Co3","S100a8","S100a8"
"3","Malat1","Cxcl2","Entpd1","Tmsb4x","Rtp4","mt-Cytb","Il1b","S100a9"
"4","S100a8","Fth1","Cd44","Fth1","Rsad2","mt-Co2","Cxcl2","S100a6"
"5","Fos","Gadd45b","Alcam","Cebpb","Ifitm3","mt-Nd4","Fth1","Wfdc21"
"6","Wfdc17","Irg1","Cxcl2","Malat1","Oasl1","mt-Co1","G0s2","Lcn2"
"7","Tmsb4x","Zeb2","Xylt1","Srgn","Sp100","mt-Nd2","Malat1","Tmsb4x"
"8","Dennd4a","Il1b","S100a9","Eif1","Gm13822","mt-Nd1","Cebpb","Gapdh"
"9","Zfp36","S100a9","Sgms2","H3f3b","Ifi27l2a","mt-Nd5","Srgn","Actb"
"10","Dusp1","Malat1","G0s2","Fau","Malat1","mt-Nd4l","Tmsb4x","S100a11"
"11","Junb","Birc3","Srgn","Tpt1","Trim30a","Rps3a1","Actg1","Fth1"
"12","Srgn","Nfkbiz","Spag9","S100a9","Irf7","Rps24","Actb","Actg1"
"13","Picalm","Tnfaip3","Chst11","Ubb","Ddx60","Rpl19","Wfdc17","G0s2"
"14","Fth1","Nfkb1","Cebpb","Actg1","Il1b","Rpl13a","Dusp1","Prdx5"
"15","Csf3r","Srgn","Slc7a11","Tyrobp","Plac8","Eef1a1","Ftl1","Ccl6"
"16","Kpna4","Marcksl1","Sik3","Ifitm2","H2-D1","Rps15a","Eif1","H3f3a"
"17","Klf2","Pim1","Ndel1","Il1r2","Fth1","Rplp1","Cd14","Anxa1"
"18","Gpcpd1","Clec4e","Btbd9","Dusp1","Srgn","Rps6","Ifitm2","Rps27a"
"19","Actb","Pde4b","Neat1","Lst1","B2m","Rpl11","S100a11","Cd52"
"20","Ptprc","Irak2","Actg1","H3f3a","Oas3","Rpl8","H3f3a","Tspo"
"21","Sorl1","Cebpb","Smox","Junb","Samhd1","Rps28","H3f3b","Tyrobp"
"22","Msrb1","Cd14","Il1b","Actb","H2-K1","Rpl13","Mcl1","Pfn1"
"23","Tpd52","G0s2","Cd14","Rps9","Smchd1","Rps8","Il1r2","Ftl1"
"24","Ifitm1","Tmsb4x","Tpd52","Fcer1g","Slfn1","Rps11","Slc16a3","Ifitm2"
"25","Ftl1","S100a8","S100a8","Msrb1","Isg20","Rps15","Junb","Alox5ap"
"26","Stk17b","Nlrp3","Picalm","Rps27","Cebpb","Arhgap15","Rps9","Pglyrp1"
"27","Gcnt2","Kdm6b","Igf1r","H2-D1","Herc6","Rps7","Msrb1","Lgals3"
"28","Neat1","Rnf149","Hdc","Btg1","Parp14","Runx1","Antxr2","Hp"
"29","Mxd1","Ifrd1","Ptprj","Atf3","Fcer1g","Naca","Mxd1","Wfdc17"
"30","Btg2","Il1rn","Il1r2","Spag9","Ftl1","Ptma","Irg1","Taldo1"
