"","V1","V2","V3","V4","V5","V6","V7","V8"
"Lypla1",1.44614096704041,1.14968936480313,2.22044604925031e-16,1.03626126595305,0.593418796206283,2.29241534085807,1.12087313684433,2.22044604925031e-16
"Tcea1",2.22044604925031e-16,3.72193448807036,2.22044604925031e-16,1.09725197551665,2.22044604925031e-16,1.51592343005117,2.22044604925031e-16,0.978573730446498
"Atp6v1h",4.08918734156559,1.17005400979313e-09,5.9263901256364,9.30118168525937,2.22044604925031e-16,5.0720943232136,2.22044604925031e-16,2.22044604925031e-16
"Rb1cc1",14.9326639374922,11.0413599247341,18.4123314858162,9.44740328725315,3.57598698956947,2.59430992827323,8.39065275583938,5.98298381878871
"4732440D04Rik",2.22044604925031e-16,1.41457020179874,2.17447053790335,0.550667164943106,0.786057683740432,0.0175587497858073,1.59362058510237,2.22044604925031e-16
"Pcmtd1",6.61607817059358,3.64671111988161,11.3951546037736,10.7821620430972,5.38307626392284,5.9098672099779,5.09758349930464,1.56923628251707e-15
"Gm26901",2.22044604925031e-16,4.71577308131996e-05,1.62226930235063,4.20836761229232,2.22044604925031e-16,9.36807571827926e-07,0.667398896775976,2.22044604925031e-16
"Sntg1",2.22044604925031e-16,0.157062335536558,2.22044604925031e-16,0.71751052069161,2.22044604925031e-16,0.369531189154957,0.243625418271421,2.22044604925031e-16
"Vcpip1",0.926561400949385,2.22044604925031e-16,2.3965946901123,8.62957646015685e-15,3.40980285943998,2.5048334110325,2.22044604925031e-16,1.60700972096318
"Sgk3",10.794816377296,3.17080992395209,2.5494886748199,1.8737735118046,6.74458712696765,3.37176104275397,3.15924050514914,5.14864978560478
"Mcmdc2",0.32129161859606,0.348551002193831,8.79779156093308e-12,2.22044604925031e-16,0.597529671145394,2.22044604925031e-16,0.432546685916443,2.22044604925031e-16
"Ppp1r42",0.389962969240603,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.83244240826955
"Cops5",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.71392438024765,2.22044604925031e-16,1.51677864269999
