"","SC78_9_factor1","SC78_9_factor2","SC78_9_factor3","SC78_9_factor4"
"53","Grina","Rps9","Hmgb2","Actb"
"54","H2-D1","Ftl1","Tspo","Rps28"
"55","Emilin2","Anxa2","Lrg1","Polr2a"
"56","Cmip","Sh3bgrl3","Ccl6","S100a9"
"57","Rnf149","Arpc1b","Cd52","Btg2"
"58","Fxyd5","Mgst1","Zyx","Hspa5"
"59","Ddx5","Lrg1","Map1lc3b","Fcer1g"
"60","App","Myl6","Btg2","Tra2a"
"61","Spag9","Rps27a","Fxyd5","Klf6"
"62","Dusp1","Atxn10","Rps27a","Ier5"
"63","Gm5483","Ly6g","Socs3","Pim1"
"64","Ndel1","Prr13","Fbxl5","Rplp1"
"65","Xylt1","Pkm","Lsp1","Rpl38"
"66","Ets2","Txn1","Mxd1","Rbm39"
"67","Alox5ap","Taldo1","BC100530","Atf3"
"68","BC100530","Glrx","Akap13","Rps10"
"69","Arpc3","Arpc2","Fcer1g","Rps16"
"70","Chst11","Gpi1","Iqgap1","H3f3a"
"71","Osbpl9","Shfm1","Svil","Actg1"
"72","Msrb1","Gpx1","mt-Co2","Ccnd3"
"73","S100a6","Itm2b","Ube2h","Litaf"
"74","Cd9","Vasp","Ccnd3","Rps9"
"75","Csf3r","Gnai2","Coro1a","Ddx5"
"76","Fcer1g","Msrb1","Sorl1","Cst3"
"77","Lcp1","Ostf1","Anxa1","Mapkapk2"
"78","Pfn1","Eef1a1","Vim","Rpl17"
"79","Cd44","H2-D1","Pla2g7","Rps21"
"80","Sik3","Rpsa","Pfn1","Egr1"
"81","Plin2","Hmgb2","Ddx5","Cxcr4"
"82","Lilrb4a","R3hdm4","Neat1","Xylt1"
"83","Il1rap","Fcer1g","H3f3b","Rpl19"
"84","mt-Co2","Gm8730","Adgre5","Rsrp1"
"85","Plek","Sri","Mir142hg","Mbnl2"
"86","Clec4e","Arpc5","Selplg","mt-Co3"
"87","Ubb","Ubb","Litaf","Atp2b1"
"88","Btg2","Cotl1","Cers6","Ddx3x"
"89","Hilpda","Calm1","Lmnb1","Rps3"
"90","Neat1","Srgn","Arg2","Rps13"
"91","Ccr1","Serf2","Pglyrp1","Rps8"
"92","Hif1a","Rps29","mt-Co3","Fxyd5"
"93","Gapdh","Rplp0","Lyn","Rps14"
"94","Snx18","Dstn","mt-Atp6","Rpl8"
"95","Ccnl1","Aldh2","Taldo1","Rps3a1"
"96","mt-Co3","Fau","Gcnt2","Serinc3"
"97","Bcl2l1","Pygl","Ncf2","Zeb2"
"98","Sorl1","Actr3","Ier2","Rpl21"
"99","Lyn","Ncf4","Ssh2","Pnrc1"
"100","Map1lc3b","Cdc42","Pim1","Rbm3"
"101","Iqgap1","Gmfg","Lcn2","Rps23"
"102","Ctnnb1","Cebpb","Pag1","Msrb1"
"103","Nedd9","Adpgk","Pbx1","Tyrobp"
"104","Cd52","Arpc3","Cmip","Etf1"
"105","Lilr4b","Mcemp1","Rnf149","Csf1"
"106","Suco","Lcp1","Cd300lf","Rps5"
"107","Pnrc1","Msra","Tmcc1","Mxd1"
"108","Coro1a","Rps4x","Cd84","Map1lc3b"
"109","mt-Atp6","Vim","Eif1","Rabac1"
"110","Pik3ap1","Eif1","Stat3","Fus"
"111","Lcn2","Ifitm1","Jun","Cox8a"
"112","Alcam","Cfl1","Arhgap26","Fnip1"
"113","Dusp16","Cnn2","Rps29","Calm2"
"114","Hp","Grina","Cyba","Rpl10"
"115","Ncf2","Cd9","Tsc22d3","Gng5"
"116","Gm42418","Slfn4","Rac2","Inpp5d"
"117","Fosl2","Rps12","Gm26825","Hist1h2bc"
"118","Cd53","Rps20","Mtus1","Rpl18"
"119","Rabgef1","Anxa11","Ddx6","Ctsb"
"120","Ptprc","Oaz1","Kdm7a","Eif5"
"121","Igf1r","Itgam","Skap2","Tsc22d3"
"122","Lamp2","Rpl37a","Atp6v1g1","Gabarap"
"123","Fbxl5","Clic1","Gm42418","Srsf5"
"124","Asprv1","Myl12b","Sat1","Snap23"
"125","Ddx6","Rpl7","Fgr","Hnrnpf"
"126","Kpna4","Actn1","Emb","Gm42418"
"127","Sdcbp","Cap1","Fam65b","Ankrd12"
"128","Klhl2","Plaur","Fam49b","Ccnl1"
"129","Ctsd","Rps10","Arpc3","Rpl9"
"130","Stk17b","Pgd","Gm5483","AF251705"
"131","Rps27a","Aldoa","Txn1","Serf2"
"132","Ptprj","Mettl9","Gnai2","Fgl2"
"133","Actr3","Mcl1","Ndel1","Slfn2"
"134","Jdp2","Arhgap15","Spi1","Hectd1"
"135","Rps29","Mrgpra2b","Il1rap","Atp6ap2"
"136","Nfkbia","Pnkp","Atg3","2810474O19Rik"
"137","Prdx5","G0s2","Rps27","Rap1b"
"138","Jund","AA467197","App","Atp6v0e"
"139","Stx11","H3f3b","Gab2","Jund"
"140","Arpc2","Ctsd","Rpl37","Rpl13"
"141","Gabarap","Mrpl33","Nfkbiz","Ptprc"
"142","Tiparp","Rps16","Cd44","Fam134b"
"143","Rps27","Cd14","Cdc42","Tbc1d15"
"144","Ppp1r3b","Ldha","Zfp36l2","Rhoa"
"145","Tspo","Dhrs7","Rap1b","Gls"
"146","Cd300lf","Gng5","Kpna4","Elmo1"
"147","Rap1b","Ncf1","Snap23","mt-Atp6"
"148","Cyth1","Iqgap1","Anxa2","Cmip"
"149","Snap23","Cd24a","Ccr1","Ddit3"
"150","Txn1","Gm42418","Zfand5","Hspa8"
"151","Ccl6","Rpl9","Gmfg","Rpl37a"
"152","Sat1","Mbd2","Cytip","Ets2"
"153","Rbm39","Gnb2","Klf6","Adgre5"
"154","Etf1","Rpl19","Pygl","Rsrc2"
"155","Ankrd33b","Glipr2","Gapdh","Mir142hg"
"156","Zyx","Rpl23","Arpc2","Rpl30"
"157","Nfkbiz","mt-Cytb","Cd33","Sdcbp"
"158","Cdc42","Eno1","Ipcef1","Rpl13a"
"159","Rsrp1","Rhoa","Gpx1","Rpl34"
"160","Rab7","Rpl34","Lyst","Csf3r"
"161","Stfa2","Fpr2","Hsp90aa1","Ctsd"
"162","C5ar1","Rps11","Igf1r","Cd84"
"163","Pkm","Slc2a3","Rpl41","mt-Co1"
"164","Kdm6b","Uba52","Arpc1b","Nars2"
"165","Pla2g7","Spi1","Usp32","Cdkn1a"
"166","Fcgr3","Rps3","Samhd1","Hdc"
"167","Clic1","Vsir","Ier5","Cd300a"
"168","Gda","Ncf2","Itm2b","Igf1r"
"169","Mcemp1","Rpl41","Phf21a","Stat3"
"170","Rab8b","Myh9","Hspa8","Rbm25"
"171","Arhgap15","Atp6v1g1","Marcks","Rps19"
"172","Notch2","Pirb","Txnip","Rps26"
"173","Slc2a1","Mxd1","Ptpn1","Rps11"
"174","Clk1","Sat1","Stfa2","Rpl24"
"175","March7","Ceacam10","March7","Gm20388"
"176","Fam134b","Cd47","Pde4b","Bri3"
"177","Rab20","Gabarap","Steap4","Suco"
"178","Tpm4","1110008F13Rik","Lilrb4a","Rps15"
"179","Zfp36","Timp2","Arhgap24","Tnfaip2"
"180","Ubc","Ube2d3","Klhl2","Rpl32"
"181","Stat3","Rpl37","Clic1","Skap2"
"182","Cxcr2","Gpsm3","B2m","Ctnnb1"
"183","Lsp1","Lsp1","Mrpl33","Pfdn5"
"184","Tra2a","Hck","Syk","Ptp4a1"
"185","Lyst","Unc119","Lamp2","Hist1h1c"
"186","Cfl1","Dach1","Bcl6","Txn1"
"187","Sub1","Flna","Actr3","Picalm"
"188","Ostf1","Gda","Ncf4","Rpl36"
"189","Ube2d3","Mapk13","Plek","Zfand5"
"190","Baz2b","Rap1b","Rps16","Rpl35a"
"191","Rbms1","Fam65b","Gabarap","Rps25"
"192","Selk","Rps3a1","Sub1","mt-Co2"
"193","Adam8","Klf2","Osbpl9","Rps20"
"194","Diaph1","Arpc4","Myl12b","Son"
"195","Arpc5","Cox4i1","Prdx5","Igfbp6"
"196","Rpl41","Gsr","Lst1","Rnf149"
"197","Myl6","Rpl39","Pip5k1b","Oser1"
"198","Gpcpd1","Cmah","Ctsd","Cdc42"
"199","Cyba","Rps13","Cpd","Ier2"
"200","Hmgb2","Cdkn2d","Il13ra1","Cdk2ap2"
"201","Ncf4","Rpl28","Rpl9","Srsf7"
"202","Rdh12","Lbr","Fcgr3","Ostf1"
"203","Por","Plp2","Ifitm3","Arg2"
"204","Ldha","Fis1","Herc4","Rps27a"
"205","Rac2","Lyn","Whsc1l1","Cited2"
"206","Zcchc6","Tgfbi","Slpi","Calm1"
"207","Pde7b","Ier2","Pkm","Pnpla2"
"208","Lrg1","Sh3glb1","Rpl18a","March7"
"209","Chmp4b","Fcgr3","Cfl1","Oaz1"
"210","Atp6v1g1","Rps15a","Atrnl1","Cd24a"
"211","Mbnl2","Stx11","Gm20388","Lyn"
"212","Lrrfip1","Osm","C5ar1","Srsf3"
"213","Slc7a11","Samhd1","Cxcl2","Morf4l1"
"214","Skap2","Plac8","Rbm39","Hmgb2"
"215","Cyp4f18","Hmgn2","Gm5150","Runx1"
"216","Anxa1","Junb","Myl6","Cyba"
"217","Ifrd1","Hspa8","Cst3","Clk1"
"218","Ccrl2","Tpm3-rs7","Trem1","Tpd52"
"219","Mrpl33","Actr2","Serf2","Rpl11"
"220","Cd33","Syne1","Cyp4f18","Tra2b"
"221","Ehd1","Fpr1","Plaur","Rps15a"
"222","Sh2d3c","Fam49b","Rps10","Txnip"
"223","Rps16","Ppp1ca","Camk1d","Prdx5"
"224","Ifitm3","Mctp1","Dock2","Fam49b"
"225","Pde4b","Ltb4r1","Pten","Rps2"
"226","Arpc1b","Rpl35a","Serinc3","Dynll1"
"227","Bcl2l11","Rps19","Celf2","Samsn1"
"228","Rpl37","Lamtor4","Apbb1ip","Arih1"
"229","Gab2","Rpl17","Notch2","Scarb2"
"230","Eif4a1","Pira2","Sell","Ptgs2"
"231","Slc15a3","Ddx5","Klf13","Cd47"
"232","Fem1c","Lrrk2","Eif4ebp1","Laptm5"
"233","Gng5","Rps14","Zfp36l1","Cd300lf"
"234","Mir142hg","Atp5f1","Mctp2","Ifitm2"
"235","2810474O19Rik","Fbxl5","Calm2","Rps12"
"236","B2m","Rps8","Rhoa","Rps7"
"237","Trib1","Esd","Arhgdib","Ccr1"
"238","Aldoa","H2afj","Ppp3ca","Ssh2"
"239","Arih2","Scand1","AB124611","Cox4i1"
"240","Trem3","Rps5","Tbc1d14","Rpl26"
"241","Tax1bp1","Slfn2","Slfn2","Atp6v0d1"
"242","Spi1","Tmcc1","Ostf1","Gadd45g"
"243","Ptp4a1","Ptprc","Asprv1","Gm2a"
"244","Ptbp3","Dbnl","Map3k5","Bcl2l11"
"245","Braf","Dbi","Fyb","Klhl24"
"246","Pafah1b1","Capza1","Emilin2","Btf3"
"247","Calm1","Rps28","Trps1","Ezr"
"248","Map2k4","Flot1","Ucp2","Sat1"
"249","Samhd1","Rplp1","Pip4k2a","Lamp1"
"250","Rhoa","mt-Nd4","Tspan13","Eef1a1"
"251","Marcks","Limd2","Cotl1","Hnrnpc"
"252","Coq10b","Rps23","Chil1","Cxcl2"
"253","Tmbim6","Capzb","Dazap2","C5ar1"
"254","Rpl9","Psap","Clec4d","H2afj"
"255","Ube2b","Ccnd3","Cd53","Irf1"
"256","Hectd1","Rplp2","Mcemp1","Kdm6b"
"257","Abtb2","Ubl5","Lilr4b","Osbpl9"
"258","Ier5","Tln1","Cap1","Pnpla7"
"259","Ptafr","Rpl6","St3gal4","Arpp19"
"260","Gnai2","Skap2","Hcst","Dusp16"
"261","Agpat9","G6pdx","Cdkn2d","Cd53"
"262","Mapkapk2","Rps7","Gng5","Atf4"
"263","H2-K1","Sub1","Calm1","Lilrb4a"
"264","Cdkn1a","Rpl13","Adam19","Qk"
"265","Btbd9","Gsn","Mmp9","Apbb1ip"
"266","Tlr4","Gyg","Gadd45a","Zmiz1"
"267","Sh3glb1","Itgb2","Plin2","Birc3"
"268","Gmfg","Rpl38","Ube2d3","Rps6"
"269","Cap1","Rpl18a","Sgms1","Stk17b"
"270","Nfe2l2","Arf5","Gpi1","Fem1c"
"271","Ddx3x","Fam101b","Entpd1","Celf2"
"272","Themis2","Cmip","Prkcb","Lmnb1"
"273","Atp11b","Padi4","Arpc5","Ncf4"
"274","Rhov","Rps25","Dhrs9","Uvrag"
"275","Fndc3b","Lyst","Rbm47","Nfkbiz"
"276","Zfp36l2","Picalm","Sh3glb1","Pfn1"
"277","Cotl1","Lilrb4a","Gpsm3","Itm2b"
"278","Zfand3","Svil","Msn","Arf1"
"279","Hck","Rpl32","Rpl17","Hist1h4i"
"280","Cox8a","Hacd4","Capzb","Sf3b1"
"281","Anxa11","Upp1","Jmjd1c","Chchd2"
"282","Fbxo11","AB124611","Gnb2","Ninj1"
"283","Arf4","Rps21","Klf3","Alcam"
"284","Dazap2","Arf1","Rassf3","Jmjd1c"
"285","Rpl18a","Rpl27a","Sdcbp","Lyst"
"286","Srsf5","Npepps","Clk1","Hmox1"
"287","Anxa2","Chil1","Sla","Ier3"
"288","Csrnp1","Rpl10","Ube2b","Ncf1"
"289","Atg2a","Chchd2","Il18rap","Cd44"
"290","Taldo1","App","Ypel3","Gcnt2"
"291","Qsox1","Clec4a2","Chst11","Srrm2"
"292","Npepps","Atp5l","Sirpa","Cfl1"
"293","Basp1","Myo1f","Glipr2","Dazap2"
"294","Sell","Trem3","Tgfbi","Ptafr"
"295","Gcnt2","Cd300lf","Fam32a","Rab7"
"296","Myl12b","Adam8","Ltb","Arf4"
"297","Capzb","Tmbim6","Ifngr1","Chst11"
"298","Cytip","C5ar1","Man2b1","Hp"
"299","Nlrp3","Zyx","Atxn1","Tmbim6"
"300","Rps10","Rpl11","Lpcat2","Naca"
