"","logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR","sub_celltype","sub_celltype_fraction","nh_size"
"1",1.41633348827898,10.6008547186679,8.78747112339879,0.00312027185992293,0.0225641620987958,1,0.0192986834019757,"Other T Cells",0.615384615384615,52
"2",-0.819850178308189,11.5759793384117,7.88464461923172,0.0102892687101224,0.0499937409091832,2,0.0444208508745058,"CD8 T Cells",1,110
"3",0.81002587371051,11.6128972749303,10.32386209217,0.00331472555113056,0.0228163608769487,3,0.0196287094423833,"CD8 Tex",0.955752212389381,113
"4",-0.503453037957255,11.7046497814296,3.53585932337539,0.0869047015729407,0.22363486752641,4,0.22308327225801,"Treg",0.669421487603306,121
"5",0.175180684641232,11.8332924210731,0.546965597593721,0.506583930196096,0.701484824111452,5,0.718929207044509,"CD8 T Cells",1,133
"6",-0.192705535797192,10.8228868316019,0.232091351216113,0.630105053247983,0.781481642616868,6,0.800607712975102,"Naive-Stem-Like",0.709677419354839,62
"7",0.0769537892049365,11.7049119845813,0.0920889747621818,0.782290218009894,0.873205027131148,7,0.880938360655816,"CD8 T Cells",0.87603305785124,121
"8",0.477673271116634,11.1695307281578,2.73092828177548,0.148345977208904,0.310999434453184,8,0.31583140068868,"Treg",0.45679012345679,81
"9",0.219840568803147,11.6824326524163,0.753233669141222,0.428755026275545,0.625709631985159,9,0.638402390784885,"CD4/8 NaiveLike",0.92436974789916,119
"10",0.593850138654994,11.588727277939,5.34612810733871,0.0345585669445588,0.120954984305956,10,0.112891736167947,"CD4/8 NaiveLike",0.945945945945946,111
"11",0.065019499032769,11.0335120450441,0.0407146076663474,0.855879792121115,0.913380760086731,11,0.918879535469156,"CD8 T Cells",0.972602739726027,73
"12",0.292275826468919,11.3942005359781,1.11910814849132,0.341747778348076,0.55267064076722,12,0.562652509061067,"Treg",0.489583333333333,96
"13",1.23791645090851,11.4084079541585,21.8149732765309,2.57909074297445e-05,0.000394505361795721,13,0.000266597246361593,"CD8 Tex",0.989690721649485,97
"14",-0.646111669762273,10.8020321277842,2.27250202806182,0.132069500949614,0.284086999438492,14,0.289701095043907,"CD4+ Helper T Lymphocytes",1,61
"15",-0.369239879938805,12.0684646186419,2.85289257873057,0.146103286782508,0.310999434453184,15,0.31583140068868,"Treg",0.5,158
"16",-0.174113436460749,11.6477703128464,0.430397676555486,0.549073741370679,0.730476813288071,16,0.748768408276713,"CD8 T Cells",0.991379310344828,116
"17",0.0947207062502605,11.3941240200847,0.11418089877055,0.761393131492861,0.866268218475349,17,0.874364490566778,"Naive-Stem-Like",1,96
"18",-0.225535969983522,11.4214897034866,0.619577904241995,0.477401439809673,0.675228748771901,18,0.689793192120287,"CD8 T Cells",1,98
"19",0.591618717008594,10.9792226752887,3.31497274613658,0.0937080894035032,0.234554187416041,19,0.235519012577068,"CD8 Effector Memory",1,70
"20",-0.516868419375142,10.8020609843312,1.49611169914685,0.22161945265058,0.406794817531954,20,0.414331262381433,"Naive-Stem-Like",0.508196721311475,61
"21",0.313079723499233,11.5266758070953,1.37848622167297,0.284106320753025,0.480884878979506,21,0.489554794700155,"CD8 T Cells",0.990566037735849,106
"22",-0.986572789583499,11.5134816104241,10.5243570591722,0.00310780102535239,0.0225641620987958,22,0.0192659586605994,"CD8 Tex",0.99047619047619,105
"23",0.00325758085132595,11.6823401602877,0.000159869123110017,0.990777774388599,0.997508272042192,23,0.997508272042192,"CD8 T Cells",0.983193277310924,119
"24",-0.00167444377320223,11.6125134847462,3.99257637235491e-05,0.995453276665706,0.997508272042192,24,0.997508272042192,"CD8 T Cells",0.973451327433628,113
"25",0.060795164424788,10.8635838485767,0.0262786824203846,0.873596639081531,0.924029438483309,25,0.92906479165736,"CD8 Effector Memory",0.515625,64
"26",0.715894914353468,11.5519583355182,7.6615569394749,0.0114640723977702,0.0544214011526334,26,0.0483919964160252,"CD8 Tex",1,108
"27",-0.726640267152192,11.4482879671825,5.86183683800743,0.0282916863128979,0.104819670526762,27,0.0971642459251824,"CD8 Tex",0.99,100
"28",-0.201228381691763,11.2013803743227,0.448072729094635,0.558370047766755,0.732085173746473,28,0.750943390479796,"CD8 Tex",0.975903614457831,83
"29",-0.0907356688438599,11.380114974911,0.101034296426036,0.77569761931179,0.873205027131148,29,0.880938360655816,"CD8 Effector Memory",0.936842105263158,95
"30",0.357206204581767,12.1533121377635,3.32410949585718,0.123467433752942,0.272684760106766,30,0.276197942525589,"CD4/8 NaiveLike",0.982142857142857,168
"31",-0.763142906113453,10.8832983881864,3.65825310782858,0.0636872870023678,0.189229133323582,31,0.183747595435745,"CD4+ Helper T Lymphocytes",0.969230769230769,65
"32",-0.120566569999778,11.6124525862966,0.202723080881876,0.680675677322541,0.812482817150894,32,0.8280551019252,"CD4/8 NaiveLike",0.991150442477876,113
"33",-0.293295271893862,11.5137104831227,1.08582954175647,0.342207457335803,0.55267064076722,33,0.562652509061067,"CD8 T Cells",0.866666666666667,105
