"","logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR","sub_celltype","sub_celltype_fraction","nh_size"
"1",0.942900985078277,11.6990814524038,10.1112008128565,0.00153032809734087,0.00263374063104587,1,0.00266226360642431,"Monocytes Apobec3b",1,146
"2",1.2111508740784,11.6468384959168,15.6878212576623,8.13484393062574e-05,0.000165587432293448,2,0.000174504856679866,"Granulocytes",1,140
"3",-0.922183710817102,10.9769999263492,4.23669332857208,0.0398817149328281,0.054769067424877,3,0.0535090893828003,"Granulocytes",1,87
"4",-1.26390415347151,11.3562176741466,8.40685826245797,0.00384015342639294,0.00615960609593427,4,0.0061630944167101,"Granulocytes",1,116
"5",-0.232128657733673,11.1933420836777,0.35584890670913,0.550989073532733,0.592350183610257,5,0.582974201435955,"Granulocytes",1,102
"6",7.9620980839109,11.3217543038472,223.706858301067,8.55201950734596e-45,1.18253786980887e-43,6,2.04123335825326e-43,"Alveolar Macrophages",1,106
"7",-0.776677336123956,11.0658209903942,3.1827541673168,0.0747971843124175,0.0949166800926564,7,0.0924078542002336,"Granulocytes",1,93
"8",1.78219035279109,10.7913491569073,22.073716684229,3.08674785291299e-06,7.78481691206357e-06,8,8.97272038564451e-06,"Alveolar Macrophages",0.716216216216216,74
"9",-2.96165689937155,11.7961432182251,40.5119007432875,3.28501299991343e-10,1.26662520477431e-09,9,1.88439511346988e-09,"Granulocytes",1,162
"10",-2.15642137936744,11.6220327371762,20.5447922061587,6.71260694710315e-06,1.60245366938007e-05,10,1.79678126227497e-05,"Granulocytes",1,142
"11",-0.568170054391677,11.0815451263759,1.82379366631794,0.17724330964267,0.214080021586478,11,0.210229756082883,"Monocytes Apobec3b",0.74468085106383,94
"12",1.55942410723322,10.5367019350008,7.66327508795825,0.00576558738717161,0.00896124241184425,12,0.00892682955599631,"Monocytes Apobec3b",1,61
"13",-0.830131287197817,11.9402642222304,8.11645827786649,0.00449883732218316,0.00713056824583181,13,0.00709888618062158,"Granulocytes",1,178
"14",-1.50728867109932,11.2090936937718,10.5786953240986,0.00119181443183647,0.00210536382011641,14,0.00212205822477912,"Granulocytes",1,104
"15",-2.16968681315543,11.774499520945,27.1646913124426,2.37846814270854e-07,7.22549791837972e-07,15,9.29996001016967e-07,"Granulocytes",1,159
"16",0.78197266239885,11.0384215016457,4.54687897006122,0.0332820019217412,0.0463405651757577,16,0.0456038532248639,"CD16 C1qa Monocytes",0.9,90
"17",10.1105470461952,11.6035646067324,253.571343304289,8.18684750170979e-50,3.30271411804737e-48,17,5.62296604412543e-48,"Alveolar Macrophages",1,129
"18",-1.26903982178707,11.7203091140437,11.2523924883493,0.00083254877337984,0.00151064279694713,18,0.00153363557527585,"Granulocytes",1,152
"19",2.72092003919376,11.1245460671527,62.4175277743836,9.1519721048142e-15,4.36897715956011e-14,19,6.84621868429702e-14,"Monocytes Apobec3b",1,94
"20",3.67803671591288,10.736836698146,73.1635357715133,6.01214284928552e-17,3.09085805456858e-16,20,4.77703046814997e-16,"Monocytes",0.885714285714286,70
"21",0.00668418525906216,12.0586697344788,0.000824131962540626,0.978303893265283,0.97930302463641,21,0.978655753419315,"Granulocytes",1,192
"22",-2.63620689310421,11.2665984815637,23.2898891666733,1.66802501708155e-06,4.42965584006424e-06,22,5.18172011042626e-06,"Granulocytes",1,109
"23",-2.60818650086295,11.2421367834789,22.7780520840277,2.16065684588872e-06,5.5898283561379e-06,23,6.49344052750309e-06,"Granulocytes",1,107
"24",10.3185253948474,11.8139494087514,363.651812163295,3.81321555542577e-67,1.52909943772573e-64,24,2.47175588854265e-64,"Alveolar Macrophages",1,149
"25",3.25537947307435,11.5841750084877,101.481183947195,1.48140191275337e-22,9.581325274421e-22,25,1.45180740538215e-21,"Granulocytes",1,130
"26",1.18759364081023,11.7968888638618,19.7020345763424,1.03169555241002e-05,2.39138680067293e-05,26,2.65510954060379e-05,"Granulocytes",1,156
"27",-1.06136066341836,11.4686901184894,6.38100577466906,0.0117262509599413,0.0173513897968135,27,0.0172024132071297,"Granulocytes",1,126
"28",-2.37829137588015,11.2796233561328,20.6797995316066,6.26664956576705e-06,1.51381113004373e-05,28,1.71523868561854e-05,"Granulocytes",1,110
"29",-3.28237839762793,11.8441070394146,48.7208568217759,6.18839556790843e-12,2.61215433971714e-11,29,3.94228031941326e-11,"Granulocytes",1,168
"30",3.6193404914019,10.9488339433025,98.904302358696,4.70926108557957e-22,2.95064639893345e-21,30,4.52360951813285e-21,"Alveolar Macrophages",0.963414634146341,82
"31",-1.59707851284565,11.4104215235492,12.1510447017581,0.000517255381213488,0.000964741431937714,31,0.000988756444794274,"Granulocytes",1,121
"32",1.04513033036105,11.2622243005585,9.69666681766636,0.00191162706161114,0.00319401021544194,32,0.00322358895999827,"CD16 C1qa Monocytes",0.745283018867924,106
"33",-3.05322249631315,11.6372420335873,31.4455550735134,2.82292957205328e-08,9.35532858176336e-08,33,1.26938549758405e-07,"Granulocytes",1,144
"34",-0.779179860400836,11.3248786124312,3.67541710688138,0.0555754376507117,0.0733083897958401,34,0.0714048384728739,"Granulocytes",1,113
"35",-0.354350460066878,11.5184258559478,0.87744740536456,0.349183749633188,0.400064810294024,35,0.388803977849941,"Granulocytes",1,130
"36",-1.17202643181842,11.3796663182532,7.44145849731311,0.00651320510618437,0.00996868415106845,36,0.00994963741539499,"Granulocytes",1,118
"37",1.13703514963329,10.9978102216833,10.0396189247655,0.00159017542479502,0.00271344827805449,37,0.00274267504355058,"Monocytes Apobec3b",0.954022988505747,87
