"","SC78_9_factor1","SC78_9_factor2","SC78_9_factor3","SC78_9_factor4","SC78_9_factor5"
"1","Ccrl2","S100a9","Malat1","S100a8","S100a8"
"2","Cxcl2","S100a8","Il1b","S100a9","Ifitm6"
"3","Fth1","G0s2","Tmsb4x","Wfdc17","S100a9"
"4","Nfkbia","Cxcl2","S100a9","Retnlg","S100a6"
"5","Malat1","Fth1","Fos","Ifitm1","Retnlg"
"6","Ier3","Wfdc17","Dusp1","Malat1","Lyz2"
"7","Gadd45b","Actg1","Fth1","Tmsb4x","Lcn2"
"8","Ftl1","Cebpb","Ftl1","Wfdc21","BC100530"
"9","Irg1","Cd14","Junb","Fth1","Tmsb4x"
"10","Cebpb","Il1b","Fau","Srgn","Stfa3"
"11","Srgn","Srgn","Srgn","Dusp1","BC117090"
"12","Ifrd1","Malat1","Btg1","Il1b","Stfa2"
"13","S100a9","Ifitm1","Klf2","Actb","Actb"
"14","Il1b","Actb","Actb","Fos","Ngp"
"15","Mcl1","Retnlg","Ubb","S100a11","Anxa1"
"16","Hcar2","Tmsb4x","Neat1","Junb","Wfdc21"
"17","Junb","S100a11","Rps27","BC100530","Gm5483"
"18","H3f3b","Eif1","Tpt1","Alox5ap","Mmp8"
"19","Tnfaip3","Ifitm2","H3f3b","mt-Co1","Prdx5"
"20","Il1r2","Entpd1","Rps9","Rps9","mt-Co1"
"21","Tmsb4x","mt-Co1","Dennd4a","Csf3r","Pglyrp1"
"22","S100a8","Slc16a3","Ccnd3","Ifitm2","Prok2"
"23","Ptgs2","Antxr2","Adgre5","Msrb1","Cd52"
"24","Ubb","Trem1","Lst1","Hp","Gapdh"
"25","Fau","Pim1","Cebpb","Stfa2l1","Lgals3"
"26","Zfp36","Btg1","Actg1","Ubb","S100a11"
"27","Plek","Mxd1","Ptma","H3f3a","Alox5ap"
"28","Pim1","H3f3a","Hp","Actg1","Malat1"
"29","Eif1","Wfdc21","Kpna4","Klf2","Ifitm3"
"30","Tpt1","Rps9","Msrb1","Ftl1","Actg1"
"31","Pnrc1","Tpt1","Rps29","S100a6","Cd177"
"32","Tra2a","Sgms2","H2-D1","Mcl1","Arhgdib"
"33","Suco","Lmnb1","Zfp36","Picalm","mt-Co3"
"34","Cd14","Il1r2","Csf3r","Cebpb","Fth1"
"35","H2-D1","Hdc","H3f3a","Tspo","mt-Atp6"
"36","Pik3ap1","Tyrobp","Ptprc","Tyrobp","H3f3a"
"37","G0s2","Ftl1","Rpl18a","Grina","Asprv1"
"38","Mapkapk2","H3f3b","Tyrobp","Zfp36","Ifitm2"
"39","Spag9","BC100530","Btg2","Ccl6","Tspo"
"40","Litaf","Plaur","Eif1","Btg1","mt-Co2"
"41","Clec4e","Mcl1","Tsc22d3","Lcp1","Ly6g"
"42","H2-K1","Clec4d","Ifitm2","Fau","Pfn1"
"43","Irak2","Stfa2l1","Jund","Gda","Cyba"
"44","Ubc","Ndel1","Rpl41","Tpd52","Tkt"
"45","Samsn1","Picalm","Fcer1g","Il1r2","Mmp9"
"46","Ppp1r15a","Cmip","Stk17b","Gm5483","Wfdc17"
"47","Dusp1","S100a6","Mcl1","Hdc","Rac2"
"48","Ccnl1","Tpd52","mt-Co1","Fbxl5","Rps24"
"49","Tiparp","Junb","Fxyd5","Gpcpd1","Tpt1"
"50","Cdkn1a","Fau","Mir142hg","H2-D1","Coro1a"
