"","V1","V2","V3","V4","V5"
"Lypla1",0.666967533080873,0.883681174008448,2.35452321771003,1.28634287253874,2.84633933360263
"Tcea1",0.462560988005267,1.27227492269185,2.77119471828836,0.726023715606124,1.5755487775654
"Atp6v1h",6.11428830839992,2.57866324526556,4.14571911563981,1.30548514670554,2.34171061905884
"Rb1cc1",5.32872948375142,12.6630654770751,13.4871583602569,13.5260107993779,4.1622489448899
"4732440D04Rik",0.149961807373809,0.931210782796375,0.890504892555767,0.160229134553696,0.238997305334493
"Pcmtd1",3.97804736721626,2.24697860221293,9.80370795386835,3.47665576598747,1.68644398118091
"Vcpip1",0.924626719008007,1.74521797675834,3.08627436801676,2.45340525756213,1.40006547411765
"Sgk3",0.760589745077373,1.44205299519018,4.78887810318351,13.5512288281745,4.98752334754077
"Mcmdc2",2.22044604925031e-16,2.22044604925031e-16,1.39227732624235,0.68818232185422,2.22044604925031e-16
"Ppp1r42",2.22044604925031e-16,0.183532206109286,1.21406780910256e-15,2.22044604925031e-16,2.20840045135186
"Cops5",2.22044604925031e-16,0.32538750006169,1.99519494714736,0.238931312453214,2.04313334033942
"Cspp1",0.49275407334734,1.30114299639727,8.9180211075505,5.0382088802373,1.05837440526011
"Arfgef1",3.21286751251559,5.51342226141613,7.24253930188702,4.3811122808992,5.67009147226511
"Cpa6",0.149904587005067,2.22044604925031e-16,0.042912891770146,2.22044604925031e-16,1.20155183728668
"Ncoa2",4.82010073987211,6.11471671538697,10.0428553899056,12.2866092089711,3.26886568755669
"Tram1",0.838271389381723,0.897737067018435,4.32493806703464,2.83939659138205,2.67694485943932
"Terf1",0.394394597904818,0.00401515636332874,2.27525413943753,1.21327052302793,0.954343241967992
"Rpl7",3.70739543288266,13.1324694264304,14.3450782475602,18.3859161602601,25.4658185790584
"Rdh10",2.22044604925031e-16,2.22044604925031e-16,1.20672658942832,0.670245121232587,0.415143914472883
"Ube2w",0.939391329380058,2.38520527390056,5.07175015449881,6.55548636045274,2.02157174412064
"Tceb1",4.87597403084363,7.7532061623053,8.8437228582896,4.63015509649915,4.98114459402558
"Ly96",1.50069099394032,1.15415619761524,2.22796403238193,2.0102031525275,1.76799713833495
"Tram2",0.101983473234853,2.22044604925031e-16,0.75129543286886,1.04582119280242,0.462713623593903
"Ogfrl1",5.29989115415096,6.90018814357118,9.17802222438802,22.7387636536553,6.73943766422952
"Smap1",1.81308003965855,3.0206252468486,5.90410540659493,2.41383982391081,5.82187896143238
"Lmbrd1",7.53406986166368,8.45860648448925,4.66329437711742,6.17919785057022,5.18831738434352
"Phf3",4.7492659896229,2.79679909964952,8.89626290243483,7.61362796856162,2.29599620200083
"Ptp4a1",16.2282600670163,20.0428573991386,19.0963121126852,19.1004108190046,3.80979216780277
"Khdrbs2",0.406123424080053,0.029587493187707,1.15721083752459,3.09918158177585e-11,2.22044604925031e-16
"Rab23",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.47915755417328,1.1835259150795
"Zfp451",0.54191333422608,2.22044604925031e-16,1.69465294529224,0.900500703488506,0.255416316592263
"Ccdc115",1.43513999213942,0.000130313888772253,2.8566782299977,0.303198994198713,0.812100313482942
"Imp4",0.780860710163411,2.22044604925031e-16,2.1720318653183,2.22044604925031e-16,0.747664963094386
"Ptpn18",1.73544749084956,1.61388831334168,6.03927984532405,2.62584945433644,9.34436692048036
"Fam168b",3.57273129346165,2.24553871892961,8.0025954101419,4.29723994127313,3.49930518035187
"Plekhb2",0.491748012233126,0.437934774867561,1.00883246811507,0.627720675285412,0.690841930760587
"Uggt1",0.338288401902473,0.319374729224245,2.41649595394359,1.78792679199073,0.723830303083332
"Neurl3",9.01325805408018,8.44358262158173,13.9599212562293,3.51172250386847,1.50446139582671
"Arid5a",2.62244209909609,7.1170280405052,6.015425773865,14.2797342167226,0.0767238266181544
"Kansl3",1.32393502504122,1.99631827306419,3.13842071115042,0.469319673555161,0.661869965078144
"Lman2l",2.22044604925031e-16,0.251296433853964,0.849081201437501,0.802748566256664,1.35977229801068
"Cnnm4",0.587377707682419,1.22325390412803,1.42741703903568,1.33583865106518,0.0629166868859302
"Cnnm3",2.22044604925031e-16,2.22044604925031e-16,0.763547954586143,1.13024497989359,0.216923303730351
"Cox5b",5.89029524198942,6.28042368312193,13.7826793496059,7.47847096840225,12.2747621398046
