"","SC78_9_factor1","SC78_9_factor2","SC78_9_factor3","SC78_9_factor4","SC78_9_factor5"
"127","Cd53","Cd53","Pbx1","Skap2","Myl12b"
"128","Lyst","Anxa1","Gm2a","Il1rap","Cap1"
"129","App","Bcl2l1","Cd300a","Kdm7a","Actn1"
"130","Picalm","Ptprj","Tpd52","Cd33","Clic1"
"131","Ddx3x","Rdh12","Calm2","Gm26825","Rps16"
"132","Cstb","Jund","Rhoa","Fam49b","Grina"
"133","Csf1","Arhgap15","Hspa5","Anxa2","Plaur"
"134","Hsp90aa1","Igf1r","Pfn1","Gnai2","Rpl19"
"135","Rbm39","Hilpda","Akap13","Arhgap24","H3f3b"
"136","Hmox1","Ier3","Iqgap1","Phf21a","Cd24a"
"137","Erbb2ip","Lamp2","Rpl37a","Cd84","Ldha"
"138","Antxr2","Rps29","Hist1h2bc","Prdx5","Mrpl33"
"139","Tpi1","Gm42418","Cd44","Gcnt2","Aldoa"
"140","Elmo1","Clec4e","Gng5","Cdc42","Gng5"
"141","Ero1l","Mcemp1","Rps11","Mcemp1","Ctsd"
"142","Csrnp1","Notch2","Rpl8","Fam65b","Pnkp"
"143","Egr1","Gapdh","Gm5150","Lyst","Dhrs7"
"144","Msrb1","Kpna4","Gm20388","Pygl","Arhgap15"
"145","Oser1","Adam8","Cytip","Arhgap26","Mcl1"
"146","Ostf1","Rabgef1","Zfand5","Fgr","Rpl23"
"147","Fbxl5","Gabarap","Rnf149","Emb","Rpl9"
"148","Ccr1","Rps27","Apbb1ip","Rpl37","G0s2"
"149","Adam17","Lsp1","Rbm3","Adgre5","Gnb2"
"150","Smox","Clic1","Rpl34","Ndel1","Ifitm1"
"151","Hdc","Rbm39","Rps8","Ccr1","Cd14"
"152","Slfn2","Sub1","Coro1a","Atg3","Mrgpra2b"
"153","Dennd4a","Pnrc1","Ubc","Samhd1","Ceacam10"
"154","Klf6","Cdc42","Fam49b","Gab2","Rpl34"
"155","Bcl2l11","Suco","Rpl18","Cpd","Rps11"
"156","Atf3","Txn1","Gm42418","Spi1","mt-Cytb"
"157","2810474O19Rik","Sat1","Itm2b","Arpc2","Gm42418"
"158","Sema4d","Gda","S100a8","Lilrb4a","Rps3"
"159","Rsrc2","Fbxl5","Rsrp1","Mmp8","Rhoa"
"160","Fcgr3","Etf1","Srsf5","Snap23","Iqgap1"
"161","Xylt1","Sdcbp","Gabarap","Ipcef1","Fpr2"
"162","Tbc1d15","Mrpl33","Cdc42","Tsc22d3","Mbd2"
"163","Lilr4b","Rsrp1","Igfbp6","Cd44","Uba52"
"164","P4hb","Cfl1","Egr1","Zfp36l2","Mapk13"
"165","Atp2b1","Arpc5","Cxcr2","Igf1r","Pirb"
"166","Ninj1","Rac2","Cd52","Gmfg","Vsir"
"167","Ctsd","Kdm6b","Rpl37","Osbpl9","Rpl41"
"168","1700112E06Rik","C5ar1","Rpl21","Fcgr3","Cd47"
"169","mt-Atp6","Cxcr2","Rps5","Zfand5","Myh9"
"170","Hif1a","Pla2g7","Atp6v0e","Rap1b","Flna"
"171","Stat3","Ppp1r3b","Lmnb1","Actr3","Rpl39"
"172","Sat1","Pik3ap1","AF251705","Arpc1b","Spi1"
"173","Nlrp3","Cd300lf","Wfdc17","Rps27","Eno1"
"174","Phf21a","Por","Igf1r","Usp32","1110008F13Rik"
"175","Csf3r","Prdx5","Cdk2ap2","Lamp2","Unc119"
"176","Lamp2","Snap23","Pfdn5","Gpx1","Rps3a1"
"177","Atp6v1a","Lrg1","Ddx3x","Itm2b","Rps15a"
"178","Sgms2","Myl6","Emb","Ncf4","Cox4i1"
"179","Serinc3","Selk","Ube2h","Ier5","Rps13"
"180","Sik3","Cyba","Rpl13a","Mctp2","Ube2d3"
"181","Rpl41","Rbms1","Ctnnb1","Clic1","Ncf2"
"182","Eif5","Diaph1","Sub1","Marcks","Gabarap"
"183","Ptp4a1","Eif4a1","Arpc3","Clec4d","Gpsm3"
"184","Ncf1","Arpc1b","H2-K1","Kpna4","Arpc4"
"185","Calm2","Baz2b","Slfn2","Steap4","Rpl28"
"186","Tmbim6","Trem3","Rpl10","Gabarap","Gsr"
"187","Ctsz","Zcchc6","Ndel1","Mmp9","Plac8"
"188","Gng5","Rab7","March7","Hsp90aa1","Cmah"
"189","Trem1","Map2k4","Hnrnpf","Klf6","Rap1b"
"190","Rlf","Pde7b","Chst11","Plek","Mxd1"
"191","Slc2a1","Ube2d3","Arg2","Ptpn1","Plp2"
"192","Stfa2l1","March7","Dusp16","Trem1","Hmgn2"
"193","mt-Co2","Clk1","Ctsd","March7","Sat1"
"194","Bnip3","Rpl41","Rps25","Hspa8","Dach1"
"195","Fos","Ankrd33b","Rps28","Il13ra1","Syne1"
"196","Polr2a","Cyp4f18","Cfl1","Ctsd","Rpl37"
"197","Zfp292","Hck","Sat1","Pde4b","Fam65b"
"198","Gla","Spi1","Ncf2","Cytip","Fis1"
"199","Clk1","Gpcpd1","Arpc1b","Plaur","Timp2"
"200","Rps16","Fcgr3","Rpl24","Lilr4b","Klf2"
