"","logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR","celltype","celltype_fraction","nh_size"
"1",1.08047691582999,9.84307647895629,16.8721574647223,6.34141161735347e-05,0.000135948705908407,1,0.000147331426945614,"Granulocytes 3",0.829059829059829,117
"2",0.00375540162178589,9.85444845568444,0.000211046142909015,0.988683286128013,0.989955518140074,2,0.989839569944343,"Granulocytes 3",0.991525423728814,118
"3",0.593472209459541,10.2609694804141,7.75713726432451,0.00945192760572927,0.0143937407168978,3,0.0150064542844837,"Granulocytes 5",0.616352201257862,159
"4",-1.02372740137634,10.2168333834468,19.8545851862451,2.83618102967324e-05,6.48635625378339e-05,4,7.10975753554687e-05,"Granulocytes 3",0.74025974025974,154
"5",1.56087391865945,10.5213221859389,67.3549026604688,6.31903476626083e-13,4.88183966393443e-12,5,7.08071968996246e-12,"Granulocytes 3",0.859375,192
"6",0.509295067483609,9.61868067336386,3.33956233673045,0.0779220068347225,0.101644912631396,6,0.10465945144298,"Monocytes Apobec3b",1,99
"7",-1.69079063116102,9.72249836343859,31.3825083510799,5.50259084460111e-08,1.87918668466566e-07,7,2.2150753966548e-07,"Monocytes Apobec3b",1,107
"8",0.860468104157822,9.86592474664389,11.0643549887247,0.00120100868343204,0.00218946475094732,8,0.00232565194937311,"Granulocytes 4",0.873949579831933,119
"9",-3.99819215158828,9.92123524601855,111.658939885007,9.71937940144033e-25,5.3541103050543e-23,9,1.15606812738802e-22,"Monocytes Apobec3b",0.967741935483871,124
"10",0.023561929646752,10.2170170401839,0.011633134328731,0.919410699976422,0.928942070869319,10,0.928420722389084,"Granulocytes 3",0.88961038961039,154
"11",0.0824331565127804,9.44701518402253,0.0774483756685553,0.789219747809665,0.815612904139352,11,0.820736456452799,"Granulocytes 3",0.517241379310345,87
"12",0.899031807080936,9.10603699574071,6.55063554562138,0.0109552803726282,0.0165242145620475,12,0.0172481059350825,"Monocytes Apobec3b",1,67
"13",1.00593377982344,9.47716480515644,11.5363825033263,0.0011059684685891,0.00203081456478607,13,0.00216117926508792,"Granulocytes 3",0.426966292134831,89
"14",1.24504787695737,10.4087650656904,38.7599123754726,1.95156958950157e-08,7.18790311017004e-08,14,8.61210592071625e-08,"Granulocytes 3",0.84180790960452,177
"15",-1.97698493073801,9.67139944677444,39.0559135900029,1.49193194378802e-09,6.70311266943056e-09,15,8.44168959061496e-09,"Granulocytes 5",0.970873786407767,103
"16",0.167816754989996,10.4240789605272,0.751964559392389,0.435792713111768,0.483917061798958,16,0.490968110087549,"Granulocytes 4",0.480446927374302,179
"17",-0.975136036046275,9.44692033330904,9.85193737274325,0.00256228674346982,0.00429420278303738,17,0.00452687548151651,"Monocytes Apobec3b",1,87
"18",0.63982828968005,9.85452042468478,6.13184605235423,0.015904193434373,0.0233224688441558,18,0.0243153873949506,"Monocytes Apobec3b",1,118
"19",0.195525438476826,9.75979311372918,0.538601067534645,0.475659030242383,0.522235694382235,19,0.52820406187581,"Granulocytes 3",1,110
"20",2.05291785189217,9.89975485477676,55.7866853187294,3.69942639282653e-13,3.04361898682546e-12,20,4.47294828562057e-12,"Granulocytes 4",0.942622950819672,122
"21",5.71243647378617,9.65885081050971,149.208508987104,3.63893853212372e-32,9.2210702404015e-30,21,2.13327874251597e-29,"Monocytes",1,102
"22",0.392397331509703,8.94324978894397,1.06085829180576,0.303117808007506,0.348502960749101,22,0.353926788754742,"Monocytes CD14",0.966101694915254,59
"23",1.57177280214426,9.74769763870176,31.6545230943698,4.63315462931252e-08,1.59951142107329e-07,23,1.88773714857487e-07,"Granulocytes 4",1,109
"24",-0.748255285875753,10.0668708708768,9.44907054824564,0.00314677914041746,0.00516446783796493,24,0.00542610358148466,"Granulocytes 4",0.427536231884058,138
"25",-4.38896717136484,9.74724703779404,106.265978428959,1.37773748247744e-23,6.4651607048108e-22,25,1.44569321503302e-21,"Monocytes Apobec3b",0.972477064220184,109
"26",-0.344090638471001,9.96455801498679,1.89665020948666,0.181670935864822,0.219425239028341,26,0.224791092691939,"Granulocytes 3",0.875,128
"27",-2.72561235970527,10.2776936650309,104.445038558187,2.33438737153611e-21,8.45048228496072e-20,27,1.86463010204161e-19,"Monocytes Apobec3b",0.981366459627329,161
"28",1.54448139074226,10.7416757139725,87.8124023281292,1.24898910058298e-14,1.29710589380216e-13,28,1.99702718530853e-13,"Granulocytes 3",0.991111111111111,225
"29",2.33052225054722,10.6123210962163,148.047558897514,2.52029182358707e-25,1.68063670551833e-23,29,3.41690866578517e-23,"Granulocytes 3",0.917073170731707,205
"30",1.62574729242013,9.54971998667198,29.6246048053205,1.66226297929267e-07,5.33186631585775e-07,30,6.19116888923138e-07,"Granulocytes 3",0.840425531914894,94
"31",0.728057424511674,10.0769145167579,9.58154145764221,0.00297251041736951,0.00491667193055766,31,0.00516849476768188,"Granulocytes 1",0.539568345323741,139
"32",2.67564948544905,9.06712582242158,42.5221583135312,8.40590531820174e-11,4.55140258041094e-10,32,5.94628405153434e-10,"Monocytes CD14",1,65
"33",-2.08909285545739,9.89930773427474,49.7033004564625,6.98894050128099e-12,4.68517863234022e-11,33,6.41731983594351e-11,"Granulocytes 5",1,122
"34",-1.12072695581662,9.19899551631913,10.1354952635894,0.00179679760588126,0.00314439581057614,34,0.00331388280654417,"Granulocytes 2",1,72
"35",0.584253899921807,10.3691244604845,8.51515747208951,0.00788467521939487,0.0121679458014291,35,0.0126930323042751,"Granulocytes 5",0.616279069767442,172
