"","logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR","celltype","celltype_fraction","nh_size"
"1",-0.323720590669777,10.6208082078265,0.411259049029927,0.528234851573191,0.570751315236399,1,0.562155385815656,"T Helper",1,60
"2",-0.291849249127982,10.6830864654399,0.345135657389642,0.563113192350618,0.601106371593551,2,0.595339248055647,"T Helper",0.920634920634921,63
"3",2.28597182788334,10.799818705195,20.1205646660056,0.000201336709104106,0.000490066824907247,3,0.000436757371424676,"CD4/8 Naive/Stemlike",0.956521739130435,69
"4",-1.92598772019057,11.1630754523007,30.342476117656,1.79235532285685e-05,6.43745520545368e-05,4,5.27028264876103e-05,"Natural Killer T Cells",0.659340659340659,91
"5",0.183198614426478,11.0724317735141,0.336288890665304,0.5687021291604,0.605613084658791,5,0.599590902610917,"CD4/8 Naive/Stemlike",0.964705882352941,85
"6",0.20193701766283,11.2056881347747,0.423146151297054,0.522243368196967,0.56565724232581,6,0.556197321527028,"CD8 Effector Memory",0.957446808510638,94
"7",-0.579959030891484,11.1032897326499,3.64750343671232,0.0694888547557584,0.0927215742674728,7,0.0913138394285943,"CD4/8 Naive/Stemlike",1,87
"8",2.69144226470101,12.1398035145915,104.816163104704,1.0709179339269e-09,3.16277763153077e-08,8,1.97341969806202e-08,"CD4/8 Naive/Stemlike",0.994652406417112,187
"9",0.843205850433115,11.5774700218635,10.5314872844526,0.00385656599549461,0.00657099513847736,9,0.00628467480231907,"CD8 Effector Memory",0.951612903225806,124
"10",-0.216803872005579,11.3147258177519,0.587146422370809,0.451832983018149,0.497915451435423,10,0.488686067202866,"Mucosal-associated Invariant T Cells",0.892156862745098,102
"11",3.7513592641584,11.4396271980088,90.3143541347419,4.47744289110553e-09,8.77707721118625e-08,11,5.4632804957063e-08,"CD4/8 Naive/Stemlike",0.973214285714286,112
"12",-2.00015993648492,10.9931401300026,35.1323703426209,6.83206338352051e-06,2.80241118416628e-05,12,2.22213550481809e-05,"Treg",0.9,80
"13",1.91059284009308,11.0248595830994,27.2081034877872,3.28101795854489e-05,0.000100700586201725,13,8.50127223430179e-05,"Mucosal-associated Invariant T Cells",0.865853658536585,82
"14",-1.52855113386632,11.3791987306134,28.9650056445914,2.40683084669686e-05,8.26531833400551e-05,14,6.84699516488292e-05,"Natural Killer T Cells",0.953271028037383,107
"15",1.31573769488048,10.6828809893065,6.38957343121367,0.0195227383632241,0.0285431455277501,15,0.0280906201690603,"Other T Cells",0.825396825396825,63
"16",-1.38636179567074,11.2201455194416,19.5261437223128,0.000236232088515311,0.000553708016996205,16,0.00049728932625533,"Natural Killer T Cells",0.936842105263158,95
"17",1.56608442871728,11.6203517913222,32.0015380881971,1.27029570309139e-05,4.8097521065768e-05,17,3.88951757942757e-05,"Mucosal-associated Invariant T Cells",0.890625,128
"18",1.17742696833789,11.5442282661443,22.2367094737967,0.000109206222046071,0.000286262463706564,18,0.000249868572510126,"CD4/8 Naive/Stemlike",0.950413223140496,121
"19",2.16556001753551,12.2190192018872,70.7820801237042,3.50133440499667e-08,4.19213822003655e-07,19,2.85739831794396e-07,"CD4/8 Naive/Stemlike",1,198
"20",3.12648695918961,12.0481640682966,126.26834417812,1.76894334121869e-10,1.25195434681715e-08,20,7.80638924069741e-09,"CD4/8 Naive/Stemlike",0.988571428571429,175
"21",1.37489627555656,11.2879067747606,15.2950869064042,0.000797716097358467,0.00156366473951239,21,0.00146046854406704,"CD4/8 Naive/Stemlike",0.97,100
"22",2.67603630591876,11.7615073515935,78.9645908908302,1.40804120874499e-08,1.94925704835635e-07,22,1.28262879001016e-07,"CD4/8 Naive/Stemlike",0.971830985915493,142
"23",2.80011907185725,12.3136938580078,89.7287627368945,4.73609558598927e-09,8.77707721118625e-08,23,5.4632804957063e-08,"CD4/8 Naive/Stemlike",1,212
"24",-2.40142136803019,11.4408276747769,74.4089137207463,2.31547559098588e-08,3.01692849060808e-07,24,2.02131291999311e-07,"Natural Killer T Cells",0.973214285714286,112
"25",-3.27845218857393,11.2482151860991,81.2735198302102,1.10384347012147e-08,1.57742792665745e-07,25,1.04074084665397e-07,"Natural Killer T Cells",0.948453608247423,97
"26",0.455562718780275,11.5104595688,3.67316961782752,0.101500646104144,0.130871431906509,26,0.128072467033017,"CD4/8 Naive/Stemlike",1,118
"27",0.264754991655298,11.1626023647048,0.703264018765186,0.411043063646157,0.459828477765777,27,0.451269841129605,"CD4/8 Naive/Stemlike",0.901098901098901,91
"28",-0.442594744420208,10.7813120834479,1.24166560135065,0.277501035726334,0.325219467795677,28,0.318223732279809,"T Helper",0.794117647058823,68
"29",-0.224428669056148,11.7525458220188,1.17290453917475,0.360331031713321,0.409299094997439,29,0.400156800505952,"CD4/8 Naive/Stemlike",1,141
"30",0.891924390264006,11.0088790334437,7.41789747493627,0.0125111864237478,0.0193792153346864,30,0.0188105196317814,"CD4/8 Naive/Stemlike",0.555555555555556,81
"31",4.68307014712849,11.9999891641274,173.159057875932,1.21555682414538e-11,2.69245836548202e-09,31,1.69789190554339e-09,"CD4/8 Naive/Stemlike",0.976331360946746,169
"32",-1.38148114081625,11.0571609127425,20.7744102641001,0.000159928492193412,0.000404847554523895,32,0.000355611590073075,"CD4/8 Naive/Stemlike",0.976190476190476,84
"33",-1.22333557319223,11.0092979687294,15.3505167546796,0.000784322680304716,0.00155113815792406,33,0.00145241659665528,"T Helper",0.790123456790123,81
"34",-0.711913855561017,11.103330795006,5.17441249616887,0.0334715956204073,0.0475253745507706,34,0.0468291416795586,"CD4/8 Naive/Stemlike",0.919540229885057,87
