"","SC78_5_factor1","SC78_5_factor2","SC78_5_factor3","SC78_5_factor4","SC78_5_factor5","SC78_5_factor6","SC78_5_factor7"
"113","Gm2a","Clic1","Nfe2l2","Dusp1","Cmip","Ndel1","Sh2d3c"
"114","Calm2","Adam8","Cd44","Cd53","Ankrd33b","Camk1d","Trem1"
"115","Dynll1","Arhgap15","Adam17","Spag9","Ctsd","Txn1","Por"
"116","Bri3","Ly6g","Cd9","H2-Q4","Cd52","Chst11","Ddx5"
"117","Cox8a","Rps29","Ankrd33b","Lyn","Atp2b1","Klf6","Fem1c"
"118","Rbm25","Rpl9","Txn1","Tpt1","Clec4d","Klhl2","S100a6"
"119","Ctsz","Ifitm1","Trem1","Fau","Sdcbp","Atrnl1","Arpc3"
"120","Arhgdib","BC117090","Ppp1r15a","Gm42418","Ccnl1","Selplg","Braf"
"121","Rbm39","H3f3b","N4bp1","Trem1","Rps27a","mt-Co3","Lamp2"
"122","Ptbp3","mt-Atp6","Rabgef1","Tspo","Arg2","Arhgap24","Adam8"
"123","Msn","Cd9","Actr3","Usp25","Gla","Fxyd5","Tlr4"
"124","Gm42418","mt-Co3","Picalm","Ifit3b","Lsp1","Adgre5","Gcnt2"
"125","Fus","Gpi1","Rap1b","Xylt1","Ncf2","Ppp3ca","Junb"
"126","Eef2","Psap","Sod2","Fxyd5","Gadd45b","Cd300lf","Notch2"
"127","Atp6v1f","Pygl","Hspa5","Clec2d","Rps29","Fcer1g","Fam134b"
"128","Cd47","Rps12","Neat1","Picalm","Rps16","mt-Co2","Arhgap15"
"129","Itsn2","Ncf4","Entpd1","Clec4d","Fosl2","Mtus1","Slc15a3"
"130","Fcer1g","Gng5","Lrg1","Gabarap","Ddit3","Notch2","Rps9"
"131","Cd52","Cap1","Lpcat2","Csrnp1","Snap23","Nup98","Pag1"
"132","Lamp1","Rps16","Ninj1","Rnf114","Ddx6","Alox5ap","Mir142hg"
"133","Ywhae","Nedd9","Gsap","9930111J21Rik2","Fam134b","Bcl6","Atp2b1"
"134","Tceb2","Rps10","Jund","Cxcl2","Gcnt2","Herc4","Cdk17"
"135","Cox6b1","Mctp1","Pfn1","Irgm2","Taldo1","Cytip","Sp100"
"136","Chchd2","Spi1","Bcl2l11","S100a11","Lamp2","Lsp1","Cyp4f18"
"137","Kif5b","Junb","Smox","Gadd45b","Tgoln1","Lilrb4a","Tpt1"
"138","AF251705","Tkt","Iqgap1","Hcar2","Gm5150","Arih1","Vmp1"
"139","Ptpn6","Gm42418","Fndc3b","Dclre1c","Marcks","Gm5150","Fosl2"
"140","Csf1","Eno1","Vasp","Ccr1","Coro1a","Pim1","Ell2"
"141","Rpl13","Lbr","Rab11fip1","Marcks","Gab2","Fau","Iqgap1"
"142","Ccnd3","Cnn2","Ddx3x","Epsti1","Lilrb4a","Zyx","Zeb2"
"143","Gnaq","Oaz1","Sorl1","Ier3","Iqgap1","Antxr2","Dock2"
"144","Pitpna","Ddx5","Kpna4","Pfn1","Dusp5","Samhd1","Etf1"
"145","Rpl6","Stk17b","Rbpj","Ptgs2","Cdk2ap2","Osm","Cd300lf"
"146","Inpp5d","Gabarap","Ctsz","Cers6","Plk3","Emilin2","Mctp1"
"147","Rsrp1","Ptprc","Fbxo11","Ifi47","Tra2a","Sell","Basp1"
"148","Hspa5","Gpsm3","Ccnl1","Sik3","Sat1","Prkcb","Mbnl2"
"149","Vamp8","Timp2","Mapk6","Dtx3l","Ppp1r15a","Syk","Gda"
"150","Nipbl","Dstn","Cd52","Ptprc","Rab7","Cd33","Trib1"
"151","Gm10073","Ube2d3","Icam1","Whsc1l1","Skap2","Whsc1l1","Fnip1"
"152","B2m","Calm1","Dock2","Samsn1","Tspo","B2m","Ppp1r3b"
"153","Npc2","Fbxl5","Grina","Klf6","Tbc1d15","Tspan13","Fcer1g"
"154","Zcchc7","Actn1","Lyn","Csf1","2810474O19Rik","Ncor1","Ptbp3"
"155","Clta","Glipr2","Rps27","Tmem140","Tnfaip2","Abtb2","Ccnl1"
"156","Btf3","Rhoa","Ccl3","Tlr4","H2-K1","Anxa2","Dusp16"
"157","Myo1f","Sat1","Relb","Cd44","Anxa2","Gab2","Arih2"
"158","Rps12","Fam65b","Igsf6","Tpd52","Sgms2","Dmxl2","Slc11a1"
"159","Itga4","Cyp4f18","Ncf4","Tra2a","Smox","Elmo1","Gm26740"
"160","Ambra1","Ctsd","Hp","Stat2","Cst3","Itgal","Clec4e"
"161","Ier2","Lilrb4a","Snx20","Cd14","Clk1","Txnip","Ier3"
"162","Tra2b","Slfn4","Adgre5","Irf2","Anxa1","Actr3","Bcl2l1"
"163","Oaz1","Sgms2","Fas","Rnf149","Mir142hg","Tgfbi","Mrpl33"
"164","Plin2","Litaf","Cmip","Itm2b","Nup98","Prr5l","Rbms1"
"165","Pum2","Picalm","Ddx6","Arg2","Cd53","Atg3","Fbxo11"
"166","Tyrobp","Cxcr2","Txnrd1","Ier5","Anxa11","Ankrd44","Csf2rb"
"167","Itm2b","Btg1","Gpbp1","Parp10","Cdc42","Lst1","Agpat9"
"168","Klf6","Map1lc3b","Nadk","Basp1","Ifitm3","Slpi","Myo1d"
"169","Gls","Rap1b","Fxyd5","Gsap","Zyx","Jmjd1c","Suco"
"170","Pip4k2a","Gadd45a","Cdc42","Ddx5","Fem1c","Slc40a1","Zcchc6"
"171","Stag1","Anxa11","Emilin2","Tspan13","Mapkapk2","Tbc1d15","Dgat1"
"172","1810058I24Rik","Rpl34","Rac2","Msn","Pla2g7","Adipor1","2810474O19Rik"
"173","H2-K1","Selplg","Gabarap","Ctsd","Kdm6b","Anxa1","Tnfrsf1b"
"174","Alcam","Il1f9","Hck","Gab2","Fnip1","Susd6","Arpc2"
"175","Lncpint","Pnkp","Zc3h12a","Oas1a","Slc7a11","Spi1","Kdm6b"
"176","Plbd1","Lyn","Lsp1","Fcgr4","Gm43661","Zfand5","Ptafr"
"177","Tnrc6b","Myh9","Arih2","Cdk2ap2","Ctnnb1","Eif1","Smchd1"
"178","Rhoa","Rpl37a","Susd6","Pnrc1","Rac2","Xylt1","Dennd4a"
"179","Card19","Pten","Zfand3","Trim12c","Rap1b","Rap1b","Mirt1"
"180","Cab39","Itgb2","Cyba","Oasl2","Inpp5d","Mmp9","Sntb2"
"181","Ost4","Ndel1","Irf1","Fcgr3","Osm","St8sia4","Pnrc1"
"182","Gm20388","Lmnb1","Irak3","Rps9","Gadd45a","Rbm47","Txn1"
"183","Rpl27","Sell","mt-Atp6","Irf9","Gmfg","Ptpn12","Fam107b"
"184","Zfp36l2","1110008F13Rik","Slc15a3","Tnfrsf1a","Ptafr","Sat1","Rab20"
"185","Fam49b","Sri","Rps16","Ctsb","Cytip","Tmem164","Dusp5"
"186","Ppia","Zfp36","Arhgap26","Emilin2","Trib1","Ccr1","Fau"
"187","Ptk2b","Arg2","Csrnp1","Pkm","Rpl17","Apbb1ip","Il1rn"
"188","Rab2a","Gnb2","Rps29","Helz2","Atp6v1g1","Clec4d","Arhgap26"
"189","Brk1","Cox4i1","Ctnnb1","Ptafr","Ifrd1","Sdcbp","Kctd12"
"190","Arih1","Pgd","Coq10b","S100a8","Ptp4a1","Baz2b","Sepn1"
"191","Ppp2ca","Hdc","Gpr132","Themis2","Rbm39","Etf1","Ifitm1"
"192","Btbd7","Pilra","Gpcpd1","Ccnl1","Serinc3","Lamp2","Klra2"
"193","Jun","Hpcal1","Snx18","Atp2b1","Lyn","Tbc1d14","Cltc"
"194","Man2b1","Dhrs7","Cst3","Tnfrsf1b","Rpl9","Tspo","Btg2"
"195","Ubl5","Lilr4b","Coro1a","Inpp5d","Gpcpd1","Gadd45a","Snap23"
"196","Rpl22","Atp5l","Oser1","Fam134b","Ube2h","Ltb","Trps1"
"197","Arf1","Cst3","Gmfg","Cst3","Igf1r","Xpo6","Msra"
"198","H2-D1","Dusp1","Ell2","Mbnl2","Calm2","Samsn1","Klhl2"
"199","Pbx1","Hcst","Slc16a3","Gbp5","Rpl41","Il13ra1","Selk"
"200","Hnrnpc","Cox8a","Alox5ap","Cd9","Il1rap","Slfn4","Tgoln1"
