"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"Lypla1",1.80519478046857,2.22044604925031e-16,1.50039544537241e-15,1.92258635803277,2.22044604925031e-16,2.22044604925031e-16,0.497927163081845,3.08664792619347,2.22044604925031e-16
"Tcea1",2.06575961000713,2.22044604925031e-16,2.22044604925031e-16,1.78164952223598,2.22044604925031e-16,2.22044604925031e-16,4.1585875540175,0.420990074236378,1.70819766039126
"Atp6v1h",1.70825861044085,4.96502943797903,5.68354061747358,1.34792743016542,2.81400273347595,3.90936544624737,1.60401435559195,4.79788431623199,0.538167977943509
"Rb1cc1",7.60517545650274,11.5664555093908,2.95734777311306,4.45368521199937,8.81127251663555,12.7483364982946,13.4539520118784,13.8643238680744,2.77958552900989
"4732440D04Rik",0.99329324894331,1.09850689643918,6.46055863477027e-05,0.0826999677482843,2.22044604925031e-16,1.4713149327564,1.20437634758185,0.427323793831692,1.3174311598064
"Pcmtd1",8.27016043060458,5.31350215842898,7.83627716158753,3.5502036421974,3.97616269465334,5.44217559930488,5.71467867171054,9.31695784281264,3.07384603061093
"Gm26901",2.39784616159739,1.34779378285271,1.4495864247267,0.0901246694365332,2.22044604925031e-16,2.12151361509089,0.358372135080515,1.47865439957441,2.22044604925031e-16
"Sntg1",2.22044604925031e-16,0.345756290563373,2.22044604925031e-16,0.259786429773813,2.22044604925031e-16,2.22044604925031e-16,0.0906751920003011,1.85073506203192,2.22044604925031e-16
"Vcpip1",2.7513436325627,0.213352006878912,1.22818407056286,1.441838692227,2.61444489944362,0.581580807016688,2.36968520920985,2.22044604925031e-16,2.22044604925031e-16
"Sgk3",2.02819990333106,3.90132547921764,2.78378987910445,6.56831451106919,2.90226321403534,2.22044604925031e-16,2.38511651627233,3.7119186720855,1.61163600518168
"Ppp1r42",2.22044604925031e-16,2.22044604925031e-16,1.00760138332938,2.22044604925031e-16,0.926379201822261,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.99984263944266
"Cops5",0.916540488610951,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.07583226268251,0.294197332572343,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Cspp1",0.548538366550155,2.22044604925031e-16,1.1789205375112,1.92770377734493,2.22044604925031e-16,1.07821771404214,2.22044604925031e-16,3.58583812136205,0.849845011613723
"Arfgef1",3.93417717241366,8.52886153952833,4.91968023952803,8.02725285250752,9.69321498245787,8.94694362365454,4.81167821723789,4.04107654777403,9.43491369888533
"Prex2",2.22044604925031e-16,2.22044604925031e-16,0.971390116518231,2.22044604925031e-16,0.176564790257711,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.197458051789973
"Ncoa2",4.69574333395734,8.07363922831785,2.72259114828641,7.06926770482748,14.2575027296268,9.09833850090613,9.58517968039525,9.46628907420133,3.48273304968083
"Tram1",2.22044604925031e-16,1.68049912544406,1.48654130280992,3.19946050058798,2.53078124809145,2.22044604925031e-16,1.42719471675242,2.52624093809594,2.25819099912199
"Lactb2",0.19737939007057,0.000154878279253812,2.22044604925031e-16,0.476847417261039,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.379133819071725
"Terf1",2.22044604925031e-16,0.593962470933368,0.680331995740141,0.742636020411693,1.25943315483296,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Rpl7",0.314628484158131,2.33731825253888e-11,10.3336024873263,15.5648487822394,6.13050296638446,2.22044604925031e-16,3.35173785862307e-15,2.22044604925031e-16,3.1883795654364
"Rdh10",0.48364841000809,0.651887759024373,2.22044604925031e-16,0.596407256326401,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Ube2w",2.01245418386659,2.22044604925031e-16,2.22149074298467,1.4992781334515,2.99297215373991,2.22044604925031e-16,1.26201019511068,2.83090330749417,2.72408706463332
"Tceb1",2.78630702857603,1.42482124105592,3.41019971649381,3.31621632239163,3.92044715291327,2.22044604925031e-16,8.30926960871146,5.90227475041015,4.71755962834033
"Ly96",2.08609453183201,0.750241326345586,1.00016945455245,3.25409959982752,1.8426483405759,2.33125393830018,2.22044604925031e-16,1.22991690316787,2.54203170692352
"Tram2",0.93278686408623,0.0255625090997553,2.22044604925031e-16,2.22044604925031e-16,0.345199127392929,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Kcnq5",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.80373536098148,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Ogfrl1",7.41048233554064,5.84897941039003,8.00396054000391,2.22044604925031e-16,13.108465825459,7.35856921825712,11.5745671531973,11.3386458187729,13.1586999838768
"Smap1",5.31916543555796,2.4459456749338,2.00588736259549,1.74334043564332,2.56952500598039,3.38950976026009,2.31559197926299e-06,4.31403789830924,2.22044604925031e-16
"Lmbrd1",10.0523538935118,5.61710309731724,8.32352855561366,2.22120414052708,2.92958599373455,13.6100893408218,1.2412427154797,7.91484767011258,8.55996078171324
