"","SC78_4_factor1","SC78_4_factor2","SC78_4_factor3","SC78_4_factor4","SC78_4_factor5","SC78_4_factor6","SC78_4_factor7","SC78_4_factor8","SC78_4_factor9"
"101","Rps9","Antxr2","Plk3","Samsn1","Anxa2","Fxyd5","Bcl2a1b","Vps37b","Picalm"
"102","Eml1","Gab2","Emilin2","Rpl18a","Antxr2","2810474O19Rik","C5ar1","Ccr1","Arg2"
"103","Fnip1","Csrnp1","Itpkb","Oaz1","Ddx5","Trem1","Zc3h12a","Tpt1","Myl6"
"104","Gabarap","Mapkapk2","Hectd1","Mbnl2","Selplg","Myo1d","Rps9","Sgms2","Sorl1"
"105","Fem1c","Tpt1","Spi1","Fam107b","Snap23","Iqgap1","Rab11fip1","Fcer1g","Diaph1"
"106","Mir142hg","Chmp4b","Rpl23","Cd9","Alox5ap","Kdm6b","Nedd9","Tnfaip2","Spag9"
"107","Ifitm2","Chst11","Ncf2","Lyz2","Nedd9","Zeb2","Actr3","Fgl2","Lcn2"
"108","Egr1","Cst3","Rpl18a","Hip1","Rassf3","Notch2","N4bp1","Ctnnb1","App"
"109","Arih2","Arg2","Tnfaip2","Rpl11","Elmo1","Gm26740","S100a6","Ddx3x","Lilrb4a"
"110","Ctsd","Stk17b","Btbd9","Atf7ip","Igf1r","Abtb2","Ddx5","Sh2d3c","Ppp1r3b"
"111","Ptafr","Slc7a11","Samsn1","Rps15a","Samsn1","Btg2","Fcer1g","Pik3ap1","Arhgdib"
"112","Mirt1","Runx1","Isg15","Rps6","Trem1","Mir142hg","Plaur","Osm","Slc15a3"
"113","Il1rn","Emilin2","Fem1c","Marcksl1","Cap1","Ppp1r3b","Snap23","Gab2","Ddx5"
"114","Rps27","Ccr1","Fam134b","Rac2","Akap13","Mrpl33","Sema4d","Alox5ap","Ankrd33b"
"115","B2m","Slc15a3","Cd80","Kdm6b","Ndel1","Fndc3b","Tpt1","Dusp5","Anxa1"
"116","Tiparp","H3f3a","Sat1","Fxyd5","Pag1","Tgm2","Gsap","Rap1b","Ifitm2"
"117","Grina","Sdcbp","Rab7","Rpl28","Itgal","Fbxo11","Fxyd5","Egr1","Actr3"
"118","Sp140","Ier3","Ctnnb1","Ptma","Emb","Adam8","Ankrd33b","B2m","Neat1"
"119","Lilr4b","Tor1aip1","Cd300a","Cytip","Ltb","Fem1c","Lst1","March7","Fosl2"
"120","Lcp1","Map1lc3b","Txn1","Prrc2c","Syk","Trib1","Il1r2","Coro1a","Ncf2"
"121","Ralgapa1","Ndel1","Arpc5","Btg2","Rps27a","Tpm4","Hspa5","Lyn","Arpc5"
"122","Vps37b","Lilrb4a","Iqgap1","Ptprj","Hmha1","Rap1b","Txn1","Lsp1","Mctp1"
"123","Trem1","Etf1","Trem3","Rps25","Fbxl5","Grina","Hcar2","Ccl6","Ptprj"
"124","Tpm4","Csf1","Actr3","Tyrobp","Pim1","Tlr4","Slfn2","Ubc","Ctsd"
"125","Fcer1g","Ascc3","Arpc3","Vasp","Lyz2","Osm","Fau","Taldo1","Cd53"
"126","Baz2b","Fau","Trem1","Neat1","Arhgdib","Gtdc1","Rap1b","Gpcpd1","Cyba"
"127","Pbx1","Ubb","Eef1a1","Dennd4a","Prkcb","Ptgs2","Ell2","Hmgb2","Ptprc"
"128","Sh2d3c","Lyst","Pnrc1","Irg1","Apbb1ip","Snap23","H2-K1","Map1lc3b","Snx18"
"129","Picalm","Por","Rap1b","Atp2b1","Cytip","Myh9","Snx18","Pfn1","mt-Co1"
"130","Ctnnb1","Picalm","Mrpl33","Arpc2","Cxcr4","Sp140","Lyn","Gm42418","Lyst"
"131","Nedd9","Trem1","S100a6","Nfkbia","Fcer1g","Fosl2","Antxr2","Gm43661","Tlr4"
"132","Cstb","Slfn2","Sgms2","Acer3","Ncor1","Ier3","Lsp1","Serinc3","Ier3"
"133","Serinc3","Samd9l","Msn","Dock8","Slfn2","Tnfrsf1b","Hck","Hp","Emilin2"
"134","Pde7b","Gabarap","Coro1a","Tnfrsf1b","Sell","S100a6","Lcp2","Iqgap1","Hmgb2"
"135","Ccl6","Herc6","Lsp1","Rpl13","Amica1","Ptafr","Traf3","Rab7","Rdh12"
"136","Ier3","Basp1","Ninj1","Qk","Ccr1","Syk","Rbpj","Wnk1","Sdcbp"
"137","Cyth1","Clec2d","Myl6","mt-Nd3","Tsc22d3","Wnk1","Irak3","Zfp36l2","Myh9"
"138","Sepn1","Ctnnb1","Lilr4b","Eif5","Spi1","Elmo1","Trem3","Lilrb4a","Lsp1"
"139","Mrpl33","Rap1b","Vmp1","Ubb","Clec4d","Klhl2","Tpd52","Plk3","Btbd9"
"140","Nlrp3","Tiparp","Ppp1r2","Naca","Nfkbiz","Mcl1","Jak2","Fnip1","Notch2"
"141","Cyp4f18","Trib1","Cxcr4","Gm42418","Itm2b","Mbnl2","Neurl3","Rps27a","Plk3"
"142","Nudt4","Nudt4","Laptm5","Gnai2","Adgre5","Ell2","Entpd1","Ier5","Pglyrp1"
"143","Ccrl2","Kdm6b","Ostf1","Plek","Pten","Mirt1","Sod2","Cdk2ap2","Rap1gap2"
"144","March7","Cd14","Alox5ap","Rab11fip1","Cyba","Ddx3x","Dock2","Adgre5","Map2k4"
"145","Anxa11","Nfkbia","Rpl41","Rapgef6","Klf6","Stk17b","Pfn1","Grina","Cotl1"
"146","Gpr35","Nfkbiz","Mapkapk2","Stat3","Rap1b","Jdp2","Ddx3x","Igf1r","Il1rn"
"147","Dhrs9","Inpp5d","Egr1","Smyd3","Rpl37","Por","Bcl2l11","Pla2g7","Glrx"
"148","Igf1r","Cd52","Lilrb4a","Rpl37","Ifi27l2a","Ifrd1","Rps27","Fam49b","Btg2"
"149","Dock2","Fosl2","Rpl10","Akap13","Usp32","Arih2","Nfe2l2","Gmfg","Kctd12"
"150","Pfn1","Cd53","Ccnl1","Alcam","Osbpl9","Zfand3","Rabgef1","Zyx","Trem3"
"151","Trib1","Parp14","March7","Gab2","Mir142hg","Etf1","Skil","Trib1","4932438A13Rik"
"152","Taldo1","Ifih1","Mirt1","Fam49b","Grina","Slc15a3","Jund","Kdm6b","Arpc1b"
"153","Fosl2","Rabgef1","Gm2a","Stk17b","Rab8b","Arpc2","Bcl2a1d","Sat1","Selk"
"154","Ptk2b","Trafd1","Cyba","Gm8730","Ccrl2","Suco","Bcl3","H2-K1","Anxa11"
"155","Gcnt2","Itm2b","Pitpna","Rplp0","Mrpl33","Gsk3b","H2-Q7","Gnai2","Ctnnb1"
"156","H2-K1","Ctsd","Tpm4","Mxd1","Ptpre","Stx11","Tlr2","Gabarap","Plin2"
"157","Isg15","Rnf213","Rac2","Nr4a1","Asap1","Agpat9","Iqgap1","Pag1","Cap1"
"158","Rab20","Cd300lf","Adgre5","Msrb1","Hspa8","Usp32","Rab20","Adam17","Ddx6"
"159","Actr3","Ddx3x","Neat1","Apbb1ip","Gab2","Vmp1","Relb","Fem1c","Anxa2"
"160","Eea1","Sh2d3c","Irak2","Hdc","Pygl","Gfod1","Emilin2","Nudt4","Sepn1"
"161","Smox","Tmbim6","Selk","Kpna4","Fgr","Rab8b","Picalm","Cyp4f18","Gmfg"
"162","Mapkapk2","Fnip1","Gpr35","Rpl24","Ifitm2","C5ar1","Arhgap15","Gadd45b","Nfkbiz"
"163","Cd300lf","Ncf2","Tnrc18","Calm1","Slc40a1","Slc11a1","Alox5ap","Itm2b","Rab7"
"164","Por","Ier5","Lfng","Fam65b","Tpt1","Cdk17","Nr4a3","Cap1","Serf2"
"165","Tnfrsf1b","Atf3","Gm42418","Whsc1l1","Zyx","Slc22a15","Cd52","Arpc1b","Rap1b"
"166","Suco","Marcks","Ubb","Tpm3-rs7","Slc9a9","Mapkapk2","Smox","Rps27","Cdc42"
"167","Coq10b","Pik3ap1","Cotl1","Irak2","Cd101","Plk3","Ncf4","Cyba","Rps27a"
"168","Zeb2","Jak1","Gng5","Eef1b2","Slpi","Mctp1","Rac2","Usp32","Spi1"
"169","Hcar2","Elmo1","Cstb","Itgb2","Alcam","Adgre5","Tgif1","Tnfrsf1b","Gabarap"
"170","Osm","Taldo1","Snap23","Vti1a","Ptpn12","Inpp5d","Cmip","Inpp5d","Rnf149"
"171","Lsp1","Gm42418","Rps16","Gnb1","Fcgr3","Basp1","Ccnl1","Tra2a","Rabgef1"
"172","Tgoln1","Adgre5","Tnfrsf1b","Dock2","H3f3b","Gm42418","Pla2g7","Ddx6","Fam134b"
"173","Snap23","Nlrp3","Anxa2","Uvrag","March7","Ddx5","Bcl2a1a","Mapkapk2","Csf3r"
"174","Cdc42","Tgm2","Fosl2","Ptpre","Sat1","Osbpl9","Gpbp1","Atp6v0d1","Alox5ap"
"175","Ifrd1","Serinc3","Fmnl1","Hmha1","Arpc1b","Ptprj","Spi1","Psap","Spp1"
"176","Coro1a","Coq10b","2810474O19Rik","Cox4i1","Psap","Pag1","Gm42418","Ddit3","Ccnl1"
"177","Sat1","Dusp5","Ctsd","Diaph2","Sfxn5","B2m","Casp4","Arpc2","Stfa2l1"
"178","Arpc2","Per1","Cox17","Taok1","Nr4a1","Ptk2b","Pnrc1","Hectd1","Kpna4"
"179","Myo1d","Zeb2","Lcp1","Lilrb4a","Ube2h","Ccl6","Tnip1","Cst3","C5ar1"
"180","Ddx3x","Dclre1c","Dusp5","Jak1","Myl12b","Il1rap","Slc16a3","Cyth1","Smox"
"181","Hectd1","AW011738","Il1rn","Ccnl1","Ankrd44","Pla2g7","Snx20","Anxa11","Fam107b"
"182","Cdk2ap2","Ccl6","Cox8a","Peli1","Pde4b","Arhgap26","Taldo1","1700112E06Rik","Mmp8"
"183","Jund","Dhx40","Rps12","Tra2a","Dock11","4932438A13Rik","Gpr132","Basp1","Iqgap1"
"184","Ier5","Gmfg","Psap","Fbxo11","Sirpa","S100a11","Jak1","Ppp1r15a","Dgat1"
"185","Zfp36","Ppp1r2","Gmfg","Hsp90ab1","Il1f9","Itgal","Vmp1","Ptk2b","Gcnt2"
"186","Atp6v0d1","C5ar1","Ube2d3","Rps7","Gpx1","Ralgapa1","Mmp9","Mir142hg","Sat1"
"187","Stat3","Ddx6","Hspa5","Atrx","Mtus1","Tnfaip2","Zfand3","Lamp2","Vps4b"
"188","Ubb","Smox","Ptpn6","Dusp1","Mctp2","Rbms1","Kpna4","Ccl3","Gapdh"
"189","C5ar1","Cmpk2","Ezr","Map3k5","Cd84","Lst1","Sqstm1","Osgin1","Gnai2"
"190","Kdm6b","Unc93b1","Cap1","Morf4l1","Cdc42","Nlrp3","Lpcat2","Ifrd1","Fmnl1"
"191","Skap2","Vps37b","Rilpl2","Pfn1","Rac2","Eea1","Fas","Btbd9","Cyth1"
"192","Gm42418","Ppp1r15a","Chmp4b","Sf3b1","Lilrb4a","Susd6","Arf4","Mctp1","Basp1"
"193","Selk","Tgoln1","Rps10","Ifitm3","Pilra","Tes","Mir142hg","Dock2","Etf1"
"194","Lamp2","Oas2","Pafah1b1","Cd44","Mapkapk2","Pde4b","Etf1","Klf6","Zcchc6"
"195","Cap1","Lcp1","Rap1gap2","Sp100","Fyb","Fgr","Cdc42","Cytip","Stk17b"
"196","Kctd12","Klf6","Sp100","Klf2","Gm5150","Rbm39","Gabarap","Rac2","March7"
"197","Ell2","Helz2","Rps8","Dusp5","Tmem164","Pde7b","Cyba","Gm5150","Prr13"
"198","Mctp1","Dock2","Zfp36","Gpi1","Myl6","Ankrd44","Il10ra","Cd14","Fbxl5"
"199","Csrnp1","Lgals9","Sp140","Cxcl2","Ptgs2","Fgl2","Cst3","Anxa2","Sell"
"200","Iqgap1","Sp140","H2-K1","Lamp1","Ogt","Adam17","Sorl1","Atp6v1g1","Rbms1"
