"","SC78_1_factor1","SC78_1_factor2","SC78_1_factor3","SC78_1_factor4","SC78_1_factor5","SC78_1_factor6","SC78_1_factor7","SC78_1_factor8"
"22","Alcam","Irak2","Btbd9","Cd44","Cst3","Btg1","Cd9","Ptprc"
"23","Il1b","Plek","Atp2b1","App","Cd52","H3f3a","Xylt1","Retnlg"
"24","Baz2b","Kdm6b","Ankrd33b","Arhgap15","Rpl9","Slc16a3","Entpd1","S100a11"
"25","Eif1","Nlrp3","Clec4d","Mir142hg","Tyrobp","H2-D1","S100a11","Mcl1"
"26","Cmip","Pim1","Plek","Dock8","Ubb","Il1r2","Junb","Lst1"
"27","Sik3","Ifrd1","S100a8","Cdk2ap2","Ccrl2","Cd44","Sgms2","Klf2"
"28","Slc16a3","Junb","Sorl1","Pcbp2","Eif1","Fxyd5","Lmnb1","Ncf2"
"29","Ftl1","Tnfaip3","Cd9","Fth1","Cd14","Mxd1","Chst11","Kpna4"
"30","Spag9","Rnf149","Actg1","Il1b","Gadd45b","Ifitm2","Neat1","S100a6"
"31","Mxd1","Actg1","Nedd9","Tmsb4x","Rps9","Plaur","Litaf","Gpcpd1"
"32","Ccl6","Actb","Dennd4a","Dennd4a","Rpl41","Clec4d","Ifitm2","Lcp1"
"33","Btg1","Pik3ap1","Braf","Ankrd44","Myl12b","Entpd1","Fxyd5","Neat1"
"34","Arhgap15","Dusp1","Plaur","Runx1","Coro1a","Cd14","Pim1","Tyrobp"
"35","Cd9","Clec4e","Lmnb1","Cmip","H2-D1","Plek","Mcl1","Fau"
"36","Lgals3","Dennd4a","Dusp1","Ssh2","Dusp1","Hdc","H2-D1","Btg2"
"37","Slc7a11","Mxd1","Kpna4","S100a8","Rpl18a","Pim1","Fau","Rps9"
"38","Chst11","Hdc","Junb","Lnpep","H3f3a","Sgms2","Hdc","Lyst"
"39","Btbd9","Ptgs2","Litaf","Tnrc6b","Pfn1","Cd9","Alcam","Btg1"
"40","Ndel1","Btg1","Zeb2","Rasa3","H3f3b","Trem1","Ankrd33b","Stk17b"
"41","Irg1","Tnfaip2","Ndel1","Kmt2e","Atp5l","Fau","Sik3","Taldo1"
"42","Cyth1","Rel","Osbpl9","Hdc","Spag9","Litaf","Ndel1","Ubb"
"43","Lyz2","Mcl1","Arhgap15","S100a6","Lyz2","Irg1","Cd14","H2-D1"
"44","App","Ptafr","Ptgs2","Litaf","Lst1","Tpt1","Csf3r","Gcnt2"
"45","Lcp1","Ptprj","Cxcl2","Dock11","Il1r2","Csf3r","S100a8","Eif1"
"46","Clec4d","Spag9","Samsn1","Igf1r","Rpl37","Antxr2","Tpt1","Hdc"
"47","Cd14","Mapkapk2","Ptprc","Ftl1","Cdc42","Taldo1","Clec4d","Tmcc1"
"48","Lilrb4a","Marcks","Dock2","Srrm2","Arpc1b","Rps9","Mir142hg","Sorl1"
"49","Mcemp1","Rab8b","Lilrb4a","Entpd1","Rps16","Lcp1","H3f3a","G0s2"
"50","Hdc","Cd44","Lyn","Cebpb","Msrb1","Btg2","Btg2","Jund"
"51","Fam107b","Eif1","Btg1","Sp100","Cstb","Fcer1g","Ets2","Litaf"
"52","Arpc3","Arg2","Picalm","Clec4e","Oaz1","Ets2","Btbd9","Txn1"
"53","Fxyd5","Dusp16","Gab2","Fam49b","Atp5e","Tpd52","Ptprc","H3f3a"
"54","Mgst1","Csf3r","Slc16a3","Plek","Nfkbia","Lst1","Rps9","Arg2"
"55","Notch2","Clec4d","Gcnt2","Dyrk1a","Sh3bgrl3","Slc7a11","Slc16a3","Rnf149"
"56","H3f3a","Dusp2","Rabgef1","Atp2b1","D8Ertd738e","Rnf149","Antxr2","Fxyd5"
"57","Tyrobp","Ehd1","Cyth1","Nptn","Arhgdib","Ndel1","Plaur","Tpd52"
"58","Map2k4","Lmnb1","Cyp4f18","Zeb2","Plek","Mcl1","Fcer1g","Lmnb1"
"59","Grina","Erbb2ip","Mxd1","Mef2a","Alox5ap","Ccr1","Tpd52","Fam65b"
"60","Plek","Abtb2","Fam134b","Bcas3","Ifitm2","Txn1","Cmip","Slc7a11"
"61","Lmnb1","Cd9","Rnf149","Gab2","Arf5","Ptprc","Mxd1","Cxcr2"
"62","Sp140","Ifitm2","Wnk1","Son","Itm2b","Chst11","Jund","Zfp36l2"
"63","Tpm4","S100a8","Vps37b","Jmjd1c","Cox8a","Spag9","Kpna4","Fcer1g"
"64","Picalm","Samsn1","Lilr4b","Cul3","Cd9","Lmnb1","Atp2b1","Iqgap1"
"65","Lyn","Ftl1","Pik3ap1","Arih1","Gpx1","Ddx5","Tnfaip2","Lsp1"
"66","Adam8","Neat1","Ets2","Nedd9","Pfdn5","Grina","Emilin2","Cd44"
"67","Litaf","Fgr","Irak2","Ptprj","Plaur","Xylt1","Dennd4a","Hp"
"68","Msrb1","Litaf","Ralgapa1","Lamp2","Pim1","Ncf2","Lst1","Xylt1"
"69","Neat1","Slc7a11","Ccr1","Pcmtd1","Rpl23","Emilin2","Ccr1","Svil"
"70","Ptprj","Btg2","Baz2b","Camk1d","Mcl1","Retnlg","Isg15","Igf1r"
"71","Stx11","Zfp36","Nfkbiz","Ptprc","Rpl37a","Samsn1","Sorl1","Skap2"
"72","Snx18","Ptprc","Ptprj","S100a11","Btg2","Ccl6","Samsn1","Entpd1"
"73","Pbx1","Ncf1","Osm","Laptm5","Arpc3","Itm2b","Ddx5","H3f3b"
"74","H2-D1","Chst11","Arih2","Lilrb4a","Litaf","Clec4e","Plk3","Plek"
"75","Hp","Nr4a1","Sp140","Cyth1","Irg1","Cmip","Fgl2","Coro1a"
"76","Actr3","H2-D1","Tpm4","Ago2","Dennd4a","Hp","Arpc3","Marcks"
"77","Mcl1","Sgms2","Dusp16","Itga4","Fxyd5","Ptgs2","Ncf2","Ccl6"
"78","Dusp1","Msrb1","Myo1d","1700112E06Rik","B2m","Jund","Wnk1","Ifitm2"
"79","Mrpl33","Ets2","Btg2","Crebbp","Sub1","Arpc3","Ccnl1","Ddx5"
"80","Pfn1","Lcp1","Mctp1","Actr3","Gabarap","Isg15","Etf1","Ndel1"
"81","Msra","Ier5","Ago2","Rtn3","Rac2","Lsp1","Rab7","Anxa2"
"82","Lyst","Icam1","Cd53","Cxcl2","Hdc","Kdm6b","Inpp5d","Cmip"
"83","Dock2","Tyrobp","Ell2","Fgd4","Slc16a3","Alox5ap","Vps37b","Klf6"
"84","Ptprc","Tnfrsf1b","Nup98","Cd14","Fcer1g","Neat1","Fam134b","Arhgap15"
"85","Il1r2","Entpd1","March7","Ddx3x","Osbpl9","Pfn1","Hectd1","Fam49b"
"86","Trem1","Bcl2a1b","Ccnl1","Iqgap1","Myl6","D8Ertd738e","S100a6","Atf3"
"87","Fbxl5","C5ar1","Pim1","Zfand3","Cyba","Gabarap","Cd53","Ptgs2"
"88","H3f3b","B2m","Pde7b","Basp1","H2afj","Mir142hg","Rnf149","Cd9"
"89","Btg2","Ddx5","Lyst","Tpd52","Rpl17","Arpc5","Rabgef1","Itgal"
"90","Junb","Ninj1","Eml1","H2-D1","Taldo1","Mrpl33","Tgm2","Hmgb2"
"91","Trib1","Ier3","Pbx1","Ppp3ca","Trem1","Alcam","Braf","Fgl2"
"92","Txn1","H3f3b","Emilin2","Mrpl33","Map1lc3b","Actr3","Ctnnb1","Pbx1"
"93","Arpc2","2810474O19Rik","Igf1r","Osbpl8","Lmnb1","Fos","Sdcbp","Snap23"
"94","Samsn1","Tpd52","Inpp5d","G0s2","Chmp2a","Arg2","Rps27","Map3k5"
"95","Ncf2","Lilrb4a","Plk3","Gpcpd1","Vasp","Lilrb4a","Trib1","Adgre5"
"96","Gda","Snap23","Ctnnb1","Kmt2c","Tomm7","Plk3","Slc7a11","Lyn"
"97","Cdk17","Atp2b1","Trps1","Tyrobp","Ankrd33b","Nfkbiz","Pik3ap1","Cd84"
"98","Pim1","Nfe2l2","Tiparp","Pip4k2a","H2-K1","Cd52","Lilrb4a","Ccrl2"
"99","Emilin2","Il1r2","Rab7","Ankhd1","Jund","Sorl1","Kdm6b","Pag1"
"100","Arpc5","S100a11","Csf3r","Uvrag","Ddx5","Osm","Mbnl2","Grina"
"101","Taldo1","Vasp","Fosl2","Cytip","Sec61b","Adgre5","Lyn","Pglyrp1"
"102","Pitpnc1","H3f3a","Smox","Antxr2","Hcar2","Ctnnb1","Cxcl2","B2m"
"103","Lilr4b","Actr3","Anxa11","Gnb1","Gng5","Osbpl9","Gab2","Celf2"
"104","Igf1r","Antxr2","Suco","Gng5","Cfl1","Zfp36","Anxa11","Anxa1"
"105","Tpd52","Cd274","Slc15a3","Cspp1","Fcgr3","Nedd9","Egr1","Samhd1"
"106","Ets2","Hspa5","Fth1","Med13l","Ptgs2","Il1rn","Pnrc1","Pim1"
"107","Gm26740","Jund","Gm42418","Sorl1","Rpl10","Fosl2","Ptafr","Ddx6"
"108","Rnf149","Rab11fip1","Tnfrsf1b","Plcl2","Ccl6","Coro1a","Coq10b","Gm42418"
"109","Wfdc21","Sema4d","Aff4","Diaph1","Cytip","Picalm","Trem1","Cxcr4"
"110","Ccr1","Nr4a3","Actb","Ankrd33b","Gmfg","Trib1","Mrpl33","Zyx"
"111","Zeb2","Adgre5","Gm43661","Samsn1","Lsp1","Adam8","Txn1","Stat3"
"112","Gcnt2","Zc3h12a","Fem1c","Lyn","Eif4g2","Dennd4a","Adgre5","Tgfbi"
"113","Coro1a","Mir142hg","Trib1","Chd7","Calm1","Anxa2","Dusp5","Etf1"
"114","Ddx5","Malt1","Rab8b","Luc7l2","Clec4e","Arpc1b","Selk","Antxr2"
"115","Tpt1","Ankrd33b","Sp100","Ddx5","Antxr2","Gnai2","Pla2g7","Itm2b"
"116","Sorl1","Rabgef1","Sdcbp","Coro1a","Anxa2","Iqgap1","Pfn1","Pla2g7"
"117","Rab44","Hcar2","Eif1","Cbl","Aldoa","Myl12b","Fosl2","Fcgr3"
"118","Rdh12","Fcer1g","Kdm6b","Far1","Ccr1","Pla2g7","Nudt4","Rap1b"
"119","Fcer1g","Traf3","Pde4b","Pbx1","Gapdh","Etf1","Cxcr4","Sat1"
"120","Mir142hg","Ccl3","Fxyd5","Itsn2","Rab7","Sik3","Tiparp","Samsn1"
"121","Stk17b","Sod2","Cd14","Ctnnb1","Ifrd1","Cyp4f18","Lcp1","Mmp9"
"122","Lrrfip1","Ncf4","Tlr4","Hnrnpa2b1","Clec4d","Tpm4","Cyth1","Sh2d3c"
"123","Gnai2","Nfkbie","Mirt1","Tnfaip2","Btg1","Myl6","B2m","Ssh2"
"124","Rab7","Fbxo11","Mir142hg","Zhx2","Sik3","Arpc2","Myo1d","Osbpl9"
"125","Rab8b","Fgl2","Tmsb4x","Dock5","Gpi1","Mgst1","Iqgap1","Tbc1d15"
"126","Cyp4f18","Trem1","Zcchc6","Fam107b","Gm42418","Rap1b","Irg1","Dock2"
"127","Nfkbiz","Nadk","Irg1","Wdfy4","Psenen","Pnrc1","Taldo1","Gnai2"
"128","Ifitm2","Lst1","Egr1","Atp1b3","Rhoa","Coq10b","Arpc2","Pfn1"
"129","Cfl1","Ell2","App","Slc7a11","Ier2","Ccrl2","Gcnt2","Gadd45a"
"130","Cdc42","Fxyd5","Mcl1","C5ar1","Ier3","C5ar1","Ubb","Fgr"
"131","Zcchc6","Irak3","Dhrs9","Cux1","Ets2","Ankrd33b","Cd52","Fbxl5"
"132","Pik3ap1","Rps9","Nlrp3","Rap1gap2","Gm43661","Fgl2","Osbpl9","Usp32"
"133","Smox","Rap1b","Il1rap","Atp8b4","Ptpn18","Tnfaip2","Osm","Psap"
"134","Fau","Gpr132","Dgat1","Stk17b","Ptp4a1","Ell2","Alox5ap","Phf21a"
"135","Rap1gap2","Kpna4","Mapkapk2","Msrb1","Lcn2","Por","March7","Clec4d"
"136","Diaph1","Ctsz","Ncf2","Rapgef6","Emb","Nudt4","Tnfrsf1b","Spi1"
"137","Dhrs9","Casp4","Vmp1","H3f3b","Slc7a11","Gng5","Arg2","March7"
"138","Tnrc6b","N4bp1","Ogt","Arid5b","Nlrp3","Snap23","Picalm","Gda"
"139","Rac2","Slc15a3","Rap1gap2","Whsc1l1","Ldha","Ier3","Ago2","Trem1"
"140","Ptbp3","H2-Q7","Fam65b","Tpm3","Rpl27a","Fem1c","Atf3","Gm5150"
"141","Lcn2","Slfn2","Npepps","Rock2","Mxd1","Csrnp1","Ctsd","Mbnl2"
"142","Mctp1","Lcp2","Arg2","Csf3r","Fyb","Anxa1","Ell2","Ltb"
"143","Lsp1","Rbpj","Smchd1","Cd9","Coq10b","Gcnt2","Ptgs2","Elmo1"
"144","Rap1b","Btbd9","Lcp1","Top1","S100a6","Map1lc3b","Rap1b","Il1rap"
"145","Dusp16","Slc16a3","Rbms1","Lst1","Arpc2","B2m","Sp140","Alox5ap"
"146","Osbpl9","Pnrc1","Ifrd1","Lcp1","Rap1b","Ier5","Kctd12","Mctp1"
"147","Vasp","Hck","Stk17b","Baz1a","Gnb2","Cap1","Tpm4","Nfkbiz"
"148","Fosl2","Ddx3x","Trem1","Dusp1","Ptafr","Cd53","Gm42418","Lilrb4a"
"149","Ankrd33b","Picalm","Basp1","Msra","Rnf149","Rab7","Gng5","Tnfaip2"
"150","Cap1","Lilr4b","Stx11","Gnaq","Gnai2","Gmfg","Slc15a3","Ier5"
"151","Mmp9","Neurl3","Map2k4","Abi1","Atp6v1g1","Kpna4","Cstb","Atg3"
"152","Csf3r","Zfand3","Stat3","Arid4b","Ltb","March7","Baz2b","Akap13"
"153","Ier2","Jak2","Ddx3x","Fndc3b","Tpd52","Lilr4b","Csrnp1","Cap1"
"154","Myh9","Tgif1","Ddx6","Inpp5d","Ncf1","Stx11","Cap1","Myo1f"
"155","Rhoa","Lyn","Fndc3b","Irak2","Ccl3","Cotl1","Gabarap","Osm"
"156","Hpcal1","Sorl1","Por","Mctp1","Gpx4","Rac2","Itm2b","Gmfg"
"157","Pglyrp1","Ccnl1","Mbnl2","Trem1","Csf3r","Fmnl1","Arih2","Mapkapk2"
"158","Itm2b","S100a6","H2-D1","Il1r2","Cd53","Nlrp3","AW011738","Sfxn5"
"159","Klra2","Skil","Etf1","Picalm","Srp14","Hmgb2","Igf1r","Tmem164"
"160","Rps9","Gsap","Elmo1","Arfgef1","Cd300a","Ddx6","Calm2","Arhgap26"
"161","Actr2","Cxcr4","Plekhm2","Xylt1","Adam17","Cyba","Snap23","Arpc2"
"162","4932438A13Rik","Tgm2","Sepn1","Phf21a","Serp1","Glrx","Tlr4","Sell"
"163","Jund","Nab1","Ddx5","Creb1","Jdp2","Baz2b","Lamp2","Nr4a1"
"164","Arhgdib","Ppp1r15a","Fos","Chst11","Pla2g7","Ier2","Mapkapk2","Apbb1ip"
"165","Prkcb","Rab20","Snx18","Prex1","Iqgap1","Spi1","Jdp2","Ccr1"
"166","Pkm","Emilin2","Tgoln1","Gfod1","Ptprc","Smox","Nlrp3","Rab8b"
"167","Elmo1","H2-K1","Chd2","Pxn","Selk","Rabgef1","Il1rap","Selplg"
"168","Snap23","Cmip","Top1","Rapgef1","Eif4a1","Ptprj","Grina","Gab2"
"169","Slc11a1","Arhgap15","Slfn4","Rfwd2","Arhgap15","Ddx3x","Sntb2","Cytip"
"170","Lamb3","Txn1","Cd80","Dhrs9","Csrnp1","Srsf5","Pafah1b1","Hcar2"
"171","Anxa1","Trib1","Actr3","Stag2","Rps10","Ppp1r2","C5ar1","Pip5k1b"
"172","Gapdh","Txnrd1","Tgm2","Osbpl9","Cdk2ap2","Ptafr","Sepn1","Il17ra"
"173","Trps1","Trem3","Lamp2","Ppp2r5a","Limd2","Sdcbp","Lyst","Mctp2"
"174","Atp2b1","Arih2","Isy1","Dstn","Txn1","Sp140","Fem1c","Trps1"
"175","Ctnnb1","Bcl3","Zfand3","Rock1","Cotl1","Selk","Il1rn","Ipcef1"
"176","Capza1","Coq10b","Ppp1r3b","Notch2","Tpm3-rs7","Itgal","Coro1a","Cyba"
"177","Gabarap","Fas","Fam107b","Baz2b","Gm10076","Arhgdib","Csf1","Cd300lf"
"178","Tes","Gm42418","Ptafr","Prkcb","Irak2","Mapkapk2","Ddx3x","Fyb"
"179","Chd2","Bcl2a1d","Svil","Ube2d3","Ier5","Serf2","Lsp1","Gabarap"
"180","Fmnl1","Vmp1","Fbxo11","Ythdf3","Tnfrsf1b","Zyx","Smchd1","Ets2"
"181","Ube2d3","Pfn1","Gnaq","Slc16a3","Ndel1","Cxcr4","2810474O19Rik","Cdc42"
"182","Fbxo11","Iqgap1","Pum2","Cdk17","Gm2a","Gab2","Srsf5","Rps27"
"183","Anxa2","Gcnt2","Homer1","Braf","Spi1","Lyn","Ypel3","Vav3"
"184","Wbp1l","Snx18","Rps6ka2","Parp8","Tnfaip3","Vasp","Atp6v0d1","Chst11"
"185","Gm42418","Bcl2l11","Cers6","Ptpn12","Arg2","Slc15a3","Ier3","Sik3"
"186","Prdx5","Ntng2","Sh2d3c","Clint1","Rpl39","Atp6v1g1","Cyp4f18","Arpc1b"
"187","Kdm7a","1700112E06Rik","Lrrc8d","Spag9","Hnrnpk","Atp2b1","Ier5","Kras"
"188","Selk","Gpbp1","Gtdc1","Junb","Zc3hav1","Cyth1","Cdkn1a","Emb"
"189","Klhl2","Nedd9","Abtb2","Chd4","Anxa1","Stk17b","Arhgap15","Ptbp3"
"190","Jdp2","Relb","Camk1d","Hmha1","Rabac1","Mcemp1","Zfp36","Gadd45b"
"191","Osm","Nfkb2","Atf3","Tpt1","Picalm","H2-K1","Tspan13","Ncor1"
"192","Vmp1","Tlr2","C5ar1","Xpr1","Rplp1","Pkm","Cdc42","Arhgdib"
"193","Cd52","Grb2","Notch2","Fus","Mapkapk2","Pik3ap1","Actr3","Ankrd33b"
"194","Kpna4","Ndel1","2810474O19Rik","St8sia4","Cd44","Sepn1","Kras","Ptpn12"
"195","Dopey2","Map3k5","Runx1","Kras","Lgals3","Braf","Ddx6","Coq10b"
"196","Myl6","Spi1","Gda","Cdk13","Nfkbiz","Tgoln1","Ptk2b","Amica1"
"197","Pitpna","Gabarap","Gm26740","Ncoa2","Ncf2","Marcks","Myl6","Cers6"
"198","Rabgef1","Fam134b","Rab20","Rps9","Gabarapl2","Itgb2","Emd","Map1lc3b"
"199","Por","Fau","Gfod1","Ambra1","Fam49b","Ehd1","Arpc1b","2810474O19Rik"
"200","Ell2","Sik3","Hcar2","Zc3h15","Stk17b","Gm5150","Ppp1r2","Emilin2"
"201","Vav3","Ddx6","Gtf2e2","Ndel1","Pde4b","Gm5483","Slc25a3","Prr13"
"202","Ppp1r3b","Camk1d","Bend4","Usp9x","Shfm1","Pglyrp1","Samhd1","Myl12b"
"203","Zyx","Mirt1","Tnfaip2","Ptpn1","Sorl1","Sell","Vmp1","Ccnl1"
"204","Agpat9","Gpcpd1","Crem","D930015E06Rik","Prdx5","Snx20","Serf2","Rps27a"
"205","Fam134b","Tax1bp1","Pag1","Pik3cd","Ostf1","Ctsd","Cdk2ap2","Fam32a"
"206","Tax1bp1","Ctnnb1","Skap2","Itgb2","Isg15","2810474O19Rik","Ralgapa1","Nedd9"
"207","Itpkb","Chd2","Snap23","Ifngr1","Cox6b1","Irak2","Anxa2","Prdx5"
"208","Glrx","Cap1","Serinc3","Cd300a","Pbx1","Igf1r","Cd300lf","Mtus1"
"209","Gsap","Tank","H3f3b","Celf2","Morf4l1","Notch2","Cox8a","Serinc3"
"210","Celf2","Lpcat2","Itgal","Pik3ap1","Gm5150","Cxcr2","Ubc","Ptafr"
"211","Iqgap1","Xylt1","Vamp4","Hp","Sec11c","Cdc42","Mirt1","H2-K1"
"212","Zfand3","Pla2g7","Tnrc6b","H3f3a","Basp1","Slc11a1","Cfl1","Themis2"
"213","Sdcbp","Mthfs","Map3k5","Vps37b","Sp140","Kctd12","Cotl1","Bcl6"
"214","Cers6","Ncf2","Sntb2","Pde4b","Rpl30","Btbd9","Serinc3","Myl6"
"215","Cd53","Bcl2a1a","Fnip1","Zswim6","Lcp1","Egr1","Aff4","Kdm7a"
"216","Tnrc18","Cd300a","4932438A13Rik","Ets2","Zfp36","Ube2b","Sh2d3c","Zfand5"
"217","Ddx6","Taldo1","Hectd1","Smox","Vps37b","Cd300lf","Map1lc3b","Tsc22d3"
"218","Sell","Lsp1","Tra2a","Lmnb1","Hp","Clic1","Sp100","Rps29"
"219","Jak1","Adam17","Rab44","Nfkbid","Ube2d3","Rab20","Cyba","Fgd4"
"220","Myo1d","Fndc3b","Jdp2","Ankrd11","Serinc3","Fam65b","Ube2b","Tspan13"
"221","Cltc","Smox","Ccrl2","Fau","Alcam","Tlr4","Gpr35","Ppt1"
"222","Ddx3x","Arf4","Arhgap26","Arhgap26","Mrpl33","Tnfrsf1b","Clec4e","Nup98"
"223","Ppp3ca","Snx20","Jund","Fis1","Tapbp","Sat1","Rac2","Plaur"
"224","Arg2","Igf1r","Cdk17","Cr1l","Atox1","Vmp1","Eif4a1","Myh9"
"225","Psap","Rbms1","Clk1","Fyb","Ppp1r2","Zcchc6","Ptprj","Ptpre"
"226","Mmp8","Themis2","Diaph1","Cab39","Msn","Pbx1","Ptbp3","Mgst1"
"227","Ralgapa1","Pbx1","Kctd12","Trib1","Fos","Gm42418","Ier2","Il1f9"
"228","Cyba","Pde7b","Lst1","Rreb1","Myl12a","Ubc","Skap2","Ube2h"
"229","Myl12b","Fosl2","Msra","Mcl1","Arpc5","App","March3","Dhrs7"
"230","Ogt","Jak1","Usp32","Csf1","Tspo","Ccnl1","Hcar2","Suco"
"231","Pde7b","Gtdc1","Nr4a3","Myo1f","Atp5f1","Marcksl1","Irak2","Ube2b"
"232","Atp6v0e","Plaur","Sbno1","Pla2g7","Nr4a1","Dusp16","Slc38a1","Braf"
"233","Shfm1","Arpc2","Syk","Pitpnc1","Rab8b","Kras","Ifitm1","Syk"
"234","Hectd1","Zc3hav1","Atp6v0d1","Myo1d","Rps13","Diaph1","Tlcd2","Fam134b"
"235","Nlrp3","Jdp2","Klf3","Stk10","Emd","Cd300a","Zcchc6","Rsrc2"
"236","Apbb1ip","Rnf19b","Tnrc18","Flna","Ppp1r15a","Sh2d3c","Spi1","Prkcb"
"237","Adipor1","Card19","S100a11","Pim1","Pak2","Rps27","Selplg","Baz2b"
"238","Sh3glb1","Cdc42ep2","Acss2","Acap2","Zeb2","Adipor1","Nfe2l2","Egr1"
"239","A530064D06Rik","Ccr1","Cask","Tlr4","Sh3glb1","Wfdc21","Gm43661","Dusp16"
"240","Sepn1","Gna13","Iqgap1","Wdr26","Tnfaip2","Stfa2l1","Eif5","Ppp3ca"
"241","Slc22a15","Traf1","Adam8","Pdzd8","Rabgef1","Ostf1","Dhrs9","Slc16a3"
"242","2810474O19Rik","Cfl1","Hif1a","Lrrfip2","Hspa8","Tspan13","Rheb","Cd300a"
"243","Dennd4a","Zhx2","Nrd1","Herc1","Mcemp1","Dhrs9","Ccl6","Laptm5"
"244","Cd80","Cd52","Bcl2l11","Rap1b","Npepps","Selplg","Suco","Pilra"
"245","Camk1d","Fem1c","Tmcc1","Mta3","Eno1","Cdkn1a","Runx1","AF251705"
"246","Gab2","Alox5ap","Cd300lf","Tmem234","Kdm6b","Nfkbia","Rnf11","Cd52"
"247","Nudt4","Rab7","Arpc3","Irg1","Ddx6","Prdx5","Diaph1","Tmbim6"
"248","Slc27a4","Dennd1b","S100a6","Fxyd5","Brk1","Prr13","Myl12b","Jak1"
"249","Ier3","Mrpl33","Ipcef1","Anxa2","Xylt1","Suco","Slc11a1","Nadk"
"250","Flna","Tgoln1","Vps4b","Ppp6r3","Dnaja1","Atg3","Gmfg","Slc40a1"
"251","Usp32","Cd53","Clec4e","Dennd1c","Bcl2a1b","Lyz2","Fmnl1","Klf3"
"252","Anxa11","Lyst","Lamb3","Tpm4","Rnf130","Klra2","H2-K1","Pkm"
"253","Lamp2","Ifitm1","Nudt4","Cap1","Hmgb2","Basp1","Lilr4b","Ypel3"
"254","Ehd1","Baz2b","Nfe2l2","Btbd9","Dnajb6","Klf3","Ube2d3","Rgs2"
"255","Fus","Ppp1r2","Dopey2","Kdm6b","Sri","Ifrd1","Psap","Raf1"
"256","Pafah1b1","Msn","Rlf","Rbm25","Ptprj","Rhog","Per1","Rab7"
"257","Son","Gmfg","Mctp2","Git2","Samsn1","Nadk","Sat1","Alcam"
"258","Ap2b1","Cyba","Grina","Cd53","Rps21","Ppp1r15a","Gla","Rap1gap2"
"259","Prr13","Etv6","Celf2","H2afz","Atp6v0d1","Vps37b","Smox","Rac2"
"260","Zswim6","Dnaja1","Fmnl1","Sgms2","Ctsd","Gda","Clic1","Ppp1r2"
"261","Tlr4","Il10ra","Ezr","Dennd5a","Usmg5","Cfl1","Atp6v0e","Ncf4"
"262","Fem1c","Lrrfip1","Arfgef2","Nr4a1","Wnk1","Mmp9","Pum2","Itgam"
"263","Clk1","Hmgb2","Coq10b","Elf2","Stat3","Gnb2","Vps4b","Whsc1l1"
"264","C5ar1","Nfkbid","Csf2ra","Actr2","Clic1","Lyst","Fnip1","Atp2b1"
"265","Kctd12","Slc2a6","Myh9","Mxd1","Klf2","Arih2","Ifrd1","Lamp2"
"266","March7","Basp1","Slc38a1","Slfn2","Laptm5","Ralgapa1","Gpcpd1","Cpd"
"267","Cd300lf","Map4k4","Tyrobp","Ubl3","Btbd9","Ptp4a1","Ywhaz","Ptpn6"
"268","Bcl2l11","Cd24a","Ier3","Ifitm3","Slc25a5","Emd","Por","Tpt1"
"269","Ezr","Etf1","Zswim6","Cdc42","Tmem50a","Hcar2","Itgam","Cask"
