"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ccr7",0,2.87469465015899,0.772,0.135,0,"CD4/8 Naive/Stemlike","Ccr7"
"Inadl",0,3.81453305316005,0.673,0.092,0,"CD4/8 Naive/Stemlike","Inadl"
"Actn1",0,3.51087391465458,0.689,0.11,0,"CD4/8 Naive/Stemlike","Actn1"
"Aff3",0,1.65860419074102,0.917,0.372,0,"CD4/8 Naive/Stemlike","Aff3"
"Itga6",0,2.55603218181153,0.725,0.23,0,"CD4/8 Naive/Stemlike","Itga6"
"Lef1",0,2.75110228159315,0.984,0.49,0,"CD4/8 Naive/Stemlike","Lef1"
"Sh3bp5",0,2.89024159324999,0.65,0.156,0,"CD4/8 Naive/Stemlike","Sh3bp5"
"Ifngr2",0,2.70070792482155,0.631,0.137,0,"CD4/8 Naive/Stemlike","Ifngr2"
"St8sia6",0,3.30143079524865,0.57,0.092,0,"CD4/8 Naive/Stemlike","St8sia6"
"Cmah",0,2.20715029607161,0.719,0.242,0,"CD4/8 Naive/Stemlike","Cmah"
"Sell",0,1.83787054845162,0.698,0.223,0,"CD4/8 Naive/Stemlike","Sell"
"S1pr1",0,1.80967049918001,0.692,0.228,0,"CD4/8 Naive/Stemlike","S1pr1"
"Tcf7",0,1.72169066919732,0.755,0.294,0,"CD4/8 Naive/Stemlike","Tcf7"
"Dusp10",0,1.7668751337327,0.874,0.414,0,"CD4/8 Naive/Stemlike","Dusp10"
"Igfbp4",0,4.9733787717965,0.477,0.03,0,"CD4/8 Naive/Stemlike","Igfbp4"
"St8sia1",0,2.52663466707325,0.566,0.126,0,"CD4/8 Naive/Stemlike","St8sia1"
"Rapgef4",0,3.77106221194986,0.467,0.043,0,"CD4/8 Naive/Stemlike","Rapgef4"
"Kif1b",0,2.17736017331197,0.836,0.432,0,"CD4/8 Naive/Stemlike","Kif1b"
"Pecam1",0,1.56505329999237,0.762,0.369,0,"CD4/8 Naive/Stemlike","Pecam1"
"Rras2",0,1.90106618174741,0.793,0.409,0,"CD4/8 Naive/Stemlike","Rras2"
"Adk",0,1.66240046874349,0.792,0.408,0,"CD4/8 Naive/Stemlike","Adk"
"Dirc2",0,2.47066087666108,0.53,0.154,0,"CD4/8 Naive/Stemlike","Dirc2"
"Fam101b",0,3.05397635889222,0.432,0.063,0,"CD4/8 Naive/Stemlike","Fam101b"
"Cd55",0,2.74474476184537,0.475,0.112,0,"CD4/8 Naive/Stemlike","Cd55"
"Gramd3",0,1.34884894313676,0.961,0.605,0,"CD4/8 Naive/Stemlike","Gramd3"
"Scml4",0,1.40468616814839,0.89,0.543,0,"CD4/8 Naive/Stemlike","Scml4"
"Thada",0,1.58176388936149,0.883,0.542,0,"CD4/8 Naive/Stemlike","Thada"
"Smc6",0,1.64860581991743,0.853,0.529,0,"CD4/8 Naive/Stemlike","Smc6"
"Satb1",0,1.9623508882792,0.991,0.674,0,"CD4/8 Naive/Stemlike","Satb1"
"Khdrbs3",0,5.25068923583741,0.32,0.017,0,"CD4/8 Naive/Stemlike","Khdrbs3"
"Stat5b",0,1.30115192050129,0.931,0.646,0,"CD4/8 Naive/Stemlike","Stat5b"
"Zeb1",0,1.55685018626458,0.955,0.691,0,"CD4/8 Naive/Stemlike","Zeb1"
"Crlf3",0,1.2832561022911,0.91,0.653,0,"CD4/8 Naive/Stemlike","Crlf3"
"Bach2",0,1.70659697630577,0.993,0.752,0,"CD4/8 Naive/Stemlike","Bach2"
"Dip2b",0,1.51954921475396,0.905,0.682,0,"CD4/8 Naive/Stemlike","Dip2b"
"Gm10073",0,1.11346687354468,0.904,0.739,0,"CD4/8 Naive/Stemlike","Gm10073"
"Foxp1",0,1.70353433884177,0.993,0.835,0,"CD4/8 Naive/Stemlike","Foxp1"
"Rapgef6",0,1.16360009886099,0.975,0.818,0,"CD4/8 Naive/Stemlike","Rapgef6"
"Rpl36a",0,1.05302907212262,0.898,0.75,0,"CD4/8 Naive/Stemlike","Rpl36a"
"Ssh2",0,1.06308774909508,0.979,0.84,0,"CD4/8 Naive/Stemlike","Ssh2"
"Rps26",0,0.86126641042789,0.932,0.811,0,"CD4/8 Naive/Stemlike","Rps26"
"Itk",0,0.924069688569193,0.98,0.862,0,"CD4/8 Naive/Stemlike","Itk"
"Cblb",0,1.17623666279914,0.976,0.859,0,"CD4/8 Naive/Stemlike","Cblb"
"Rpl35",0,0.934573377520254,0.925,0.811,0,"CD4/8 Naive/Stemlike","Rpl35"
"Rpl5",0,1.00286168850232,0.933,0.82,0,"CD4/8 Naive/Stemlike","Rpl5"
"Rps19",0,1.24644413531917,0.957,0.845,0,"CD4/8 Naive/Stemlike","Rps19"
"Rpl12",0,1.26604035062921,0.949,0.838,0,"CD4/8 Naive/Stemlike","Rpl12"
"Rps20",0,1.22773500576844,0.96,0.849,0,"CD4/8 Naive/Stemlike","Rps20"
"Rps28",0,1.15785702233802,0.946,0.841,0,"CD4/8 Naive/Stemlike","Rps28"
"Rps7",0,0.994848523070824,0.941,0.842,0,"CD4/8 Naive/Stemlike","Rps7"
"Rps15",0,0.815294096169031,0.957,0.861,0,"CD4/8 Naive/Stemlike","Rps15"
"Rpl30",0,0.85138974307954,0.945,0.851,0,"CD4/8 Naive/Stemlike","Rpl30"
"Rpl8",0,0.956077721366604,0.945,0.855,0,"CD4/8 Naive/Stemlike","Rpl8"
"Rpl35a",0,1.04808197009359,0.946,0.856,0,"CD4/8 Naive/Stemlike","Rpl35a"
"Rps4x",0,0.874721030696766,0.935,0.848,0,"CD4/8 Naive/Stemlike","Rps4x"
"Rpl13",0,0.857443057804555,0.951,0.864,0,"CD4/8 Naive/Stemlike","Rpl13"
"Rps21",0,0.869783832122548,0.969,0.883,0,"CD4/8 Naive/Stemlike","Rps21"
"Rps27",0,1.04704562060223,0.95,0.868,0,"CD4/8 Naive/Stemlike","Rps27"
"Rpl9",0,0.861121890128235,0.941,0.861,0,"CD4/8 Naive/Stemlike","Rpl9"
"Rps15a",0,0.731582476484948,0.948,0.868,0,"CD4/8 Naive/Stemlike","Rps15a"
"Rps3a1",0,1.00344528707672,0.955,0.877,0,"CD4/8 Naive/Stemlike","Rps3a1"
"Rps8",0,0.939976515773779,0.959,0.881,0,"CD4/8 Naive/Stemlike","Rps8"
"Rps16",0,1.04867813305036,0.953,0.875,0,"CD4/8 Naive/Stemlike","Rps16"
"Rplp2",0,0.800919790433647,0.95,0.873,0,"CD4/8 Naive/Stemlike","Rplp2"
"Rplp1",0,1.05081801933353,0.961,0.885,0,"CD4/8 Naive/Stemlike","Rplp1"
"Rps27a",0,0.757894035565139,0.944,0.869,0,"CD4/8 Naive/Stemlike","Rps27a"
"Rps10",0,0.788293003374275,0.945,0.873,0,"CD4/8 Naive/Stemlike","Rps10"
"Rpl23",0,0.815820090832309,0.953,0.882,0,"CD4/8 Naive/Stemlike","Rpl23"
"Rps24",0,1.03129912143615,0.966,0.896,0,"CD4/8 Naive/Stemlike","Rps24"
"Rps29",0,1.20387888531451,0.962,0.892,0,"CD4/8 Naive/Stemlike","Rps29"
"Tpt1",0,0.723075546865392,0.958,0.9,0,"CD4/8 Naive/Stemlike","Tpt1"
"Arhgap15",0,1.07730401561723,0.998,0.979,0,"CD4/8 Naive/Stemlike","Arhgap15"
"Stt3b",7.47874291420543e-308,1.75114275150067,0.746,0.434,1.264580639363e-303,"CD4/8 Naive/Stemlike","Stt3b"
"Il6st",2.00584481236729e-306,2.02905165705693,0.55,0.17,3.39168299323185e-302,"CD4/8 Naive/Stemlike","Il6st"
"Gm8369",1.32532529427029e-300,1.75227897930245,0.656,0.271,2.24099254008164e-296,"CD4/8 Naive/Stemlike","Gm8369"
"Emb",3.88553066599843e-298,0.938975067985131,0.949,0.604,6.57004380313674e-294,"CD4/8 Naive/Stemlike","Emb"
"Osbpl9",2.92482169842264e-293,1.3250645765272,0.818,0.537,4.94558100986284e-289,"CD4/8 Naive/Stemlike","Osbpl9"
"Rps9",4.6049554459436e-292,0.708770069199881,0.948,0.866,7.78651916354602e-288,"CD4/8 Naive/Stemlike","Rps9"
"Rpsa",1.19157653288375e-290,0.759569332880121,0.958,0.893,2.01483675945314e-286,"CD4/8 Naive/Stemlike","Rpsa"
"Rps18",1.41659838224627e-290,0.864738904463834,0.911,0.798,2.39532620454022e-286,"CD4/8 Naive/Stemlike","Rps18"
"Rps5",1.50212065625462e-288,0.788758890184611,0.934,0.85,2.53993581766094e-284,"CD4/8 Naive/Stemlike","Rps5"
"Il21r",4.91977705778969e-288,1.5528634839641,0.731,0.379,8.31885102701659e-284,"CD4/8 Naive/Stemlike","Il21r"
"Rpl17",1.23837315827415e-286,0.74868816168745,0.941,0.868,2.09396517332576e-282,"CD4/8 Naive/Stemlike","Rpl17"
"Dapl1",2.49637934934929e-284,4.1398148394315,0.311,0.022,4.22112784181472e-280,"CD4/8 Naive/Stemlike","Dapl1"
"Il4ra",1.52995964152335e-283,1.56756420091889,0.692,0.338,2.58700875785183e-279,"CD4/8 Naive/Stemlike","Il4ra"
"Zfp281",1.16711258578281e-280,2.42383129667529,0.469,0.127,1.97347067130016e-276,"CD4/8 Naive/Stemlike","Zfp281"
"Tdrp",1.36912804192073e-280,3.11627766115965,0.372,0.057,2.31505860608375e-276,"CD4/8 Naive/Stemlike","Tdrp"
"Klhdc1",2.33817935201913e-280,2.79598820871529,0.409,0.081,3.95362746632915e-276,"CD4/8 Naive/Stemlike","Klhdc1"
"Rps23",5.35028668076678e-278,0.686269001606615,0.942,0.87,9.04679974850855e-274,"CD4/8 Naive/Stemlike","Rps23"
"Il7r",2.23664093682096e-277,0.958179861481222,0.884,0.495,3.78193616007056e-273,"CD4/8 Naive/Stemlike","Il7r"
"St6gal1",5.46801790591503e-275,1.49250647150619,0.66,0.27,9.24587147711172e-271,"CD4/8 Naive/Stemlike","St6gal1"
"Dgka",5.58149090440329e-274,1.29081550800672,0.78,0.446,9.43774297025551e-270,"CD4/8 Naive/Stemlike","Dgka"
"Rpl21",1.75020943647939e-271,0.784201565557415,0.925,0.833,2.959429136143e-267,"CD4/8 Naive/Stemlike","Rpl21"
"Ppm1l",4.81611685369803e-271,2.33568837585866,0.504,0.159,8.143571987918e-267,"CD4/8 Naive/Stemlike","Ppm1l"
"Txk",1.74873763878826e-269,0.913879081075685,0.898,0.557,2.95694047342706e-265,"CD4/8 Naive/Stemlike","Txk"
"Rpl19",1.65605024281159e-268,0.672016681350517,0.946,0.875,2.80021535557011e-264,"CD4/8 Naive/Stemlike","Rpl19"
"Rpl27a",1.34987245614674e-267,0.65511187319139,0.952,0.879,2.28249933609852e-263,"CD4/8 Naive/Stemlike","Rpl27a"
"Il6ra",7.28108770937686e-267,1.91453764791231,0.485,0.132,1.23115912077853e-262,"CD4/8 Naive/Stemlike","Il6ra"
"Rpl39",7.76997070396742e-267,0.688343594399232,0.946,0.859,1.31382434633385e-262,"CD4/8 Naive/Stemlike","Rpl39"
"Npc2",1.32916511953369e-266,1.09820545716061,0.838,0.586,2.24748530061952e-262,"CD4/8 Naive/Stemlike","Npc2"
"Tgfbr3",3.08140597999258e-266,2.3513979876253,0.45,0.111,5.21034937156946e-262,"CD4/8 Naive/Stemlike","Tgfbr3"
"Ppm1h",4.58644367559756e-266,1.36869562225424,0.851,0.614,7.75521761106792e-262,"CD4/8 Naive/Stemlike","Ppm1h"
"Rps3",6.05839361255908e-264,0.741488309706947,0.932,0.857,1.02441377594762e-259,"CD4/8 Naive/Stemlike","Rps3"
"Uba52",1.15373941401489e-262,0.73360837256751,0.922,0.829,1.95085797515778e-258,"CD4/8 Naive/Stemlike","Uba52"
"Pip4k2a",1.56572015562289e-262,1.12583929786419,0.857,0.592,2.64747621114275e-258,"CD4/8 Naive/Stemlike","Pip4k2a"
"Ablim1",1.72940439778425e-260,0.9284821063314,0.947,0.825,2.92424989621339e-256,"CD4/8 Naive/Stemlike","Ablim1"
"Sntb1",4.03627992016824e-259,1.15973802344124,0.843,0.503,6.82494571701248e-255,"CD4/8 Naive/Stemlike","Sntb1"
"Rpl32",1.55176690822823e-257,0.703280312751839,0.938,0.856,2.62388266512312e-253,"CD4/8 Naive/Stemlike","Rpl32"
"Smchd1",1.08879671805854e-256,1.01138302741197,0.917,0.739,1.84104637056519e-252,"CD4/8 Naive/Stemlike","Smchd1"
"Ubac2",1.48395226155321e-255,1.12323626610381,0.842,0.573,2.50921487906032e-251,"CD4/8 Naive/Stemlike","Ubac2"
"Trib2",6.21817180342312e-254,2.45008339305844,0.422,0.102,1.05143067024081e-249,"CD4/8 Naive/Stemlike","Trib2"
"Rps6",5.28216530524976e-252,0.763405092737087,0.926,0.827,8.93161331464682e-248,"CD4/8 Naive/Stemlike","Rps6"
"Rps14",3.06068741745718e-251,0.655775648712329,0.938,0.868,5.17531635417834e-247,"CD4/8 Naive/Stemlike","Rps14"
"Atp1b3",4.02586976783221e-251,0.986017736118442,0.892,0.673,6.80734319042749e-247,"CD4/8 Naive/Stemlike","Atp1b3"
"Gtf2i",1.70825604849259e-250,1.32159094380341,0.747,0.44,2.88849015239611e-246,"CD4/8 Naive/Stemlike","Gtf2i"
"Rpl10a",3.11800399229167e-248,0.789801732754482,0.915,0.81,5.27223295056599e-244,"CD4/8 Naive/Stemlike","Rpl10a"
"Pik3ip1",1.33466162470225e-243,2.71511259129225,0.377,0.08,2.25677934120904e-239,"CD4/8 Naive/Stemlike","Pik3ip1"
"Grap2",1.39779505098504e-242,1.14834880592238,0.778,0.459,2.3635316517106e-238,"CD4/8 Naive/Stemlike","Grap2"
"Wnt5b",2.36826236291988e-242,3.85333714541155,0.288,0.029,4.00449482946123e-238,"CD4/8 Naive/Stemlike","Wnt5b"
"Rps25",1.29639863304082e-241,0.835426614910583,0.89,0.767,2.19208044860871e-237,"CD4/8 Naive/Stemlike","Rps25"
"Ext1",5.89066777655805e-238,1.18762870801663,0.76,0.428,9.960530143382e-234,"CD4/8 Naive/Stemlike","Ext1"
"Eef1b2",1.70197652833503e-236,0.872594628202245,0.89,0.741,2.8778721117617e-232,"CD4/8 Naive/Stemlike","Eef1b2"
"Ms4a6b",1.74351974364094e-236,0.910027562023211,0.889,0.614,2.94811753452246e-232,"CD4/8 Naive/Stemlike","Ms4a6b"
"Rpl18a",3.16362527411445e-234,0.633321584445417,0.943,0.87,5.34937397600013e-230,"CD4/8 Naive/Stemlike","Rpl18a"
"Rps13",2.73705332691839e-233,0.640815966835639,0.94,0.864,4.6280834704863e-229,"CD4/8 Naive/Stemlike","Rps13"
"Rpl7",7.35412766562332e-231,0.706007005756076,0.924,0.835,1.24350944698025e-226,"CD4/8 Naive/Stemlike","Rpl7"
"Rpl3",1.39176313772801e-230,0.725289092170448,0.925,0.84,2.35333228958428e-226,"CD4/8 Naive/Stemlike","Rpl3"
"Epb41",3.757939854062e-230,1.02467442619151,0.907,0.75,6.35430049923343e-226,"CD4/8 Naive/Stemlike","Epb41"
"Rpl26",1.13410330678415e-229,0.743282977102245,0.908,0.798,1.91765528144131e-225,"CD4/8 Naive/Stemlike","Rpl26"
"Abtb2",1.68565471386578e-227,1.34650136498507,0.731,0.417,2.85027355567565e-223,"CD4/8 Naive/Stemlike","Abtb2"
"Rplp0",1.3525606230547e-226,0.78308275810221,0.911,0.806,2.28704475752319e-222,"CD4/8 Naive/Stemlike","Rplp0"
"Rab3ip",8.68622747029045e-221,1.53112420081794,0.583,0.259,1.46875420295141e-216,"CD4/8 Naive/Stemlike","Rab3ip"
"Ranbp10",4.21241552382174e-220,1.78374341608732,0.548,0.242,7.12277340923018e-216,"CD4/8 Naive/Stemlike","Ranbp10"
"Znrf3",4.20795945782137e-218,1.00164363042398,0.84,0.569,7.11523864723015e-214,"CD4/8 Naive/Stemlike","Znrf3"
"Camk4",1.67985321282392e-217,0.856016428046609,0.946,0.698,2.84046379756397e-213,"CD4/8 Naive/Stemlike","Camk4"
"Rassf3",7.01028982187129e-217,1.27873819232517,0.709,0.401,1.18536990598022e-212,"CD4/8 Naive/Stemlike","Rassf3"
"Rpl37",7.80709702586126e-217,0.653707563574893,0.935,0.856,1.32010203610288e-212,"CD4/8 Naive/Stemlike","Rpl37"
"Gm10260",9.23279840558594e-213,0.888053497910681,0.852,0.677,1.56117388240053e-208,"CD4/8 Naive/Stemlike","Gm10260"
"Rpl18",3.12639524480046e-209,0.622751958203836,0.936,0.855,5.2864217194331e-205,"CD4/8 Naive/Stemlike","Rpl18"
"Arid4a",1.27852543595046e-208,1.08588297147519,0.797,0.557,2.16185865964864e-204,"CD4/8 Naive/Stemlike","Arid4a"
"Rpl28",1.32483565930046e-208,0.665720371953415,0.926,0.824,2.24016461631114e-204,"CD4/8 Naive/Stemlike","Rpl28"
"Rpl14",8.69726284454635e-208,0.735003764316658,0.908,0.813,1.47062017438434e-203,"CD4/8 Naive/Stemlike","Rpl14"
"Themis",7.23522750106429e-207,0.771458481618548,0.864,0.469,1.22340461815496e-202,"CD4/8 Naive/Stemlike","Themis"
"Fgf13",1.78744866364275e-206,1.34426760328459,0.59,0.256,3.02239694535352e-202,"CD4/8 Naive/Stemlike","Fgf13"
"Utrn",1.22313695024527e-205,0.666265323023331,0.975,0.832,2.06820226916972e-201,"CD4/8 Naive/Stemlike","Utrn"
"Gnb2l1",4.64435855003572e-203,0.65397490676512,0.925,0.835,7.8531458722554e-199,"CD4/8 Naive/Stemlike","Gnb2l1"
"Rps2",6.5934744237858e-201,0.68076518688035,0.912,0.79,1.11489059031794e-196,"CD4/8 Naive/Stemlike","Rps2"
"Gm16083",3.59998580901377e-196,3.60280412906886,0.244,0.025,6.08721600446138e-192,"CD4/8 Naive/Stemlike","Gm16083"
"Ube2h",4.34379153033877e-196,0.86759532162148,0.905,0.752,7.34491709864983e-192,"CD4/8 Naive/Stemlike","Ube2h"
"Usp28",4.53469335375455e-194,1.91008546870963,0.409,0.127,7.66771299186357e-190,"CD4/8 Naive/Stemlike","Usp28"
"Gm42722",1.23711266267559e-191,1.84816294138398,0.445,0.157,2.09183380131815e-187,"CD4/8 Naive/Stemlike","Gm42722"
"Tcp11l2",1.69802192292506e-190,1.2310205215814,0.645,0.339,2.87118526947399e-186,"CD4/8 Naive/Stemlike","Tcp11l2"
"Gm8730",1.54954101855435e-188,0.765900239042693,0.881,0.745,2.62011890827355e-184,"CD4/8 Naive/Stemlike","Gm8730"
"Saraf",9.38436148606979e-188,1.02834953829923,0.782,0.548,1.58680168367954e-183,"CD4/8 Naive/Stemlike","Saraf"
"Gimap6",1.24150531578242e-187,0.85055364361299,0.851,0.619,2.09926133845649e-183,"CD4/8 Naive/Stemlike","Gimap6"
"Limd2",5.59059581439439e-185,1.09522511934967,0.719,0.463,9.45313846255947e-181,"CD4/8 Naive/Stemlike","Limd2"
"Tspan13",5.84106617207519e-183,1.03820971184942,0.715,0.431,9.87665879036194e-179,"CD4/8 Naive/Stemlike","Tspan13"
"Rpl38",6.14011772102612e-183,0.540325948963337,0.947,0.884,1.03823250544831e-178,"CD4/8 Naive/Stemlike","Rpl38"
"Fam134b",1.27816595914723e-179,0.882196659084379,0.746,0.44,2.16125082032205e-175,"CD4/8 Naive/Stemlike","Fam134b"
"Rpl37a",1.08424678800025e-178,0.529637056047292,0.956,0.898,1.83335289382962e-174,"CD4/8 Naive/Stemlike","Rpl37a"
"Rpl22l1",2.80726117708163e-178,0.846915157796046,0.852,0.683,4.74679792432732e-174,"CD4/8 Naive/Stemlike","Rpl22l1"
"Pou6f1",5.58022763873452e-178,2.02722028062474,0.382,0.12,9.43560691433619e-174,"CD4/8 Naive/Stemlike","Pou6f1"
"Aven",2.87878283745054e-177,1.52576066151491,0.593,0.325,4.86773389984512e-173,"CD4/8 Naive/Stemlike","Aven"
"Rgs10",2.35377232697761e-176,1.46129528082525,0.512,0.226,3.97999362768644e-172,"CD4/8 Naive/Stemlike","Rgs10"
"Rpl15",1.15269211328012e-174,0.718778563448817,0.887,0.752,1.94908709434536e-170,"CD4/8 Naive/Stemlike","Rpl15"
"Fyb",6.89394131947365e-171,0.597578207822505,0.974,0.829,1.1656965377098e-166,"CD4/8 Naive/Stemlike","Fyb"
"Rpl11",4.96122382123908e-170,0.573015861382776,0.932,0.853,8.38893335933316e-166,"CD4/8 Naive/Stemlike","Rpl11"
"Rpl6",7.7150545167605e-170,0.640673770387523,0.917,0.814,1.30453856823903e-165,"CD4/8 Naive/Stemlike","Rpl6"
"Taf4b",5.56598911315648e-169,1.46344429167957,0.513,0.235,9.4115309914363e-165,"CD4/8 Naive/Stemlike","Taf4b"
"Rpl36",1.45869049832199e-164,0.590359629931472,0.917,0.835,2.46649976361265e-160,"CD4/8 Naive/Stemlike","Rpl36"
"Bcl2",3.5487537157763e-163,0.952941249274499,0.837,0.634,6.00058765800615e-159,"CD4/8 Naive/Stemlike","Bcl2"
"Rps17",4.76286439040555e-162,0.76697421372668,0.843,0.667,8.05352739773674e-158,"CD4/8 Naive/Stemlike","Rps17"
"Galnt6",2.0892064667742e-161,1.33510791677364,0.586,0.328,3.53263921466849e-157,"CD4/8 Naive/Stemlike","Galnt6"
"Smc4",3.12291042647895e-160,1.16442342799529,0.705,0.465,5.28052924013325e-156,"CD4/8 Naive/Stemlike","Smc4"
"Rpl31",9.10123668892245e-159,0.812998487490928,0.806,0.615,1.5389281117299e-154,"CD4/8 Naive/Stemlike","Rpl31"
"Tmlhe",1.45591226318772e-158,2.55896461878474,0.295,0.075,2.46180204582412e-154,"CD4/8 Naive/Stemlike","Tmlhe"
"Gpr18",1.79868216112378e-158,1.71877823657397,0.432,0.177,3.0413916662442e-154,"CD4/8 Naive/Stemlike","Gpr18"
"Ift80",3.70377671548289e-158,1.92261377321718,0.383,0.139,6.26271604821002e-154,"CD4/8 Naive/Stemlike","Ift80"
"Fau",2.70818583398496e-157,0.484633837534417,0.934,0.859,4.57927142668516e-153,"CD4/8 Naive/Stemlike","Fau"
"Tmem71",3.39920310066528e-157,1.29007570542074,0.576,0.308,5.74771252291492e-153,"CD4/8 Naive/Stemlike","Tmem71"
"Rpl34",1.13454774381852e-156,0.522096081112076,0.927,0.853,1.91840678002274e-152,"CD4/8 Naive/Stemlike","Rpl34"
"Ndrg3",3.4290957004722e-156,2.05182417614799,0.42,0.179,5.79825791992845e-152,"CD4/8 Naive/Stemlike","Ndrg3"
"Sgms1",3.41072257484329e-155,1.05021925212249,0.699,0.423,5.76719080180252e-151,"CD4/8 Naive/Stemlike","Sgms1"
"Chd2",6.09148195710942e-155,0.764879198627406,0.886,0.707,1.03000868412763e-150,"CD4/8 Naive/Stemlike","Chd2"
"Eef1a1",1.89523777097702e-154,0.486260530688399,0.957,0.897,3.20465754694505e-150,"CD4/8 Naive/Stemlike","Eef1a1"
"Pias2",2.11592335545152e-154,1.26352373521563,0.59,0.331,3.57781480173298e-150,"CD4/8 Naive/Stemlike","Pias2"
"Heatr5a",4.30294987848339e-154,1.08751203601901,0.654,0.39,7.27585794952756e-150,"CD4/8 Naive/Stemlike","Heatr5a"
"Rpl22",5.02593237516666e-152,0.576472906776641,0.915,0.813,8.49834905316931e-148,"CD4/8 Naive/Stemlike","Rpl22"
"Klhdc2",1.62602941199189e-151,1.86342687643252,0.376,0.139,2.74945313273708e-147,"CD4/8 Naive/Stemlike","Klhdc2"
"Tgfbr2",2.08417474042352e-151,0.742139087770059,0.869,0.697,3.52413106858214e-147,"CD4/8 Naive/Stemlike","Tgfbr2"
"Zc3hav1",6.43414912429913e-148,0.547536062578617,0.963,0.882,1.08795027542774e-143,"CD4/8 Naive/Stemlike","Zc3hav1"
"Cd247",9.70762273446278e-147,0.670281444078991,0.907,0.736,1.64146192817031e-142,"CD4/8 Naive/Stemlike","Cd247"
"Npm1",3.23761469650557e-146,0.621088328876747,0.88,0.74,5.47448269032126e-142,"CD4/8 Naive/Stemlike","Npm1"
"Rpl13a",4.50545150624935e-143,0.464195003030763,0.95,0.887,7.61826795191702e-139,"CD4/8 Naive/Stemlike","Rpl13a"
"Pik3cd",3.23256130257842e-142,0.799386065707223,0.8,0.603,5.46593790652985e-138,"CD4/8 Naive/Stemlike","Pik3cd"
"Gpr132",4.94347108682597e-141,0.698233416595503,0.827,0.604,8.35891526071404e-137,"CD4/8 Naive/Stemlike","Gpr132"
"Vipr1",5.06190398315633e-138,3.0194800372849,0.196,0.027,8.55917344511903e-134,"CD4/8 Naive/Stemlike","Vipr1"
"Dnah8",2.02414112278376e-137,1.04630517434722,0.636,0.389,3.42262022451506e-133,"CD4/8 Naive/Stemlike","Dnah8"
"4932438A13Rik",3.48413775217617e-137,0.755388507591052,0.917,0.814,5.89132852515468e-133,"CD4/8 Naive/Stemlike","4932438A13Rik"
"Btg1",2.93655475089781e-136,0.481854914372964,0.959,0.877,4.9654204282931e-132,"CD4/8 Naive/Stemlike","Btg1"
"Tssc1",3.85358335561656e-135,1.24665704470267,0.554,0.326,6.51602409601204e-131,"CD4/8 Naive/Stemlike","Tssc1"
"A230046K03Rik",5.22584190937943e-134,1.18807948327354,0.569,0.331,8.83637608456968e-130,"CD4/8 Naive/Stemlike","A230046K03Rik"
"Skap1",1.11120855107617e-132,0.46688401237674,0.992,0.921,1.87894253901469e-128,"CD4/8 Naive/Stemlike","Skap1"
"Fam169b",4.76343916233811e-132,0.879081114896993,0.682,0.42,8.05449927959752e-128,"CD4/8 Naive/Stemlike","Fam169b"
"Rpl4",1.69322667568838e-130,0.602419590855512,0.882,0.766,2.86307698592148e-126,"CD4/8 Naive/Stemlike","Rpl4"
"Treml2",8.95507374553815e-130,3.41365123804005,0.184,0.026,1.51421341963305e-125,"CD4/8 Naive/Stemlike","Treml2"
"Rps12",4.50829056453676e-129,0.528181826945723,0.931,0.857,7.62306851557521e-125,"CD4/8 Naive/Stemlike","Rps12"
"Tmem64",1.51118978679826e-128,1.1366792955358,0.519,0.273,2.55527081049718e-124,"CD4/8 Naive/Stemlike","Tmem64"
"Acer2",4.12202463175836e-128,2.12722863919504,0.26,0.068,6.96993144984022e-124,"CD4/8 Naive/Stemlike","Acer2"
"Cox7a2l",3.00477414192534e-127,0.831303306755266,0.756,0.572,5.08077259658156e-123,"CD4/8 Naive/Stemlike","Cox7a2l"
"Als2cl",9.5790404102743e-127,3.81026694890119,0.161,0.016,1.61971994297328e-122,"CD4/8 Naive/Stemlike","Als2cl"
"Pde5a",1.95858724571072e-126,1.5824674800373,0.314,0.102,3.31177517377226e-122,"CD4/8 Naive/Stemlike","Pde5a"
"Rasa3",9.65444193087613e-126,0.63434840725834,0.824,0.586,1.63246958609184e-121,"CD4/8 Naive/Stemlike","Rasa3"
"Auts2",8.38832611015071e-125,3.11526056268674,0.173,0.022,1.41838206196538e-120,"CD4/8 Naive/Stemlike","Auts2"
"Zhx2",5.68636415811016e-123,0.636755130171028,0.816,0.6,9.61507315494848e-119,"CD4/8 Naive/Stemlike","Zhx2"
"Stk38",9.87314478933453e-123,0.803251658577655,0.713,0.489,1.66945005242858e-118,"CD4/8 Naive/Stemlike","Stk38"
"Sptbn1",1.65518469256251e-122,0.853160821389446,0.713,0.511,2.79875179665395e-118,"CD4/8 Naive/Stemlike","Sptbn1"
"Sesn3",2.02742910625886e-122,0.899622154302995,0.709,0.493,3.4281798757731e-118,"CD4/8 Naive/Stemlike","Sesn3"
"Sidt1",2.88998712856482e-120,0.65163627210611,0.777,0.527,4.88667923569026e-116,"CD4/8 Naive/Stemlike","Sidt1"
"Ntrk3",3.87718832830978e-120,2.19917671404688,0.246,0.064,6.555937744339e-116,"CD4/8 Naive/Stemlike","Ntrk3"
"Ms4a4b",3.4401072817545e-118,0.502792007991776,0.953,0.743,5.81687740271869e-114,"CD4/8 Naive/Stemlike","Ms4a4b"
