"","V1","V2","V3","V4"
"Lypla1",0.241793928849226,1.28589883804647,0.858240383482176,1.29643895335245
"Tcea1",2.22044604925031e-16,2.30343049103916,0.430547394381773,0.895436153953608
"Atp6v1h",3.18040167529206,2.52982046333959,0.0993426938387553,8.25051659573449
"Rb1cc1",12.0904591858371,10.5281841045438,9.40111297644976,6.51305616392616
"4732440D04Rik",2.00626983916196,1.04276291921466,2.22044604925031e-16,2.22044604925031e-16
"Pcmtd1",7.92697955846717,6.01630401938926,2.27254777061891,9.03061170225558
"Gm26901",1.49771501805128,1.36386493328192,2.22044604925031e-16,0.732357490864879
"Sntg1",0.183031684692992,0.288947771363357,2.22044604925031e-16,0.305336777790723
"Vcpip1",1.27342635758101,2.22044604925031e-16,0.616697614197247,3.31148930029623
"Sgk3",2.15088260709766,3.82292228726756,8.23340399067003,3.58319116140984
"Mcmdc2",0.196551088951969,0.26682781563484,0.264837172672175,2.22044604925031e-16
"Ppp1r42",0.192787166617664,2.22044604925031e-16,0.93966244977137,3.09947446543776e-05
"Cops5",0.282393120768756,2.22044604925031e-16,0.405949132585374,0.770292291317182
"Cspp1",2.22044604925031e-16,0.826161027098845,2.75684523055967,3.99427270039237
"Arfgef1",4.99327523755408,1.9582940391304,4.1716597585957,8.14411307462962
"Cpa6",2.22044604925031e-16,0.098424885878664,0.199894549769008,0.718722025202777
"Ncoa2",9.56574379214014,5.95313232914797,7.56585844089337,9.73190086685671
"Tram1",0.442559309566596,2.22044604925031e-16,2.49483269691867,2.79155174233085
"Lactb2",0.828722103159624,0.118020820023522,2.22044604925031e-16,0.694924366720337
"Terf1",2.22044604925031e-16,0.0822767229865232,2.22044604925031e-16,1.25121829934786
"Rpl7",1.16687313511168,1.09752029981156,9.78681685992375,14.5966560691057
"Rdh10",0.281819528684345,0.320050879998529,0.269868044149089,0.471913552523505
"Ube2w",2.99758748656359,1.75305497711114,4.28254834534845,3.96020448436496
"Tceb1",12.1141976497375,13.8020392018336,5.35588847257752,3.7033636842284
