"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4"
"115","Mrpl33","C5ar1","Lst1","Pan3"
"116","Stk17b","Sorl1","Fam49b","Btg1"
"117","Gab2","Arpc3","Pkm","Cytip"
"118","Fam134b","Smox","Slc16a3","Camk1d"
"119","Ccnl1","Xylt1","Arpc2","Rpl19"
"120","Hif1a","Slfn2","Gpx1","Rpl21"
"121","Cyp4f18","Hspa5","Arhgap15","Tsc22d3"
"122","Plk3","Coq10b","Snap23","Rpl13"
"123","Ell2","Nfe2l2","Mctp1","Arid4b"
"124","Fosl2","Gabarap","Trem1","Gm20388"
"125","Arpc2","Grina","Plaur","Cox8a"
"126","Iqgap1","Fgl2","Tmcc1","Igf1r"
"127","Dennd4a","Ddx6","Lilrb4a","Ddit3"
"128","Suco","Tnfrsf1b","Fbxl5","Atf7ip"
"129","Lrg1","Ccnl1","App","Zfand5"
"130","Ralgapa1","Rps27","Myl12b","Eif1"
"131","Pfn1","Cd52","Pim1","Klf6"
"132","Stx11","Rap1b","Mmp9","Vps13b"
"133","Gabarap","Cmip","Gabarap","Cdc42"
"134","Adam8","Slc16a3","Entpd1","Prrc2c"
"135","Clec4e","Fgr","Mrpl33","Arid1b"
"136","Sdcbp","Emilin2","Actr3","Uvrag"
"137","Ier3","Ccr1","Ctsd","Nufip2"
"138","Trib1","Fos","Ier5","Apbb1ip"
"139","Por","Actr3","Socs3","Rpl7"
"140","Snx18","Gpcpd1","Gm5483","Lyn"
"141","Cd52","Alox5ap","Samsn1","Arhgap26"
"142","Alox5ap","Ehd1","Cdkn2d","Fcer1g"
"143","Dusp16","Ncf4","Ube2h","Brd2"
"144","Etf1","Skap2","Akap13","Dhx40"
"145","Fem1c","Ctnnb1","Mcemp1","Il1b"
"146","Gcnt2","Nr4a1","Lyz2","Celf2"
"147","Myo1d","Ell2","Marcks","Gm10076"
"148","Atp2b1","Rac2","Rap1b","Skap2"
"149","Ctsd","Lcp2","Clic1","Tyrobp"
"150","mt-Co1","Rab7","Fcgr3","Ier2"
"151","Taldo1","Lyn","Gm5150","Rsrp1"
"152","Map2k4","Ndel1","Gm42418","Fgl2"
"153","C5ar1","Ddx3x","Arpc5","Gm42418"
"154","Hectd1","Sema4d","Pag1","Wipf1"
