"","SC78_1_factor1","SC78_1_factor2","SC78_1_factor3","SC78_1_factor4","SC78_1_factor5","SC78_1_factor6","SC78_1_factor7"
"1","Malat1","Fth1","mt-Co2","S100a9","S100a9","S100a9","Il1b"
"2","Entpd1","Ccrl2","mt-Co3","Fth1","S100a8","Tmsb4x","S100a9"
"3","Antxr2","Nfkbia","mt-Co1","S100a8","Tmsb4x","Actg1","S100a8"
"4","Spag9","Gadd45b","mt-Atp6","Il1b","Actg1","Srgn","Tmsb4x"
"5","Slc7a11","Cxcl2","mt-Cytb","Srgn","Actb","Il1b","Malat1"
"6","Neat1","Malat1","mt-Nd4","Tmsb4x","G0s2","Cebpb","Fos"
"7","Xylt1","Il1b","mt-Nd2","Cxcl2","S100a6","G0s2","Srgn"
"8","Cd44","Tmsb4x","mt-Nd1","G0s2","Plaur","Malat1","Zfp36"
"9","Il1b","Srgn","Malat1","Actg1","Retnlg","S100a8","Dusp1"
"10","Srgn","S100a9","mt-Nd5","Cebpb","S100a11","Actb","Fth1"
"11","Chst11","Cd14","S100a9","Malat1","Malat1","Ftl1","Junb"
"12","S100a9","Cebpb","Actb","Nfkbia","Cxcl2","Fth1","Actb"
"13","Sgms2","Zeb2","Actg1","Ccrl2","Cebpb","Il1r2","Ftl1"
"14","Hdc","Il1rn","S100a8","Actb","Srgn","Eif1","Msrb1"
"15","Il1r2","Marcksl1","Srgn","Irg1","Ftl1","Dusp1","Actg1"
"16","G0s2","Actb","Tmsb4x","Zeb2","Fth1","Cd44","Csf3r"
"17","Alcam","G0s2","Gm42418","Junb","Eif1","S100a11","Cebpb"
"18","Cmip","Actg1","Rbm39","Cd14","Sgms2","Btg1","Dennd4a"
"19","Cebpb","Ftl1","Fth1","Dusp1","Lyz2","H3f3b","Il1r2"
"20","Nedd9","Irg1","Neat1","Eif1","Lgals3","Msrb1","Picalm"
"21","Plek","Junb","Tnrc6b","Plek","Il1b","Tyrobp","S100a11"
"22","Sik3","Eif1","Cd44","Ftl1","Antxr2","Junb","Mxd1"
"23","Tpd52","Pim1","Ccnd3","Btg1","Xylt1","Spag9","Lst1"
"24","Zeb2","Birc3","Arhgap15","Mxd1","Tyrobp","Entpd1","Ptprc"
"25","Clec4d","Ifrd1","Srrm2","Nfkbiz","Sik3","Cd9","Mcl1"
"26","Atp2b1","Plek","Il1b","Cd44","Cd44","Hdc","Btg2"
"27","Btbd9","Nfkb1","Dennd4a","Rnf149","Nedd9","Plek","Tyrobp"
"28","Lilrb4a","Ifitm2","Hdc","Pim1","Entpd1","Slc16a3","Fau"
"29","Arhgap15","Spag9","Dock2","S100a11","Slc16a3","Fxyd5","Ncf2"
"30","S100a8","Nfkbiz","Mir142hg","Hdc","Alcam","H2-D1","Kpna4"
