"","SC78_6_factor1","SC78_6_factor2","SC78_6_factor3","SC78_6_factor4","SC78_6_factor5","SC78_6_factor6","SC78_6_factor7","SC78_6_factor8"
"1","Malat1","Fth1","Fos","Ifitm6","S100a9","Il1b","Rps3a1","Nfkbia"
"2","Alcam","Malat1","Malat1","S100a8","S100a8","Malat1","Rpl27a","Ccrl2"
"3","Xylt1","Basp1","S100a9","Retnlg","Wfdc17","S100a9","Rpl13a","Cxcl2"
"4","Sgms2","Ftl1","Klf2","S100a9","Ifitm1","Cebpb","Rps3","Irg1"
"5","Antxr2","Srgn","Zfp36","Lcn2","Retnlg","Srgn","Eef1a1","Il1b"
"6","Nedd9","Pgam1","Il1b","Lyz2","Il1b","Fth1","Rpl19","Fth1"
"7","S100a9","Mif","S100a8","Prok2","Fth1","Tmsb4x","Rpl18a","G0s2"
"8","Entpd1","Gapdh","Dennd4a","Tmsb4x","Tmsb4x","Actg1","Rps13","Gadd45b"
"9","Cd44","Cebpb","Junb","S100a6","G0s2","Ftl1","Rps8","Cd14"
"10","mt-Co1","S100a9","Kpna4","Ly6g","Actg1","Dusp1","Rpl8","Marcksl1"
"11","Spag9","Tpi1","Wfdc17","Anxa1","S100a6","Junb","Rps27a","Malat1"
"12","Chst11","Ero1l","Picalm","Actb","Wfdc21","Eif1","Rps23","Birc3"
"13","Cmip","Mcl1","Dusp1","Fth1","Actb","Il1r2","Rps14","Zeb2"
"14","Sik3","Ldha","Tmsb4x","Mmp8","Cebpb","H3f3b","Rps10","Tnfaip3"
"15","Cd14","Cxcl2","Csf3r","Wfdc21","Cxcl2","Actb","Rps11","Pim1"
"16","S100a8","Aldoa","Ifitm1","Ngp","Ifitm2","Tpt1","Rpl18","Nfkbiz"
"17","Baz2b","Hilpda","Akap13","Actg1","Srgn","Ifitm2","Ptma","Srgn"
"18","Cebpb","Pkm","mt-Co1","BC100530","Tspo","G0s2","Rpl37a","Clec4e"
"19","Srgn","Ier3","Ptprc","Gapdh","S100a11","Spag9","Cst3","Junb"
"20","G0s2","Fam162a","Tmcc1","Lgals3","Rps9","Mcl1","Rpl30","Ier3"
"21","Neat1","Cdkn1a","Cxcr2","Cd177","H3f3a","H3f3a","Rpl9","Irak2"
"22","Slc16a3","Hcar2","Neat1","Pglyrp1","Ftl1","Ifitm1","Rpl11","Slfn2"
"23","Igf1r","Pfkp","Ube2h","Alox5ap","Malat1","Hdc","Rpl23","Nfkb1"
"24","Picalm","Ubb","Socs3","Ifitm2","Alox5ap","Btg1","Rps27","Plek"
"25","Actg1","S100a8","Stat3","Ifitm3","Gapdh","Plek","Rpl17","Pde4b"
"26","Ndel1","H3f3b","Svil","Wfdc17","Tpt1","Pim1","Serf2","Zfp36"
"27","App","P4hb","Ssh2","Malat1","Tyrobp","Tyrobp","Rpl13","H2-D1"
"28","Cyth1","Tiparp","Btg2","Prdx5","Msrb1","Btg2","Rps21","Ifrd1"
"29","mt-Co3","Eno1","Lyst","H3f3a","Hp","Fcer1g","Rpl21","B2m"
"30","Ctnnb1","Eif1","Arhgap15","S100a11","Ifitm3","Lmnb1","Hnrnpf","Mapkapk2"
"31","mt-Co2","Tpt1","Pbx1","G0s2","Eif1","Ubb","Rpl34","Nlrp3"
"32","mt-Atp6","G0s2","Sorl1","Aldh2","Cd52","Fau","Rps7","Sod2"
"33","Diaph1","Slc2a1","Cers6","mt-Co1","Fau","Dennd4a","Rpl38","Cebpb"
"34","Smox","Bnip3","Ubb","Cd52","Rps27a","H2-D1","Rpl41","H2-K1"
"35","Btbd9","Tmsb4x","Phf21a","BC117090","Rac2","Litaf","Cox4i1","Isg15"
"36","Lyn","Fau","Gcnt2","Mgst1","Pfn1","Ifrd1","Rps16","Il1rn"
"37","Cdk17","Egln3","Ddx6","Rps24","Lcn2","Neat1","Uba52","Casp4"
"38","Actb","Pnrc1","Arhgap26","Arhgdib","Txn1","Msrb1","Rpl39","Tmsb4x"
"39","Fam107b","Zfp292","Fam49b","Stfa2","Prdx5","Ddx5","Btf3","S100a9"
"40","Cd9","Emilin2","Pag1","Tspo","Cd14","Rps9","Rps6","Mxd1"
"41","Gm42418","Neat1","Actb","Tpt1","Taldo1","Cxcl2","Rps2","Hdc"
"42","Hdc","Cd9","Tpd52","Ftl1","Anxa1","Cd14","Naca","Gsap"
"43","Wfdc17","Junb","Gpcpd1","Pfn1","Arpc3","Ets2","Rpl24","Ptgs2"
"44","Ptprc","H3f3a","Stk17b","Rac2","Lrg1","Xylt1","Rplp1","Cd274"
"45","Mxd1","Tra2a","Gm42418","Hp","Slc16a3","Cd44","Cox8a","Tnfaip2"
"46","Hif1a","Npepps","Skap2","Tkt","Coro1a","S100a8","Ppia","2810474O19Rik"
