"","SC78_6_factor1","SC78_6_factor2","SC78_6_factor3","SC78_6_factor4","SC78_6_factor5","SC78_6_factor6","SC78_6_factor7","SC78_6_factor8"
"47","Lyst","Gab2","Srgn","Cebpb","BC100530","Lrg1","Rpl35a","H2-Q7"
"48","Notch2","P4ha1","Cd84","Lrg1","H2-D1","Kpna4","Rps5","Ehd1"
"49","Snx18","Ppp1r3b","Msrb1","Arpc1b","Mcl1","Chst11","Rps29","Irf1"
"50","Map2k4","Mbnl2","Rnf149","mt-Atp6","Trem1","Ccrl2","Rpl10","Ptafr"
"51","Clec4d","Sdcbp","Gda","Anxa2","Btg1","S100a11","Lst1","Samhd1"
"52","Arhgap15","Ctsd","Fam65b","Cyba","Fcer1g","Ptgs2","Rplp2","Ftl1"
"53","Slc7a11","Bsg","Mcl1","mt-Co3","H3f3b","Rnf149","mt-Atp6","Marcks"
"54","Sorl1","H2-D1","Mxd1","Myl6","Arpc1b","Gadd45b","Rbm3","Mcl1"
"55","Tpm4","Prdx5","Lcp1","Rps9","Gm5483","Tpd52","Cyba","Ccl3"
"56","Il1r2","Il1r2","Ftl1","Coro1a","Ubb","Csf3r","Rps15","Ncf1"
"57","Hectd1","Fxyd5","Litaf","Tyrobp","Junb","Trem1","Gm10076","Rnf149"
"58","Klhl2","Gm5483","Celf2","Srgn","Dusp1","Mxd1","Rps15a","Traf3"
"59","Tpd52","Kpna4","Ipcef1","Mmp9","Mcemp1","Jund","Chchd2","Pik3ap1"
"60","Cxcl2","Cstb","Iqgap1","Eif1","Stfa2l1","Clec4e","Rpl26","Actg1"
"61","Adam8","Litaf","Ccnd3","mt-Co2","Anxa2","Atp2b1","Atp6v0e","Ninj1"
"62","Fbxo11","Actg1","Marcks","Prr13","mt-Co1","Entpd1","Rpl22","Dusp16"
"63","Dock2","Plin2","Fth1","Pkm","Fxyd5","Pnrc1","H2afj","Arg2"
"64","Fam134b","Fcer1g","Hdc","Gpx1","Map1lc3b","Ptprc","Rpl6","Clec4d"
"65","Plek","Btg1","Lrg1","Dstn","Cyba","Clec4d","Dynll1","Cdc42ep2"
"66","Lilrb4a","Suco","Trps1","Sh3bgrl3","Irg1","Atf3","Fau","Arid5b"
"67","Rnf149","Upp1","Fbxl5","Cd14","Lcp1","Cdk2ap2","Rabac1","Rab8b"
"68","Plaur","Fnip1","Zfp36l2","Txn1","Csf3r","Ndel1","Rps12","Hcar2"
"69","Ptprj","Lilrb4a","Hp","H2-D1","Pim1","Cd9","Sh3bgrl3","Sema4d"
"70","Lmnb1","Ostf1","Dock2","Arpc2","Hmgb2","Cxcr4","Cdk2ap2","Spag9"
"71","Myh9","Gabarap","Arhgap24","R3hdm4","Tpd52","Gabarap","Rps28","Slc7a11"
"72","Il1b","Osbpl9","Lyn","Rplp0","Clic1","Antxr2","Rpl7","Btg2"
"73","Trps1","Hmox1","Mtus1","Stfa3","Ddx5","Arpc3","H3f3b","Ifitm2"
"74","Sp140","Gm42418","Usp32","Plaur","Grina","Wfdc17","Rpl28","Ifitm3"
"75","Actr3","Il1b","mt-Co3","Fcer1g","Ctsd","Pfn1","Pfdn5","Lcp2"
"76","Ddx6","Pgk1","Bcl6","Sri","Cotl1","Lst1","Eif5a","Ifitm1"
"77","Itpkb","Bcl2l1","Arg2","Ostf1","Gabarap","Sorl1","Hist1h2bc","Fcer1g"
"78","Emilin2","Cd53","App","Adpgk","Cdc42","Slc16a3","Plin2","Rel"
"79","Lamp2","Igf1r","Tra2a","Arpc3","Lsp1","Fxyd5","Rpl37","Actb"
"80","Lcp1","Ptgs2","Cmip","Msrb1","Cfl1","Arg2","Gng5","Gbp2b"
"81","Il1rap","Pim1","Rab8b","Eef1a1","Itm2b","Ccr1","Rps24","N4bp1"
"82","Zfand3","Tpd52","Ifitm2","Itm2b","Glrx","B2m","Gm2a","Kdm6b"
"83","Agpat9","Hk2","Osbpl9","Vim","Pglyrp1","Igfbp6","Sub1","Btg1"
"84","Ptbp3","Ccr1","Zfand5","Atxn10","Mxd1","Pik3ap1","Tpt1","Lilrb4a"
"85","Pbx1","Ccrl2","mt-Co2","Ubb","Arpc2","Irg1","Atp5l","Bcl2l11"
"86","Ncf2","Ctsb","Prkcb","Gnai2","Gnai2","Zfp36","Map1lc3b","Upp1"
"87","Plin2","Clec4d","Atrnl1","Vasp","Ccl6","Txn1","Atox1","Fbxl5"
"88","Samsn1","Ankrd33b","Ppp3ca","Cdc42","Jund","Mir142hg","Itm2b","H2-T23"
"89","Zcchc6","Phf21a","Mbnl2","Rpsa","Atp6v1g1","March7","Rps25","Plac8"
"90","Slfn4","Alcam","Btg1","Cd9","Myl6","Sik3","Arpc1b","Gm42418"
"91","Rbms1","Tmem189","Klf6","Rps27a","Plaur","Gm42418","Eef1b2","Neat1"
"92","Cnnm2","Fnip2","Osm","Cotl1","Pkm","Samsn1","Rps26","Eif1"
"93","Gm26740","Xylt1","Syk","Asprv1","Aldoa","2810474O19Rik","Cd52","Erbb2ip"
"94","Btg1","Tyrobp","Arih1","Taldo1","Zyx","Ddx3x","AF251705","Adam17"
"95","Iqgap1","Grina","Hmgb2","Arpc5","Litaf","C5ar1","mt-Cytb","H3f3b"
"96","Tmsb4x","Ap3s1","Il1r2","Glrx","Lmnb1","Ppp1r15a","Hmgb1","Prdx5"
"97","Ppp1r3b","Ifitm1","Grina","Lcp1","Rps16","Kdm6b","Calm1","Ptprj"
"98","Osbpl9","Jun","Kdm7a","Gpi1","Stx11","Snap23","Hist1h1c","Lmnb1"
"99","Wbp1l","Lgals3","Lsp1","Pygl","Rnf149","Ccnl1","Pfn1","mt-Co3"
"100","Litaf","Ubc","H3f3a","Anxa11","Clec4e","Tnfaip2","Slc25a5","S100a8"
"101","Hpcal1","Msra","Ncf2","Ifitm1","Arpc5","Map1lc3b","Tceb2","Malt1"
"102","Por","Fam134b","Cebpb","Ldha","Fcgr3","Cdc42","Runx1","Cd9"
"103","Gda","Hsp90aa1","Rps9","Rps4x","Hdc","Lilrb4a","D8Ertd738e","Ets2"
"104","Braf","Pfkl","mt-Atp6","Shfm1","Gm5150","Gm5150","Atp5e","Gbp2"
"105","Grina","Smox","Camk1d","Actr3","Gpx1","Calm2","Brk1","mt-Atp6"
"106","Jdp2","Sorl1","March7","Serf2","Calm1","Etf1","Supt4a","Tpt1"
"107","Fth1","Wsb1","Gab2","Ncf4","Selplg","Ubc","mt-Co3","Abtb2"
"108","Ccnl1","Ccnl1","Mctp2","Pgd","Emilin2","Picalm","Rps19","Trem1"
"109","Arhgap26","Higd1a","Gadd45b","Ctsd","Btg2","Hp","Oaz1","Ier5"
"110","Col4a3bp","Gadd45b","Suco","Calm1","Prr13","Cst3","Cotl1","Csf3r"
"111","4932438A13Rik","Slc16a3","Ltb","Mcemp1","Arg2","Coq10b","H2-K1","Klf2"
"112","Zeb2","Stfa2l1","Herc4","Rps29","Rpl9","Emilin2","Bri3","Samsn1"
"113","Kpna4","Rlf","Steap4","Cfl1","Il1r2","Srsf5","Igfbp6","Vasp"
"114","Dusp16","Ddx5","S100a11","Mcl1","Myl12b","Cmip","Arhgdib","Lpcat2"
"115","Cd53","Soat1","Jund","Cap1","Oaz1","Mapkapk2","Ubl5","S100a11"
"116","Csf3r","B2m","Map3k5","Slfn4","Mrpl33","Sgms2","Mdh2","Relb"
"117","March7","Mxd1","Fgr","Clic1","Gmfg","Osbpl9","Rps9","Igsf6"
"118","Rab8b","Rab7","Lmnb1","Actn1","Spi1","Ankrd33b","Arpc4","Ubb"
"119","Lilr4b","Fcgr3","Pde4b","Aldoa","Cd9","Fgl2","Tmed2","Pnrc1"
"120","Ralgapa1","Klf6","Lilrb4a","Oaz1","Ccr1","Rps27","H2afz","Dennd4a"
"121","Stx11","Zfp36l2","Coro1a","Hmgb2","Tgfbi","Ncf4","Calm2","Antxr2"
"122","Mcl1","Dusp1","Gadd45a","Gm8730","Arhgdib","Rab7","Morf4l1","Slfn4"
"123","Pik3ap1","Sat1","Tbc1d15","AA467197","Sat1","Skap2","Tyrobp","Icam1"
"124","Suco","Nfil3","Anxa1","Gmfg","Ncf4","Tiparp","Sec61b","Litaf"
"125","Trem1","Egr1","Txnip","Fau","Mrgpra2b","Marcks","mt-Co1","Nedd9"
"126","Noct","H2-K1","Pla2g7","Cd24a","Clec4d","Cd52","Ybx1","Rab20"
"127","Prkcb","Csf3r","Selplg","Cnn2","Rpl37","Fosl2","Srp14","Trps1"
"128","Rabgef1","Actb","Atp8a1","H3f3b","Entpd1","Hmgb2","Nedd8","Zfand3"
"129","Ehd1","Hectd1","Adgre5","Myl12b","Asprv1","Rap1b","Atp5b","Hspa5"
"130","Lrrfip1","Polr2a","Numb","Mrgpra2b","Actr3","Inpp5d","Hspa8","Dusp1"
"131","Bcl2l1","Ankrd12","Pim1","Rps20","C5ar1","Grina","Cox7a2","Snx10"
"132","Ddx5","Ifrd1","Clk1","Grina","Serf2","Cd53","Cox5a","Tmbim6"
"133","Fem1c","Wwp2","Whsc1l1","Uba52","Stfa2","Ctsb","Rpl14","Nfe2l2"
"134","Ccr1","Slc3a2","Nfkbiz","Mapk13","Gng5","Lcp1","Vamp8","Cers6"
"135","Chd7","Alkbh5","Vim","Pnkp","Smox","Ier3","Clic1","C5ar1"
"136","Arih2","Lyst","Il1rap","mt-Cytb","Ube2d3","Cfl1","Ubb","Il1r2"
"137","Arg2","Bnip3l","Lamp2","Iqgap1","Sh3bgrl3","Csf1","mt-Co2","Sgms2"
"138","Ets2","Etf1","H2-D1","Ceacam10","Rplp0","Ctsd","Atp5h","Rtp4"
"139","Gk","Elmo1","Pip5k1b","Glipr2","Atg3","Alcam","Rpl15","Il1f9"
"140","Vav3","Samsn1","Nup98","Mxd1","Rps27","Rbm39","Fam32a","Snap23"
"141","Pxn","Ddit3","Ncor1","Esd","Cd44","Arpc1b","Tmem59","Tyrobp"
"142","Rab7","Zfp36","Ndel1","Gm5483","Rps10","Ctnnb1","Atp6v1f","Susd6"
"143","Myo1d","Ifitm2","Jmjd1c","Cdkn2d","Pla2g7","Rabgef1","Syf2","Snx20"
"144","Pim1","Gbe1","Snap23","Gnb2","Ncf2","Jdp2","Tmsb4x","Picalm"
"145","S100a6","Rps27","Actg1","Mettl9","Gda","Mbnl2","Shfm1","Tnfrsf1b"
"146","Fbxl5","Spag9","Tspo","Hdc","Sub1","Smox","Rpl35","Txn1"
"147","Tnrc6b","Bhlhe40","Igf1r","Eno1","Sgms2","Lyn","Anp32a","Plaur"
"148","Tes","Csf1","Alox5ap","Padi4","Ier3","Ier5","Ube2i","Pfn1"
"149","Pde7b","Lilr4b","Abtb2","Anxa3","Ndel1","Ptafr","Arf1","Tapbp"
"150","Gab2","Calm2","Tmem164","Rhoa","Ostf1","Sntb2","Ndufb9","H2-Q4"
"151","Atrnl1","Msrb1","Rsrc2","Atp6v1g1","Eno1","Gab2","Cfl1","Csf1"
"152","Vps4b","Chmp4b","Cd300lf","Ggt1","Mmp9","Sat1","Prdx5","Ccnl1"
"153","Whsc1l1","Kdm3a","Pglyrp1","Msra","Chil1","Sdcbp","Psenen","Neurl3"
"154","Msra","Fbxl5","D1Ertd622e","Trem1","Pnrc1","Plk3","Atp6v0b","Dusp2"
"155","Fosl2","Gla","Sfxn5","Mbd2","Vasp","Wnk1","Ssu72","Lcp1"
"156","Rlf","Nampt","Atxn1","Rpl7","Rps29","Rps29","Myl12b","H3f3a"
"157","Kdm7a","Plek","Xylt1","Itgam","Atxn10","Csrnp1","Msrb1","Grina"
"158","Top1","Lmnb1","Rbm39","Upp1","Slc2a1","Tra2a","Plac8","Ddx5"
"159","Gtdc1","Rbpj","Ier5","Ube2d3","mt-Co3","Trib1","Eef2","Nfkbie"
"160","Elmo1","Atp2b1","Spi1","Il1b","BC117090","Ncf2","Lamp1","Lyn"
"161","Atp11b","Ccl3","Cmah","Ccnd3","AB124611","H2-K1","Abracl","Cd53"
"162","Irg1","Tlr4","Tbc1d14","Slc16a3","Tarm1","Arpc2","Dnaja1","mt-Co2"
"163","Fxyd5","Cd14","Ddx5","Chil1","Gpsm3","Ddit3","Scand1","Fas"
"164","Pitpna","Dedd2","Mctp1","Spi1","Iqgap1","Atp6v1g1","Ftl1","S100a6"
"165","Inpp5d","Map1lc3b","S100a6","Rpl19","Rhoa","Fam134b","Cd300a","Smox"
"166","Ifitm1","Lamp2","Gm20388","Mrpl33","Cap1","Dusp5","Apoe","Ptprc"
"167","Hilpda","Arg2","Klhl2","Litaf","Shfm1","Stk17b","Cox6b1","Parp14"
"168","Pag1","Il15","Hcar2","Arpc4","Rpl18a","Steap4","Hnrnpk","Rbpj"
"169","Dgat1","Ets2","Tyrobp","1110008F13Rik","Ypel3","Hspa5","Jun","Ppp1r15a"
"170","Vmp1","Atp6v1a","Actr3","Gng5","mt-Atp6","Nfe2l2","Rpl36","Rnf19b"
"171","Chd2","Btg2","Plek","Cd47","Rhov","Rhoa","Arpc2","Tnf"
"172","Dennd4a","Rps9","Fcer1g","Gabarap","Snap23","Nfkbia","Fgl2","Fbxo11"
"173","S100a11","S100a11","Hsp90aa1","Ncf1","Cst3","Egr1","Gpx4","Oser1"
"174","Bcl2l11","Ppp1r15a","Txn1","Fbxl5","Picalm","Lsp1","Erp29","Trim30a"
"175","Sp100","Rsrp1","Rapgef6","Gm42418","Ldha","Tgoln1","Atp5d","Basp1"
"176","Ctsd","Ptbp3","Rbm47","Rap1b","mt-Co2","Fem1c","Rpsa","Irak3"
"177","Dhrs9","Cd300lf","Elmo1","Rps10","Stk17b","Vps37b","Asprv1","Rab11fip1"
"178","Skap2","Eif5","Ankrd44","Ddx5","Fam32a","Lilr4b","Ltb","Slfn1"
"179","Gcnt2","Irak2","Susd6","Rps16","Rpl17","Cytip","Eif1","Pkm"
"180","Samhd1","Sh2d3c","Atg3","Junb","Cytip","Lamp2","Fxyd5","Sik3"
"181","mt-Nd4","Pag1","Nfil3","Tpm3-rs7","Steap4","Adgre5","Ost4","Ccr1"
"182","Mbnl2","App","Sat1","Sat1","Rap1b","Myl6","Laptm5","Gbp7"
"183","Cltc","Gsn","Dmxl2","Lbr","Upp1","Rac2","Fcer1g","Cflar"
"184","Ago2","Cdc42","Rassf3","Rpl9","Ptprc","Atp6v0d1","Ube2l3","Ctsb"
"185","Nrd1","Hif1a","Ier2","Vsir","Cxcr2","Isg15","Cnbp","Cd300lf"
"186","Trib1","Pik3ap1","Mmp9","Lilrb4a","Sh3glb1","Ube2b","Rac2","Wfdc17"
"187","Sh2d3c","Ddx3x","Hdac4","Fam65b","Eef1a1","Fos","Psmb8","Nab1"
"188","Capza1","Tmbim6","Zfp36l1","Itgb2","Eif4ebp1","Igf1r","Alox5ap","Tgif1"
"189","Kdm2a","Ctsz","Hif1a","Timp2","Selk","Ptprj","Hebp1","Gnb1"
"190","Etf1","Rbm39","Samhd1","Rps11","Gnb2","Iqgap1","Rac1","Psmb9"
"191","Mxi1","Agpat9","Cdkn2d","Fcgr3","Arpc4","Actr3","1810058I24Rik","Lst1"
"192","Sec24b","Stat3","Rgs2","Plp2","Ier5","Calm1","Txn1","Rap1b"
"193","Basp1","Selk","Jak1","Qsox1","Uba52","Coro1a","Tma7","Slc15a3"
"194","Jmjd1c","Sap18","Taldo1","Flna","Rpl41","Rsrp1","Tmem14c","Emilin2"
"195","2810403A07Rik","Atf3","Sdcbp","Rps12","Gpi1","Pde7b","Saa3","Stat1"
"196","Eif4a1","Txn1","Fcgr3","Arhgap15","Cox8a","Cd84","Rhoa","Ctsz"
"197","Cyp4f18","Atp6v0d1","Ankrd11","Gclm","Ube2b","Rps16","Sumo2","Fgr"
"198","Arih1","Rgcc","Wfdc21","Gyg","B2m","Mirt1","mt-Nd4","Tpd52"
"199","Fgr","Gng5","Braf","Lyn","Osbpl9","Gcnt2","Rpl32","Zc3h12a"
"200","Cers6","Diaph1","Emilin2","Hspa8","Pygl","Alox5ap","Rpl7a","mt-Co1"
"201","Arhgap24","Tbc1d15","Vav3","Hck","Sri","Marcksl1","Myl12a","Psmb8"
"202","Anxa11","Cd274","Tgfbi","Sub1","Sorl1","Suco","Gpx1","Nr4a1"
"203","Fndc3b","1700112E06Rik","Fxyd5","Gpsm3","Vim","Rpl18a","Reep5","Tra2a"
"204","Ankrd33b","Atf4","Zyx","Rpl23","Lyz2","Arpc5","Cox6c","Txnrd1"
"205","Rab20","Zeb2","Gm5150","Trem3","Pfdn5","Gmfg","Serp1","Cd44"
"206","Slc11a1","Snap23","Fyb","Ncf2","Lst1","Taldo1","Tspo","Mefv"
"207","Aff4","Rps29","Notch2","Stfa2l1","Rhog","Cap1","Sh3glb1","Tlr4"
"208","C130026I21Rik","Cited2","Slc40a1","Rps19","Slpi","Gng5","Ppib","Fau"
"209","Nab1","Arid5b","Sell","Stx11","Adam8","Ier2","Gabarap","Kpna4"
"210","Clec4e","Rpl10","Il17ra","Rps3","Samsn1","Btbd9","Cytip","Ubc"
"211","Atxn1","Cxcl3","Jun","Npepps","Cyp4f18","Ube2d3","Minos1","Skap2"
"212","H3f3a","Arpc3","Plcl2","mt-Nd4","Osm","Dazap2","H2-D1","Chd2"
"213","Ell2","Rhoa","Ctsd","Ltb4r1","Lilrb4a","Braf","Pitpna","Zc3hav1"
"214","Ifitm2","Tgoln1","Sirpb1a","Ptprc","Lilr4b","Tax1bp1","Ctsz","Lilr4b"
"215","Pdlim5","Tet2","Gadd45g","Osm","Isg15","Nlrp3","Ier2","Arf4"
"216","Eif1","Mirt1","Dusp16","Myh9","Emb","Clk1","Rpl5","Fxyd5"
"217","mt-Cytb","Dusp5","Tnrc6b","Pabpc1","Cd300lf","Mrpl33","Ptp4a2","Tank"
"218","Usp32","Card19","Tsc22d3","Sh3glb1","Ddx6","Tnfrsf1b","Ctss","Tgm2"
"219","Slc15a3","Sik3","Rlf","Tmbim6","Atp6v0e","Arih1","Kif5b","Entpd1"
"220","Stk40","Cmip","Mir142hg","Skap2","Arf5","Syk","Atp5f1","Osbpl9"
"221","Cd300lf","Pfkfb3","Gm26825","Lsp1","Calm2","Msn","Gabarapl2","Gtdc1"
"222","Fam65b","Hspa5","Chst11","Actr2","Rac1","Selk","Cox5b","App"
"223","Ap2b1","Apbb1ip","Ccnl1","Clec4e","Rpl7","Klf6","Psmb9","Gabarap"
"224","Tax1bp1","Bri3","Serinc3","Capzb","Cnn2","Anxa11","Gpsm3","Sp100"
"225","Klf7","Zfp36l1","Il4ra","Emilin2","Gm42418","Oaz1","Rpl23a","Gpr132"
"226","Wdfy3","Hk3","Apbb1ip","Gsr","Antxr2","Ddx6","Clta","Ankrd33b"
"227","Mir142hg","Ranbp2","Sh2d3c","Arf5","Supt4a","Rpl41","Ifngr1","Bcl2a1b"
"228","Gfod1","Cd24a","Cd52","Rps15a","Smpdl3a","Ptp4a1","Emb","Mapk6"
"229","Slc2a1","Gpi1","Msn","Samhd1","Chmp4b","Eif5","Cd47","Bcl6"
"230","Irak2","Tnfrsf23","Oser1","Il1r2","Plek","Trem3","Gnb2l1","Socs3"
"231","Hsd11b1","March7","Ifngr1","G6pdx","H2-K1","Nup98","Rplp0","Msn"
"232","Smchd1","Clec4e","Pacs1","Rpl37a","Hif1a","Spi1","Cstb","Arih2"
"233","Msn","Arpc2","Arid4b","Slfn2","Fis1","Cd300lf","Eif4a1","Nod2"
"234","Pitpnc1","Nktr","Sephs2","Rpl13","Lyn","Ube2h","Tmed10","Rbms1"
"235","Anks1","Rsrc2","Rap1b","Gadd45a","Capzb","Gm2a","Hsp90aa1","Cdc42"
"236","Sdcbp","Fus","Prr13","Cmip","Igfbp6","Gpr35","Rap1a","Rps9"
"237","Qsox1","Gna13","Med13l","App","Rps12","Myl12b","Gdi2","Diaph2"
"238","Pafah1b1","Vamp4","Ptpn1","C5ar1","Glipr2","Nr4a1","Psma3","Orai2"
"239","Slc6a6","Rnf149","Csrnp1","Ppp1ca","Trem3","Nudt4","Tra2b","Gpbp1"
"240","Rbm39","Sf3b1","Ankrd33b","Rpl34","Rps13","Irak2","Rsrp1","Traf1"
"241","Kras","Il1f9","Ddx3x","Capg","Ier2","Cyba","Hspa5","Rab7"
"242","H3f3b","Rab20","Lst1","Flot1","Tpm3-rs7","Gnai2","Cox7a2l","Csrnp1"
"243","Kmt2e","Rhob","Ctsb","Flot2","Cmip","Sf3b1","Rnh1","Tax1bp1"
"244","Stat3","Rap1b","Mapkapk2","Atp5f1","Prok2","Polr2a","Rbx1","Nfkb2"
"245","Sntb2","Atp11b","Dnm2","Fis1","Mgst1","Cdkn1a","Gm10709","Rhoa"
"246","Zfp608","Skap2","Hspa8","Lmnb1","Mbd2","Hectd1","Cdc42","Sdcbp"
"247","Slc22a15","Ell","Nfe2l2","Fam49b","App","Ppp1r2","Sf3b6","Clec2d"
"248","Atp2b1","Lcp1","Fau","Tpd52","Ets2","Pdlim5","Ppp2ca","Fgl2"
"249","Lnpep","Rabgef1","Fam134b","Cybb","Rps24","Selplg","Arpc3","Adgre5"
"250","Hp","Jak1","Polr2a","Fpr1","Gadd45a","Il1rap","Psap","Mir142hg"
"251","Rock1","Celf2","Cux1","Tln1","Chst11","Fnip1","Atp5j2","Irf7"
"252","Fmnl1","Gys1","Ptpn12","AB124611","Arf1","Arih2","Vapa","Cd52"
"253","Ankrd11","Zfand3","Arid4a","Fpr2","Ptprj","Ptk2b","Rtn4","Cdk2ap2"
"254","Tbc1d23","Tax1bp1","Egr1","Ier2","Fosl2","Atp6v0e","Rbm39","Mtmr6"
"255","Coro1a","Sh3glb1","Itgal","Ppp1r2","Tmbim6","Serf2","Ube2s","Mmp9"
"256","Clk1","Irg1","Prr5l","Cmah","Rps3","Tspan13","Psma1","Arpc3"
"257","Plk3","Kmt2e","Dock8","Plac8","Tpm4","Clic1","Uqcrq","Clic4"
"258","Ythdf3","Ier5","Pfn1","Pgk1","Hck","Laptm5","Btg1","Ncf4"
"259","Sepn1","Osbpl8","Pygl","Dhrs7","Adipor1","Tmbim6","Cox6a1","Cxcr2"
"260","Kctd12","Ascc3","Pip4k2a","Cox4i1","Atp5l","Ell2","Npm1","Ifnar2"
"261","Tpm3","Serinc3","Irf1","Rps13","Sdcbp","Fus","Neurl3","Nfkbid"
"262","Mctp1","Ninj1","Adipor1","Pirb","Hcst","Zfp36l2","Arf4","C3"
"263","Tiparp","Fndc3b","Cask","Arf1","Por","Arf1","Ctsa","Rbm39"
"264","Agtpbp1","Tmem140","B2m","Rab8b","R3hdm4","Stat3","Snx20","Il1rap"
"265","Myo1f","Hmgb2","Asap1","Rps5","Scand1","Kras","Psmb1","Ube2d3"
"266","Spp1","Samhd1","Igsf6","Pilra","Pilra","Rpl17","Rpl27","Calm1"
"267","Sell","Arih1","Cdc42","Ccr1","Tspan13","Fam49b","Taldo1","Mirt1"
"268","Fcer1g","Dnajc5","Map1lc3b","Gda","Sh2d3c","Plaur","mt-Nd2","Stfa2l1"
"269","Gsk3b","Btbd9","Atp6v0a1","Sqrdl","Cd33","Pfdn5","Psma7","Fndc3b"
