"","SC78_6_factor1","SC78_6_factor2","SC78_6_factor3","SC78_6_factor4","SC78_6_factor5"
"84","Dusp1","Mcemp1","Igf1r","Mir142hg","Osbpl9"
"85","Osbpl9","Taldo1","Ctnnb1","Kpna4","Gda"
"86","Ccnl1","R3hdm4","Ccr1","Cd14","Pfn1"
"87","Btg2","Ostf1","Lyn","Gm2a","Gm5150"
"88","Ccr1","Arpc3","App","Ets2","Ncf2"
"89","2810474O19Rik","Ldha","Hif1a","Hspa5","Fam49b"
"90","Hdc","Sri","Cd52","Tnfaip2","Fxyd5"
"91","Gab2","Ngp","Ncf2","Wnk1","Selplg"
"92","Ctsb","Vasp","Samsn1","Inpp5d","Cxcl2"
"93","Grina","Serf2","Fau","Lmnb1","H3f3b"
"94","Gabarap","Fcer1g","Txn1","Chst11","Rac2"
"95","Fbxl5","Pygl","mt-Co3","Eef1a1","Cd84"
"96","Csf3r","Ubb","Tpm4","Srsf5","Osm"
"97","Lmnb1","Rpl7","Ddx6","Ubc","Lyn"
"98","Arg2","Gnai2","Baz2b","Rps27a","Stat3"
"99","Tpd52","Cdc42","Ets2","Rbm39","mt-Co3"
"100","Gm5483","Aldoa","Osbpl9","Rpl21","Fam65b"
"101","Csf1","Ctsd","Ctsd","Cox8a","Wfdc21"
"102","Fam162a","Shfm1","Snx18","Pnrc1","Map1lc3b"
"103","Ankrd33b","Stfa3","Iqgap1","Arpc1b","App"
"104","Samsn1","Arpc5","Slc7a11","Rpl30","Cers6"
"105","Birc3","Dstn","Lilr4b","Rpl13a","Fbxl5"
"106","Ddx5","Rps29","mt-Co2","Kdm6b","Pag1"
"107","Ubc","Rps11","Jund","Nfkbia","Phf21a"
"108","Ets2","Lcp1","Alox5ap","Rps21","Snap23"
"109","Pik3ap1","Clic1","Btg2","Txn1","Cmip"
"110","Slc2a1","Calm1","mt-Atp6","Ptprc","Pbx1"
"111","Pfkp","Cnn2","Pik3ap1","Cdc42","Ifitm3"
"112","P4hb","Cd177","Jdp2","Atp6v0e","Arhgap15"
"113","Isg15","Cfl1","Stfa2l1","Rplp1","Trem1"
"114","Tnfaip3","Stx11","Cyth1","Arpc3","Eif1"
"115","Marcks","mt-Cytb","Il1rap","Hist1h2bc","Spi1"
"116","Ostf1","Glipr2","C5ar1","S100a11","Tmcc1"
"117","Fnip1","Upp1","Taldo1","Gng5","Rab8b"
"118","S100a11","Actr3","Adam8","G0s2","Ndel1"
"119","Ninj1","Eno1","Lsp1","Btf3","mt-Co2"
"120","Npepps","Rps10","Lyst","Clec4e","Ier5"
"121","Rnf149","Ncf4","Notch2","AF251705","Zyx"
"122","Nfkbiz","Cd9","Kpna4","Pfdn5","Zfp36l2"
"123","Suco","Rps4x","Cdc42","Rabac1","Nfkbiz"
"124","Ctsd","Oaz1","Lamp2","Cfl1","Lilrb4a"
"125","Irf1","Fau","Fosl2","Lrg1","Arhgap26"
"126","Mbnl2","Esd","Rabgef1","Calm1","Pde4b"
"127","Mapkapk2","Rpl9","Cd53","Rpl38","Fcgr3"
"128","Rab7","Myl12b","Pla2g7","Ifitm1","Sat1"
"129","Igf1r","Grina","Mrpl33","Cyba","Gadd45a"
"130","Bnip3","Mcl1","Arpc2","Rnf149","Ctsd"
"131","Zfp292","Hmgb2","Sp140","2810474O19Rik","Pglyrp1"
"132","Ifitm3","Rpl19","Gabarap","Cd52","Emilin2"
"133","Stfa2l1","Mrgpra2b","Isg15","Rhoa","mt-Atp6"
"134","Fam134b","Rps3","Rac2","Rps11","Atg3"
"135","Tmbim6","Rps12","Dusp16","Eif5a","Rps27a"
"136","Tlr4","Pgd","Wfdc21","Rbm3","Cdc42"
"137","Ppp1r15a","Gmfg","Mcemp1","Rap1b","Plek"
"138","Lilr4b","Rps16","Gm5150","Rsrp1","March7"
"139","Klf6","Mbd2","Prdx5","Rpl37a","Ssh2"
"140","Alcam","Slfn4","Por","Marcksl1","Actr3"
"141","Phf21a","Pnkp","March7","Rps2","Trps1"
"142","Gbp2b","Msra","Diaph1","Snap23","Stfa2l1"
"143","Slc16a3","Cap1","Ifitm3","Sik3","Suco"
"144","Ier5","Timp2","Ccnl1","Ncf4","Tgfbi"
"145","Cstb","1110008F13Rik","Zyx","Csf3r","Anxa2"
"146","Snap23","H3f3b","Stx11","Cd300a","Arhgap24"
"147","Il1f9","Anxa11","Gda","Ddx3x","Syk"
"148","Cd300lf","Gnb2","Ier3","Rpl34","Ipcef1"
"149","Rab8b","Rpl37a","Slc2a1","Arpc2","Il1rap"
"150","Txn1","Arpc4","Pnrc1","Tpd52","Cd300lf"
"151","Sat1","Rps3a1","Clic1","Ier2","Lst1"
"152","Bsg","Chil1","Agpat9","Mbnl2","Arpc3"
"153","Slfn4","Atp6v1g1","Map1lc3b","Ier5","Entpd1"
"154","Ptafr","Il1b","Sh2d3c","Rplp2","Usp32"
"155","Rbpj","Rps13","Gapdh","Irak2","Gnai2"
"156","Hspa5","Spi1","Ppp1r3b","Adgre5","Zfand5"
"157","Atp2b1","Gng5","Arpc5","Laptm5","Xylt1"
"158","Rab20","Rpsa","Snap23","Zfp36","Mtus1"
"159","Egln3","Iqgap1","Glrx","Jdp2","Gabarap"
"160","Slc7a11","Ube2d3","Dennd4a","Cox4i1","Celf2"
"161","Ppp1r3b","Stfa2l1","Myl6","Eif5","Slc16a3"
"162","Egr1","Rpl34","Arpc1b","Sntb2","Ltb"
"163","Erbb2ip","Rpl23","Rap1b","Gm10076","Hif1a"
"164","Jun","Rhoa","Cap1","Ddit3","Arpc1b"
"165","Sorl1","Actn1","Anxa1","Rpl19","Ccr1"
"166","P4ha1","Cdkn2d","Gcnt2","Fam134b","Cyba"
"167","Picalm","Arhgap15","Etf1","Gab2","Mmp9"
"168","Sik3","Rpl28","Klhl2","Dynll1","Hcar2"
"169","Rps9","Sub1","Cfl1","Mapkapk2","Fgr"
"170","App","Tpm3-rs7","Spi1","Oaz1","B2m"
"171","Ctsz","Gpsm3","Rab7","Etf1","Zfp36l1"
"172","Msrb1","Fcgr3","Zcchc6","Arf1","Lamp2"
"173","Polr2a","Slc16a3","Fam134b","Cd9","Cytip"
"174","Sgms2","Mrpl33","Anxa2","1700112E06Rik","Ncf4"
"175","Zfand3","Mxd1","Suco","Rpl11","Cd44"
"176","Cers6","Gda","Cd300lf","C5ar1","Prdx5"
"177","Cdc42","Rps7","Zeb2","Ccr1","Ccnd3"
"178","Plin2","Mettl9","Pkm","Ndel1","Atrnl1"
"179","Fcgr3","Hspa8","Hectd1","Klf2","Tra2a"
"180","Klf2","Gabarap","Cyp4f18","Pik3ap1","Chst11"
"181","Etf1","Sat1","Ube2d3","D8Ertd738e","Klf6"
"182","Lcp1","Rps14","Sat1","Marcks","Rap1b"
"183","Rlf","Ccnd3","Rab8b","Brk1","Ier2"
"184","Gbp2","Trem1","Skap2","Ptafr","Kdm7a"
"185","Xylt1","AA467197","Plin2","Cytip","Pkm"
"186","Ddx3x","Mapk13","Ubb","Alcam","Retnlg"
"187","Casp4","Samhd1","Mrgpra2b","Rps7","Mbnl2"
"188","Chmp4b","Cd47","Mir142hg","Chchd2","Gadd45b"
"189","Lamp2","Cd24a","Fam107b","March7","Sh2d3c"
"190","Mirt1","mt-Nd4","Btbd9","Arg2","Igf1r"
"191","Nlrp3","Slfn2","Selplg","Fus","Sell"
"192","Calm2","Gyg","Cdk17","Mxd1","Adgre5"
"193","Rbm39","Fbxl5","Rhov","Runx1","Gapdh"
"194","Tnfaip2","Ddx5","Gnai2","Ctsb","Dusp16"
"195","Hsp90aa1","Cox4i1","Hmgb2","Rpl35a","Sdcbp"
"196","Adam17","Rpl27a","Stk17b","Ctsd","Bcl6"
"197","Hmox1","Itgam","Bcl2l1","Atox1","Tspan13"
"198","Wsb1","Rpl13","Sdcbp","Ctsz","Gpx1"
"199","Skap2","Gclm","Map2k4","Sub1","Clk1"
"200","Rhoa","Litaf","Kdm6b","Sorl1","Gmfg"
