"","SC78_6_factor1","SC78_6_factor2","SC78_6_factor3","SC78_6_factor4","SC78_6_factor5"
"1","Cxcl2","Retnlg","S100a9","Malat1","S100a9"
"2","Fth1","S100a8","S100a8","Tmsb4x","S100a8"
"3","Malat1","S100a9","G0s2","Ftl1","Il1b"
"4","Ccrl2","Lcn2","Malat1","H3f3b","Wfdc17"
"5","Srgn","Ifitm6","Il1b","Il1b","Malat1"
"6","Ftl1","S100a6","Wfdc17","Fth1","Ifitm1"
"7","Nfkbia","Lyz2","Actg1","Cebpb","Tmsb4x"
"8","G0s2","Wfdc21","Cebpb","Srgn","Junb"
"9","Il1b","Prok2","Cxcl2","Gadd45b","Fos"
"10","Ier3","Tmsb4x","Srgn","Ccrl2","Fth1"
"11","Cebpb","BC100530","Fth1","Eif1","Dusp1"
"12","S100a9","Anxa1","Cd14","Tpt1","Actb"
"13","Irg1","Gapdh","Ifitm1","Junb","Srgn"
"14","Basp1","Wfdc17","Tmsb4x","Ifrd1","Zfp36"
"15","Mcl1","Fth1","Actb","Actg1","Csf3r"
"16","Junb","Actb","Entpd1","Cst3","Ftl1"
"17","Hcar2","Ifitm3","Slc16a3","Lst1","Msrb1"
"18","Tmsb4x","Actg1","Sgms2","Cdk2ap2","Cebpb"
"19","Gadd45b","Alox5ap","Cd44","Fau","Actg1"
"20","H2-D1","Rps24","Antxr2","Ubb","Ifitm2"
"21","Pim1","Stfa2","Ifitm2","Il1r2","Dennd4a"
"22","H3f3b","Mmp8","Xylt1","Dusp1","Kpna4"
"23","S100a8","Prdx5","Btg1","Atp2b1","Rps9"
"24","Eif1","mt-Co1","S100a11","Rps27","Picalm"
"25","Ubb","Pglyrp1","Irg1","Fcer1g","Hp"
"26","Tpt1","BC117090","H3f3a","Rpl18a","Ubb"
"27","Cd14","Lgals3","Spag9","Spag9","Mcl1"
"28","Ptgs2","S100a11","Hdc","H2-D1","Btg2"
"29","Pkm","Tspo","Alcam","Cxcr4","H3f3a"
"30","B2m","Ifitm2","Mxd1","Tyrobp","Klf2"
