"","SC78_4_factor1","SC78_4_factor2","SC78_4_factor3","SC78_4_factor4","SC78_4_factor5","SC78_4_factor6","SC78_4_factor7","SC78_4_factor8"
"37","H2-D1","Pim1","Mxd1","Ddx5","Cxcr2","Pim1","Ptprj","Rpl10"
"38","Mxd1","Lmnb1","Alcam","Atp2b1","Sorl1","Cd9","Ehd1","Kansl1"
"39","Alcam","S100a8","Msrb1","Lmnb1","Kpna4","Sp100","Rab8b","Rps23"
"40","Kpna4","Irg1","H3f3b","Entpd1","Fam65b","Hdc","Eif1","Rpl18"
"41","Plaur","Plek","Lmnb1","Kpna4","Lst1","S100a11","Tnfaip2","Rpl30"
"42","Litaf","Samsn1","Il1r2","H2-D1","Btg1","Lmnb1","Hdc","Srgn"
"43","Tpd52","Clec4d","Arpc3","Atf3","Lcp1","Litaf","Ptafr","Actg1"
"44","Fxyd5","Junb","Litaf","Rps9","Taldo1","Neat1","Btg1","Fau"
"45","Lst1","Rabgef1","Xylt1","Slc16a3","Mcl1","B2m","H2-D1","Ftl1"
"46","Cmip","Fam134b","Cyp4f18","Clec4d","Cebpb","Alcam","Ifrd1","Rpl17"
"47","Cd14","Braf","Hdc","Lst1","Jund","Rnf149","Dusp1","Rpl26"
"48","Rnf149","Arg2","H2-D1","Cd9","Mxd1","Fxyd5","Erbb2ip","Rps14"
"49","Fau","Slc16a3","Plek","Tpd52","Celf2","Cd14","Tyrobp","Rpl28"
"50","Cd53","Nedd9","Irg1","Tpt1","Skap2","Irg1","Ptgs2","Rpl11"
"51","Csf3r","Emilin2","Fxyd5","Cxcr4","Lyst","Oasl1","Ccl3","Rps12"
"52","H3f3a","Plaur","Slc7a11","Fxyd5","Coro1a","Tgm2","Clec4d","Rps11"
"53","Fcer1g","Sorl1","Cmip","Fgl2","Ncf2","Chst11","Pik3ap1","G0s2"
"54","Lmnb1","Tpd52","Osm","Wnk1","Neat1","Sorl1","Vasp","Rps27"
"55","C5ar1","Lyn","Lyn","Btg2","Lsp1","Slc16a3","Marcks","Rps27a"
"56","Mrpl33","Cyth1","Grina","Neat1","Tmcc1","Mcl1","Arg2","Rpl7"
"57","Lyn","Btbd9","Ndel1","H3f3a","Ccl6","Egr1","Ets2","Rps13"
"58","Fgl2","Ccnl1","Lcp1","Hcar2","Arg2","Tpd52","Ncf1","S100a9"
"59","Kdm6b","Dock2","Pim1","Samsn1","Hp","H2-K1","Nr4a1","Uba52"
"60","Ccr1","Gcnt2","Adam8","Sik3","Lyn","Smchd1","Spag9","Rps6"
"61","Btg2","Suco","Sik3","Dennd4a","Gcnt2","Ptprc","Sgms2","Rpl34"
"62","Pfn1","Ndel1","Tpt1","Ptafr","Plek","Fam134b","Ifitm2","Eif1"
"63","Sorl1","Picalm","Mcemp1","Ptgs2","Gpcpd1","Sik3","Rel","Uqcrh"
"64","Dennd4a","Nfkbiz","Mcl1","Ankrd33b","Mctp1","Fcer1g","Ptprc","Arhgap15"
"65","Ptprc","Csf3r","Msra","Ptprc","Litaf","Ccnl1","Mcl1","Rps26"
"66","Mcl1","Tmsb4x","Pfn1","Chst11","Txn1","Sdcbp","Cd9","Rps28"
"67","Slc16a3","Dennd4a","Fcer1g","Mbnl2","Tpd52","Ptafr","Zfp36","Cfl1"
"68","Rps27","Lyst","Rps9","Rnf149","Cmip","Tpt1","Csf3r","Nfkb1"
"69","Ets2","Arhgap15","Txn1","Irg1","Ccnd3","Ets2","Mapkapk2","Cebpb"
"70","Ier3","H2-D1","Ccr1","Mxd1","Eif1","Kpna4","Lmnb1","Fam107b"
"71","Trib1","Ptgs2","Gda","Ctsd","Entpd1","Txn1","Dusp16","H3f3a"
"72","Rps9","Cd53","Tpm4","Ubb","Hmgb2","Fau","Ier5","H3f3b"
"73","Sik3","Baz2b","Chst11","Egr1","Fxyd5","Cmip","Samsn1","mt-Nd4l"
"74","Marcksl1","Pbx1","Arhgap15","Rab7","Zfp36l2","Antxr2","Msrb1","Rpl9"
"75","Atp2b1","Lcp1","Lgals3","Pnrc1","Rnf149","Dennd4a","H3f3b","Ssh2"
"76","Cd300lf","Rab7","Tpd52","Gab2","Lmnb1","Samsn1","S100a11","Zeb2"
"77","Trem3","Eif1","Spag9","Tnfaip2","G0s2","Rps9","B2m","Msn"
"78","Emilin2","Ets2","Osbpl9","Sdcbp","Cers6","Atp2b1","Fgr","Fcer1g"
"79","Picalm","Ifrd1","Junb","Gabarap","Svil","Ndel1","H3f3a","Rps2"
"80","Irak2","Mbnl2","Mmp9","Ccr1","Anxa2","H3f3a","Litaf","Btg1"
"81","Ptafr","Fndc3b","Ets2","Rabgef1","Iqgap1","Ccr1","2810474O19Rik","Rpl21"
"82","Ndel1","H3f3b","Baz2b","Csrnp1","Myo1f","Lst1","Cd44","Hnrnpf"
"83","S100a6","Ncf2","Itm2b","Sorl1","Marcks","Irf7","Neat1","Rpl19"
"84","Neat1","March7","Fau","Picalm","Pfn1","Fgl2","Nadk","Cst3"
"85","Lilrb4a","Zeb2","Coro1a","Pik3ap1","B2m","Sgms2","Dennd4a","Vti1a"
"86","Ddx5","Actr3","Mctp1","Antxr2","Hdc","Trib1","Trem1","Rpl18a"
"87","Csf1","Gab2","Arg2","Map1lc3b","Pglyrp1","Csf3r","Lcp1","Cox7c"
"88","Tnfaip2","Igf1r","Trem1","Rps27","Map3k5","Ncf2","Slc7a11","H2-D1"
"89","Trem1","1700112E06Rik","Sp140","Emilin2","Cd52","Btg2","Btg2","Ptprc"
"90","Gab2","Vps37b","Ralgapa1","Txn1","Ddx5","Wnk1","Ier3","Runx1"
"91","Fam134b","Trem1","Klra2","Ubc","Snap23","Basp1","Abtb2","Pim1"
"92","Hectd1","Ftl1","Ankrd33b","Plk3","Trem1","Pik3ap1","Chst11","Il1b"
"93","Lcp1","Wnk1","Hp","Mapkapk2","Akap13","Lyst","Tnfrsf1b","Elmo1"
"94","Spi1","Sdcbp","Lilr4b","Jund","Cd44","Ctnnb1","Cd274","Lyz2"
"95","Isg15","Ccr1","Mir142hg","Fnip1","Gm42418","Cd53","Malt1","H2-K1"
"96","Actr3","Ctnnb1","Picalm","Plaur","Cxcr4","Mir142hg","Rps9","B2m"
"97","Arpc2","Smox","Trib1","Ndel1","Slc7a11","Ankrd33b","Lilrb4a","Nfkbiz"
"98","Sgms2","Cd14","Neat1","Slc7a11","Dock2","Oas3","Icam1","Samsn1"
"99","Slc7a11","Tmcc1","Taldo1","Etf1","Alox5ap","Lilrb4a","Ctsz","Ddx5"
"100","Il1rn","Rap1b","Sorl1","Cd14","Camk1d","Gabarap","Bcl2a1b","S100a8"
"101","Rap1gap2","Ddx6","Cd52","Nudt4","Xylt1","Rab7","Adgre5","Cd9"
"102","Ier2","Btg2","Mrpl33","Coq10b","Rps27a","Slc15a3","C5ar1","Rplp0"
"103","Ctnnb1","2810474O19Rik","Arpc2","Fam134b","Ipcef1","Por","Ninj1","Junb"
"104","Ehd1","Tyrobp","Prdx5","Snap23","Cd9","Ifitm2","Fcer1g","Atf7ip"
"105","Taldo1","Dusp16","Ptprj","Alcam","Phf21a","Ddx5","Ddx5","Sgms1"
"106","B2m","Rap1gap2","Lilrb4a","Cdk2ap2","Ppp3ca","Slc7a11","Nedd9","Rac2"
"107","Gm26740","Map2k4","Ddx5","Sh2d3c","Mmp9","Lyn","Actr3","Ncf2"
"108","Smox","Map3k5","Cd53","Gadd45b","Selplg","Taldo1","S100a6","Dock8"
"109","Tpm4","Ddx3x","Ncf2","Vps37b","Pla2g7","Arhgap15","Snap23","Kdm6b"
"110","Iqgap1","Fem1c","Mgst1","Inpp5d","Fcer1g","Cd300lf","Plaur","Rps9"
"111","Btbd9","Mctp1","Ptprc","Sgms2","Ccrl2","Rabgef1","Rab11fip1","Ptma"
"112","Jund","Fxyd5","Emilin2","Serinc3","Arhgdib","Arg2","Zc3h12a","Marcksl1"
"113","Fem1c","Etf1","Btbd9","Kdm6b","Ltb","Cxcr4","Ankrd33b","Prkcb"
"114","Samsn1","Osbpl9","Lyst","B2m","Ifi27l2a","Tiparp","N4bp1","Arpc2"
"115","Sdcbp","Lilr4b","Anxa1","Dusp5","Pim1","Fem1c","Slfn2","Fxyd5"
"116","Cd52","Stk17b","Tlr4","Ncf2","Cap1","Fosl2","Lst1","Cdc42"
"117","Irg1","Mcl1","Slc15a3","Ctnnb1","Cyba","Trem1","Fxyd5","Tnfrsf1b"
"118","Lilr4b","Cd300lf","Anxa11","Fem1c","Samsn1","Ly6e","Il1r2","Atp2b1"
"119","Rab7","Hectd1","Plk3","Trem1","Cytip","Gab2","Tpt1","Tyrobp"
"120","Ccnl1","Mirt1","Fosl2","Cmip","Adgre5","Picalm","Sema4d","Dennd4a"
"121","Igf1r","Diaph1","Rac2","Csf1","Igf1r","Emilin2","Hspa5","Uvrag"
"122","Dock2","Snap23","Ctsd","Pfn1","Antxr2","Ubb","Txn1","Diaph2"
"123","Gm42418","Arhgap26","Btg2","S100a6","Itm2b","Csrnp1","H2-K1","Vasp"
"124","Mirt1","Adam8","Ifitm2","Irak2","Ifitm2","Nedd9","Rap1b","Alcam"
"125","March7","Ptk2b","Cyba","Lcp1","Spi1","Lilr4b","Hcar2","Gm8730"
"126","Ncf2","Osm","Eml1","Braf","Emb","Gcnt2","Fau","Prrc2c"
"127","Itpkb","Irak2","Il1rn","Ier3","Klf6","Btbd9","Gsap","Nfkbia"
"128","Pla2g7","Basp1","Diaph1","Alox5ap","Zyx","Tlr4","Lsp1","Calm1"
"129","Pbx1","Snx18","Wfdc21","Cd53","Pag1","Etf1","Antxr2","Rpl36"
"130","Sp140","Sp140","Lsp1","Ddit3","Lyz2","Grina","Ell2","Irg1"
"131","Rps29","Arih2","Rnf149","Fcer1g","Tsc22d3","Smox","Snx18","Osbpl8"
"132","Wnk1","Tnfrsf1b","Csf3r","Fos","Ndel1","Zfp36","Lyn","Taok1"
"133","Arpc3","Iqgap1","Actr3","Osbpl9","Usp32","Baz2b","Rbpj","Ptprj"
"134","Adgre5","Elmo1","App","Btbd9","Rap1b","Pfn1","Hck","Oaz1"
"135","Gpr35","Fosl2","Sdcbp","Mir142hg","Apbb1ip","Ier3","Entpd1","Btg2"
"136","Txn1","Abtb2","Kpna4","Cst3","Syk","Cyp4f18","Tpd52","Plek"
"137","Nudt4","Notch2","Ier3","Iqgap1","Osbpl9","Inpp5d","Ddx3x","Eif5"
"138","Arpc5","Ptafr","Ctnnb1","Basp1","Elmo1","Slfn1","Jak2","Stat3"
"139","Plk3","Grina","Rdh12","Selk","Ncor1","Ascc3","Pfn1","Sp100"
"140","Diaph1","Ell2","Arhgdib","Tnfrsf1b","Slfn2","Arpc3","Rabgef1","Gnai2"
"141","Gfod1","Pag1","Arpc5","Gm42418","Nedd9","Nudt4","Irak3","Gab2"
"142","Klhl2","Syk","Ppp1r3b","Sat1","Sell","Ptgs2","Skil","Naca"
"143","Ninj1","Slc15a3","Rabgef1","Arhgap15","Itgal","Rap1b","Relb","Rac1"
"144","2810474O19Rik","Inpp5d","Gcnt2","Rps29","Fgr","Sp140","Dock2","Rab11fip1"
"145","Lamb3","Nlrp3","4932438A13Rik","Taldo1","Pten","Trim30a","Jund","Rpl24"
"146","Gabarap","Ccrl2","Hmgb2","Lyst","Pygl","Snap23","Bcl2l11","Cxcl2"
"147","Tes","Fbxo11","Rab7","March7","Sat1","Ifrd1","Sod2","Mbnl2"
"148","Antxr2","Ralgapa1","Cap1","Zfp36l2","Ccr1","C5ar1","Nfe2l2","Rps15a"
"149","Tnfrsf1b","Coq10b","Ddx6","Il1rn","Prkcb","Samhd1","Emilin2","Vim"
"150","Snx18","Kdm6b","Myl6","Coro1a","Fbxl5","Mapkapk2","Lcp2","Rpl6"
"151","Cd300a","Rab8b","Kctd12","Lilrb4a","Rassf3","Zcchc6","Picalm","Rapgef6"
"152","Rap1b","Agpat9","Lcn2","Trib1","Hspa8","Ccrl2","Bcl3","Hdc"
"153","Vmp1","Fnip1","Sepn1","Rap1b","Asap1","Chmp4b","Trem3","Ubb"
"154","Myo1d","Pde7b","Gapdh","Tgoln1","Rpl37","Kdm6b","Iqgap1","Ly6e"
"155","Gcnt2","Myo1d","Map2k4","Ddx3x","Clec4d","Myo1d","Arhgap15","Rpl13"
"156","Lsp1","Gsk3b","Pglyrp1","Gm43661","H3f3b","Slfn5","Tlr2","Mxd1"
"157","Fmnl1","Ankrd44","Etf1","Adgre5","Ptpre","Stk17b","Traf3","Serf2"
"158","Ctsd","Tiparp","Fam134b","Ifrd1","Tpt1","Ddx60","Cd52","Neat1"
"159","Cyba","Ddx5","mt-Co1","Isg15","Mrpl33","Rps27","Cmip","Asprv1"
"160","Mapkapk2","B2m","Nfkbiz","Arih2","Nfkbiz","Pnrc1","Neurl3","Rps25"
"161","Dusp16","Il1rap","Stfa2l1","Suco","Arpc1b","Plk3","H2-Q7","Rps7"
"162","Sp100","Ptprj","Snx18","Lyn","Gab2","S100a6","Ncf4","Rpl37"
"163","Marcks","S100a6","Smox","Lsp1","Hmha1","Ddx3x","Rab20","Itgb2"
"164","Myl6","Mrpl33","Notch2","Pla2g7","Fcgr3","Tpm4","Pla2g7","Clta"
"165","Rps27a","S100a11","Cyth1","Pbx1","Gmfg","Jdp2","Alox5ap","Gm10076"
"166","Tlr4","Jdp2","Cdc42","Ptk2b","Amica1","Cdk2ap2","Tgif1","Pfn1"
"167","Basp1","Sh2d3c","Rap1gap2","Lamp2","Ptgs2","Il1rap","Bcl2a1d","Whsc1l1"
"168","Pik3ap1","Por","Serf2","Ier5","Il1f9","Lcp1","Smox","Aldoa"
"169","Rpl9","Adam17","March7","Srsf5","Nr4a1","Irak2","Taldo1","Sf3b1"
"170","Rab20","Gm42418","Gabarap","Arg2","Grina","Runx1","Spi1","AF251705"
"171","Nedd9","Stx11","Arpc1b","Ccl3","H2-K1","Cltc","Slc16a3","Hmha1"
"172","Dhrs9","Gtdc1","Cotl1","Myl6","Rab8b","Arpc2","Nr4a3","Gm42418"
"173","Nab1","Eea1","Spp1","Ccnl1","Mir142hg","Ccl6","Ccnl1","Cytip"
"174","Zfand3","Tpm4","Selk","Cap1","Psap","Map1lc3b","Rac2","Eef1b2"
"175","Vasp","Rbms1","Suco","Arpc2","Cd101","Actr3","Rps27","Cd52"
"176","Cap1","Srsf5","Lst1","Slc15a3","Slpi","Cotl1","Jak1","Acer3"
"177","Cd80","Ctsd","Pbx1","Adam17","Mctp2","Itm2b","Casp4","Kpna4"
"178","Slc15a3","Egr1","Dennd4a","C5ar1","Gm5150","Cd52","Snx20","Ccnl1"
"179","Serf2","Ppp1r3b","Rap1b","Osgin1","March7","Cyba","Gm42418","Fbxo11"
"180","Snap23","Slc22a15","Gmfg","Igf1r","Polr2a","Ppp1r3b","Gpbp1","Msrb1"
"181","Arhgap15","Tgm2","Rps27a","Ppp1r2","Mtus1","Sepn1","Tnip1","mt-Nd3"
"182","Coro1a","Gpcpd1","C5ar1","Ppp1r15a","Slc40a1","Vmp1","Kpna4","Fyb"
"183","Clec4e","Stat3","Zcchc6","Osm","Ddx3x","Ddx6","Vmp1","Ifitm3"
"184","Baz2b","Sell","Alox5ap","Hp","Slc9a9","Gm13822","Pnrc1","Smyd3"
"185","Cox17","Tnrc6b","Trem3","Cdc42","Ier5","Cyth1","Zfand3","Qk"
"186","Alox5ap","Rbm39","Ccnl1","Marcksl1","Rac2","Rap1gap2","Cst3","Cox4i1"
"187","Arih2","Serinc3","Snap23","Rps27a","Cd84","Ier5","Ifnar2","Rbm3"
"188","Cdc42","Trib1","Atp2b1","Gcnt2","Ptpn12","Tnfaip2","Bcl2a1a","Ptpre"
"189","Cst3","4932438A13Rik","Gnai2","Grina","Sfxn5","H2-T23","Itm2b","Eef2"
"190","Chmp4b","Trps1","Mmp8","Cox8a","Cdc42","Hectd1","Etf1","Irak2"
"191","Msn","Hif1a","Anxa2","Gpcpd1","Sirpa","Gm42418","Lpcat2","Plac8"
"192","Ddx3x","Atp6v0d1","Gab2","Pdlim5","Adipor1","Myl12b","Trib1","Stk17b"
"193","Ppp1r2","Zfand3","Myh9","Ccl6","Serf2","Selk","Gpr132","Nr4a1"
"194","Rac2","Skap2","Basp1","Nr4a1","Il1rap","Osbpl9","Gcnt2","Apbb1ip"
"195","Lfng","Klhl2","Plin2","Mirt1","Gda","Plin2","Msn","Cd44"
"196","Cdk2ap2","Camk1d","Sell","Fosl2","Gpx1","Cst3","Sqstm1","Fam49b"
"197","Gng5","Hcar2","Pkm","Themis2","Gadd45a","Tgoln1","Cyba","Dock2"
"198","Nadk","Mapkapk2","Pik3ap1","Rps16","Myl6","Ctsd","Sorl1","Lyn"
"199","Pnrc1","Mir142hg","Iqgap1","Il15","Rps29","Pum2","Fgl2","Psmb8"
"200","Abtb2","Lst1","Spi1","Calm2","Slfn4","Cdc42","Mir142hg","Laptm5"
