"","SC78_2_factor1","SC78_2_factor2","SC78_2_factor3","SC78_2_factor4","SC78_2_factor5","SC78_2_factor6","SC78_2_factor7","SC78_2_factor8","SC78_2_factor9"
"1","Nfkbia","mt-Atp6","Isg15","Fth1","S100a8","mt-Co3","Actg1","Il1b","S100a9"
"2","Nfkb1","mt-Co1","Rtp4","Ftl1","Retnlg","mt-Co1","Cd44","S100a9","Il1b"
"3","Ccrl2","mt-Co3","Slfn4","Ifrd1","S100a9","mt-Co2","Srgn","Malat1","Srgn"
"4","Fth1","mt-Co2","S100a9","Malat1","G0s2","mt-Cytb","S100a9","Tmsb4x","Tmsb4x"
"5","Cxcl2","mt-Cytb","Rsad2","Cebpb","Fth1","mt-Atp6","Alcam","S100a8","Cebpb"
"6","Zeb2","Lyz2","Oasl1","Ccrl2","Tmsb4x","mt-Nd4","Actb","Fos","Actg1"
"7","S100a9","mt-Nd4","Sp100","Il1b","Cxcl2","Malat1","Malat1","Ssh2","Malat1"
"8","Irg1","Rps14","Ifi27l2a","Tmsb4x","Actg1","mt-Nd2","G0s2","Csf3r","G0s2"
"9","Il1b","Rpl37a","Tmsb4x","Srgn","S100a6","Xylt1","Cd14","Dusp1","Dusp1"
"10","Marcksl1","Eef1a1","Ifitm3","Gadd45b","Stx11","Antxr2","Tmsb4x","Zfp36","Fth1"
"11","Nfkbiz","Rpl35a","Il1b","Cxcr4","Actb","Entpd1","Cebpb","Srgn","Cxcl2"
"12","Srgn","Rpl18a","Oas3","Csf1","Srgn","Neat1","Entpd1","Ftl1","Cd44"
"13","Malat1","S100a9","Srgn","Dusp1","Il1b","Cd44","Eif1","Dennd4a","Il1r2"
"14","G0s2","Rps10","Actg1","Actg1","Cebpb","Sik3","Btg1","Picalm","Actb"
"15","Cd14","mt-Nd2","S100a8","Junb","Lyz2","Spag9","Xylt1","Fth1","S100a8"
"16","Pde4b","Rpl17","Cebpb","Cxcl2","Ccl6","Slc7a11","Mir142hg","Junb","Ftl1"
"17","Tmsb4x","Rps27a","Malat1","Kpna4","Nedd9","Cxcl2","Chst11","Actb","Entpd1"
"18","Il1rn","Tmsb4x","Cxcl2","Il1r2","S100a11","Il1r2","Cd9","Msrb1","Eif1"
"19","Clec4e","S100a8","Fth1","Spag9","Malat1","Srgn","Antxr2","Ptprc","Spag9"
"20","Cebpb","Rps13","Actb","Zfp36","Ftl1","mt-Nd1","H3f3b","Kpna4","Plek"
"21","Nlrp3","Rpl23","Msrb1","Atp2b1","Antxr2","Chst11","Tyrobp","Zfp36l2","Btg1"
"22","Irak2","Rps29","G0s2","Mcl1","Sgms2","Il1b","S100a8","Il1r2","Junb"
"23","S100a8","Rpl9","H2-D1","Eif1","Plaur","Alcam","Btbd9","Sorl1","H3f3b"
"24","Tnfaip3","Rps16","Ftl1","Ccl3","Slc16a3","Dennd4a","Plek","Stk17b","Cd14"
"25","Dusp16","Rpl10","B2m","H3f3b","Irg1","Cmip","Cmip","H3f3a","Msrb1"
"26","Junb","Rpl30","Dusp1","Actb","H3f3a","Irg1","Il1b","Neat1","Ets2"
"27","Plek","Rpl34","Smchd1","Plek","Slc7a11","Hdc","Gm26740","Fam65b","Hdc"
"28","Rnf149","Prdx5","H2-K1","Neat1","Eif1","Cebpb","Plaur","Fam49b","Clec4d"
"29","Kdm6b","Uba52","Tyrobp","Dennd4a","Lcn2","Atp2b1","Fam107b","Pbx1","Xylt1"
"30","Gadd45b","Rps23","Eif1","Ptgs2","Lcp1","Clec4d","Diaph1","Lyst","Atp2b1"
