"","SC78_2_factor1","SC78_2_factor2","SC78_2_factor3","SC78_2_factor4","SC78_2_factor5","SC78_2_factor6","SC78_2_factor7","SC78_2_factor8","SC78_2_factor9"
"132","Ankrd33b","Atp5h","Cst3","Atp6v1a","Hif1a","Prkcb","Stk17b","Gab2","Gcnt2"
"133","Ifitm1","Arhgap15","Cxcr4","Dusp5","Ifitm2","Etf1","Kctd12","Cyba","Igf1r"
"134","Nfe2l2","Gdi2","Lyn","Pfn1","Hmgb2","Ncf2","Cyp4f18","Pla2g7","Pfn1"
"135","Mrgpra2b","Pxn","Mir142hg","Sgpl1","Nfkbiz","Tnrc6b","Ptafr","Atg3","Irak2"
"136","Zfand3","Ubl3","Marcks","Adgre5","Alox5ap","Cd53","Fgl2","Ltb","Fam134b"
"137","Casp4","Tspo","Cmip","Cd52","Arpc2","Egr1","Tnrc18","Cd84","Nlrp3"
"138","Trem3","Stk24","Tmbim6","Ubc","Fcer1g","Ptafr","Agpat9","Zyx","Suco"
"139","Il1r2","Pkm","Egr1","Samsn1","Lilr4b","Btg2","Cd80","Apbb1ip","Sdcbp"
"140","Zc3h12a","Wfdc21","Helz2","Lilrb4a","Btg2","Vmp1","Gpr35","Cd9","Mapkapk2"
"141","Fbxo11","Limd2","Ncf2","Nlrp3","Zyx","Ifrd1","Fmnl1","Adgre5","Il1rn"
"142","Jak2","Tmem59","Anxa2","Sdcbp","Pfn1","Cd300lf","Ddx5","Cdc42","Gm42418"
"143","Gpr132","Cnn2","Ddx58","Laptm5","mt-Co1","Zcchc6","Fau","B2m","B2m"
"144","Rps9","Ldha","Tlr4","Cd84","Dennd4a","Ptk2b","Itgal","Antxr2","Nedd9"
"145","Sema4d","Rbm39","Sik3","Lsp1","Tpm4","Lamp2","Klhl2","Spi1","Sepn1"
"146","Rap1b","Hspa8","Ptgs2","Stk17b","Rab8b","Por","Notch2","Suco","Hectd1"
"147","Ddx3x","Atp6v1f","Ier5","Arih2","Baz2b","Mir142hg","Plin2","Zfand5","C5ar1"
"148","Bcl2l11","Ncf1","Rps27","Tgoln1","Trib1","Pdlim5","Dusp5","Alox5ap","Ubb"
"149","Rabgef1","Txn1","Slfn8","Jund","Rps27a","Ets2","Slc11a1","Myo1f","Snap23"
"150","Txn1","Actr3","Gcnt2","Tpd52","Arpc5","Nup98","Taldo1","Retnlg","Tgoln1"
"151","Ndel1","H2afz","Emilin2","Ptp4a1","Sik3","Cyp4f18","Cltc","Ube2h","Tlr4"
"152","Pbx1","Syne1","Cfl1","Arg2","Suco","Cdk17","Arg2","Ccnd3","Fem1c"
"153","Trib1","Ppp1r12a","Pnrc1","Msn","Jund","Actb","Sdcbp","Cd300a","2810474O19Rik"
"154","Lpcat2","Plbd1","Irak2","Clec4n","Ier5","Anxa11","Pbx1","Sat1","Cyp4f18"
"155","Skil","Ube2d2a","Slc16a3","Ccl4","Kpna4","Plk3","Mcl1","Xpr1","Ier3"
"156","Relb","Uqcrh","Kdm6b","Rps27a","Mrpl33","Kdm6b","Sp140","Rac2","Actr3"
"157","Pfn1","Rps3a1","Sorl1","Dclre1c","Rap1gap2","Tlr4","Cdc42","Cd300lf","Kdm6b"
"158","Gpbp1","Mmp8","Lamp2","Sema4d","Smox","Cd14","Ctsd","Fam134b","Lsp1"
"159","Il1f9","Gnas","Trim12c","Ier5","Stfa2l1","Vps37b","Ralgapa1","Klhl2","Nfkbiz"
"160","Tlr2","Lims1","Trafd1","Ppp1r2","Igf1r","Ago2","Arih2","Gmfg","Cxcr4"
"161","Emilin2","Rap1b","Gbp2b","Arpc1b","Rab7","Notch2","Slc22a15","Trem1","Por"
"162","Slc15a3","Rnf130","Dusp16","Ago2","Ctsd","Atp6v0d1","Cotl1","Fgd4","Alox5ap"
"163","Bcl3","Pabpc1","Rap1b","Cd300a","Ralgapa1","Gfod1","Rab7","Abtb2","Ifrd1"
"164","Rbpj","Gpsm3","Ddx6","Picalm","Arhgdib","Fnip1","App","Rsrc2","Anxa11"
"165","Sorl1","Rps2","Snap23","Anxa11","Cd300lf","Chd2","Eif4a1","Cap1","Tgm2"
"166","Ddx6","Hmgn2","Ly6e","Rap1b","Fam65b","Itpkb","Myl6","Etf1","S100a6"
"167","Ctnnb1","Trip12","Prdx5","Gm42418","4932438A13Rik","Jdp2","Rps9","Sirpa","Lilr4b"
"168","Iqgap1","Cdc42","Cyba","Marcks","Sp140","H3f3b","Ccnl1","Rab8b","Fam107b"
"169","Tpt1","Vav3","Csrnp1","Pla2g7","Gnai2","Slc15a3","Laptm5","Grina","Srsf5"
"170","Fau","Dock8","Slc15a3","Zfp36l2","Gcnt2","Fam65b","Cfl1","Ankrd44","D8Ertd738e"
"171","Lyn","Trem3","Gab2","Gna13","Etf1","Tnrc18","Cdkn1a","Pfn1","Ctsd"
"172","Trps1","Ppp1cb","Itgal","Arhgap15","Cyth1","Pafah1b1","Hpcal1","Pten","Pbx1"
"173","Lilr4b","Ptp4a2","Sh2d3c","Oaz1","Cyba","Sntb2","Itpkb","Braf","Ptafr"
"174","Fosl2","Ankrd17","Whsc1l1","Rac2","Gm42418","Trem1","Iqgap1","Cd33","Ralgapa1"
"175","Pnrc1","Anxa2","Herc6","Bri3","Gabarap","Lcp1","Arpc5","Alcam","Rap1b"
"176","Susd6","St8sia4","Lrg1","Lyn","Zeb2","Rbms1","Trem3","Hcar2","Cd52"
"177","App","Clint1","Cytip","Camk1d","Myh9","Rap1gap2","Sepn1","Rps27a","Pla2g7"
"178","Snx20","Arid5b","Ppp1r2","Egr1","Klra2","Il15","Adam8","Clec4d","Coro1a"
"179","Gmfg","Bcl10","Ddx3x","Clec4e","Snx18","Eif1","Adgre5","Fcgr3","Ifitm1"
"180","Rnf19a","Mbd2","Selk","Txn1","Rap1b","Skap2","Zfand3","Pilra","Dusp5"
"181","Traf1","Pygl","Cd14","Gpcpd1","Cdc42","Sdcbp","Rab20","Rap1b","Cap1"
"182","Neurl3","Cd24a","Arpc1b","Eea1","Arpc1b","Snap23","Csf2rb","Fgl2","Myo1d"
"183","Igsf6","Ndufb9","Tspan13","Uvrag","Ccnl1","Stk17b","Dock2","Ddx3x","Ppp1r15a"
"184","Nfkbie","S100a6","Sppl2a","1700112E06Rik","Vasp","Pag1","Atp2b1","Raf1","Ccrl2"
"185","Tgoln1","Cox4i1","Ier2","Snap23","Ptgs2","Fosl2","Il1rn","Pglyrp1","Slc15a3"
"186","Grina","Rpl26","Gabarap","Birc3","Myl12b","Ptbp3","Kdm6b","Tra2a","Itgal"
"187","H2-Q7","Sri","Gpcpd1","Arfgef2","Myl6","Slfn4","Dusp16","Ptgs2","Pde7b"
"188","Rab20","Vasp","Nedd9","Mir142hg","Dhrs9","Adam8","Stk40","Ptpn12","Vps4b"
"189","Fas","Runx1","Gm42418","Impact","Pygl","Bcl2l11","Coro1a","Slc16a3","Slc25a3"
"190","Lcn2","Tpm3-rs7","Selplg","Tiparp","Timp2","Fbxl5","Myo1f","Mctp1","Gpr35"
"191","Ntng2","Brk1","Map1lc3b","Ctnnb1","Map1lc3b","Sp100","Lilr4b","Pip5k1b","Tnfrsf1b"
"192","Nab1","Chchd2","Sell","Fem1c","Fos","H2-D1","Mirt1","Tspan13","Myl6"
"193","Map2k3","Aes","Plk3","Entpd1","BC100530","Iqgap1","Gm42418","St8sia4","Dhrs9"
"194","Tank","Eif5","Wnk1","Rapgef6","Pbx1","Syk","Slc15a3","Cd101","Map1lc3b"
"195","Arhgap15","Cap1","Cdc42","Cyba","Il1f9","Optn","Wnk1","Cst3","Ier5"
"196","Nr4a3","Npc2","Marcksl1","Gtdc1","Dopey2","Sema4d","Spi1","Ets2","Rab20"
"197","Cd52","Pfdn5","Zc3hav1","Gla","Nlrp3","Fxyd5","Lamb3","Osm","Ctsb"
"198","Ccr1","Lst1","Osm","Per1","Skap2","Pde4b","Ap2b1","Chst11","Cyth1"
"199","Jdp2","Ifitm6","2810474O19Rik","H2-K1","Braf","Ddx5","2810474O19Rik","March7","Zeb2"
"200","Cmip","Rps15","Rnf213","Nfe2l2","Gmfg","Rap1b","Pitpnc1","1700112E06Rik","Selk"
