"","SC78_2_factor1","SC78_2_factor2","SC78_2_factor3","SC78_2_factor4","SC78_2_factor5","SC78_2_factor6","SC78_2_factor7","SC78_2_factor8","SC78_2_factor9"
"1","Nfkbia","mt-Atp6","Isg15","Fth1","S100a8","mt-Co3","Actg1","Il1b","S100a9"
"2","Nfkb1","mt-Co1","Rtp4","Ftl1","Retnlg","mt-Co1","Cd44","S100a9","Il1b"
"3","Ccrl2","mt-Co3","Slfn4","Ifrd1","S100a9","mt-Co2","Srgn","Malat1","Srgn"
"4","Fth1","mt-Co2","S100a9","Malat1","G0s2","mt-Cytb","S100a9","Tmsb4x","Tmsb4x"
"5","Cxcl2","mt-Cytb","Rsad2","Cebpb","Fth1","mt-Atp6","Alcam","S100a8","Cebpb"
"6","Zeb2","Lyz2","Oasl1","Ccrl2","Tmsb4x","mt-Nd4","Actb","Fos","Actg1"
"7","S100a9","mt-Nd4","Sp100","Il1b","Cxcl2","Malat1","Malat1","Ssh2","Malat1"
"8","Irg1","Rps14","Ifi27l2a","Tmsb4x","Actg1","mt-Nd2","G0s2","Csf3r","G0s2"
"9","Il1b","Rpl37a","Tmsb4x","Srgn","S100a6","Xylt1","Cd14","Dusp1","Dusp1"
"10","Marcksl1","Eef1a1","Ifitm3","Gadd45b","Stx11","Antxr2","Tmsb4x","Zfp36","Fth1"
"11","Nfkbiz","Rpl35a","Il1b","Cxcr4","Actb","Entpd1","Cebpb","Srgn","Cxcl2"
"12","Srgn","Rpl18a","Oas3","Csf1","Srgn","Neat1","Entpd1","Ftl1","Cd44"
"13","Malat1","S100a9","Srgn","Dusp1","Il1b","Cd44","Eif1","Dennd4a","Il1r2"
"14","G0s2","Rps10","Actg1","Actg1","Cebpb","Sik3","Btg1","Picalm","Actb"
"15","Cd14","mt-Nd2","S100a8","Junb","Lyz2","Spag9","Xylt1","Fth1","S100a8"
"16","Pde4b","Rpl17","Cebpb","Cxcl2","Ccl6","Slc7a11","Mir142hg","Junb","Ftl1"
"17","Tmsb4x","Rps27a","Malat1","Kpna4","Nedd9","Cxcl2","Chst11","Actb","Entpd1"
"18","Il1rn","Tmsb4x","Cxcl2","Il1r2","S100a11","Il1r2","Cd9","Msrb1","Eif1"
"19","Clec4e","S100a8","Fth1","Spag9","Malat1","Srgn","Antxr2","Ptprc","Spag9"
"20","Cebpb","Rps13","Actb","Zfp36","Ftl1","mt-Nd1","H3f3b","Kpna4","Plek"
"21","Nlrp3","Rpl23","Msrb1","Atp2b1","Antxr2","Chst11","Tyrobp","Zfp36l2","Btg1"
"22","Irak2","Rps29","G0s2","Mcl1","Sgms2","Il1b","S100a8","Il1r2","Junb"
"23","S100a8","Rpl9","H2-D1","Eif1","Plaur","Alcam","Btbd9","Sorl1","H3f3b"
"24","Tnfaip3","Rps16","Ftl1","Ccl3","Slc16a3","Dennd4a","Plek","Stk17b","Cd14"
"25","Dusp16","Rpl10","B2m","H3f3b","Irg1","Cmip","Cmip","H3f3a","Msrb1"
"26","Junb","Rpl30","Dusp1","Actb","H3f3a","Irg1","Il1b","Neat1","Ets2"
"27","Plek","Rpl34","Smchd1","Plek","Slc7a11","Hdc","Gm26740","Fam65b","Hdc"
"28","Rnf149","Prdx5","H2-K1","Neat1","Eif1","Cebpb","Plaur","Fam49b","Clec4d"
"29","Kdm6b","Uba52","Tyrobp","Dennd4a","Lcn2","Atp2b1","Fam107b","Pbx1","Xylt1"
"30","Gadd45b","Rps23","Eif1","Ptgs2","Lcp1","Clec4d","Diaph1","Lyst","Atp2b1"
"31","Pim1","Rpl27a","Irg1","Msrb1","Msra","Sgms2","Hdc","Gpcpd1","Slc16a3"
"32","Mxd1","Rpl41","Il1r2","S100a9","Msrb1","Btbd9","Fxyd5","Klf2","Tyrobp"
"33","Actg1","Rps27","S100a11","Tpt1","Mxd1","Ankrd33b","Slc16a3","Cxcr2","Antxr2"
"34","Ehd1","Rps12","Samd9l","Lmnb1","Clec4d","Pik3ap1","Ifitm2","Btg2","Sik3"
"35","Actb","Pfn1","Samhd1","Irak2","Dusp1","Rnf149","Clec4d","Actg1","Lmnb1"
"36","Dusp1","Rplp2","Ifitm2","Rab7","Il1r2","S100a9","Spag9","Tpd52","Litaf"
"37","Birc3","Gm10076","Btg1","Ankrd33b","Entpd1","Zeb2","S100a11","S100a11","Cd9"
"38","Marcks","Serf2","Slfn1","Atf3","Wfdc21","Kpna4","S100a6","Phf21a","Ndel1"
"39","Ptprj","Actb","Rps9","Litaf","Rps9","G0s2","Lyn","Rps9","Irg1"
"40","Dusp2","Cyba","Cd44","Pim1","Cd9","Samsn1","Ndel1","Cebpb","S100a11"
"41","Hdc","Lcn2","Hdc","Cd9","Cd44","Dock2","Sik3","Celf2","Plaur"
"42","Fgr","Oaz1","Txn1","Kdm6b","Mcl1","Lyn","Dusp1","Skap2","Slc7a11"
"43","Pik3ap1","Cd52","Irf7","Vps37b","Tyrobp","Rabgef1","Fth1","Mxd1","Btg2"
"44","Rel","Rps25","Trim30a","Fau","Btg1","Fam134b","Mxd1","Hdc","Samsn1"
"45","Sgms2","mt-Nd1","Mxd1","Cd44","Gm5483","Lilrb4a","Ftl1","Tyrobp","Csf3r"
"46","Clec4d","Myl6","Taldo1","Ets2","Txn1","Plek","Il1r2","Mcl1","Ptgs2"
"47","Rab8b","Rpl37","Fgl2","Ctsz","Plek","Igf1r","Cd53","Akap13","Tpd52"
"48","Eif1","Rps21","Tpt1","Tyrobp","Lmnb1","Braf","Snx18","Pag1","Mcl1"
"49","Ptafr","Tpt1","H3f3b","Sh2d3c","Mgst1","Pde7b","Baz2b","Ubb","Fxyd5"
"50","Ifitm2","Rpl28","Pim1","Wnk1","Mctp1","Arhgap15","Arpc2","Lst1","Tpt1"
"51","Btg1","Rplp1","Gm13822","Rabgef1","Samsn1","Lmnb1","Sgms2","Litaf","Dennd4a"
"52","Slc7a11","Rpl8","Ddx60","Hcar2","H2-D1","Baz2b","Ctnnb1","Entpd1","Rnf149"
"53","Lcp1","Ifitm3","Junb","Ptprc","Mcemp1","Sorl1","Tpt1","Ncf2","Alcam"
"54","Spag9","Fau","Entpd1","Xylt1","Adam8","Smox","Ccr1","Arhgap15","H3f3a"
"55","Mapkapk2","Shfm1","Lst1","Btg1","H3f3b","Nedd9","Picalm","Marcks","Mxd1"
"56","Erbb2ip","Rps8","Cd52","Lst1","Cyp4f18","Mxd1","Cxcl2","Gcnt2","Fau"
"57","H2-D1","Rpl39","Lmnb1","Rps9","Arhgap15","Btg1","Msrb1","Txn1","Pim1"
"58","Arg2","Ybx1","Plek","Rnf149","Junb","Tiparp","Ptprc","Arg2","Chst11"
"59","Cd44","Coro1a","Fau","Tnfaip2","Spag9","Ndel1","Trem1","Rnf149","March7"
"60","Samsn1","Retnlg","Fcer1g","Mbnl2","Xylt1","Cd9","Fcer1g","Tmcc1","Rps9"
"61","Vasp","Malat1","Litaf","B2m","Litaf","Tpd52","Mrpl33","Map3k5","Plk3"
"62","Entpd1","Atp5e","Btg2","Nr4a1","Gda","Litaf","Vmp1","Btg1","Ddx5"
"63","Ier3","Hmgb2","Isg20","Basp1","Coro1a","Ptprc","Ncf2","Klf6","Ifitm2"
"64","Tyrobp","Arpc2","Grina","Rps27","Grina","Osbpl9","Tlr4","Fau","Sgms2"
"65","Ets2","Rpl24","Plaur","Pnrc1","Osm","Mirt1","Runx1","Svil","Ptprc"
"66","H3f3a","Gng5","Slfn2","Alcam","App","Ccnl1","Pim1","Cers6","H2-D1"
"67","Ftl1","Arpc1b","Xylt1","Slc38a1","Mmp9","Gab2","Ier3","Cxcr4","Egr1"
"68","Mcl1","Arhgdib","Mcl1","Fnip1","Hdc","Actg1","Hectd1","Lcp1","Ncf2"
"69","Csf3r","Gpx1","Ddx5","Pik3ap1","Iqgap1","Ptgs2","Slc7a11","Iqgap1","Lst1"
"70","Ptgs2","Ubb","Spag9","Clec4d","Tpd52","Elmo1","Map2k4","Tsc22d3","Neat1"
"71","Btg2","Gapdh","Neat1","Mxd1","Taldo1","Ralgapa1","Samsn1","Cmip","Kpna4"
"72","Tnfaip2","Fcer1g","Clec4d","H2-D1","Trem1","Dusp1","Tpm4","Igf1r","Fcer1g"
"73","Dennd4a","Rps24","Atp2b1","Hdc","Alcam","Slc16a3","Egr1","Ipcef1","Picalm"
"74","Zfp36","Calm1","Trem1","Fam134b","Cmip","App","Cdk17","Stat3","Btbd9"
"75","Cd9","Rac2","Sdcbp","Rps29","Rnf149","Nfkbiz","Trib1","Slc7a11","Ccr1"
"76","2810474O19Rik","Arpc5","Cd9","G0s2","Osbpl9","Cyth1","Litaf","Ifitm2","Trem1"
"77","Ifrd1","Eif1","Itm2b","Ubb","Lilrb4a","March7","Gcnt2","Ccl6","Trib1"
"78","Lmnb1","Itm2b","Ets2","Chst11","Lyn","Inpp5d","Tgm2","H2-D1","Ddx3x"
"79","Nadk","Arpc3","H3f3a","Csf3r","Arg2","Mcl1","Lmnb1","Jund","Tiparp"
"80","Ptprc","Tyrobp","Csf3r","S100a11","Arpc3","Basp1","Ppp1r3b","Taldo1","Braf"
"81","Tnfrsf1b","Cox8a","Tpd52","Etf1","Gapdh","Picalm","Nedd9","Osbpl9","Lyn"
"82","Actr3","Rps9","Coro1a","Gm43661","Rdh12","Nlrp3","Il1rap","Lyn","Sorl1"
"83","Chst11","Sh3bgrl3","Arpc3","Ankrd12","Sh2d3c","Smchd1","Plk3","Ddx5","Txn1"
"84","H3f3b","Ubl5","Lilrb4a","Cst3","Mrgpra2b","Lilr4b","Actr3","Lmnb1","Emilin2"
"85","S100a11","Pglyrp1","H2-T23","Gab2","Fau","Dusp16","Emilin2","S100a6","Basp1"
"86","C5ar1","Ftl1","Parp14","H3f3a","Lyst","Sp140","Fam134b","Fxyd5","Gab2"
"87","Antxr2","S100a11","Tor1aip1","Fxyd5","Cd14","Gm42418","Fosl2","Ncor1","Cd53"
"88","Litaf","Gm42418","Picalm","Ifitm2","Anxa2","Ptprj","Pfn1","Prkcb","Lilrb4a"
"89","Bcl2a1b","Rplp0","Kpna4","Ddit3","Ets2","Junb","C5ar1","Camk1d","Lcp1"
"90","Malt1","Actg1","Ptprc","Nr4a3","Ddx6","mt-Nd5","Btg2","Coro1a","Grina"
"91","Msrb1","Anxa1","Hp","Marcksl1","Ccr1","Fndc3b","Tes","Sfxn5","Wnk1"
"92","Ninj1","H3f3b","Dennd4a","Ptafr","Ndel1","Fem1c","Smox","Hmgb2","Ctnnb1"
"93","Gsap","H3f3a","Rnf149","Ddx5","Rabgef1","Plaur","Nudt4","Usp32","Tnfaip2"
"94","Cd274","Rpl36","Zfp36","Tnfrsf1b","Ptprc","Ddx6","Neat1","Snap23","Ell2"
"95","Traf3","Itgam","Jund","Fgl2","Anxa1","Rab7","Lcp1","Plek","Smox"
"96","Ncf1","Hp","Pfn1","Fcer1g","Actr3","Ell2","Fem1c","Ddx6","Nudt4"
"97","Tpd52","Rpl38","Spi1","Coq10b","Picalm","Lyst","H3f3a","Samsn1","Etf1"
"98","Hspa5","Rhoa","Lcp1","Mapkapk2","Ptprj","Fth1","Csf3r","Itgal","Fosl2"
"99","Lilrb4a","Btf3","Ascc3","Ptprj","Pim1","Tnfrsf1b","Tpd52","Gm42418","Mir142hg"
"100","Icam1","Rpl18","Slc7a11","Tgm2","Fxyd5","Ctnnb1","Gab2","Trps1","Rabgef1"
