"","SC78_4_factor1","SC78_4_factor2","SC78_4_factor3","SC78_4_factor4"
"154","Arpc1b","Vasp","Mir142hg","Ppp1r3b"
"155","Ctsd","Itpkb","Fam134b","Pnrc1"
"156","Etf1","Clta","Nfe2l2","Sepn1"
"157","Braf","Mxd1","Gcnt2","Snx18"
"158","Ncor1","Trib1","Malt1","Jund"
"159","Plaur","Fam32a","Pla2g7","Hectd1"
"160","Emilin2","Itga4","Rab11fip1","H2-K1"
"161","H2-K1","Ly6e","Alcam","Ddx3x"
"162","Sik3","Vti1a","Taldo1","Itm2b"
"163","Mapkapk2","Tnfaip2","Pnrc1","Mirt1"
"164","Nfkbiz","Nfkbiz","Gm42418","Cd52"
"165","Gmfg","Gnai2","Fgl2","Cap1"
"166","Sh2d3c","Dusp1","Cd52","Tnfrsf1b"
"167","Mir142hg","Spag9","Trem3","Por"
"168","Lilrb4a","Rpl37","Slc15a3","Myl6"
"169","Rab8b","Map4k4","Rps27","Cyba"
"170","Ier5","Gng5","Rbpj","Nfkbiz"
"171","Alcam","Uqcrh","Pbx1","Arih2"
"172","Spi1","Lyz2","Alox5ap","Gm42418"
"173","Mrpl33","Gabarap","Neurl3","Lyz2"
"174","Prkcb","Eif5","Hck","Zfp36"
"175","Ankrd33b","Dusp5","Zc3h12a","Sh2d3c"
"176","Ets2","Hnrnpc","Grina","Lsp1"
"177","Tnfaip2","Asprv1","Nr4a3","Hp"
"178","Psap","Atp6v0e","N4bp1","Stk17b"
"179","Ltb","Chst11","Adam17","Dock2"
"180","Tsc22d3","D8Ertd738e","Gabarap","Dhrs9"
"181","Fgl2","Mapkapk2","Bcl2l11","Suco"
"182","Nr4a1","Stat3","Vmp1","Selk"
"183","Itgal","Cytip","Arpc2","Myo1d"
"184","Mbnl2","Hnrnpk","Ctnnb1","Jdp2"
"185","Rpl37","Rpl27","Zfand3","Irak2"
"186","Ddx6","Rbm3","Btbd9","2810474O19Rik"
"187","Slfn4","Asap1","Arih2","Kdm6b"
"188","Rac2","Irak2","Ctsd","Ptprj"
"189","Cdc42","Qk","Gsap","Zcchc6"
"190","Fam134b","Eef2","Ccl6","Msra"
"191","Hspa8","Prrc2c","Coro1a","Arpc5"
"192","Pygl","Lyn","Icam1","Mapkapk2"
"193","Tra2a","Myl12b","Lcp2","Mctp1"
"194","Map1lc3b","Dusp16","Cyba","Lamp2"
"195","Coq10b","Dock2","Ncf4","Ell2"
"196","Il1f9","Gnb1","Cd300a","Kctd12"
"197","Serinc3","Celf2","Sdcbp","Cotl1"
"198","Actr3","Aldoa","Isg15","Rab20"
"199","Myl6","Stk17b","Fosl2","Mmp9"
"200","Ubc","Apbb1ip","Spi1","Cdc42"
"201","Mctp2","Son","Rac2","Serinc3"
"202","Gda","Sik3","Itm2b","Anxa11"
"203","Hcar2","Ptprj","Lilr4b","Tnrc18"
"204","Cd84","Jak1","Lyst","Rac2"
"205","Arpc2","Cox6b1","Cap1","Fnip1"
"206","Apbb1ip","Actr2","Ier2","Coq10b"
"207","Gm5150","Ccnl1","Ddx6","Ubb"
"208","Cst3","Clic1","Cst3","App"
"209","Gadd45a","Prkcb","Tgm2","Eml1"
"210","Calm2","Atp5l","Ncf2","Fmnl1"
"211","Cd101","Trem3","Traf3","Slc22a15"
"212","Ptpn12","Neat1","Cxcr4","Alox5ap"
"213","Themis2","Npc2","Jak1","Ptbp3"
"214","Rassf3","Mcl1","Fem1c","Notch2"
"215","Asap1","Lamp1","Skil","Cdk2ap2"
"216","Slfn2","Myl6","Cdc42","Tiparp"
"217","1700112E06Rik","Chchd2","Srsf5","Vmp1"
"218","Fbxl5","Ybx1","Basp1","Gmfg"
"219","Fcgr3","Gpr35","Gmfg","Pla2g7"
"220","Anxa1","Ube2d3","Osbpl9","Trem3"
"221","Rps29","Man2b1","Fbxo11","Rps27"
"222","Sirpa","Sgms1","Mmp9","Cdk17"
"223","Arpc3","Osbpl8","Coq10b","Csf2rb"
"224","Adipor1","Btf3","Psap","Serf2"
"225","Myl12b","Rps28","Fndc3b","Vps4b"
"226","Inpp5d","Zfand3","Snx20","Myh9"
"227","Baz2b","Ehd1","Csrnp1","Cxcr4"
"228","Rps27","Atox1","Gpcpd1","Sat1"
"229","Rab7","Csf1","Mirt1","Vps37b"
"230","Adam17","Irg1","Tlr2","Sell"
"231","Hmha1","Arih1","Elmo1","Klra2"
"232","Fgr","Fam49b","Bcl3","Ier5"
"233","Il1rap","Cd47","Irak3","Spi1"
"234","Ankrd44","Fcho2","Rap1gap2","Arpc1b"
"235","Gabarap","Ptpre","Msn","Agpat9"
"236","Klf3","Etv6","Ppp1r15a","Fgl2"
"237","Slc40a1","Hmha1","Tgoln1","Fbxo11"
"238","Samhd1","Whsc1l1","Itgal","Psap"
"239","Slpi","Rapgef6","Susd6","Tgoln1"
"240","Tspan13","Arhgdib","Gpr132","Csrnp1"
"241","Serf2","Nfkbia","Csf1","Prdx5"
"242","Pten","Spi1","Tax1bp1","Fam107b"
"243","Sgms2","Coro1a","Gpbp1","Dusp16"
"244","Prdx5","S100a11","Rbm39","Nlrp3"
"245","Amica1","Ubc","Zc3hav1","Rbms1"
"246","C5ar1","Itgb2","Arf4","Klhl2"
"247","Rsrc2","Ascc3","Relb","Atp6v0d1"
"248","Sfxn5","Plac8","Jak2","Gm26740"
"249","Cd53","Samhd1","Tgif1","Fos"
"250","Ncf1","Lfng","Samhd1","Il1rap"
"251","Gpx1","Lilrb4a","Igf1r","Dgat1"
"252","Polr2a","Map1lc3b","Hp","Zeb2"
"253","Ube2b","Rps2","Dusp5","Cltc"
"254","Stat3","Rpl19","Fmnl1","Slc11a1"
"255","Cyp4f18","Morf4l1","Jdp2","Hmgb2"
"256","Kras","Cdk2ap2","Lpcat2","Sntb2"
"257","Pde4b","Zcchc6","Gtdc1","Adam17"
"258","Tbc1d15","Rilpl2","Rps27a","Map1lc3b"
"259","Dock11","Ctsd","H2-Q7","Ehd1"
"260","Zswim6","Wnk1","Sp140","Ptk2b"
"261","Ifitm3","Inpp5d","Nab1","1700112E06Rik"
"262","Ptpre","Cd300a","Itgb2","Gnai2"
"263","Cd300a","Mef2a","Optn","Plin2"
"264","Gnai2","Sin3b","Il10ra","Dusp5"
"265","Ppp1r2","Adgre5","Ubc","Arhgdib"
"266","Ctnnb1","Rab11fip1","Cyp4f18","4932438A13Rik"
"267","Cd300lf","Sf3b1","Ifi27l2a","Eif4a1"
"268","Cotl1","Ucp2","Trps1","Gm5483"
"269","Pkm","Ikzf1","Arpc5","Laptm5"
"270","Wipf1","Pabpc1","Map2k3","Pag1"
"271","Atg3","Sfpq","Ifnar2","Gda"
"272","Ogt","Arid4b","Myl6","Hif1a"
"273","Clk1","Arpc1b","Cfl1","Itgal"
"274","Tgfbi","Hectd1","Ppp1r2","Ube2d3"
"275","Fyb","Baz2b","Tpm4","Pde7b"
"276","Gng5","Csf3r","Serinc3","Rab8b"
"277","Nudt4","Gngt2","Cd300lf","Tnfaip2"
"278","Slc9a9","Fgr","Rbms1","Gng5"
"279","Mtus1","Nfe2l2","Gab2","Myl12b"
"280","Arhgap26","Vamp4","Casp4","Clec4e"
"281","Gnaq","Nab1","Hectd1","Elmo1"
"282","Cdk2ap2","Stk10","App","Ier2"
"283","Whsc1l1","Actr3","Por","Pglyrp1"
"284","Tnrc6b","Zc3hav1","Cyth1","Rps27a"
"285","Ube2h","Cox4i1","Cdc42ep2","Srsf5"
"286","Cd24a","Tmbim6","Bcl2a1d","Syk"
"287","Mirt1","Fam134b","Wnk1","Eea1"
"288","Trps1","Clec4e","Anxa2","Slfn4"
"289","Pilra","Diaph2","Mrpl33","Anxa2"
"290","Jmjd1c","Tbc1d1","Myl12b","Ifrd1"
"291","Por","Rap1gap2","Themis2","Gpr35"
"292","Gadd45b","Tpd52","Mbnl2","Samhd1"
"293","Laptm5","Rbm39","Gnai2","Chmp4b"
"294","Abtb2","Mob1a","Inpp5d","Gpcpd1"
"295","Fam32a","Gpbp1","Arpc1b","Dazap2"
"296","Rbm39","Gm2a","Sod2","Lgals3"
"297","Egr1","C5ar1","Syk","Capza1"
"298","Raf1","Slfn2","Ubb","Ncf4"
"299","Ptafr","Zyx","Arpc3","Zyx"
"300","Nup98","Maml3","Ctsb","Tmbim6"
