"","SC78_4_factor1","SC78_4_factor2","SC78_4_factor3","SC78_4_factor4"
"1","S100a9","mt-Atp6","Fth1","S100a9"
"2","Il1b","mt-Co3","Cxcl2","S100a8"
"3","S100a8","mt-Co2","Ccrl2","G0s2"
"4","Tmsb4x","mt-Co1","S100a9","Actg1"
"5","Malat1","mt-Cytb","Nfkbia","Srgn"
"6","Fth1","mt-Nd4","Il1b","Cebpb"
"7","Srgn","Eef1a1","Srgn","Tmsb4x"
"8","Actb","Rpl37a","Malat1","Actb"
"9","Ftl1","mt-Nd2","Cebpb","Malat1"
"10","Msrb1","mt-Nd1","Irg1","Il1b"
"11","Dusp1","Rpl39","G0s2","Fth1"
"12","Actg1","Rpl8","Tmsb4x","Cd44"
"13","Il1r2","Rpl35a","Zeb2","Cxcl2"
"14","Dennd4a","Rps21","Actg1","Il1r2"
"15","Zfp36","Rplp1","Junb","Entpd1"
"16","Junb","Tmsb4x","Actb","Eif1"
"17","Fos","Tpt1","Pim1","Ftl1"
"18","S100a11","Rps29","Marcksl1","Xylt1"
"19","Csf3r","Rps3a1","S100a8","Dusp1"
"20","Cebpb","Malat1","Mxd1","Plaur"
"21","Picalm","Actb","Plek","Btg1"
"22","Tyrobp","Rpl10","Ftl1","Slc16a3"
"23","Ptprc","Rps8","Rnf149","Alcam"
"24","S100a6","Rps10","Cd14","Cd9"
"25","Btg2","Rpl23","Nfkbiz","S100a11"
"26","Rps9","Rpl17","Dusp1","Clec4d"
"27","H2-D1","Rpl41","Eif1","Spag9"
"28","Stk17b","Rps16","Hdc","H3f3b"
"29","Kpna4","Rplp2","Irak2","Tyrobp"
"30","Arhgap15","Rpl38","Kdm6b","Plek"
