"","SC78_4_factor1","SC78_4_factor2","SC78_4_factor3","SC78_4_factor4","SC78_4_factor5","SC78_4_factor6","SC78_4_factor7"
"1","Il1b","S100a9","mt-Atp6","S100a8","S100a9","S100a9","Nfkbia"
"2","Il1r2","G0s2","mt-Co3","S100a9","Actg1","Il1b","Ccrl2"
"3","Fth1","Srgn","mt-Co2","Retnlg","Srgn","Malat1","Cxcl2"
"4","Cebpb","S100a8","mt-Cytb","Lyz2","Tmsb4x","Tmsb4x","Fth1"
"5","Malat1","Cd44","mt-Co1","G0s2","G0s2","S100a8","Zeb2"
"6","Tmsb4x","Malat1","mt-Nd4","Tmsb4x","Actb","Srgn","S100a9"
"7","Srgn","Actg1","mt-Nd2","S100a6","Cebpb","Fth1","Irg1"
"8","S100a9","Cebpb","mt-Nd1","Actg1","Malat1","Actb","Marcksl1"
"9","Ccrl2","Alcam","Rpl37a","Actb","Cd44","Dennd4a","Srgn"
"10","Actg1","Entpd1","mt-Nd5","Fth1","Il1b","Ftl1","Il1b"
"11","Ftl1","Xylt1","Rpl39","S100a11","Eif1","Dusp1","Nfkb1"
"12","Dusp1","Il1b","Eef1a1","Srgn","S100a8","Csf3r","Malat1"
"13","G0s2","Actb","Rplp1","Ftl1","Il1r2","Fos","G0s2"
"14","Junb","Cxcl2","Rplp2","Cebpb","Ftl1","Msrb1","Cebpb"
"15","Actb","Chst11","Rps21","Cxcl2","Tyrobp","Zfp36","Tmsb4x"
"16","Msrb1","Antxr2","Rpl35a","Ccl6","Fth1","Picalm","Nfkbiz"
"17","Pim1","Fth1","Rpl38","H3f3a","Btg1","Junb","Junb"
"18","Plek","Tmsb4x","Malat1","Gm5483","Cd9","Ptprc","Birc3"
"19","Eif1","Slc7a11","Tmsb4x","Plaur","Entpd1","Klf2","Cd14"
"20","Neat1","Spag9","Rpl8","Slc16a3","S100a11","Il1r2","Pde4b"
"21","Hcar2","Cmip","Rps8","Malat1","Dusp1","Actg1","Nlrp3"
"22","Zfp36","Btg1","Tpt1","Stx11","H3f3b","Stk17b","Mxd1"
"23","Litaf","Dusp1","Rps16","Il1b","Tgm2","Btg2","Actg1"
"24","Cxcl2","Neat1","Rpl13a","Eif1","Xylt1","Pbx1","Actb"
"25","Xylt1","Sgms2","Rps29","Tyrobp","Plaur","Kpna4","Clec4e"
"26","Mcl1","Clec4d","Rps24","Msrb1","Msrb1","S100a11","Dusp2"
"27","Cd44","Plaur","Ppia","Prdx5","Tpt1","Tyrobp","Pim1"
"28","Ankrd33b","Cd14","Actb","Coro1a","Cxcl2","Arhgap15","Irak2"
"29","H3f3b","Hdc","Rpl17","Lgals3","Spag9","Rps9","Gadd45b"
"30","Atf3","Cd9","Rpl23","Cyp4f18","Ifitm2","Sorl1","Kdm6b"
