"","V1","V2","V3","V4","V5","V6"
"Lypla1",2.41839125989741,2.22044604925031e-16,0.175572442419994,1.37219349529279,2.35297963423903,0.417312606511818
"Tcea1",2.33838685577996,1.62557507636337,2.22044604925031e-16,2.22044604925031e-16,2.83310045317451,2.22044604925031e-16
"Atp6v1h",0.800693582996571,0.812377919734133,4.77226360295923,4.67085431901331,5.99022610537553,3.84155933408038
"Rb1cc1",2.83392260825541,6.8787731787009,13.7702998530756,11.9928377703135,7.35243104170844,7.34522202356862
"4732440D04Rik",0.437613579741492,0.503219749271035,0.688922469847939,2.22044604925031e-16,1.55521907869824,0.989001038934234
"Pcmtd1",0.430357230373411,4.77291245569044,3.8970844897923,4.36132249358573,9.5571576862473,4.73999485337951
"Gm26901",2.22044604925031e-16,1.23405215440599,2.22044604925031e-16,2.22044604925031e-16,0.666369202121164,0.19400272763647
"Vcpip1",1.26323569723766,1.77354146342583,1.39613716909505,1.18287400330469,1.97704442452776,1.74661595889364
"Sgk3",6.11294315423346,0.264644189016211,4.27319487679677,10.3666433124165,3.54675736769236,1.01832406277277
"Ppp1r42",3.99860521058071,0.264702866524885,0.0914259644348076,2.22044604925031e-16,2.22044604925031e-16,8.3338027472501e-12
"Cops5",2.27701537324227,2.22044604925031e-16,2.22044604925031e-16,0.36201579548419,2.08995852110406,2.22044604925031e-16
"Cspp1",0.872123578633532,1.60122990667626,1.56952395539865,4.56825772126128,4.18983123641646,0.311530265495297
"Arfgef1",5.18421796678991,2.23300705398532,5.58286450274669,2.22968106832552,7.54622557089704,3.76308260935796
"Cpa6",0.610263540187925,2.22044604925031e-16,0.161739058041714,2.22044604925031e-16,0.0459091029483378,0.147916461949204
"Ncoa2",1.48777014436276,5.35940177153016,8.61793373770286,12.8141788201729,5.9274431966237,6.00048127771597
"Tram1",2.21076499949113,2.22044604925031e-16,0.630598318144312,1.77598339431246,4.78689056209521,0.238408957250006
"Lactb2",0.664047380242775,2.22044604925031e-16,0.600401215246629,2.22044604925031e-16,0.987643930402583,0.0574119857050449
"Terf1",0.47349474036774,2.22044604925031e-16,0.25755367069104,1.59373772219076,0.736125085279624,0.945704819779099
"Rpl7",37.3763436882045,2.22044604925031e-16,8.32376450803336,10.5895040561615,14.3411725969275,2.22044604925031e-16
"Rdh10",0.29382110351619,0.134561328322694,0.00401001874012856,1.30547649881543,0.314146136354172,0.0806303487890642
"Ube2w",1.49411329737975,2.22044604925031e-16,4.29109333089748,7.67260929367928,2.7603367038333,2.27997731294692
"Tceb1",7.3747197726341,8.77317129005576,8.66047856818983,5.06211768372766,11.9230929278062,3.61041264845965
"Ly96",2.39960122538073,1.67984391271158,3.64725668895785,4.15690185961761,1.96382373305295,1.69341398624976
"Tram2",0.634929862545768,2.22044604925031e-16,2.22044604925031e-16,0.856205642598652,0.298083735633504,0.590177732957239
"Ogfrl1",10.2716880417889,6.46523424416722,15.529883613384,18.7465761300753,5.31179937081332,5.19046257779822
"Smap1",6.13426912614958,0.235614258441325,3.44382211155644,3.44166144697619,4.12984414421302,3.67258233610236
"Sdhaf4",0.459128597613331,2.22044604925031e-16,2.22044604925031e-16,0.245251349359007,0.707568081542615,2.22044604925031e-16
"Lmbrd1",5.81312005598782,3.19703487181516,11.992810328087,4.77111849365289,9.62226783438996,10.4383508473342
"Phf3",1.22430090969584,0.924632260479482,2.53744881571241,6.23962205165965,6.27032942289862,4.92243391184518
"Ptp4a1",3.06650309827874,14.6867946101257,19.7761851891541,16.5064950876713,16.9383226895051,11.6538974684673
"Rab23",0.717298413489146,2.22044604925031e-16,2.22044604925031e-16,0.661509922368994,2.22044604925031e-16,2.22044604925031e-16
