"","SC78_6_factor1","SC78_6_factor2","SC78_6_factor3","SC78_6_factor4","SC78_6_factor5","SC78_6_factor6"
"33","Malat1","Mxd1","Tpd52","Lrg1","Hnrnpf","Upp1"
"34","H3f3a","Dusp1","Chst11","Tpd52","Actg1","P4hb"
"35","Cd52","Mapkapk2","Hdc","Btg1","Il1r2","Prdx5"
"36","Mgst1","Ifitm1","Mxd1","Tspo","Rpl30","Slc2a1"
"37","Arhgdib","Ifitm2","Mcl1","Mxd1","Eef1a1","Tiparp"
"38","mt-Atp6","Rnf149","Ftl1","Rnf149","Srgn","H2-D1"
"39","Hp","Spag9","Clec4d","Ptprc","Rpl13a","Emilin2"
"40","Rac2","Eif1","Il1r2","Lcp1","Serf2","Fau"
"41","Pfn1","Pde4b","Ndel1","Cxcr2","Rpl21","Zfp292"
"42","mt-Co3","Nlrp3","Tyrobp","Tyrobp","Rps27a","Junb"
"43","Rplp0","Irak2","Cd9","Alox5ap","Rpl10","Neat1"
"44","Eef1a1","Tnfaip3","Lmnb1","Litaf","Igfbp6","Cd9"
"45","Tpt1","2810474O19Rik","Cmip","Stk17b","Rpl41","Pnrc1"
"46","Cyba","Il1rn","Rnf149","Ddx6","Rps16","Bnip3"
"47","Arpc1b","H3f3b","Rps9","S100a6","Xylt1","Tra2a"
"48","Anxa2","Btg2","Picalm","Hdc","Rpl9","Sdcbp"
"49","mt-Co2","B2m","Msrb1","Ube2h","Ifrd1","Il1b"
"50","Ftl1","S100a8","Csf3r","Sorl1","Tyrobp","Egln3"
"51","Prr13","Tpt1","Sik3","Coro1a","Fcer1g","Gab2"
"52","Tkt","Btg1","H3f3b","Hmgb2","Rps21","Ccrl2"
"53","Rps9","Clec4d","Hp","Lsp1","Fth1","Ppp1r3b"
"54","Coro1a","Fcer1g","Lcp1","Gcnt2","Calm2","Plin2"
"55","Gpx1","Ets2","Tpt1","H2-D1","Btg1","Kpna4"
"56","Cebpb","Ptafr","Irg1","Anxa1","Btf3","Fxyd5"
"57","Lrg1","Tnfaip2","Plaur","Arg2","Rps11","H3f3a"
"58","Rps27a","Marcks","Fxyd5","Txn1","Fgl2","Lilrb4a"
"59","Cd14","Lmnb1","Emilin2","Grina","Msrb1","P4ha1"
"60","Asprv1","Arg2","Pim1","Jund","Junb","Btg1"
"61","Tyrobp","Trem1","Ddx5","Fau","Dusp1","Fcer1g"
"62","Myl6","Pik3ap1","Nedd9","Taldo1","Rpl19","Actg1"
"63","Sh3bgrl3","Dennd4a","Litaf","Gda","Gm2a","Litaf"
"64","Atxn10","Kdm6b","Grina","Iqgap1","H3f3a","Gm42418"
"65","Pkm","Il1r2","Dusp1","Gm42418","Rps9","Pim1"
"66","Gm5483","H3f3a","Arpc3","Socs3","Rpl37a","Npepps"
"67","Ifitm1","H2-K1","Fcer1g","Akap13","Cox8a","Mbnl2"
"68","Mmp9","Csf3r","Tspo","Pim1","Rpl38","Bsg"
"69","Aldh2","Neat1","Ptprc","Il1r2","Map1lc3b","Il1r2"
"70","Txn1","S100a11","H2-D1","Lyst","Inpp5d","Ctsd"
"71","Glrx","Tyrobp","Pfn1","Svil","Rplp1","B2m"
"72","Srgn","Dusp16","Sorl1","G0s2","Hist1h2bc","Fnip1"
"73","Vim","Nfkb1","Coro1a","Cd52","Il1b","Cd53"
"74","H2-D1","Litaf","Igf1r","Fcer1g","Ddx5","H2-K1"
"75","Ngp","Antxr2","Hif1a","Wfdc21","AF251705","Phf21a"
"76","Arpc2","Ptprj","Ctnnb1","Tpt1","Spag9","Suco"
"77","Vasp","Lilrb4a","Lyn","Gpcpd1","H2-D1","Ostf1"
"78","Cotl1","Casp4","Actr3","Neat1","Rpl11","Cstb"
"79","Eif1","Ubb","Gm42418","Lmnb1","Actb","Cd274"
"80","Itm2b","Ddx5","Neat1","Skap2","Rpl34","Samhd1"
"81","Taldo1","Pnrc1","Ncf2","Pla2g7","Atp6v0e","Osbpl9"
"82","Plaur","Gm42418","App","Marcks","Ifitm2","Smox"
"83","Mcemp1","Slc7a11","Plek","Steap4","Gadd45b","Clec4d"
"84","Msrb1","Cd9","Ccr1","Ncf2","Wnk1","Mxd1"
"85","R3hdm4","Samsn1","Cd52","Ddx5","Rplp2","Grina"
"86","Gm8730","C5ar1","Tpm4","Osm","Pfn1","Igf1r"
"87","Ostf1","Wfdc17","Lilrb4a","Osbpl9","Rps7","Alcam"
"88","Gpi1","Lrg1","Arg2","Gm5150","Fxyd5","Gabarap"
"89","Sri","Sgms2","mt-Co3","Fam49b","Rabac1","Ptgs2"
"90","Stfa3","Rps9","Lrg1","Selplg","Ppp1r15a","Ccr1"
"91","Arpc3","Sema4d","Ctsd","Pfn1","Zfp36l2","Jun"
"92","Fcer1g","Ehd1","Junb","Cd84","Rbm39","Stfa2l1"
"93","Uba52","Fau","Baz2b","Fxyd5","Rbm3","Ifitm1"
"94","Gnai2","Ptprc","Fau","Rac2","Dennd4a","Bcl2l1"
"95","Pygl","Pfn1","Txn1","Stat3","Pfdn5","Fbxl5"
"96","Dstn","Tpd52","Wfdc21","Arhgap15","Gm10076","Pgk1"
"97","Serf2","Hcar2","Ptprj","mt-Co3","Gabarap","Ctsb"
"98","Cdc42","Snap23","Clec4e","Pag1","Cox4i1","Fam134b"
"99","Ubb","H2-Q7","Ddx6","Lyn","Eif5a","Tpd52"
"100","Ldha","Ccl3","Samsn1","Map1lc3b","Mir142hg","Nampt"
