"","V1","V2","V3","V4","V5","V6"
"Xkr4",2.22044604925031e-16,0.547031323907409,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Lypla1",1.37391360754371,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.43104117107175,2.22044604925031e-16
"Tcea1",2.22044604925031e-16,0.547178701206608,2.22044604925031e-16,2.24615521310391,2.22044604925031e-16,2.22044604925031e-16
"Rgs20",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.350662612074591,2.22044604925031e-16,2.22044604925031e-16
"Atp6v1h",3.67855475670413,1.20990204899673,2.0318842062614,3.0875674160547,2.22044604925031e-16,1.77979908918956
"Rb1cc1",5.79645250166654,11.5455764366785,10.3398452795866,12.2356190452492,11.3856754498233,13.2053708922295
"4732440D04Rik",4.03210556064706,1.84675368790652,0.41405330949935,2.22044604925031e-16,0.101785676161879,3.69637556456141
"Pcmtd1",8.79072847465814,13.6481287325214,1.30698848153533,3.32353246187603,1.51918898676865,4.31547333729898
"Gm26901",2.22044604925031e-16,0.885424379299026,2.22044604925031e-16,0.575943513650316,0.570067282706793,2.30142315231595
"Sntg1",2.22044604925031e-16,1.55701741396284,2.22044604925031e-16,2.22044604925031e-16,1.0820306847029,2.22044604925031e-16
"Mybl1",0.418345287956283,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Vcpip1",2.23682333487181,2.22044604925031e-16,1.28183606845383e-09,1.28293087183907,2.22044604925031e-16,2.22044604925031e-16
"Sgk3",3.62676352962208,4.84256997353812,5.10603483111504,1.00896391009999,2.22044604925031e-16,0.632906472461409
"Mcmdc2",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.264782274910463
"Tcf24",2.22044604925031e-16,2.22044604925031e-16,0.463237705439153,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Ppp1r42",0.478500341238473,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.38554707482158
"Cspp1",9.11860191043287,2.22044604925031e-16,0.617212408856678,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Arfgef1",7.88777405889015,7.34293246292159,3.23293657766184,4.47704392641274,1.04736710464379,1.03103588134176
"Cpa6",0.586709939934676,0.273649728111668,0.878353854293038,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Prex2",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.24494817202361,0.192748286650633,2.22044604925031e-16
"Ncoa2",8.8776726523693,5.03396758718961,3.47952629642153,3.66248562467781,2.10972781575812,1.39999742437008
"Gm29570",2.22044604925031e-16,2.22044604925031e-16,0.392081469859087,0.449887333055059,0.464319539676671,2.22044604925031e-16
"Tram1",0.418345287956283,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Lactb2",0.423873783269803,2.22044604925031e-16,0.374815725788205,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Kcnb2",2.22044604925031e-16,0.281524472278051,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Terf1",0.418345287956283,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Sbspon",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.304301365383848,2.22044604925031e-16
"4930444P10Rik",2.22044604925031e-16,2.22044604925031e-16,0.379144876732348,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Rpl7",2.4629691533014,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Rdh10",2.22044604925031e-16,0.463154727444904,2.22044604925031e-16,0.0825541190337124,2.22044604925031e-16,2.22044604925031e-16
"Ube2w",1.20909146288935,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Tceb1",1.02579521369533,8.80615436291197,0.858678359416345,2.22044604925031e-16,10.4562568290514,5.63923772580868
"Tmem70",0.531923064788912,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Ly96",2.22044604925031e-16,3.80224345254551,3.44299427818297,3.7194988365765,1.94598368138187,2.19856387871623
"Tram2",0.609968031339785,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Ogfrl1",5.35362119848885,8.87088639153462,5.20071979697041,10.8544613593603,15.8917820156152,18.4758562846526
"B3gat2",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.520646725897762,2.22044604925031e-16,2.22044604925031e-16
"Smap1",1.17702210387691,0.352136748118723,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
