"","SC78_4_factor1","SC78_4_factor2","SC78_4_factor3","SC78_4_factor4","SC78_4_factor5"
"1","mt-Atp6","Srgn","S100a9","Cxcl2","S100a8"
"2","mt-Co2","Cebpb","Il1b","Fth1","S100a9"
"3","mt-Co3","S100a9","Tmsb4x","Nfkbia","Retnlg"
"4","mt-Co1","Malat1","Malat1","Ccrl2","G0s2"
"5","mt-Cytb","Actg1","S100a8","S100a9","Tmsb4x"
"6","mt-Nd4","G0s2","Fth1","Il1b","Actg1"
"7","Eef1a1","Il1b","Srgn","Srgn","Actb"
"8","Rpl37a","Cd44","Ftl1","Irg1","Srgn"
"9","mt-Nd2","Il1r2","Actb","Malat1","S100a6"
"10","Rpl39","Tmsb4x","Msrb1","Cebpb","Fth1"
"11","mt-Nd1","Actb","Dusp1","G0s2","Cxcl2"
"12","Rplp1","Xylt1","Zfp36","Zeb2","Cebpb"
"13","Rps21","Entpd1","Dennd4a","Tmsb4x","Lyz2"
"14","Rpl35a","Fth1","Il1r2","Junb","S100a11"
"15","Rpl8","Dusp1","Junb","Actg1","Plaur"
"16","Rps10","Spag9","Fos","Marcksl1","Malat1"
"17","Rps3a1","Btg1","Actg1","Actb","Ftl1"
"18","Rps29","Chst11","Csf3r","Pim1","Il1b"
"19","Rps8","Eif1","Picalm","Mxd1","Slc16a3"
"20","Tpt1","Ftl1","S100a11","Cd14","Eif1"
"21","Tmsb4x","Alcam","Ptprc","Nfkbiz","Stx11"
"22","Rpl10","Cxcl2","Cebpb","Rnf149","Nedd9"
"23","Rpl17","Plek","Btg2","Plek","Ccl6"
"24","Rps16","S100a8","Tyrobp","Nfkb1","H3f3a"
"25","Rplp2","Pim1","Rps9","Ftl1","Tyrobp"
"26","Rpl38","Cd9","Stk17b","S100a8","Gm5483"
"27","Rpl23","Neat1","Kpna4","Irak2","Cd44"
"28","Rpl34","Hdc","H2-D1","Nlrp3","Btg1"
"29","Rpl27a","Clec4d","Ubb","Birc3","Cd9"
"30","Rpl41","H3f3b","Neat1","Kdm6b","Msrb1"
